PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
Zm00001eb047520,Zm00001eb352400,Zm00001eb313500,Zm00001eb185130,Zm00001eb430920,Zm00001eb275630,Zm00001eb249690,Zm00001eb031840
Zm00001eb039590,Zm00001eb055110,Zm00001eb161610,Zm00001eb146720,Zm00001eb148270,Zm00001eb330610,Zm00001eb275510,Zm00001eb129370
Zm00001eb058360,Zm00001eb214900,Zm00001eb315040,Zm00001eb292770,Zm00001eb384970,Zm00001eb430810,Zm00001eb426230,Zm00001eb062910
Zm00001eb339070,Zm00001eb379100,Zm00001eb069640,Zm00001eb430440,Zm00001eb092720,Zm00001eb145670,Zm00001eb106450,Zm00001eb071550
Zm00001eb067730,Zm00001eb110070,Zm00001eb312000,Zm00001eb217290,Zm00001eb196930,Zm00001eb384590,Zm00001eb106460,Zm00001eb430440
Zm00001eb068210,Zm00001eb126980,Zm00001eb122470,Zm00001eb332830,Zm00001eb280720,Zm00001eb408430,Zm00001eb368580,Zm00001eb332830
Zm00001eb118090,Zm00001eb162570,Zm00001eb082170,Zm00001eb428910,Zm00001eb163690,Zm00001eb046210,Zm00001eb400530,Zm00001eb356140
Zm00001eb194740,Zm00001eb251130,Zm00001eb112180,Zm00001eb430920,Zm00001eb405560,Zm00001eb180070,Zm00001eb389520,Zm00001eb430920
Zm00001eb225230,Zm00001eb304390,Zm00001eb126980,Zm00001eb038960,Zm00001eb005530,Zm00001eb222030,Zm00001eb032800,Zm00001eb134490
Zm00001eb264870,Zm00001eb371840,Zm00001eb289290,Zm00001eb036270,Zm00001eb070480,Zm00001eb245250,Zm00001eb217370,Zm00001eb208540
Zm00001eb281180,Zm00001eb121500,Zm00001eb304390,Zm00001eb205090,Zm00001eb051470,Zm00001eb251130,Zm00001eb257490,Zm00001eb205810
Zm00001eb282430,Zm00001eb001560,Zm00001eb063370,Zm00001eb038610,Zm00001eb084910,Zm00001eb289290,Zm00001eb256120,Zm00001eb395470
Zm00001eb003660,Zm00001eb022050,Zm00001eb260050,Zm00001eb065120,Zm00001eb113170,Zm00001eb304390,Zm00001eb392430,Zm00001eb197020
Zm00001eb016040,Zm00001eb067730,Zm00001eb304280,Zm00001eb275510,Zm00001eb329580,Zm00001eb342280,Zm00001eb160380,Zm00001eb357800
Zm00001eb112170,Zm00001eb068210,Zm00001eb009940,Zm00001eb368570,Zm00001eb125810,Zm00001eb058150,Zm00001eb178270,Zm00001eb057860
Zm00001eb134240,Zm00001eb151190,Zm00001eb009950,Zm00001eb213000,Zm00001eb187150,Zm00001eb103410,Zm00001eb349050,Zm00001eb206740
Zm00001eb145890,Zm00001eb240670,Zm00001eb043110,Zm00001eb281920,Zm00001eb255340,Zm00001eb193100,Zm00001eb384620,Zm00001eb418370
Zm00001eb167820,Zm00001eb264870,Zm00001eb058260,Zm00001eb431490,Zm00001eb272480,Zm00001eb305600,Zm00001eb408430,Zm00001eb315040
Zm00001eb167830,Zm00001eb425840,Zm00001eb067730,Zm00001eb076810,Zm00001eb428660,Zm00001eb316180,Zm00001eb033760,Zm00001eb036890
Zm00001eb214630,Zm00001eb032940,Zm00001eb195200,Zm00001eb084910,Zm00001eb043110,Zm00001eb001560,Zm00001eb003170,Zm00001eb129020
Zm00001eb228140,Zm00001eb066630,Zm00001eb195210,Zm00001eb336090,Zm00001eb067730,Zm00001eb022050,Zm00001eb023610,Zm00001eb289180
Zm00001eb316130,Zm00001eb070510,Zm00001eb204960,Zm00001eb160330,Zm00001eb068210,Zm00001eb058260,Zm00001eb046210,Zm00001eb160700
Zm00001eb326880,Zm00001eb073370,Zm00001eb225230,Zm00001eb189920,Zm00001eb207640,Zm00001eb102470,Zm00001eb152390,Zm00001eb403460
Zm00001eb361520,Zm00001eb105400,Zm00001eb251340,Zm00001eb244600,Zm00001eb251340,Zm00001eb138700,Zm00001eb335710,Zm00001eb070400
Zm00001eb362650,Zm00001eb112170,Zm00001eb291850,Zm00001eb374600,Zm00001eb281180,Zm00001eb194740,Zm00001eb002030,Zm00001eb202800
Zm00001eb402940,Zm00001eb167830,Zm00001eb383860,Zm00001eb405800,Zm00001eb330530,Zm00001eb207640,Zm00001eb016040,Zm00001eb308690
Zm00001eb403550,Zm00001eb256740,Zm00001eb383870,Zm00001eb405820,Zm00001eb129440,Zm00001eb251340,Zm00001eb040920,Zm00001eb374600
Zm00001eb058940,Zm00001eb290670,Zm00001eb061860,Zm00001eb403580,Zm00001eb242750,Zm00001eb291850,Zm00001eb046220,Zm00001eb394770
Zm00001eb058370,Zm00001eb402940,Zm00001eb072810,Zm00001eb344980,Zm00001eb332460,Zm00001eb330580,Zm00001eb070510,Zm00001eb119450
Zm00001eb107190,Zm00001eb403550,Zm00001eb093410,Zm00001eb040920,Zm00001eb331410,Zm00001eb390710,Zm00001eb290670,Zm00001eb048420
Zm00001eb110250,Zm00001eb428530,Zm00001eb107190,Zm00001eb070510,Zm00001eb392700,Zm00001eb395060,Zm00001eb316130,Zm00001eb228590
Zm00001eb117300,Zm00001eb362000,Zm00001eb212430,Zm00001eb073370,Zm00001eb011650,Zm00001eb016040,Zm00001eb291010,Zm00001eb167820
Zm00001eb408020,Zm00001eb157530,Zm00001eb369270,Zm00001eb101560,Zm00001eb070460,Zm00001eb046220,Zm00001eb186790,Zm00001eb316130
Zm00001eb429270,Zm00001eb296060,Zm00001eb429270,Zm00001eb149530,Zm00001eb244120,Zm00001eb066630,Zm00001eb211740,Zm00001eb244120
Zm00001eb006020,Zm00001eb042070,Zm00001eb062530,Zm00001eb153630,Zm00001eb043750,Zm00001eb153630,Zm00001eb211260,Zm00001eb072020
Zm00001eb008920,Zm00001eb319480,Zm00001eb116350,Zm00001eb167830,Zm00001eb110250,Zm00001eb290670,Zm00001eb225480,SORBI_3001G003600
Zm00001eb010500,Zm00001eb371630,Zm00001eb403120,Zm00001eb222050,Zm00001eb117300,Zm00001eb303060,Zm00001eb324200,SORBI_3008G073700
Zm00001eb072000,Zm00001eb280120,Zm00001eb208100,Zm00001eb228140,Zm00001eb150340,Zm00001eb384580,Zm00001eb295910,SORBI_3008G071300
Zm00001eb152650,Zm00001eb363730,Zm00001eb010370,Zm00001eb256740,Zm00001eb190570,Zm00001eb403550,Zm00001eb430440,SORBI_3004G276200
Zm00001eb058970,Zm00001eb355170,Zm00001eb062600,Zm00001eb290670,Zm00001eb227950,Zm00001eb428530,Zm00001eb023840,SORBI_3006G206800
Zm00001eb117770,Zm00001eb404540,Zm00001eb098630,Zm00001eb336650,Zm00001eb322620,Zm00001eb258310,Zm00001eb010640,SORBI_3004G083000
Zm00001eb214650,Zm00001eb044660,Zm00001eb198790,Zm00001eb362650,Zm00001eb328990,Zm00001eb287420,Zm00001eb326840,SORBI_3007G091100
Zm00001eb030420,Zm00001eb146720,Zm00001eb259960,Zm00001eb402940,Zm00001eb056390,Zm00001eb193710,Zm00001eb030890,SORBI_3003G427600
Zm00001eb035840,Zm00001eb292770,Zm00001eb227170,Zm00001eb403550,Zm00001eb280690,Zm00001eb020090,Zm00001eb378930,SORBI_3007G087400
Zm00001eb199600,Zm00001eb407680,Zm00001eb389680,Zm00001eb428530,Zm00001eb433630,Zm00001eb296590,Zm00001eb110690,LOC_Os04g04520
Zm00001eb317200,Zm00001eb070690,Zm00001eb258790,Zm00001eb068530,Zm00001eb149160,Zm00001eb398750,Zm00001eb324180,LOC_Os01g07870
Zm00001eb430440,Zm00001eb152650,Zm00001eb290220,Zm00001eb362000,Zm00001eb290140,Zm00001eb021510,Zm00001eb340330,LOC_Os08g03020
Zm00001eb029220,Zm00001eb222960,Zm00001eb368530,Zm00001eb015710,Zm00001eb149170,Zm00001eb122860,Zm00001eb406820,LOC_Os01g01410
Zm00001eb148270,Zm00001eb430440,Zm00001eb002470,Zm00001eb215310,Zm00001eb152320,Zm00001eb222960,Zm00001eb173420,LOC_Os05g04850
Zm00001eb408530,Zm00001eb066570,Zm00001eb402510,Zm00001eb403460,Zm00001eb364390,Zm00001eb430440,Zm00001eb295170,LOC_Os01g02830
Zm00001eb214670,Zm00001eb433500,Zm00001eb296590,Zm00001eb420920,Zm00001eb219170,Zm00001eb138710,Zm00001eb253200,LOC_Os08g05250
Zm00001eb062930,Zm00001eb067720,Zm00001eb328530,Zm00001eb313460,Zm00001eb355170,Zm00001eb010640,Zm00001eb352220,LOC_Os10g04640
Zm00001eb150550,Zm00001eb328460,Zm00001eb178270,Zm00001eb167740,Zm00001eb404540,Zm00001eb220030,Zm00001eb191590,LOC_Os08g02900
Zm00001eb007310,Zm00001eb397150,Zm00001eb195100,Zm00001eb386030,Zm00001eb141920,Zm00001eb317040,Zm00001eb292850,LOC_Os05g05020
Zm00001eb045340,Zm00001eb044590,Zm00001eb254960,Zm00001eb044960,Zm00001eb103570,Zm00001eb053710,Zm00001eb151280,LOC_Os05g01690
Zm00001eb286910,Zm00001eb036270,Zm00001eb214330,Zm00001eb221040,Zm00001eb241950,Zm00001eb062920,Zm00001eb160330,LOC_Os12g01510
Zm00001eb367160,Zm00001eb211960,Zm00001eb015890,Zm00001eb292740,Zm00001eb402510,Zm00001eb311680,Zm00001eb191920,LOC_Os09g04600
Zm00001eb406670,Zm00001eb289460,Zm00001eb330760,Zm00001eb058860,Zm00001eb338800,Zm00001eb012270,Zm00001eb258330,LOC_Os05g01530
Zm00001eb363580,Zm00001eb009160,Zm00001eb338910,Zm00001eb401380,Zm00001eb152350,Zm00001eb339970,Zm00001eb212470,LOC_Os03g01660
Zm00001eb062920,Zm00001eb251710,Zm00001eb368990,Zm00001eb221030,Zm00001eb260690,Zm00001eb293530,Zm00001eb303080,LOC_Os07g05810
Zm00001eb362210,Zm00001eb053710,Zm00001eb137310,Zm00001eb066570,Zm00001eb062910,Zm00001eb071890,Zm00001eb029710,LOC_Os07g01340
Zm00001eb233720,Zm00001eb098070,Zm00001eb061610,Zm00001eb060660,Zm00001eb074600,Zm00001eb251680,Zm00001eb367490,LOC_Os01g01390
Zm00001eb328470,Zm00001eb170720,Zm00001eb183830,Zm00001eb220030,Zm00001eb404860,Zm00001eb254510,Zm00001eb323440,HORVU.MOREX.r3.2HG0198640
Zm00001eb208540,Zm00001eb193100,Zm00001eb164580,Zm00001eb291460,Zm00001eb062460,Zm00001eb331610,Zm00001eb361680,HORVU.MOREX.r3.4HG0411760
Zm00001eb290330,Zm00001eb309770,Zm00001eb321890,Zm00001eb326840,Zm00001eb322470,Zm00001eb048160,Zm00001eb427180,HORVU.MOREX.r3.6HG0623790
Zm00001eb151040,Zm00001eb333590,Zm00001eb058760,Zm00001eb431510,Zm00001eb273950,Zm00001eb095360,Zm00001eb257510,HORVU.MOREX.r3.1HG0041600
Zm00001eb068600,Zm00001eb098840,Zm00001eb117900,Zm00001eb431520,Zm00001eb024870,Zm00001eb385300,Zm00001eb370990,HORVU.MOREX.r3.1HG0054280
Zm00001eb339100,Zm00001eb230090,Zm00001eb051830,Zm00001eb056860,Zm00001eb211960,Zm00001eb144930,Zm00001eb312420,HORVU.MOREX.r3.5HG0446790
Zm00001eb361460,Zm00001eb152900,Zm00001eb071570,Zm00001eb258660,Zm00001eb067520,Zm00001eb216870,Zm00001eb123200,HORVU.MOREX.r3.6HG0546360
Zm00001eb140440,Zm00001eb125920,Zm00001eb319220,Zm00001eb314120,Zm00001eb288430,Zm00001eb294800,Zm00001eb431490,HORVU.MOREX.r3.6HG0615810
Zm00001eb375510,Zm00001eb373960,Zm00001eb055730,Zm00001eb147990,Zm00001eb396090,Zm00001eb294810,Zm00001eb076810,HORVU.MOREX.r3.6HG0618250
Zm00001eb288430,Zm00001eb397170,Zm00001eb128290,Zm00001eb148000,Zm00001eb003230,Zm00001eb046570,Zm00001eb257750,HORVU.MOREX.r3.3HG0227830
Zm00001eb406440,Zm00001eb300120,Zm00001eb291810,Zm00001eb290330,Zm00001eb009080,Zm00001eb234850,Zm00001eb329580,HORVU.MOREX.r3.2HG0206000
Zm00001eb402750,Zm00001eb242940,Zm00001eb008450,Zm00001eb152900,Zm00001eb045340,Zm00001eb257300,Zm00001eb336090,HORVU.MOREX.r3.7HG0750280
Zm00001eb015120,Zm00001eb242950,Zm00001eb400380,Zm00001eb213010,Zm00001eb406670,Zm00001eb257310,Zm00001eb392370,HORVU.MOREX.r3.5HG0425520
Zm00001eb111710,Zm00001eb242990,Zm00001eb109730,Zm00001eb363310,Zm00001eb240940,Zm00001eb012780,Zm00001eb123230,HORVU.MOREX.r3.4HG0393620
Zm00001eb212670,Zm00001eb348810,Zm00001eb375030,Zm00001eb143360,Zm00001eb310990,Zm00001eb397400,Zm00001eb221090,HORVU.MOREX.r3.1HG0040810
Zm00001eb080670,Zm00001eb291180,Zm00001eb289320,Zm00001eb167910,Zm00001eb192000,Zm00001eb189380,Zm00001eb165430,HORVU.MOREX.r3.5HG0425710
Zm00001eb245070,Zm00001eb080670,Zm00001eb361680,Zm00001eb030870,Zm00001eb162210,Zm00001eb376640,Zm00001eb213310,HORVU.MOREX.r3.6HG0593390
Zm00001eb145660,Zm00001eb118120,Zm00001eb366540,Zm00001eb124690,Zm00001eb356840,Zm00001eb214320,Zm00001eb249430,HORVU.MOREX.r3.5HG0518960
Zm00001eb150960,Zm00001eb298680,Zm00001eb057500,Zm00001eb121300,Zm00001eb119580,Zm00001eb250950,Zm00001eb004030,HORVU.MOREX.r3.2HG0186630
Zm00001eb323110,Zm00001eb050630,Zm00001eb433180,Zm00001eb144930,Zm00001eb150140,Zm00001eb294600,Zm00001eb103720,HORVU.MOREX.r3.3HG0273790
Zm00001eb205250,Zm00001eb176880,Zm00001eb236820,Zm00001eb193190,Zm00001eb230090,Zm00001eb302150,Zm00001eb075530,HORVU.MOREX.r3.7HG0684610
Zm00001eb240190,Zm00001eb061450,Zm00001eb281880,Zm00001eb070820,Zm00001eb051830,Zm00001eb278120,Zm00001eb374100,HORVU.MOREX.r3.5HG0536910
Zm00001eb051450,Zm00001eb154560,Zm00001eb302300,Zm00001eb430880,Zm00001eb195880,Zm00001eb321180,Zm00001eb034990,HORVU.MOREX.r3.5HG0524470
Zm00001eb147810,Zm00001eb366540,Zm00001eb375010,Zm00001eb048270,Zm00001eb255130,Zm00001eb161280,Zm00001eb072870,HORVU.MOREX.r3.1HG0066860
Zm00001eb104630,Zm00001eb214320,Zm00001eb421140,Zm00001eb311440,Zm00001eb065120,Zm00001eb041140,Zm00001eb250940,HORVU.MOREX.r3.3HG0298370
Zm00001eb194450,Zm00001eb187440,Zm00001eb040890,Zm00001eb397050,Zm00001eb275510,Zm00001eb195230,Zm00001eb301430,HORVU.MOREX.r3.1HG0043600
Zm00001eb210600,Zm00001eb076810,Zm00001eb389520,Zm00001eb075270,Zm00001eb124920,Zm00001eb330600,Zm00001eb012470,HORVU.MOREX.r3.5HG0513170
Zm00001eb288410,Zm00001eb113170,Zm00001eb292390,Zm00001eb248880,Zm00001eb335470,Zm00001eb038710,Zm00001eb368000,HORVU.MOREX.r3.2HG0110850
Zm00001eb293110,Zm00001eb329580,Zm00001eb395780,Zm00001eb404050,Zm00001eb028680,Zm00001eb206350,Zm00001eb219040,HORVU.MOREX.r3.5HG0511490
Zm00001eb057860,Zm00001eb044880,Zm00001eb108600,Zm00001eb045780,Zm00001eb042260,Zm00001eb431930,Zm00001eb283020,HORVU.MOREX.r3.6HG0543250
Zm00001eb068710,Zm00001eb123230,Zm00001eb176900,Zm00001eb289320,Zm00001eb109730,Zm00001eb311450,Zm00001eb255140,HORVU.MOREX.r3.2HG0205400
Zm00001eb060640,Zm00001eb221090,Zm00001eb107940,Zm00001eb061060,Zm00001eb180950,Zm00001eb071040,Zm00001eb004630,HORVU.MOREX.r3.5HG0536370
Zm00001eb213000,Zm00001eb018860,Zm00001eb325810,Zm00001eb070480,Zm00001eb006350,Zm00001eb220800,Zm00001eb093490,AT2G30310
Zm00001eb134010,Zm00001eb212250,Zm00001eb429210,Zm00001eb142190,Zm00001eb147590,Zm00001eb247190,Zm00001eb107700,AT5G63170
Zm00001eb074210,Zm00001eb407780,Zm00001eb071040,Zm00001eb170150,Zm00001eb364400,Zm00001eb304610,Zm00001eb163560,AT2G35780
Zm00001eb123230,Zm00001eb328560,Zm00001eb374100,Zm00001eb357800,Zm00001eb394060,Zm00001eb130340,Zm00001eb253160,AT3G07990
Zm00001eb222510,Zm00001eb394480,Zm00001eb394400,Zm00001eb003000,Zm00001eb170150,Zm00001eb145690,Zm00001eb193600,AT1G34750
Zm00001eb370590,Zm00001eb100630,Zm00001eb061480,Zm00001eb003010,Zm00001eb397490,Zm00001eb187260,Zm00001eb134870,AT4G28400
Zm00001eb209660,Zm00001eb110020,Zm00001eb061490,Zm00001eb003020,Zm00001eb068710,Zm00001eb000480,Zm00001eb191650,AT4G31750
Zm00001eb291450,Zm00001eb163480,Zm00001eb072190,Zm00001eb214320,Zm00001eb048820,Zm00001eb374580,Zm00001eb258520,AT1G12110
Zm00001eb269820,Zm00001eb196030,Zm00001eb430040,Zm00001eb250950,Zm00001eb421880,Zm00001eb376650,Zm00001eb324170,AT1G32450
Zm00001eb017290,Zm00001eb197050,Zm00001eb431910,Zm00001eb151650,Zm00001eb250590,Zm00001eb072190,Zm00001eb303110,AT1G59740
Zm00001eb054190,Zm00001eb292760,Zm00001eb212400,Zm00001eb421880,Zm00001eb144910,Zm00001eb290730,Zm00001eb304560,AT3G45680
Zm00001eb059310,Zm00001eb315040,Zm00001eb192230,Zm00001eb007020,Zm00001eb291450,Zm00001eb075400,Zm00001eb161660,AT5G62680
Zm00001eb394910,Zm00001eb017330,Zm00001eb045860,Zm00001eb055950,Zm00001eb017290,Zm00001eb248740,Zm00001eb059850,AT4G11290
Zm00001eb425050,Zm00001eb320430,Zm00001eb428660,Zm00001eb370100,Zm00001eb110730,Zm00001eb427520,Zm00001eb009430,AT4G30170
Zm00001eb403780,Zm00001eb432420,Zm00001eb232260,Zm00001eb250590,Zm00001eb001940,Zm00001eb227830,Zm00001eb275250,AT4G37520
Zm00001eb071040,Zm00001eb403780,Zm00001eb249130,Zm00001eb209660,Zm00001eb016180,Zm00001eb194110,Zm00001eb388960,AT5G05340
Zm00001eb108760,Zm00001eb088800,Zm00001eb055460,Zm00001eb256120,Zm00001eb292760,Zm00001eb226770,Zm00001eb159580,AT1G68840
Zm00001eb368390,Zm00001eb252200,Zm00001eb057490,Zm00001eb291450,Zm00001eb312910,Zm00001eb415940,Zm00001eb430930,AT5G58460
Zm00001eb137900,Zm00001eb074350,Zm00001eb214800,Zm00001eb129820,Zm00001eb403620,Zm00001eb191720,Zm00001eb294860,AT5G60700
Zm00001eb199590,Zm00001eb429430,Zm00001eb190340,Zm00001eb292760,Zm00001eb406290,Zm00001eb254540,Zm00001eb080050,AT1G06400
Zm00001eb145690,Zm00001eb214940,Zm00001eb251540,Zm00001eb406290,Zm00001eb036890,Zm00001eb107970,Zm00001eb012340,AT2G43130
Zm00001eb016920,Zm00001eb351340,Zm00001eb251550,Zm00001eb315040,Zm00001eb004420,Zm00001eb305700,Zm00001eb402260,AT5G59150
Zm00001eb034990,Zm00001eb368000,Zm00001eb430150,Zm00001eb093590,Zm00001eb403260,Zm00001eb402560,Zm00001eb072900,AT5G57110
Zm00001eb385210,Zm00001eb001710,Zm00001eb331000,Zm00001eb272020,Zm00001eb022740,Zm00001eb403660,Zm00001eb155450,AT5G43810
Zm00001eb068160,Zm00001eb121540,Zm00001eb373100,Zm00001eb117070,Zm00001eb146740,Zm00001eb371910,Zm00001eb242750,AT5G62310
Zm00001eb070350,Zm00001eb369460,Zm00001eb130610,Zm00001eb120390,Zm00001eb154050,Zm00001eb389550,Zm00001eb207430,AT5G01670
Zm00001eb122740,Zm00001eb369470,Zm00001eb300760,Zm00001eb327250,Zm00001eb403780,Zm00001eb155450,Zm00001eb265410,AT5G62420
Zm00001eb362260,Zm00001eb212400,Zm00001eb348770,Zm00001eb207090,Zm00001eb057180,Zm00001eb135190,Zm00001eb117240,AT5G51570
Zm00001eb206840,Zm00001eb061500,Zm00001eb147650,Zm00001eb302370,Zm00001eb066520,Zm00001eb205380,Zm00001eb433490,AT5G47730
Zm00001eb430150,Zm00001eb189200,Zm00001eb347850,Zm00001eb222250,Zm00001eb012470,Zm00001eb215350,Zm00001eb429450,AT3G03650
Zm00001eb199160,Zm00001eb247710,Zm00001eb251350,Zm00001eb374580,Zm00001eb368000,Zm00001eb072900,Zm00001eb030190,AT1G05670
Zm00001eb020730,Zm00001eb045860,Zm00001eb103410,Zm00001eb207060,Zm00001eb063410,Zm00001eb353580,Zm00001eb058370,AT5G50800
Zm00001eb183690,Zm00001eb073630,Zm00001eb275670,Zm00001eb397940,Zm00001eb283020,Zm00001eb242750,Zm00001eb214230,AT4G30360
Zm00001eb244600,Zm00001eb428660,Zm00001eb305600,Zm00001eb396660,Zm00001eb160380,Zm00001eb332460,Zm00001eb363490,AT5G57940
Zm00001eb261890,Zm00001eb254540,Zm00001eb041050,Zm00001eb219040,Zm00001eb255600,Zm00001eb081430,Zm00001eb172420,AT3G04780
Zm00001eb002610,Zm00001eb015960,Zm00001eb253390,Zm00001eb226150,Zm00001eb071010,Zm00001eb244550,Zm00001eb004710,AT3G08710
Zm00001eb402560,Zm00001eb330740,Zm00001eb414790,Zm00001eb216160,Zm00001eb054090,Zm00001eb331410,Zm00001eb366700,AT4G36350
Zm00001eb145670,Zm00001eb057580,Zm00001eb117190,Zm00001eb192230,Zm00001eb056220,Zm00001eb070460,Zm00001eb072810,AT4G38930
Zm00001eb384620,Zm00001eb039590,Zm00001eb026550,Zm00001eb430620,Zm00001eb193140,Zm00001eb135940,Zm00001eb213240,AT4G18140
Zm00001eb059460,Zm00001eb249020,Zm00001eb066630,Zm00001eb253540,Zm00001eb260190,Zm00001eb207430,Zm00001eb213280,AT1G71000
Zm00001eb330700,Zm00001eb426920,Zm00001eb070510,Zm00001eb093490,Zm00001eb281030,Zm00001eb219160,Zm00001eb408020,AT3G56930
Zm00001eb277000,Zm00001eb426930,Zm00001eb077980,Zm00001eb281960,Zm00001eb043650,Zm00001eb007000,Zm00001eb107190,AT4G30160
Zm00001eb261190,Zm00001eb426940,Zm00001eb134240,Zm00001eb370850,Zm00001eb302320,Zm00001eb194220,Zm00001eb110250,AT2G35990
Zm00001eb339590,Zm00001eb016160,Zm00001eb167830,Zm00001eb353520,Zm00001eb190340,Zm00001eb255160,Zm00001eb212430,AT4G35190
Zm00001eb122300,Zm00001eb303110,Zm00001eb222050,Zm00001eb096900,Zm00001eb149810,Zm00001eb015570,Zm00001eb328990,AT1G76010
Zm00001eb347020,Zm00001eb147650,Zm00001eb256740,Zm00001eb356710,Zm00001eb288360,Zm00001eb229400,Zm00001eb368360,AT1G04120
Zm00001eb003170,Zm00001eb066640,Zm00001eb362650,Zm00001eb006360,Zm00001eb427470,Zm00001eb041730,Zm00001eb394250,AT4G35010
Zm00001eb126980,Zm00001eb057440,Zm00001eb384580,Zm00001eb103330,Zm00001eb050610,Zm00001eb408460,Zm00001eb411450,AT4G36360
Zm00001eb159580,Zm00001eb091470,Zm00001eb402940,Zm00001eb226450,Zm00001eb056580,Zm00001eb242930,Zm00001eb076640,AT1G06890
Zm00001eb182940,Zm00001eb256330,Zm00001eb428530,Zm00001eb154860,Zm00001eb244600,Zm00001eb406740,Zm00001eb302700,AT1G77610
Zm00001eb336730,Zm00001eb226450,Zm00001eb242750,Zm00001eb158690,Zm00001eb261890,Zm00001eb425430,Zm00001eb015710,AT3G08570
Zm00001eb290990,Zm00001eb312000,Zm00001eb318020,Zm00001eb254390,Zm00001eb325790,Zm00001eb190430,Zm00001eb042070,AT1G58360
Zm00001eb369000,Zm00001eb254390,Zm00001eb068530,Zm00001eb131150,Zm00001eb374600,Zm00001eb338750,Zm00001eb280690,AT4G11220
Zm00001eb001830,Zm00001eb067690,Zm00001eb375580,Zm00001eb116350,Zm00001eb400640,Zm00001eb403440,Zm00001eb319480,AT4G23630
Zm00001eb193090,Zm00001eb134850,Zm00001eb108530,Zm00001eb053220,Zm00001eb189940,Zm00001eb076800,Zm00001eb319710,AT1G76360
Zm00001eb358400,Zm00001eb214240,Zm00001eb326830,Zm00001eb251130,Zm00001eb430810,Zm00001eb119990,SORBI_3001G080200,AT2G02800
Zm00001eb048420,Zm00001eb432530,Zm00001eb302250,Zm00001eb289290,Zm00001eb260000,Zm00001eb271090,SORBI_3001G293000,AT1G08590
Zm00001eb155450,Zm00001eb122300,Zm00001eb397500,Zm00001eb371840,Zm00001eb403580,Zm00001eb433910,SORBI_3004G185000,AT1G72300
Zm00001eb301380,Zm00001eb282950,Zm00001eb111360,Zm00001eb058360,Zm00001eb289360,Zm00001eb157530,SORBI_3003G368000,AT5G62230
Zm00001eb332460,Zm00001eb042050,Zm00001eb394940,Zm00001eb177190,Zm00001eb300760,Zm00001eb359720,SORBI_3001G003600,AT3G27170
Zm00001eb019240,Zm00001eb054260,Zm00001eb154790,Zm00001eb275670,Zm00001eb006360,Zm00001eb159580,SORBI_3002G280500,AT1G30650
Zm00001eb315010,Zm00001eb182940,Zm00001eb012800,Zm00001eb285310,Zm00001eb251350,Zm00001eb032760,SORBI_3002G329900,AT4G01250
Zm00001eb244120,Zm00001eb414790,Zm00001eb164720,Zm00001eb075380,Zm00001eb000660,Zm00001eb046750,SORBI_3002G330000,
Zm00001eb423070,Zm00001eb333640,Zm00001eb116400,Zm00001eb186130,Zm00001eb116350,Zm00001eb245560,SORBI_3004G009900,
