Phenotype,Orthogroup,Shared_species_count,Represented_species,Maize_gene,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
PC2,624469at2759,3,Maize;Rice;Barley,Zm00001eb122300,,,,,,,,LOC_Os01g01790,HORVU.MOREX.r3.3HG0239530,
PC2,4819616at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb123230,,,,,,,SORBI_3002G125000;SORBI_3002G125200;SORBI_3002G125300,,,AT2G16850;AT2G37180;AT5G47450
PC2,27182at4447,3,Maize;Sorghum;Barley,Zm00001eb125920,Glycosyltransferase family 61 protein,OS01G0119000 PROTEIN (PTHR20961:SF13),glycosyltransferase(PC00111),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);pentosyltransferase activity(GO:0016763),,Golgi membrane(GO:0000139),SORBI_3003G095200,,HORVU.MOREX.r3.6HG0553280;HORVU.MOREX.r3.6HG0553290,
PC2,624064at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb134850,,,,,,,SORBI_3006G248500,,,AT2G24530
PC2,131670at33090,3,Maize;Rice;Arabidopsis,Zm00001eb146720,,,,,,,,LOC_Os07g06670,,AT5G18680
PC2,783636at2759,3,Maize;Barley;Arabidopsis,Zm00001eb146750,fructose-bisphosphatase,"FRUCTOSE-1,6-BISPHOSPHATASE, CYTOSOLIC (PTHR11556:SF41)",carbohydrate phosphatase(PC00066),"hydrolase activity(GO:0016787);phosphatase activity(GO:0016791);fructose 1,6-bisphosphate 1-phosphatase activity(GO:0042132);phosphoric ester hydrolase activity(GO:0042578);metal ion binding(GO:0046872)","carbohydrate metabolic process(GO:0005975);sucrose metabolic process(GO:0005985);gluconeogenesis(GO:0006094);fructose 1,6-bisphosphate metabolic process(GO:0030388)",cytoplasm(GO:0005737);cytosol(GO:0005829),,,HORVU.MOREX.r3.7HG0738760,AT1G43670
PC2,604603at2759,3,Maize;Sorghum;Barley,Zm00001eb147650,Acetyltransferase,TRICHOTHECENE 3-O-ACETYLTRANSFERASE (PTHR31896:SF64),,"transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",,cytoplasm(GO:0005737),SORBI_3007G165800,,HORVU.MOREX.r3.7HG0748890,
PC2,1547149at2759,3,Maize;Barley;Arabidopsis,Zm00001eb152650,DNA polymerase eta,DNA POLYMERASE ETA (PTHR45873:SF1),DNA metabolism protein(PC00009),damaged DNA binding(GO:0003684);DNA-directed DNA polymerase activity(GO:0003887);transferase activity(GO:0016740);metal ion binding(GO:0046872),DNA repair(GO:0006281);DNA damage tolerance(GO:0006301);DNA damage response(GO:0006974);response to radiation(GO:0009314);error-prone translesion synthesis(GO:0042276);DNA biosynthetic process(GO:0071897),nucleus(GO:0005634);replication fork(GO:0005657);site of double-strand break(GO:0035861),,,HORVU.MOREX.r3.3HG0289950,AT5G44740
PC2,269485at33090,3,Maize;Barley;Arabidopsis,Zm00001eb152900,"1,3-beta-glucan synthase",CALLOSE SYNTHASE 12 (PTHR12741:SF7),,"1,3-beta-D-glucan synthase activity(GO:0003843);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);glucosyltransferase activity(GO:0046527)",(1->3)-beta-D-glucan biosynthetic process(GO:0006075);regulation of cell shape(GO:0008360),"1,3-beta-D-glucan synthase complex(GO:0000148);plasma membrane(GO:0005886);membrane(GO:0016020)",,,HORVU.MOREX.r3.3HG0276050,AT2G31960;AT2G36850;AT5G13000
PC2,447116at2759,3,Maize;Barley;Arabidopsis,Zm00001eb154560,Uncharacterized protein,OS01G0722300 PROTEIN (PTHR48000:SF66),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634),,,HORVU.MOREX.r3.4HG0405580,AT4G09460
PC2,4925430at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb163480,,,,,,,SORBI_3001G379600;SORBI_3002G424500;SORBI_3003G139500,,,AT1G30270;AT4G24400;AT5G35410;AT5G57630
PC2,227017at2759,3,Maize;Barley;Arabidopsis,Zm00001eb170720,,,,,,,,,HORVU.MOREX.r3.3HG0290220,AT2G05760;AT2G34190;AT5G49990
PC2,407166at2759,3,Maize;Barley;Arabidopsis,Zm00001eb176880,AUGMIN subunit 8,AUGMIN SUBUNIT 8 (PTHR31807:SF35),,microtubule binding(GO:0008017),spindle assembly(GO:0051225),cytoplasm(GO:0005737);nuclear microtubule(GO:0005880),,,HORVU.MOREX.r3.5HG0482660,AT4G30710
PC2,630255at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb182940,,,,,,,SORBI_3003G051100,,,AT1G34210;AT4G33430
PC2,477561at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb187440,Putative regulator of chromosome condensation (RCC1) family protein,REGULATOR OF CHROMOSOME CONDENSATION (RCC1) FAMILY PROTEIN-RELATED (PTHR22870:SF311),guanyl-nucleotide exchange factor(PC00113),zinc ion binding(GO:0008270);metal ion binding(GO:0046872),,,SORBI_3006G191900;SORBI_3009G217400,,,AT5G19420
PC2,503753at2759,3,Maize;Rice;Arabidopsis,Zm00001eb189200,RIN4 pathogenic type III effector avirulence factor Avr cleavage site domain-containing protein,,,,,,,LOC_Os09g02530,,AT2G04410
PC2,787554at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb190570,,,,,,,SORBI_3001G063300;SORBI_3002G040800;SORBI_3003G225200,,,AT2G41140;AT4G09570;AT4G21940
PC2,638084at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb193090,Pectin lyase-like superfamily protein,PECTIN LYASE-LIKE SUPERFAMILY PROTEIN (PTHR31339:SF44),lyase(PC00144),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);polygalacturonase activity(GO:0004650);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);lyase activity(GO:0016829)",carbohydrate metabolic process(GO:0005975),,SORBI_3004G319600,,,AT3G62110
PC2,238199at3193,3,Maize;Barley;Arabidopsis,Zm00001eb193100,Putative subtilase family protein,OS02G0779900 PROTEIN (PTHR10795:SF406),serine protease(PC00203),serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787),proteolysis(GO:0006508),extracellular region(GO:0005576),,,HORVU.MOREX.r3.6HG0620440;HORVU.MOREX.r3.6HG0620630,AT2G05920
PC2,4925430at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb196030,,,,,,,SORBI_3001G379600;SORBI_3002G424500;SORBI_3003G139500,,,AT1G30270;AT4G24400;AT5G35410;AT5G57630
PC2,4925430at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb197050,,,,,,,SORBI_3001G379600;SORBI_3002G424500;SORBI_3003G139500,,,AT1G30270;AT4G24400;AT5G35410;AT5G57630
PC2,76462at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb208880,DnaJ subfamily B member 4,DNAJ HOMOLOG SUBFAMILY B MEMBER 5 (PTHR24078:SF553),chaperone(PC00072),unfolded protein binding(GO:0051082);protein-folding chaperone binding(GO:0051087),protein folding(GO:0006457),endoplasmic reticulum(GO:0005783);cytosol(GO:0005829),SORBI_3009G231400,,,AT1G59725
PC2,2042608at2759,3,Maize;Barley;Arabidopsis,Zm00001eb211960,NAD-dependent epimerase_dehydratase domain-containing protein,NAD-DEPENDENT EPIMERASE_DEHYDRATASE DOMAIN-CONTAINING PROTEIN (PTHR10366:SF659),dehydratase(PC00091),"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)",,,,,HORVU.MOREX.r3.3HG0222580;HORVU.MOREX.r3.4HG0412770;HORVU.MOREX.r3.7HG0651280,AT4G27250;AT4G30470
PC2,4836117at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb212250,,,,,,,SORBI_3001G041800,,,AT4G18480
PC2,5016666at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb212400,Protein phosphatase,PROTEIN PHOSPHATASE (PTHR12320:SF79),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),,,SORBI_3001G043800,,,AT5G66720
PC2,787554at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb212430,,,,,,,SORBI_3001G063300;SORBI_3002G040800;SORBI_3003G225200,,,AT2G41140;AT4G09570;AT4G21940
PC2,787554at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb213280,,,,,,,SORBI_3001G063300;SORBI_3002G040800;SORBI_3003G225200,,,AT2G41140;AT4G09570;AT4G21940
PC2,679576at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb214230,,,,,,,SORBI_3001G079500,,,AT3G19580
PC2,624064at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb214240,,,,,,,SORBI_3006G248500,,,AT2G24530
PC2,4760724at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb214320,protein-serine_threonine phosphatase (Fragment),PROTEIN PHOSPHATASE 2C 34-RELATED (PTHR47992:SF58),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);cation binding(GO:0043169);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,SORBI_3006G192200,,,AT4G33920
PC2,5013265at2759,3,Maize;Barley;Arabidopsis,Zm00001eb214940,,,,,,,,,HORVU.MOREX.r3.3HG0290320,AT3G09440;AT3G12580
PC2,794814at2759,3,Maize;Rice;Barley,Zm00001eb217750,,,,,,,,LOC_Os03g01460,HORVU.MOREX.r3.2HG0217920;HORVU.MOREX.r3.3HG0228240;HORVU.MOREX.r3.3HG0228250,
PC2,632146at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb218220,Putative 3-glucanase,"GLUCAN ENDO-1,3-BETA-GLUCOSIDASE 8-RELATED (PTHR32227:SF95)",glucosidase(PC00108),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);glucan endo-1,3-beta-D-glucosidase activity(GO:0042973)",carbohydrate metabolic process(GO:0005975);defense response(GO:0006952),plasma membrane(GO:0005886);side of membrane(GO:0098552),SORBI_3004G036800,,,AT5G64790
PC2,681845at2759,3,Maize;Sorghum;Barley,Zm00001eb220790,Membrane steroid-binding protein 1,MEMBRANE STEROID-BINDING PROTEIN 2 (PTHR10281:SF113),transmembrane signal receptor(PC00197),steroid binding(GO:0005496);lipid binding(GO:0008289),,endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020),SORBI_3001G202400,,HORVU.MOREX.r3.1HG0048030,
PC2,4819616at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb221090,,,,,,,SORBI_3002G125000;SORBI_3002G125200;SORBI_3002G125300,,,AT2G16850;AT2G37180;AT5G47450
PC2,159147at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb222960,,,,,,,SORBI_3006G206800,,,AT3G63380
PC2,612680at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb226450,Xyloglucan endotransglucosylase_hydrolase,XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE (PTHR31062:SF149),hydrolase(PC00121),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);transferase activity(GO:0016740);xyloglucan:xyloglucosyl transferase activity(GO:0016762);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",carbohydrate metabolic process(GO:0005975);plant-type secondary cell wall biogenesis(GO:0009834);xyloglucan metabolic process(GO:0010411);cell wall biogenesis(GO:0042546);glucan metabolic process(GO:0044042);cell wall organization(GO:0071555),plant-type cell wall(GO:0009505);apoplast(GO:0048046),SORBI_3010G246700,,,AT1G11545;AT2G01850;AT2G36870;AT4G14130
PC2,2690913at2759,3,Maize;Barley;Arabidopsis,Zm00001eb230090,,,,,,,,,HORVU.MOREX.r3.6HG0618100,AT5G19160
PC2,29694at4447,3,Maize;Sorghum;Rice,Zm00001eb242940,,,,,,,SORBI_3004G147700,LOC_Os02g05370,,
PC2,29694at4447,3,Maize;Sorghum;Rice,Zm00001eb242950,,,,,,,SORBI_3004G147700,LOC_Os02g05370,,
PC2,29694at4447,3,Maize;Sorghum;Rice,Zm00001eb242990,,,,,,,SORBI_3004G147700,LOC_Os02g05370,,
PC2,662733at2759,3,Maize;Sorghum;Barley,Zm00001eb247540,Wall-associated receptor kinase-like 8,WALL-ASSOCIATED RECEPTOR KINASE-LIKE 8 (PTHR27005:SF6),transmembrane signal receptor(PC00197),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium ion binding(GO:0005509);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);polysaccharide binding(GO:0030247),cell surface receptor signaling pathway(GO:0007166),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3010G055000;SORBI_3010G055100,,HORVU.MOREX.r3.3HG0219240;HORVU.MOREX.r3.3HG0219270,
PC2,516269at2759,3,Maize;Rice;Arabidopsis,Zm00001eb247710,Nucleotide_sugar transporter family protein,NUCLEOTIDE_SUGAR TRANSPORTER FAMILY PROTEIN (PTHR11132:SF432),secondary carrier transporter(PC00258),UDP-xylose transmembrane transporter activity(GO:0005464);antiporter activity(GO:0015297),UDP-xylose transmembrane transport(GO:0015790);transmembrane transport(GO:0055085),Golgi apparatus(GO:0005794);membrane(GO:0016020),,LOC_Os07g05810,,AT1G06890;AT1G77610;AT5G42420
PC2,645053at2759,3,Maize;Rice;Arabidopsis,Zm00001eb248610,Ascorbate-specific transmembrane electron transporter 2,TRANSMEMBRANE ASCORBATE FERRIREDUCTASE 1 (PTHR10106:SF22),reductase(PC00198),oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872),,membrane(GO:0016020),,LOC_Os08g03840,,AT4G25570;AT5G38630
PC2,590106at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb249020,Iron-phytosiderophore transporter yellow stripe 1,IRON-PHYTOSIDEROPHORE TRANSPORTER YSL15 (PTHR31645:SF17),transporter(PC00227),oligopeptide transmembrane transporter activity(GO:0035673),response to iron ion(GO:0010039);oligopeptide transmembrane transport(GO:0035672);seed development(GO:0048316),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3004G299700,,,AT3G27020
PC2,794814at2759,3,Maize;Rice;Barley,Zm00001eb249220,,,,,,,,LOC_Os03g01460,HORVU.MOREX.r3.2HG0217920;HORVU.MOREX.r3.3HG0228240;HORVU.MOREX.r3.3HG0228250,
PC2,225436at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb251710,BRX domain-containing protein,PROTEIN BREVIS RADIX-LIKE 1 (PTHR46058:SF26),,,,nucleus(GO:0005634),SORBI_3004G270100,,,AT3G14000
PC2,5000668at2759,3,Maize;Barley;Arabidopsis,Zm00001eb252200,Putidaredoxin reductase homolog1,"MONODEHYDROASCORBATE REDUCTASE 1, PEROXISOMAL (PTHR43557:SF19)",oxidoreductase(PC00176),oxidoreductase activity(GO:0016491);monodehydroascorbate reductase (NADH) activity(GO:0016656),,,,,HORVU.MOREX.r3.4HG0332540,AT3G52880
PC2,614903at2759,3,Maize;Barley;Arabidopsis,Zm00001eb254390,Auxin efflux carrier component,AUXIN EFFLUX CARRIER COMPONENT 1A (PTHR31752:SF48),secondary carrier transporter(PC00258),auxin efflux transmembrane transporter activity(GO:0010329),auxin-activated signaling pathway(GO:0009734);auxin polar transport(GO:0009926);auxin export across the plasma membrane(GO:0010315);transmembrane transport(GO:0055085),endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);membrane(GO:0016020),,,HORVU.MOREX.r3.7HG0666880,AT1G23080;AT1G73590
PC2,534225at2759,3,Maize;Barley;Arabidopsis,Zm00001eb254540,Aquaporin NIP2-1,AQUAPORIN NIP2-1 (PTHR45724:SF16),,channel activity(GO:0015267),urea transport(GO:0015840);transmembrane transport(GO:0055085),membrane(GO:0016020),,,HORVU.MOREX.r3.7HG0751150,AT4G10380
PC2,672418at2759,3,Maize;Sorghum;Barley,Zm00001eb255520,Mitochondrial transcription termination factor family protein,MITOCHONDRIAL TRANSCRIPTION TERMINATION FACTOR FAMILY PROTEIN (PTHR13068:SF144),,nucleic acid binding(GO:0003676),DNA-templated transcription termination(GO:0006353);chloroplast organization(GO:0009658),chloroplast(GO:0009507),SORBI_3002G179800,,HORVU.MOREX.r3.7HG0665680,
PC2,678337at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb255970,BZIP domain-containing protein,BZIP TRANSCRIPTION FACTOR 23 (PTHR22952:SF103),basic leucine zipper transcription factor(PC00056),,,,SORBI_3010G081800,,,AT1G49720
PC2,611295at2759,3,Maize;Barley;Arabidopsis,Zm00001eb256330,X8 domain-containing protein,"GLUCAN ENDO-1,3-BETA-D-GLUCOSIDASE (PTHR32227:SF320)",glucosidase(PC00108),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);glucan endo-1,3-beta-D-glucosidase activity(GO:0042973)",carbohydrate metabolic process(GO:0005975);defense response(GO:0006952),plasma membrane(GO:0005886);plasmodesma(GO:0009506);side of membrane(GO:0098552),,,HORVU.MOREX.r3.2HG0193700,AT5G56590
PC2,107572at3193,3,Maize;Barley;Arabidopsis,Zm00001eb280120,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta,PYROPHOSPHATE--FRUCTOSE 6-PHOSPHATE 1-PHOSPHOTRANSFERASE SUBUNIT BETA 2 (PTHR43650:SF1),carbohydrate kinase(PC00065),catalytic activity(GO:0003824);6-phosphofructokinase activity(GO:0003872);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872);diphosphate-fructose-6-phosphate 1-phosphotransferase activity(GO:0047334),fructose 6-phosphate metabolic process(GO:0006002);glycolytic process(GO:0006096);response to glucose(GO:0009749);photosynthesis(GO:0015979);carbohydrate phosphorylation(GO:0046835);glycolytic process through fructose-6-phosphate(GO:0061615),cytoplasm(GO:0005737);cytosol(GO:0005829),,,HORVU.MOREX.r3.7HG0668730,AT1G12000
PC2,624469at2759,3,Maize;Rice;Barley,Zm00001eb282950,,,,,,,,LOC_Os01g01790,HORVU.MOREX.r3.3HG0239530,
PC2,217567at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb289460,Adenine nucleotide alpha hydrolase-like superfamily protein,OS05G0453700 PROTEIN (PTHR46100:SF2),,hydrolase activity(GO:0016787),,,SORBI_3003G051600,,,AT3G17020
PC2,324745at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb291180,procollagen-proline 4-dioxygenase,PROLYL 4-HYDROXYLASE 4-RELATED (PTHR10869:SF194),protein modifying enzyme(PC00260),"procollagen-proline 4-dioxygenase activity(GO:0004656);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);L-ascorbic acid binding(GO:0031418);metal ion binding(GO:0046872);dioxygenase activity(GO:0051213)",,endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789),SORBI_3001G205900,,,AT3G28480
PC2,4925430at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb292760,,,,,,,SORBI_3001G379600;SORBI_3002G424500;SORBI_3003G139500,,,AT1G30270;AT4G24400;AT5G35410;AT5G57630
PC2,131670at33090,3,Maize;Rice;Arabidopsis,Zm00001eb292770,,,,,,,,LOC_Os07g06670,,AT5G18680
PC2,33915at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb298680,,,,,,,SORBI_3007G135301,,,AT3G57230
PC2,295827at2759,3,Maize;Sorghum;Barley,Zm00001eb300120,Glutathione S-transferase,GLUTATHIONE S-TRANSFERASE U19 (PTHR11260:SF781),transferase(PC00220),glutathione transferase activity(GO:0004364);transferase activity(GO:0016740),glutathione metabolic process(GO:0006749),cytoplasm(GO:0005737);cytosol(GO:0005829),SORBI_3001G065800;SORBI_3002G361100,,HORVU.MOREX.r3.2HG0214670,
PC2,592385at2759,3,Maize;Sorghum;Barley,Zm00001eb303110,Cellulose synthase,CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 3 [UDP-FORMING] (PTHR13301:SF206),DNA-binding transcription factor(PC00218),zinc ion binding(GO:0008270);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);cellulose synthase activity(GO:0016759);cellulose synthase (UDP-forming) activity(GO:0016760);metal ion binding(GO:0046872),plant-type primary cell wall biogenesis(GO:0009833);plant-type secondary cell wall biogenesis(GO:0009834);cellulose biosynthetic process(GO:0030244);cell wall organization(GO:0071555),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3001G021500,,HORVU.MOREX.r3.5HG0482670,
PC2,263678at2759,3,Maize;Barley;Arabidopsis,Zm00001eb309770,Carotenoid cleavage dioxygenase,OS09G0321200 PROTEIN (PTHR10543:SF145),oxygenase(PC00177),"carotenoid dioxygenase activity(GO:0010436);oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);metal ion binding(GO:0046872);dioxygenase activity(GO:0051213)",carotene catabolic process(GO:0016121),chloroplast stroma(GO:0009570),,,HORVU.MOREX.r3.5HG0419880,AT1G30100
PC2,612680at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb312000,,,,,,,SORBI_3010G246700,,,AT1G11545;AT2G01850;AT2G36870;AT4G14130
PC2,4932650at2759,3,Maize;Sorghum;Rice,Zm00001eb315040,DNAJ heat shock N-terminal domain-containing protein,DNAJ HEAT SHOCK N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR21454:SF47),,iron ion binding(GO:0005506);metal ion binding(GO:0046872),protein histidyl modification to diphthamide(GO:0017183),nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);cytosol(GO:0005829),SORBI_3001G032700,LOC_Os09g04600,,
PC2,4971880at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb320430,NADPH--cytochrome P450 reductase,NADPH--CYTOCHROME P450 REDUCTASE (PTHR19384:SF17),oxidoreductase(PC00176),NADPH-hemoprotein reductase activity(GO:0003958);FMN binding(GO:0010181);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661),,cytoplasm(GO:0005737);endoplasmic reticulum membrane(GO:0005789);cytosol(GO:0005829),SORBI_3002G295100;SORBI_3007G088000,,,AT4G30210
PC2,183897at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb328460,Mitochondrial ribosomal protein L37,LARGE RIBOSOMAL SUBUNIT PROTEIN ML54 (PTHR28595:SF1),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735),,mitochondrion(GO:0005739);mitochondrial large ribosomal subunit(GO:0005762);ribosome(GO:0005840);ribonucleoprotein complex(GO:1990904),SORBI_3002G387300,,,AT5G14290
PC2,4840713at2759,3,Maize;Sorghum;Barley,Zm00001eb328560,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,OS07G0634400 PROTEIN (PTHR12725:SF119),hydrolase(PC00121),,,,SORBI_3002G388400,,HORVU.MOREX.r3.4HG0335910,
PC2,4805980at2759,3,Maize;Barley;Arabidopsis,Zm00001eb329580,,,,,,,,,HORVU.MOREX.r3.1HG0019330;HORVU.MOREX.r3.4HG0411760;HORVU.MOREX.r3.6HG0623790,AT1G11080;AT4G30610;AT4G30810
PC2,543746at33090,3,Maize;Sorghum;Arabidopsis,Zm00001eb330740,Ribosomal protein S6 kinase,OS07G0680900 PROTEIN (PTHR24351:SF227),protein modifying enzyme(PC00260),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),response to cold(GO:0009409);response to salt stress(GO:0009651);positive regulation of translation(GO:0045727),nucleus(GO:0005634);cytoplasm(GO:0005737),SORBI_3001G382000,,,AT3G08730
PC2,650895at3193,3,Maize;Barley;Arabidopsis,Zm00001eb331410,protein-serine_threonine phosphatase,PROTEIN-SERINE_THREONINE PHOSPHATASE (PTHR47992:SF108),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);kinase activity(GO:0016301);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,,,HORVU.MOREX.r3.2HG0171990,AT1G68410
PC2,267412at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb333590,Topless-related2,TOPLESS-RELATED PROTEIN 3 (PTHR44083:SF2),,,regulation of DNA-templated transcription(GO:0006355),,SORBI_3003G115900,,,AT5G27030
PC2,631585at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb333640,Pollen-specific protein like,REPLICATION PROTEIN A 14 KDA SUBUNIT A-RELATED (PTHR47058:SF3),,DNA binding(GO:0003677),DNA replication(GO:0006260);DNA repair(GO:0006281);DNA recombination(GO:0006310),nucleus(GO:0005634);nuclear lumen(GO:0031981),SORBI_3003G115400,,,AT4G18590
PC2,322501at33090,3,Maize;Sorghum;Barley,Zm00001eb348810,Histone deacetylase complex subunit SAP30 Sin3 binding domain-containing protein,HISTONE DEACETYLASE COMPLEX SUBUNIT SAP30L-RELATED (PTHR13286:SF6),"chromatin/chromatin-binding, or -regulatory protein(PC00077)",,,,SORBI_3009G147700,,HORVU.MOREX.r3.2HG0095520,
PC2,5013265at2759,3,Maize;Barley;Arabidopsis,Zm00001eb351340,,,,,,,,,HORVU.MOREX.r3.3HG0290320,AT3G09440;AT3G12580
PC2,644422at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb353580,Oxidative stress 3,OXIDATIVE STRESS 3 (PTHR33172:SF42),,,response to stress(GO:0006950),nucleus(GO:0005634),SORBI_3006G191600,,,AT5G56550
PC2,110816at2759,3,Maize;Barley;Arabidopsis,Zm00001eb355170,,,,,,,,,HORVU.MOREX.r3.1HG0014680;HORVU.MOREX.r3.5HG0515880,AT2G23810
PC2,788495at2759,3,Maize;Barley;Arabidopsis,Zm00001eb355810,,,,,,,,,HORVU.MOREX.r3.1HG0005040;HORVU.MOREX.r3.5HG0495250,AT1G76360;AT2G28930;AT4G35600
PC2,108630at3193,3,Maize;Sorghum;Rice,Zm00001eb363730,serine C-palmitoyltransferase,LONG CHAIN BASE BIOSYNTHESIS PROTEIN 2B (PTHR13693:SF104),transaminase(PC00216),serine C-palmitoyltransferase activity(GO:0004758);transferase activity(GO:0016740);pyridoxal phosphate binding(GO:0030170),lipid metabolic process(GO:0006629);sphingolipid metabolic process(GO:0006665);sphingosine biosynthetic process(GO:0046512);ceramide biosynthetic process(GO:0046513),endoplasmic reticulum membrane(GO:0005789);serine palmitoyltransferase complex(GO:0017059),SORBI_3005G126800,LOC_Os11g05160,,
PC2,447116at2759,3,Maize;Barley;Arabidopsis,Zm00001eb366540,,,,,,,,,HORVU.MOREX.r3.4HG0405580,AT4G09460
PC2,5013265at2759,3,Maize;Barley;Arabidopsis,Zm00001eb368000,,,,,,,,,HORVU.MOREX.r3.3HG0290320,AT3G09440;AT3G12580
PC2,5014320at2759,3,Maize;Rice;Barley,Zm00001eb369460,,,,,,,,LOC_Os09g05060,HORVU.MOREX.r3.4HG0412730,
