Phenotype,species,snp,chr,pos,p,logp
soilN,Arabidopsis,Chr4_8870017.0,4,8870017,2.099036e-08,7.67798011288626
soilN,Arabidopsis,Chr4_8870238.0,4,8870238,2.099036e-08,7.67798011288626
soilN,Arabidopsis,Chr3_18632396.0,3,18632396,2.240786e-08,7.64959961756441
soilN,Arabidopsis,Chr3_18636264.0,3,18636264,2.240786e-08,7.64959961756441
soilN,Arabidopsis,Chr4_8891807.0,4,8891807,2.24125e-08,7.64950969742976
soilN,Arabidopsis,Chr4_8889601.0,4,8889601,2.437337e-08,7.61308441865202
soilN,Arabidopsis,Chr2_13858251.0,2,13858251,2.551004e-08,7.59328886041155
soilN,Arabidopsis,Chr2_7325953.0,2,7325953,3.036707e-08,7.51759710943894
soilN,Arabidopsis,Chr1_1173624.0,1,1173624,3.049544e-08,7.51576509609236
soilN,Arabidopsis,Chr4_1294094.0,4,1294094,3.158533e-08,7.50051458128567
soilN,Arabidopsis,Chr2_5783842.0,2,5783842,3.272176e-08,7.48516334504559
soilN,Arabidopsis,Chr5_11746463.0,5,11746463,3.278174e-08,7.48436799852808
soilN,Arabidopsis,Chr2_17653992.0,2,17653992,3.333179e-08,7.47714136301969
soilN,Arabidopsis,Chr2_17662440.0,2,17662440,3.333179e-08,7.47714136301969
soilN,Arabidopsis,Chr2_17678805.0,2,17678805,3.333179e-08,7.47714136301969
soilN,Arabidopsis,Chr3_18645624.0,3,18645624,3.5888e-08,7.44505074376111
soilN,Arabidopsis,Chr2_5579393.0,2,5579393,3.738301e-08,7.42732573308663
soilN,Arabidopsis,Chr2_5580072.0,2,5580072,3.738301e-08,7.42732573308663
soilN,Arabidopsis,Chr2_13859243.0,2,13859243,4.265148e-08,7.37006589428119
soilN,Arabidopsis,Chr2_13859562.0,2,13859562,4.265148e-08,7.37006589428119
soilN,Arabidopsis,Chr1_29366347.0,1,29366347,4.355105e-08,7.36100136984785
soilN,Arabidopsis,Chr1_18588796.0,1,18588796,4.597268e-08,7.33750017810121
soilN,Arabidopsis,Chr2_5783981.0,2,5783981,4.800419e-08,7.31872085398979
soilN,Arabidopsis,Chr4_8881357.0,4,8881357,4.802768e-08,7.31850839165654
soilN,Arabidopsis,Chr3_15887952.0,3,15887952,5.738035e-08,7.241236807038
soilN,Arabidopsis,Chr2_5784619.0,2,5784619,5.958035e-08,7.22489694988529
soilN,Arabidopsis,Chr1_1162151.0,1,1162151,6.067601e-08,7.21698298576198
soilN,Arabidopsis,Chr2_5794277.0,2,5794277,6.211645e-08,7.2067933724777
soilN,Arabidopsis,Chr2_5784889.0,2,5784889,6.403656e-08,7.19357200612726
soilN,Arabidopsis,Chr4_9492228.0,4,9492228,6.526926e-08,7.18529131115477
soilN,Arabidopsis,Chr1_1188549.0,1,1188549,6.5501e-08,7.18375206960873
soilN,Arabidopsis,Chr1_1195761.0,1,1195761,6.5501e-08,7.18375206960873
soilN,Arabidopsis,Chr3_15755829.0,3,15755829,7.145395e-08,7.14597375825458
soilN,Arabidopsis,Chr2_11904651.0,2,11904651,7.915857e-08,7.10150205992697
soilN,Arabidopsis,Chr2_5778593.0,2,5778593,9.183967e-08,7.03696968545826
soilN,Arabidopsis,Chr1_4293006.0,1,4293006,9.57782e-08,7.01873332909559
soilN,Arabidopsis,Chr2_17676147.0,2,17676147,9.969663e-08,7.00131952169978
soilN,Arabidopsis,Chr5_202082.0,5,202082,1.150003e-07,6.93930102670574
soilN,Arabidopsis,Chr5_203966.0,5,203966,1.150003e-07,6.93930102670574
soilN,Arabidopsis,Chr5_204664.0,5,204664,1.150003e-07,6.93930102670574
soilN,Arabidopsis,Chr5_205246.0,5,205246,1.150003e-07,6.93930102670574
soilN,Arabidopsis,Chr1_17017635.0,1,17017635,1.190036e-07,6.92443990048574
soilN,Arabidopsis,Chr1_1171540.0,1,1171540,1.229824e-07,6.91015703595728
soilN,Arabidopsis,Chr2_6771506.0,2,6771506,1.229892e-07,6.91013302340886
soilN,Arabidopsis,Chr5_26280030.0,5,26280030,1.343339e-07,6.87181437657095
soilN,Arabidopsis,Chr4_8888369.0,4,8888369,1.346953e-07,6.87064755809793
soilN,Arabidopsis,Chr4_8889740.0,4,8889740,1.346953e-07,6.87064755809793
soilN,Arabidopsis,Chr2_6772496.0,2,6772496,1.442968e-07,6.84074329993736
soilN,Arabidopsis,Chr2_5789417.0,2,5789417,1.485581e-07,6.82810366368933
soilN,Arabidopsis,Chr1_964428.0,1,964428,1.630831e-07,6.78759104176184
soilN,Arabidopsis,Chr1_964643.0,1,964643,1.630831e-07,6.78759104176184
soilN,Arabidopsis,Chr2_6392186.0,2,6392186,1.649776e-07,6.78257501855453
soilN,Arabidopsis,Chr2_6794939.0,2,6794939,1.677753e-07,6.77527197594646
soilN,Arabidopsis,Chr2_6794951.0,2,6794951,1.677753e-07,6.77527197594646
soilN,Arabidopsis,Chr2_6794952.0,2,6794952,1.677753e-07,6.77527197594646
soilN,Arabidopsis,Chr2_6794980.0,2,6794980,1.677753e-07,6.77527197594646
soilN,Arabidopsis,Chr2_5785747.0,2,5785747,1.756327e-07,6.75539462221445
soilN,Arabidopsis,Chr4_6211730.0,4,6211730,1.764233e-07,6.75344405869857
soilN,Arabidopsis,Chr4_6211733.0,4,6211733,1.764233e-07,6.75344405869857
soilN,Arabidopsis,Chr4_6212543.0,4,6212543,1.764233e-07,6.75344405869857
soilN,Arabidopsis,Chr4_6212544.0,4,6212544,1.764233e-07,6.75344405869857
soilN,Arabidopsis,Chr4_6213114.0,4,6213114,1.764233e-07,6.75344405869857
soilN,Arabidopsis,Chr4_222113.0,4,222113,1.81967e-07,6.74000736485758
soilN,Arabidopsis,Chr4_8870067.0,4,8870067,1.828617e-07,6.73787724706847
soilN,Arabidopsis,Chr3_15614779.0,3,15614779,1.86881e-07,6.72843485065224
soilN,Arabidopsis,Chr4_8918966.0,4,8918966,1.877093e-07,6.726514209858
soilN,Arabidopsis,Chr4_8920015.0,4,8920015,1.877093e-07,6.726514209858
soilN,Arabidopsis,Chr3_15894564.0,3,15894564,1.897083e-07,6.72191366771258
soilN,Arabidopsis,Chr2_5795285.0,2,5795285,1.989824e-07,6.70118533525315
soilN,Arabidopsis,Chr2_5784362.0,2,5784362,2.05172e-07,6.68788190805932
soilN,Arabidopsis,Chr3_15893414.0,3,15893414,2.088759e-07,6.68011166581577
soilN,Arabidopsis,Chr3_15893892.0,3,15893892,2.088759e-07,6.68011166581577
soilN,Arabidopsis,Chr2_5780651.0,2,5780651,2.203577e-07,6.65687176925625
soilN,Arabidopsis,Chr2_5580008.0,2,5580008,2.227435e-07,6.65219496049118
soilN,Arabidopsis,Chr2_6764809.0,2,6764809,2.228198e-07,6.65204621992259
soilN,Arabidopsis,Chr4_1047019.0,4,1047019,2.28663e-07,6.64080410297443
soilN,Arabidopsis,Chr2_5542140.0,2,5542140,2.36523e-07,6.62612662115279
soilN,Arabidopsis,Chr2_5562638.0,2,5562638,2.373882e-07,6.62454087258552
soilN,Arabidopsis,Chr2_5563243.0,2,5563243,2.373882e-07,6.62454087258552
soilN,Arabidopsis,Chr2_5563685.0,2,5563685,2.373882e-07,6.62454087258552
soilN,Arabidopsis,Chr2_5563702.0,2,5563702,2.373882e-07,6.62454087258552
soilN,Arabidopsis,Chr2_5564156.0,2,5564156,2.373882e-07,6.62454087258552
soilN,Arabidopsis,Chr1_4290667.0,1,4290667,2.406446e-07,6.61862387932847
soilN,Arabidopsis,Chr1_4297061.0,1,4297061,2.414796e-07,6.61711955220707
soilN,Arabidopsis,Chr1_4297092.0,1,4297092,2.414796e-07,6.61711955220707
soilN,Arabidopsis,Chr1_4293137.0,1,4293137,2.464701e-07,6.60823575870978
soilN,Arabidopsis,Chr2_1740752.0,2,1740752,2.660289e-07,6.57507118130593
soilN,Arabidopsis,Chr3_15762536.0,3,15762536,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15762558.0,3,15762558,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15764055.0,3,15764055,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15764233.0,3,15764233,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15765272.0,3,15765272,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15765329.0,3,15765329,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15766547.0,3,15766547,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15768412.0,3,15768412,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15768749.0,3,15768749,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15771881.0,3,15771881,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15774046.0,3,15774046,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15775048.0,3,15775048,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15779472.0,3,15779472,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15779522.0,3,15779522,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15780130.0,3,15780130,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15780590.0,3,15780590,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr3_15794559.0,3,15794559,2.721671e-07,6.5651643741805
soilN,Arabidopsis,Chr1_4294223.0,1,4294223,2.723408e-07,6.56488729113335
soilN,Arabidopsis,Chr4_6211042.0,4,6211042,2.832915e-07,6.54776645604249
soilN,Arabidopsis,Chr3_18634135.0,3,18634135,2.877653e-07,6.54096157637262
soilN,Arabidopsis,Chr4_2484823.0,4,2484823,2.908202e-07,6.53637543122478
soilN,Arabidopsis,Chr1_4299426.0,1,4299426,2.962133e-07,6.52839544552131
soilN,Arabidopsis,Chr3_15971317.0,3,15971317,3.138724e-07,6.50324687179501
soilN,Arabidopsis,Chr1_1000796.0,1,1000796,3.146869e-07,6.50212133581614
soilN,Arabidopsis,Chr4_9492218.0,4,9492218,3.167312e-07,6.49930915380386
soilN,Arabidopsis,Chr3_15790760.0,3,15790760,3.254324e-07,6.48753921095438
soilN,Arabidopsis,Chr2_17634501.0,2,17634501,3.500267e-07,6.45589882644859
soilN,Arabidopsis,Chr2_17634649.0,2,17634649,3.500267e-07,6.45589882644859
soilN,Arabidopsis,Chr2_17638591.0,2,17638591,3.500267e-07,6.45589882644859
soilN,Arabidopsis,Chr2_17643922.0,2,17643922,3.500267e-07,6.45589882644859
soilN,Arabidopsis,Chr2_17692306.0,2,17692306,3.570086e-07,6.4473213220179
soilN,Arabidopsis,Chr2_17694668.0,2,17694668,3.570086e-07,6.4473213220179
soilN,Arabidopsis,Chr5_23166718.0,5,23166718,3.570169e-07,6.44731122533591
soilN,Arabidopsis,Chr4_2337409.0,4,2337409,3.674233e-07,6.43483330654797
soilN,Arabidopsis,Chr2_5542507.0,2,5542507,3.705967e-07,6.43109845220053
soilN,Arabidopsis,Chr3_15852247.0,3,15852247,3.855922e-07,6.41387175986055
soilN,Arabidopsis,Chr2_5537002.0,2,5537002,3.939888e-07,6.40451612377679
soilN,Arabidopsis,Chr2_5537053.0,2,5537053,3.939888e-07,6.40451612377679
soilN,Arabidopsis,Chr1_4291565.0,1,4291565,3.95676e-07,6.40266029136568
soilN,Arabidopsis,Chr1_462868.0,1,462868,3.963711e-07,6.40189801808201
soilN,Arabidopsis,Chr1_462871.0,1,462871,3.963711e-07,6.40189801808201
soilN,Arabidopsis,Chr2_17651746.0,2,17651746,4.049801e-07,6.39256631671749
soilN,Arabidopsis,Chr2_17657080.0,2,17657080,4.049801e-07,6.39256631671749
soilN,Arabidopsis,Chr3_15893860.0,3,15893860,4.105097e-07,6.38667657640884
soilN,Arabidopsis,Chr2_5398869.0,2,5398869,4.465883e-07,6.35009265903439
soilN,Arabidopsis,Chr1_962677.0,1,962677,4.475675e-07,6.34914145718192
soilN,Arabidopsis,Chr2_17635804.0,2,17635804,4.533974e-07,6.34352097465699
soilN,Arabidopsis,Chr2_17639530.0,2,17639530,4.533974e-07,6.34352097465699
soilN,Arabidopsis,Chr2_17645852.0,2,17645852,4.533974e-07,6.34352097465699
soilN,Arabidopsis,Chr3_15794801.0,3,15794801,4.608648e-07,6.3364264612171
soilN,Arabidopsis,Chr3_6540085.0,3,6540085,4.645656e-07,6.33295295183946
soilN,Arabidopsis,Chr4_18425491.0,4,18425491,4.667795e-07,6.33088822553236
soilN,Arabidopsis,Chr4_2466767.0,4,2466767,4.687358e-07,6.32907187569101
soilN,Arabidopsis,Chr2_6795066.0,2,6795066,4.691493e-07,6.32868892733219
soilN,Arabidopsis,Chr3_15190864.0,3,15190864,4.739425e-07,6.32427434492397
soilN,Arabidopsis,Chr2_5580908.0,2,5580908,4.849195e-07,6.31433035131009
soilN,Arabidopsis,Chr2_5580996.0,2,5580996,4.849195e-07,6.31433035131009
soilN,Arabidopsis,Chr2_5581148.0,2,5581148,4.849195e-07,6.31433035131009
soilN,Arabidopsis,Chr2_6794866.0,2,6794866,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6794893.0,2,6794893,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6794914.0,2,6794914,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6794993.0,2,6794993,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6795017.0,2,6795017,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6795023.0,2,6795023,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6795056.0,2,6795056,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6795119.0,2,6795119,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr2_6795152.0,2,6795152,5.043478e-07,6.29726986925418
soilN,Arabidopsis,Chr3_15788947.0,3,15788947,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15789254.0,3,15789254,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15790564.0,3,15790564,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15796482.0,3,15796482,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15797045.0,3,15797045,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15797541.0,3,15797541,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15800116.0,3,15800116,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15801205.0,3,15801205,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15802128.0,3,15802128,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr3_15802616.0,3,15802616,5.088151e-07,6.29344000870129
soilN,Arabidopsis,Chr4_2453058.0,4,2453058,5.351933e-07,6.27148933206991
soilN,Arabidopsis,Chr4_2456108.0,4,2456108,5.351933e-07,6.27148933206991
soilN,Arabidopsis,Chr4_2459498.0,4,2459498,5.351933e-07,6.27148933206991
soilN,Arabidopsis,Chr4_2462938.0,4,2462938,5.351933e-07,6.27148933206991
soilN,Arabidopsis,Chr4_2464042.0,4,2464042,5.351933e-07,6.27148933206991
soilN,Arabidopsis,Chr4_6209890.0,4,6209890,5.521157e-07,6.25796990305653
soilN,Arabidopsis,Chr2_5188069.0,2,5188069,5.597667e-07,6.25199294087594
soilN,Arabidopsis,Chr3_15881752.0,3,15881752,5.623868e-07,6.24996488136383
soilN,Arabidopsis,Chr3_15882370.0,3,15882370,5.623868e-07,6.24996488136383
soilN,Arabidopsis,Chr3_15883006.0,3,15883006,5.623868e-07,6.24996488136383
soilN,Arabidopsis,Chr1_6173538.0,1,6173538,5.665734e-07,6.24674381898677
soilN,Arabidopsis,Chr3_3131746.0,3,3131746,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3131764.0,3,3131764,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3131896.0,3,3131896,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3131934.0,3,3131934,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3131962.0,3,3131962,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3132003.0,3,3132003,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3132042.0,3,3132042,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3132058.0,3,3132058,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3132400.0,3,3132400,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3132536.0,3,3132536,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3132884.0,3,3132884,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3132937.0,3,3132937,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3133082.0,3,3133082,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3133260.0,3,3133260,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_3133270.0,3,3133270,5.700579e-07,6.24408103139162
soilN,Arabidopsis,Chr3_19496044.0,3,19496044,5.850534e-07,6.2328044924359
soilN,Arabidopsis,Chr3_18590170.0,3,18590170,5.917995e-07,6.22782540610227
soilN,Arabidopsis,Chr4_1812493.0,4,1812493,6.19869e-07,6.20770008241852
soilN,Arabidopsis,Chr4_8918226.0,4,8918226,6.279248e-07,6.20209236406626
soilN,Arabidopsis,Chr2_5579551.0,2,5579551,6.279967e-07,6.20204263838948
soilN,Arabidopsis,Chr2_193874.0,2,193874,6.498053e-07,6.18721675074516
soilN,Arabidopsis,Chr2_202439.0,2,202439,6.498053e-07,6.18721675074516
soilN,Arabidopsis,Chr3_15884381.0,3,15884381,6.695312e-07,6.1742291801574
soilN,Arabidopsis,Chr5_23141509.0,5,23141509,6.931084e-07,6.15919883776877
soilN,Arabidopsis,Chr5_23141567.0,5,23141567,6.931084e-07,6.15919883776877
soilN,Arabidopsis,Chr5_23142735.0,5,23142735,6.931084e-07,6.15919883776877
soilN,Arabidopsis,Chr5_23143895.0,5,23143895,6.931084e-07,6.15919883776877
soilN,Arabidopsis,Chr2_14638375.0,2,14638375,6.995982e-07,6.15515131659055
soilN,Arabidopsis,Chr5_12142659.0,5,12142659,7.077348e-07,6.15012944919283
soilN,Arabidopsis,Chr2_5541744.0,2,5541744,7.096726e-07,6.14894196227643
soilN,Arabidopsis,Chr3_15766501.0,3,15766501,7.290273e-07,6.13725620828372
soilN,Arabidopsis,Chr3_15786703.0,3,15786703,7.31131e-07,6.1360048015921
soilN,Arabidopsis,Chr3_15787855.0,3,15787855,7.31131e-07,6.1360048015921
soilN,Arabidopsis,Chr3_15788097.0,3,15788097,7.31131e-07,6.1360048015921
soilN,Arabidopsis,Chr3_15789072.0,3,15789072,7.31131e-07,6.1360048015921
soilN,Arabidopsis,Chr3_15790607.0,3,15790607,7.31131e-07,6.1360048015921
soilN,Arabidopsis,Chr3_15791102.0,3,15791102,7.31131e-07,6.1360048015921
soilN,Arabidopsis,Chr3_15791583.0,3,15791583,7.31131e-07,6.1360048015921
soilN,Arabidopsis,Chr2_5551088.0,2,5551088,7.511796e-07,6.1242562148417
soilN,Arabidopsis,Chr2_5581235.0,2,5581235,7.569505e-07,6.12093251981267
soilN,Arabidopsis,Chr4_8869330.0,4,8869330,8.104862e-07,6.09125437540507
soilN,Arabidopsis,Chr2_5779726.0,2,5779726,8.162756e-07,6.08816318517856
soilN,Arabidopsis,Chr2_441666.0,2,441666,8.354637e-07,6.07807241498923
soilN,Arabidopsis,Chr3_12140855.0,3,12140855,8.370682e-07,6.07723915649057
soilN,Arabidopsis,Chr2_5560556.0,2,5560556,8.372869e-07,6.07712570361103
soilN,Arabidopsis,Chr2_5560734.0,2,5560734,8.372869e-07,6.07712570361103
soilN,Arabidopsis,Chr2_5560741.0,2,5560741,8.372869e-07,6.07712570361103
soilN,Arabidopsis,Chr2_5560833.0,2,5560833,8.372869e-07,6.07712570361103
soilN,Arabidopsis,Chr2_5561087.0,2,5561087,8.372869e-07,6.07712570361103
soilN,Arabidopsis,Chr2_5562248.0,2,5562248,8.372869e-07,6.07712570361103
soilN,Arabidopsis,Chr2_5562428.0,2,5562428,8.372869e-07,6.07712570361103
soilN,Arabidopsis,Chr4_18435236.0,4,18435236,8.735432e-07,6.05871561265278
soilN,Arabidopsis,Chr3_15838331.0,3,15838331,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15844424.0,3,15844424,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15848489.0,3,15848489,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15849313.0,3,15849313,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15850548.0,3,15850548,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15851132.0,3,15851132,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15851197.0,3,15851197,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15851453.0,3,15851453,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15851460.0,3,15851460,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15852204.0,3,15852204,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15852752.0,3,15852752,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15853173.0,3,15853173,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15853494.0,3,15853494,8.763384e-07,6.0573281576749
soilN,Arabidopsis,Chr3_15855590.0,3,15855590,8.763384e-07,6.0573281576749
