Taxa,Long,Lat,Species,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,PC1,PC2,PC3,aridity_index,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized
680,-72.8615,40.9447,Arabidopsis,11.01248646,9.342473984,28.57298851,862.9876099,27.71031189,-4.986562729,32.69687653,9.380000114,19.07359314,21.58812523,0.351354152,1096,103,80,9.216870308,293,252,259,275,-1.887394016,-1.420761916,2.609733734,0.9439,48,855, NA, NA
681,-72.8615,40.9447,Arabidopsis,11.01248646,9.342473984,28.57298851,862.9876099,27.71031189,-4.986562729,32.69687653,9.380000114,19.07359314,21.58812523,0.351354152,1096,103,80,9.216870308,293,252,259,275,-1.887394016,-1.420761916,2.609733734,0.9439,48,855, NA, NA
685,-73.1493,40.9064,Arabidopsis,11.20388889,9.237277985,28.21634293,868.5182495,27.83633232,-4.901000023,32.73733139,9.553222656,19.32172203,21.82900047,0.469777733,1091,102,77,8.856218338,296,257,260,265,-1.830989335,-1.359623793,2.622366373,0.921,52,827, NA, NA
687,-73.1493,40.9064,Arabidopsis,11.20388889,9.237277985,28.21634293,868.5182495,27.83633232,-4.901000023,32.73733139,9.553222656,19.32172203,21.82900047,0.469777733,1091,102,77,8.856218338,296,257,260,265,-1.830989335,-1.359623793,2.622366373,0.921,52,827, NA, NA
728,-73.114,40.9352,Arabidopsis,11.20388889,9.237277985,28.21634293,868.5182495,27.83633232,-4.901000023,32.73733139,9.553222656,19.32172203,21.82900047,0.469777733,1091,102,77,8.856218338,296,257,260,265,-1.830989335,-1.359623793,2.622366373,0.9152,49,854, NA, NA
742,-73.114,40.9352,Arabidopsis,11.20388889,9.237277985,28.21634293,868.5182495,27.83633232,-4.901000023,32.73733139,9.553222656,19.32172203,21.82900047,0.469777733,1091,102,77,8.856218338,296,257,260,265,-1.830989335,-1.359623793,2.622366373,0.9152,49,854, NA, NA
763,74.3667,42.3,Arabidopsis,-5.558729172,13.21183395,30.22542,1124.040771,16.32250023,-27.38850021,43.71099854,4.687041759,-19.72895813,6.940374851,-19.72895813,544,83,18,48.37731171,233,62,152,62,6.493240387,-4.733204434,-0.229379713,0.5088,67,438,0.19788456,0.456777394
765,73.41,42.19,Arabidopsis,-5.013281345,14.0888958,31.4656353,1124.145996,17.6277504,-27.14775085,44.77550125,0.157708332,-19.0435009,7.546333313,-19.0435009,634,94,25,41.44488144,251,84,152,84,5.85667157,-4.784949697,0.274609976,0.5771,64,652,0.19788456,0.456777394
766,73.6333,42.5833,Arabidopsis,-4.658229351,13.40691662,32.81926727,1016.708923,16.36400032,-24.48674965,40.85074997,0.01595827,-17.09316635,6.876874924,-17.09316635,638,94,24,42.24450302,254,84,204,84,4.945306418,-4.777963968,-0.312452176,0.756,64,508,0.484620661,0.149683997
768,76.35,42.8,Arabidopsis,-1.561979175,11.4090004,31.02674675,956.6772461,16.83374977,-19.93774986,36.77149963,7.378874779,-13.60954189,9.434833527,-13.60954189,414,72,8,67.42934418,204,29,194,29,5.422631675,-2.587437756,-1.121537384,0.3654,71,474,0.484620661,0.149683997
772,72.4667,37.35,Arabidopsis,-0.81491667,12.18170834,30.68440437,1009.428711,19.50300026,-20.1970005,39.70000076,-2.793541908,11.03016663,11.07879162,-13.16995811,268,42,5,52.21263885,118,26,36,76,5.613157747,-0.595208103,-2.203648841,0.1303,75,443,0.378976703,0.155291706
801,-84.4639,37.9169,Arabidopsis,12.59228134,11.9510622,33.84252167,880.5737915,30.14049911,-5.173250198,35.31375122,21.10658264,13.67516708,23.1861248,1.388583302,1169,120,70,15.98645496,344,249,321,264,-1.524302429,-0.520714943,4.771873013,0.9313,60,434, NA,0.01173896
853,-86.6691,41.7976,Arabidopsis,9.698353767,9.821416855,26.90485764,970.2156982,28.02075005,-8.483500481,36.50424957,21.35337448,-1.35708344,21.35337448,-2.669541836,984,105,44,21.8866291,294,170,294,174,1.145667937,-1.330261699,3.310543801,0.8834,62,635, NA, NA
854,-86.6691,41.7976,Arabidopsis,9.698353767,9.821416855,26.90485764,970.2156982,28.02075005,-8.483500481,36.50424957,21.35337448,-1.35708344,21.35337448,-2.669541836,984,105,44,21.8866291,294,170,294,174,1.145667937,-1.330261699,3.310543801,0.8834,62,635, NA, NA
867,-86.4366,41.8266,Arabidopsis,9.645030975,10.41956234,28.05142784,989.4586792,28.34275055,-8.801750183,37.14450073,21.51662445,-1.489166737,21.51662445,-3.018458366,990,103,46,20.48060226,291,175,291,182,1.219642081,-1.282212241,3.516532959,0.8762,60,998, NA, NA
868,-86.4366,41.8266,Arabidopsis,9.645030975,10.41956234,28.05142784,989.4586792,28.34275055,-8.801750183,37.14450073,21.51662445,-1.489166737,21.51662445,-3.018458366,990,103,46,20.48060226,291,175,291,182,1.219642081,-1.282212241,3.516532959,0.8762,60,998, NA, NA
870,-86.4366,41.8266,Arabidopsis,9.645030975,10.41956234,28.05142784,989.4586792,28.34275055,-8.801750183,37.14450073,21.51662445,-1.489166737,21.51662445,-3.018458366,990,103,46,20.48060226,291,175,291,182,1.219642081,-1.282212241,3.516532959,0.8762,60,998, NA, NA
915,-71.4378,41.8972,Arabidopsis,9.759869576,11.50614452,31.46425629,916.4805298,28.18989944,-8.379040718,36.56893921,1.10938549,18.27483177,20.90033722,-1.677188635,1208,118,87,8.670086861,331,273,281,306,-2.057465244,-2.066318719,3.522213112,1.0394,49,1634, NA, NA
932,-71.1445,42.3634,Arabidopsis,10.0437994,11.07243633,30.17666817,926.6679077,28.72917747,-7.962864876,36.6920433,1.12480104,18.88572121,21.42785263,-1.489389896,1127,105,83,7.773997307,307,257,260,288,-1.581770454,-1.657800724,3.091072103,0.9124, NA, NA, NA, NA
991,14.0526813,55.3822641,Arabidopsis,7.878954411,6.65657568,28.42967415,630.2871704,21.15418243,-2.25999999,23.41418266,8.740787506,10.3672123,15.90030289,0.601515174,645,71,37,22.46615791,208,123,151,161,-0.334953931,-0.55630426,-2.056020988,0,66,690, NA, NA
992,14.0526813,55.3822641,Arabidopsis,7.878954411,6.65657568,28.42967415,630.2871704,21.15418243,-2.25999999,23.41418266,8.740787506,10.3672123,15.90030289,0.601515174,645,71,37,22.46615791,208,123,151,161,-0.334953931,-0.55630426,-2.056020988,0,66,690, NA, NA
997,14.0526813,55.3822641,Arabidopsis,7.878954411,6.65657568,28.42967415,630.2871704,21.15418243,-2.25999999,23.41418266,8.740787506,10.3672123,15.90030289,0.601515174,645,71,37,22.46615791,208,123,151,161,-0.334953931,-0.55630426,-2.056020988,0,66,690, NA, NA
1002,14.0526813,55.3822641,Arabidopsis,7.878954411,6.65657568,28.42967415,630.2871704,21.15418243,-2.25999999,23.41418266,8.740787506,10.3672123,15.90030289,0.601515174,645,71,37,22.46615791,208,123,151,161,-0.334953931,-0.55630426,-2.056020988,0,66,690, NA, NA
1006,14.0526813,55.3822641,Arabidopsis,7.878954411,6.65657568,28.42967415,630.2871704,21.15418243,-2.25999999,23.41418266,8.740787506,10.3672123,15.90030289,0.601515174,645,71,37,22.46615791,208,123,151,161,-0.334953931,-0.55630426,-2.056020988,0,66,690, NA, NA
1061,14.1333,55.7167,Arabidopsis,7.221572876,6.848145485,29.26464272,620.8851318,20.71649933,-2.684250116,23.40074921,4.241499901,2.212666512,15.189291,0.077583335,728,75,42,19.11655235,223,143,182,183,-0.69112451,-1.474807475,-1.98960835,0.9391,61,579,0.607760668,0.116110101
1062,14.1333,55.7167,Arabidopsis,7.221572876,6.848145485,29.26464272,620.8851318,20.71649933,-2.684250116,23.40074921,4.241499901,2.212666512,15.189291,0.077583335,728,75,42,19.11655235,223,143,182,183,-0.69112451,-1.474807475,-1.98960835,0.9391,61,579,0.607760668,0.116110101
1063,14.1333,55.7167,Arabidopsis,7.221572876,6.848145485,29.26464272,620.8851318,20.71649933,-2.684250116,23.40074921,4.241499901,2.212666512,15.189291,0.077583335,728,75,42,19.11655235,223,143,182,183,-0.69112451,-1.474807475,-1.98960835,0.9391,61,579,0.607760668,0.116110101
1066,14.1333,55.7167,Arabidopsis,7.221572876,6.848145485,29.26464272,620.8851318,20.71649933,-2.684250116,23.40074921,4.241499901,2.212666512,15.189291,0.077583335,728,75,42,19.11655235,223,143,182,183,-0.69112451,-1.474807475,-1.98960835,0.9391,61,579,0.607760668,0.116110101
1070,14.1333,55.7167,Arabidopsis,7.221572876,6.848145485,29.26464272,620.8851318,20.71649933,-2.684250116,23.40074921,4.241499901,2.212666512,15.189291,0.077583335,728,75,42,19.11655235,223,143,182,183,-0.69112451,-1.474807475,-1.98960835,0.9391,61,579,0.607760668,0.116110101
1158,16.5167,56.7,Arabidopsis,7.05220747,7.442084312,29.28544998,659.2749023,21.38558006,-4.02664566,25.41222572,14.87533951,1.58510983,15.60674,-0.446917444,531,57,32,19.01358223,160,102,149,124,1.113422276,-0.572058695,-2.102478014,0.6985,60,876, NA, NA
1166,16.5167,56.7,Arabidopsis,7.05220747,7.442084312,29.28544998,659.2749023,21.38558006,-4.02664566,25.41222572,14.87533951,1.58510983,15.60674,-0.446917444,531,57,32,19.01358223,160,102,149,124,1.113422276,-0.572058695,-2.102478014,0.6985,60,876, NA, NA
1254,17.0167,59.4333,Arabidopsis,6.312187672,7.589916706,27.1991272,739.8847656,21.65825081,-6.246749878,27.90500069,14.68404198,-1.892708302,15.83554173,-2.354791641,527,67,23,30.16166687,180,85,179,98,1.972801432,-0.789396607,-1.473607591,0.6851,53,835, NA, NA
1257,17.0167,59.4333,Arabidopsis,6.312187672,7.589916706,27.1991272,739.8847656,21.65825081,-6.246749878,27.90500069,14.68404198,-1.892708302,15.83554173,-2.354791641,527,67,23,30.16166687,180,85,179,98,1.972801432,-0.789396607,-1.473607591,0.6851,53,835, NA, NA
1313,16.8667,59.5667,Arabidopsis,6.196760178,7.884937763,27.62307358,752.5775757,21.93600082,-6.608749866,28.54475021,14.64879227,-2.120666504,15.87020874,-2.663083315,532,70,24,31.58109474,185,87,184,98,2.022804581,-0.809882303,-1.245073641,0.7066,53,899, NA, NA
1317,16.8667,59.5667,Arabidopsis,6.196760178,7.884937763,27.62307358,752.5775757,21.93600082,-6.608749866,28.54475021,14.64879227,-2.120666504,15.87020874,-2.663083315,532,70,24,31.58109474,185,87,184,98,2.022804581,-0.809882303,-1.245073641,0.7066,53,899, NA, NA
1552,18.3667,63.0833,Arabidopsis,3.113192081,7.794822693,26.21001244,788.9208374,19.44950104,-10.29036522,29.73986626,3.347508192,1.673920274,13.42452908,-5.993189335,708,84,35,28.6744175,233,121,204,150,1.257068627,-2.70106315,-1.30820902,1.158,45,939, NA, NA
1612,-86.583,41.9,Arabidopsis,9.691082954,9.575083733,26.79094315,954.298645,27.79725075,-7.942749977,35.74000168,21.23366737,-1.197041631,21.23366737,-2.350458384,963,98,43,20.96006584,281,167,281,176,1.152184718,-1.219579722,2.949899601,0.8755, NA, NA, NA, NA
1622,-86.583,41.9,Arabidopsis,9.691082954,9.575083733,26.79094315,954.298645,27.79725075,-7.942749977,35.74000168,21.23366737,-1.197041631,21.23366737,-2.350458384,963,98,43,20.96006584,281,167,281,176,1.152184718,-1.219579722,2.949899601,0.8755, NA, NA, NA, NA
1651,-86.4045,43.3431,Arabidopsis,8.148135185,9.765812874,28.16343689,926.2494507,26.34474945,-8.330750465,34.67549896,15.54895878,-2.680291653,19.3129158,-3.254458427,825,100,36,24.62161827,265,146,217,160,1.477687668,-1.060441413,1.818472616,0.8084, NA, NA, NA, NA
1652,-86.4045,43.3431,Arabidopsis,8.148135185,9.765812874,28.16343689,926.2494507,26.34474945,-8.330750465,34.67549896,15.54895878,-2.680291653,19.3129158,-3.254458427,825,100,36,24.62161827,265,146,217,160,1.477687668,-1.060441413,1.818472616,0.8084, NA, NA, NA, NA
1676,-86.607,41.879,Arabidopsis,9.691082954,9.575083733,26.79094315,954.298645,27.79725075,-7.942749977,35.74000168,21.23366737,-1.197041631,21.23366737,-2.350458384,963,98,43,20.96006584,281,167,281,176,1.152184718,-1.219579722,2.949899601,0.8815, NA, NA, NA, NA
1684,-86.607,41.879,Arabidopsis,9.691082954,9.575083733,26.79094315,954.298645,27.79725075,-7.942749977,35.74000168,21.23366737,-1.197041631,21.23366737,-2.350458384,963,98,43,20.96006584,281,167,281,176,1.152184718,-1.219579722,2.949899601,0.8815, NA, NA, NA, NA
1739,-85.398,42.405,Arabidopsis,8.847374916,11.19999981,29.56471252,995.8491211,28.47324944,-9.409749985,37.88299942,19.79920769,-2.485541582,20.8582077,-3.797250032,908,100,39,24.49279213,279,149,273,155,1.852600715,-0.883356679,3.224328015,0.8159,60,791, NA, NA
1741,-85.398,42.405,Arabidopsis,8.847374916,11.19999981,29.56471252,995.8491211,28.47324944,-9.409749985,37.88299942,19.79920769,-2.485541582,20.8582077,-3.797250032,908,100,39,24.49279213,279,149,273,155,1.852600715,-0.883356679,3.224328015,0.8159,60,791, NA, NA
1756,-86.358,42.184,Arabidopsis,9.614510536,8.813604355,26.17196083,913.2693481,26.88125038,-6.794499874,33.67575073,20.23958397,-0.981416643,20.70991707,-1.643083334,912,100,38,22.94632149,276,150,262,166,1.026600744,-1.035525933,2.269295446,0.8384,55,795, NA, NA
1757,-86.358,42.184,Arabidopsis,9.614510536,8.813604355,26.17196083,913.2693481,26.88125038,-6.794499874,33.67575073,20.23958397,-0.981416643,20.70991707,-1.643083334,912,100,38,22.94632149,276,150,262,166,1.026600744,-1.035525933,2.269295446,0.8384,55,795, NA, NA
1793,-86.67,41.847,Arabidopsis,10.0673542,8.663958549,25.66281509,898.8580933,27.2717495,-6.488999844,33.76074982,20.99145889,-0.484999985,20.99145889,-0.818374991,956,99,42,21.70038605,281,164,281,171,0.739755766,-1.16205607,2.481657049,0.892,57,791, NA, NA
1797,-86.67,41.847,Arabidopsis,10.0673542,8.663958549,25.66281509,898.8580933,27.2717495,-6.488999844,33.76074982,20.99145889,-0.484999985,20.99145889,-0.818374991,956,99,42,21.70038605,281,164,281,171,0.739755766,-1.16205607,2.481657049,0.892,57,791, NA, NA
1819,-86.67,41.8,Arabidopsis,9.698353767,9.821416855,26.90485764,970.2156982,28.02075005,-8.483500481,36.50424957,21.35337448,-1.35708344,21.35337448,-2.669541836,984,105,44,21.8866291,294,170,294,174,1.145667937,-1.330261699,3.310543801,0.8834,62,635, NA, NA
1820,-86.67,41.8,Arabidopsis,9.698353767,9.821416855,26.90485764,970.2156982,28.02075005,-8.483500481,36.50424957,21.35337448,-1.35708344,21.35337448,-2.669541836,984,105,44,21.8866291,294,170,294,174,1.145667937,-1.330261699,3.310543801,0.8834,62,635, NA, NA
1829,-86.509,42.051,Arabidopsis,9.920645714,8.690750122,25.77996826,907.0771484,27.14974976,-6.561500072,33.71125031,20.54445839,-0.648041666,20.95187569,-1.165374994,935,98,41,21.54820442,276,159,270,171,0.860454431,-1.106424525,2.359853388,0.8531, NA, NA, NA, NA
1834,-86.509,42.051,Arabidopsis,9.920645714,8.690750122,25.77996826,907.0771484,27.14974976,-6.561500072,33.71125031,20.54445839,-0.648041666,20.95187569,-1.165374994,935,98,41,21.54820442,276,159,270,171,0.860454431,-1.106424525,2.359853388,0.8531, NA, NA, NA, NA
1835,-86.509,42.051,Arabidopsis,9.920645714,8.690750122,25.77996826,907.0771484,27.14974976,-6.561500072,33.71125031,20.54445839,-0.648041666,20.95187569,-1.165374994,935,98,41,21.54820442,276,159,270,171,0.860454431,-1.106424525,2.359853388,0.8531, NA, NA, NA, NA
1851,-86.2657,43.595,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8386,51,705, NA,0.01008306
1852,-86.2657,43.595,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8386,51,705, NA,0.01008306
1853,-86.2657,43.595,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8386,51,705, NA,0.01008306
1872,-86.2657,43.595,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8386,51,705, NA,0.01008306
1890,-86.1859,43.5139,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8176,48,550, NA,0.01008306
1925,-86.1843,43.5251,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8189,48,637, NA,0.01008306
1942,-86.1843,43.5251,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8189,48,637, NA,0.01008306
1943,-86.1843,43.5251,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8189,48,637, NA,0.01008306
1954,-86.1739,43.5187,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8193,46,478, NA,0.01008306
2016,-86.1788,43.5356,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8226,49,631, NA,0.01008306
2017,-86.1788,43.5356,Arabidopsis,7.696896076,10.9234581,29.45598793,979.2620239,27.15324974,-9.930749893,37.08399963,15.08912468,-3.728833199,19.43829155,-4.562041759,856,106,37,25.56896019,280,150,227,162,1.785039171,-1.159920913,2.524069967,0.8226,49,631, NA,0.01008306
2031,-86.412,42.166,Arabidopsis,9.690729141,9.88512516,27.42820549,970.2926636,28.13949966,-7.900500298,36.04000092,20.56441689,-1.247375011,21.44929123,-2.586666584,952,101,42,21.44506073,282,162,273,175,1.233951782,-1.045988852,3.047292279,0.8462,59,700, NA, NA
2053,-86.412,42.166,Arabidopsis,9.690729141,9.88512516,27.42820549,970.2926636,28.13949966,-7.900500298,36.04000092,20.56441689,-1.247375011,21.44929123,-2.586666584,952,101,42,21.44506073,282,162,273,175,1.233951782,-1.045988852,3.047292279,0.8462,59,700, NA, NA
2057,-86.412,42.166,Arabidopsis,9.690729141,9.88512516,27.42820549,970.2926636,28.13949966,-7.900500298,36.04000092,20.56441689,-1.247375011,21.44929123,-2.586666584,952,101,42,21.44506073,282,162,273,175,1.233951782,-1.045988852,3.047292279,0.8462,59,700, NA, NA
2081,-86.3368,43.2483,Arabidopsis,8.709708214,8.979624748,27.35938835,878.5587769,26.02425003,-6.796750069,32.82099915,16.11533356,-1.618375063,19.35012436,-1.825583339,819,100,35,24.31304359,260,145,212,160,1.097217602,-0.899065381,1.437631376,0.7923,49,659, NA, NA
2091,-86.3368,43.2483,Arabidopsis,8.709708214,8.979624748,27.35938835,878.5587769,26.02425003,-6.796750069,32.82099915,16.11533356,-1.618375063,19.35012436,-1.825583339,819,100,35,24.31304359,260,145,212,160,1.097217602,-0.899065381,1.437631376,0.7923,49,659, NA, NA
2106,-86.0891,43.2749,Arabidopsis,8.331927299,10.63839626,29.1516819,970.2974854,27.41749954,-9.075750351,36.49324799,15.4503746,-2.836458445,20.0079155,-3.874916553,842,103,35,24.4471035,267,151,220,163,1.715727399,-0.881345363,2.388470986,0.7975,52,494,0.528501987,0.131016105
2108,-86.0891,43.2749,Arabidopsis,8.331927299,10.63839626,29.1516819,970.2974854,27.41749954,-9.075750351,36.49324799,15.4503746,-2.836458445,20.0079155,-3.874916553,842,103,35,24.4471035,267,151,220,163,1.715727399,-0.881345363,2.388470986,0.7975,52,494,0.528501987,0.131016105
2141,-86.0891,43.2749,Arabidopsis,8.331927299,10.63839626,29.1516819,970.2974854,27.41749954,-9.075750351,36.49324799,15.4503746,-2.836458445,20.0079155,-3.874916553,842,103,35,24.4471035,267,151,220,163,1.715727399,-0.881345363,2.388470986,0.7975,52,494,0.528501987,0.131016105
