PC1_Arabidopsis,PC1_Barley,PC1_Rice,PC1_Maize,PC1_Sorghum,PC2_Arabidopsis,PC2_Barley,PC2_Rice,PC2_Maize,PC2_Sorghum,PC3_Arabidopsis,PC3_Barley,PC3_Rice,PC3_Maize,PC3_Sorghum,pH_Arabidopsis,pH_Barley,pH_Rice,pH_Maize,pH_Sorghum,soilN_Arabidopsis,soilN_Barley,soilN_Rice,soilN_Maize,soilN_Sorghum,AM_rel_Arabidopsis,AM_rel_Barley,AM_rel_Rice,AM_rel_Maize,AM_rel_Sorghum,AM_roots_Arabidopsis,AM_roots_Barley,AM_roots_Rice,AM_roots_Maize,AM_roots_Sorghum,aridity_Arabidopsis,aridity_Barley,aridity_Rice,aridity_Maize,aridity_Sorghum
AT1G04780,HORVU.MOREX.r3.1HG0068060,LOC_Os01g07500,Zm00001eb006010,SORBI_3001G031700,AT1G06070,HORVU.MOREX.r3.1HG0046900,LOC_Os01g09270,Zm00001eb004030,SORBI_3001G042800,AT1G04250,HORVU.MOREX.r3.1HG0057910,LOC_Os01g06000,Zm00001eb008400,SORBI_3001G046800,AT1G06960,HORVU.MOREX.r3.1HG0029510,LOC_Os01g02190,Zm00001eb004030,SORBI_3001G030600,AT1G04610,HORVU.MOREX.r3.1HG0007240,LOC_Os02g02870,Zm00001eb004100,SORBI_3001G047800,AT1G09080,HORVU.MOREX.r3.1HG0070090,LOC_Os01g09150,Zm00001eb010640,SORBI_3001G209000,AT1G06700,HORVU.MOREX.r3.1HG0066860,LOC_Os01g08190,Zm00001eb002620,SORBI_3001G079500,AT1G05180,HORVU.MOREX.r3.1HG0057430,LOC_Os01g02830,Zm00001eb022050,SORBI_3005G005600
AT1G05010,HORVU.MOREX.r3.1HG0068140,LOC_Os01g08320,Zm00001eb006020,SORBI_3001G031800,AT1G06400,HORVU.MOREX.r3.1HG0048030,LOC_Os01g09400,Zm00001eb005700,SORBI_3001G043800,AT1G04430,HORVU.MOREX.r3.1HG0058280,LOC_Os01g06090,Zm00001eb008450,SORBI_3001G047000,AT1G06980,HORVU.MOREX.r3.1HG0041600,LOC_Os01g03230,Zm00001eb004490,SORBI_3001G030900,AT1G04635,HORVU.MOREX.r3.1HG0007250,LOC_Os02g02910,Zm00001eb004390,SORBI_3001G047900,AT1G09157,HORVU.MOREX.r3.1HG0077190,LOC_Os01g09240,Zm00001eb012270,SORBI_3001G209200,AT1G06890,HORVU.MOREX.r3.1HG0069260,LOC_Os01g08510,Zm00001eb003150,SORBI_3001G079600,AT1G05470,HORVU.MOREX.r3.1HG0059350,LOC_Os01g07870,Zm00001eb028580,SORBI_3006G206800
AT1G05470,HORVU.MOREX.r3.1HG0077510,LOC_Os01g08350,Zm00001eb006350,SORBI_3001G031900,AT1G06800,HORVU.MOREX.r3.1HG0049770,LOC_Os01g09500,Zm00001eb006350,SORBI_3001G044000,AT1G04985,HORVU.MOREX.r3.1HG0059350,LOC_Os01g06640,Zm00001eb008660,SORBI_3001G047400,AT1G07090,HORVU.MOREX.r3.1HG0043000,LOC_Os01g05080,Zm00001eb006270,SORBI_3001G047400,AT1G04750,HORVU.MOREX.r3.1HG0008310,LOC_Os02g06890,Zm00001eb004410,SORBI_3001G048100,AT1G12020,HORVU.MOREX.r3.1HG0077340,LOC_Os01g09400,Zm00001eb012300,SORBI_3001G209300,AT1G07410,HORVU.MOREX.r3.1HG0071320,LOC_Os01g08970,Zm00001eb003170,SORBI_3001G080000,AT1G05670,HORVU.MOREX.r3.1HG0065550,LOC_Os01g08250,Zm00001eb031340,SORBI_3006G217000
AT1G05530,HORVU.MOREX.r3.1HG0077950,LOC_Os01g09240,Zm00001eb006360,SORBI_3001G032000,AT1G06890,HORVU.MOREX.r3.1HG0052940,LOC_Os01g09520,Zm00001eb006940,SORBI_3001G044100,AT1G04990,HORVU.MOREX.r3.1HG0060630,LOC_Os01g06740,Zm00001eb009080,SORBI_3001G047600,AT1G07630,HORVU.MOREX.r3.1HG0052290,LOC_Os01g05744,Zm00001eb006350,SORBI_3001G047800,AT1G05120,HORVU.MOREX.r3.1HG0008890,LOC_Os02g45520,Zm00001eb004420,SORBI_3001G062700,AT1G12110,HORVU.MOREX.r3.1HG0077430,LOC_Os02g01800,Zm00001eb012470,SORBI_3001G212800,AT1G08360,HORVU.MOREX.r3.1HG0073130,LOC_Os01g08990,Zm00001eb003230,SORBI_3001G080200,AT1G05990,HORVU.MOREX.r3.1HG0066860,LOC_Os01g08260,Zm00001eb031560,SORBI_3006G280200
AT1G06410,HORVU.MOREX.r3.1HG0077960,LOC_Os02g02000,Zm00001eb006660,SORBI_3001G040400,AT1G07520,HORVU.MOREX.r3.1HG0067900,LOC_Os02g01355,Zm00001eb009090,SORBI_3001G047800,AT1G05010,HORVU.MOREX.r3.1HG0060640,LOC_Os01g07720,Zm00001eb009940,SORBI_3001G047800,AT1G08090,HORVU.MOREX.r3.1HG0052350,LOC_Os01g06490,Zm00001eb006360,SORBI_3001G054500,AT1G05470,HORVU.MOREX.r3.1HG0008900,LOC_Os03g04250,Zm00001eb005530,SORBI_3001G062900,AT1G12140,HORVU.MOREX.r3.1HG0077440,LOC_Os02g01825,Zm00001eb012780,SORBI_3001G213400,AT1G08465,HORVU.MOREX.r3.1HG0075890,LOC_Os02g01800,Zm00001eb004020,SORBI_3001G080600,AT1G06210,HORVU.MOREX.r3.1HG0069870,LOC_Os01g08500,Zm00001eb031840,SORBI_3007G087400
AT1G07410,HORVU.MOREX.r3.1HG0083700,LOC_Os02g02290,Zm00001eb006700,SORBI_3001G040500,AT1G07630,HORVU.MOREX.r3.1HG0067910,LOC_Os02g05370,Zm00001eb009160,SORBI_3001G047900,AT1G05180,HORVU.MOREX.r3.1HG0061330,LOC_Os01g07870,Zm00001eb009950,SORBI_3001G047900,AT1G09980,HORVU.MOREX.r3.1HG0053480,LOC_Os01g06660,Zm00001eb006380,SORBI_3001G054700,AT1G05520,HORVU.MOREX.r3.1HG0010340,LOC_Os03g07480,Zm00001eb006350,SORBI_3001G063300,AT1G12820,HORVU.MOREX.r3.1HG0077470,LOC_Os02g01840,Zm00001eb013610,SORBI_3001G213500,AT1G08810,HORVU.MOREX.r3.1HG0077190,LOC_Os02g02290,Zm00001eb004030,SORBI_3001G080700,AT1G06400,HORVU.MOREX.r3.1HG0070290,LOC_Os01g09520,Zm00001eb031930,SORBI_3007G090200
AT1G08000,HORVU.MOREX.r3.1HG0091840,LOC_Os02g02910,Zm00001eb006770,SORBI_3001G041200,AT1G09570,HORVU.MOREX.r3.1HG0067930,LOC_Os02g07180,Zm00001eb013180,SORBI_3001G048000,AT1G05510,HORVU.MOREX.r3.1HG0070000,LOC_Os01g08250,Zm00001eb010110,SORBI_3001G076300,AT1G10090,HORVU.MOREX.r3.1HG0053610,LOC_Os01g07080,Zm00001eb006550,SORBI_3001G054800,AT1G05670,HORVU.MOREX.r3.1HG0010640,LOC_Os03g08220,Zm00001eb006360,SORBI_3001G063400,AT1G12880,HORVU.MOREX.r3.1HG0077500,LOC_Os02g02730,Zm00001eb013620,SORBI_3001G249000,AT1G09080,HORVU.MOREX.r3.1HG0077790,LOC_Os02g04400,Zm00001eb004170,SORBI_3001G080800,AT1G06890,HORVU.MOREX.r3.1HG0073500,LOC_Os02g01890,Zm00001eb033820,SORBI_3007G090436
AT1G08010,HORVU.MOREX.r3.1HG0091860,LOC_Os02g04990,Zm00001eb006940,SORBI_3001G041600,AT1G09575,HORVU.MOREX.r3.1HG0068140,LOC_Os03g01460,Zm00001eb014470,SORBI_3001G048700,AT1G05670,HORVU.MOREX.r3.1HG0070150,LOC_Os01g08260,Zm00001eb010370,SORBI_3001G076400,AT1G10120,HORVU.MOREX.r3.1HG0054280,LOC_Os01g07500,Zm00001eb006920,SORBI_3001G082700,AT1G05890,HORVU.MOREX.r3.1HG0013800,LOC_Os04g04150,Zm00001eb006380,SORBI_3001G070800,AT1G13140,HORVU.MOREX.r3.1HG0077510,LOC_Os02g05120,Zm00001eb014630,SORBI_3001G249100,AT1G09812,HORVU.MOREX.r3.1HG0082530,LOC_Os03g01920,Zm00001eb004290,SORBI_3001G133900,AT1G07520,HORVU.MOREX.r3.1HG0077620,LOC_Os02g05340,Zm00001eb034040,SORBI_3007G090460
AT1G08090,HORVU.MOREX.r3.1HG0092000,LOC_Os02g05365,Zm00001eb007310,SORBI_3001G047900,AT1G09780,HORVU.MOREX.r3.1HG0069540,LOC_Os03g01520,Zm00001eb015330,SORBI_3001G052300,AT1G07090,HORVU.MOREX.r3.1HG0073070,LOC_Os01g08500,Zm00001eb010450,SORBI_3001G076600,AT1G10410,HORVU.MOREX.r3.1HG0057350,LOC_Os01g08320,Zm00001eb007010,SORBI_3001G083000,AT1G06400,HORVU.MOREX.r3.1HG0041440,LOC_Os04g05420,Zm00001eb006870,SORBI_3001G070900,AT1G13150,HORVU.MOREX.r3.1HG0078200,LOC_Os02g05550,Zm00001eb015570,SORBI_3001G250200,AT1G09980,HORVU.MOREX.r3.1HG0082770,LOC_Os03g02140,Zm00001eb004500,SORBI_3001G134200,AT1G07530,HORVU.MOREX.r3.1HG0091430,LOC_Os02g06890,Zm00001eb035050,SORBI_3007G090600
AT1G08100,HORVU.MOREX.r3.2HG0095740,LOC_Os02g05370,Zm00001eb007960,SORBI_3001G048000,AT1G09840,HORVU.MOREX.r3.1HG0075570,LOC_Os03g01720,Zm00001eb015430,SORBI_3001G062700,AT1G07240,HORVU.MOREX.r3.1HG0077950,LOC_Os01g08540,Zm00001eb011650,SORBI_3001G076700,AT1G10430,HORVU.MOREX.r3.1HG0059350,LOC_Os01g08750,Zm00001eb007020,SORBI_3001G083100,AT1G06890,HORVU.MOREX.r3.1HG0052290,LOC_Os05g04730,Zm00001eb007070,SORBI_3001G084000,AT1G13380,HORVU.MOREX.r3.1HG0091020,LOC_Os02g06430,Zm00001eb016040,SORBI_3001G250300,AT1G10250,HORVU.MOREX.r3.1HG0088480,LOC_Os03g02150,Zm00001eb004550,SORBI_3001G135100,AT1G07745,HORVU.MOREX.r3.2HG0095520,LOC_Os03g01620,Zm00001eb036890,SORBI_3007G091100
AT1G08230,HORVU.MOREX.r3.2HG0097810,LOC_Os02g05500,Zm00001eb008920,SORBI_3001G048700,AT1G09920,HORVU.MOREX.r3.1HG0080750,LOC_Os03g01800,Zm00001eb015940,SORBI_3001G062900,AT1G07250,HORVU.MOREX.r3.1HG0077960,LOC_Os01g08750,Zm00001eb011960,SORBI_3001G085200,AT1G10960,HORVU.MOREX.r3.1HG0061140,LOC_Os01g09240,Zm00001eb007150,SORBI_3001G099100,AT1G06980,HORVU.MOREX.r3.1HG0065860,LOC_Os06g01934,Zm00001eb007610,SORBI_3001G084100,AT1G13390,HORVU.MOREX.r3.1HG0091350,LOC_Os02g06570,Zm00001eb016730,SORBI_3001G267500,AT1G10280,HORVU.MOREX.r3.1HG0088680,LOC_Os04g04590,Zm00001eb004630,SORBI_3001G136300,AT1G08590,HORVU.MOREX.r3.2HG0099950,LOC_Os03g01660,Zm00001eb037300,SORBI_3007G092400
AT1G08830,HORVU.MOREX.r3.2HG0100660,LOC_Os02g05630,Zm00001eb009110,SORBI_3001G057400,AT1G09930,HORVU.MOREX.r3.1HG0080940,LOC_Os03g03300,Zm00001eb015950,SORBI_3001G063300,AT1G07440,HORVU.MOREX.r3.1HG0079040,LOC_Os01g09520,Zm00001eb012060,SORBI_3001G133900,AT1G10970,HORVU.MOREX.r3.1HG0062480,LOC_Os01g09252,Zm00001eb009490,SORBI_3001G099800,AT1G07370,HORVU.MOREX.r3.1HG0071500,LOC_Os07g01200,Zm00001eb008400,SORBI_3001G089800,AT1G13440,HORVU.MOREX.r3.1HG0091430,LOC_Os02g07460,Zm00001eb017630,SORBI_3001G269000,AT1G10430,HORVU.MOREX.r3.1HG0088870,LOC_Os04g05550,Zm00001eb004650,SORBI_3001G193400,AT1G09840,HORVU.MOREX.r3.2HG0104680,LOC_Os03g03880,Zm00001eb040580,SORBI_3007G151900
AT1G09575,HORVU.MOREX.r3.2HG0104890,LOC_Os02g06920,Zm00001eb009240,SORBI_3001G057500,AT1G10430,HORVU.MOREX.r3.1HG0088480,LOC_Os03g03334,Zm00001eb015960,SORBI_3001G065600,AT1G09157,HORVU.MOREX.r3.1HG0088480,LOC_Os01g09730,Zm00001eb012070,SORBI_3001G223200,AT1G11250,HORVU.MOREX.r3.1HG0065860,LOC_Os01g09270,Zm00001eb009500,SORBI_3001G186700,AT1G07630,HORVU.MOREX.r3.1HG0073500,LOC_Os07g04180,Zm00001eb008470,SORBI_3001G090100,AT1G13600,HORVU.MOREX.r3.1HG0091840,LOC_Os03g01008,Zm00001eb018090,SORBI_3001G290500,AT1G12110,HORVU.MOREX.r3.2HG0097190,LOC_Os04g06510,Zm00001eb004710,SORBI_3001G193700,AT1G09960,HORVU.MOREX.r3.2HG0106600,LOC_Os03g06930,Zm00001eb040900,SORBI_3008G071300
AT1G09660,HORVU.MOREX.r3.2HG0107740,LOC_Os02g06980,Zm00001eb009250,SORBI_3001G057600,AT1G10830,HORVU.MOREX.r3.2HG0095510,LOC_Os03g03760,Zm00001eb016160,SORBI_3001G065800,AT1G09250,HORVU.MOREX.r3.1HG0090860,LOC_Os02g02910,Zm00001eb012800,SORBI_3001G244300,AT1G11530,HORVU.MOREX.r3.1HG0066050,LOC_Os01g09290,Zm00001eb010150,SORBI_3001G186800,AT1G07645,HORVU.MOREX.r3.1HG0076060,LOC_Os07g06274,Zm00001eb008800,SORBI_3001G090500,AT1G14010,HORVU.MOREX.r3.1HG0092020,LOC_Os04g03680,Zm00001eb019800,SORBI_3001G290600,AT1G12500,HORVU.MOREX.r3.2HG0097240,LOC_Os05g01060,Zm00001eb005530,SORBI_3001G195800,AT1G10020,HORVU.MOREX.r3.2HG0110850,LOC_Os03g07480,Zm00001eb042260,SORBI_3008G073700
AT1G09780,HORVU.MOREX.r3.2HG0108050,LOC_Os02g06990,Zm00001eb010500,SORBI_3001G057800,AT1G10880,HORVU.MOREX.r3.2HG0095520,LOC_Os03g08220,Zm00001eb017330,SORBI_3001G066100,AT1G09640,HORVU.MOREX.r3.1HG0090920,LOC_Os02g05550,Zm00001eb013690,SORBI_3001G296800,AT1G11650,HORVU.MOREX.r3.1HG0075890,LOC_Os01g09640,Zm00001eb010160,SORBI_3001G187000,AT1G07745,HORVU.MOREX.r3.1HG0076820,LOC_Os08g01190,Zm00001eb009080,SORBI_3001G103900,AT1G14160,HORVU.MOREX.r3.1HG0092410,LOC_Os04g03980,Zm00001eb020090,SORBI_3001G296100,AT1G12820,HORVU.MOREX.r3.2HG0097280,LOC_Os05g01080,Zm00001eb006010,SORBI_3001G196000,AT1G10410,HORVU.MOREX.r3.2HG0116500,LOC_Os03g07560,Zm00001eb046210,SORBI_3010G149300
AT1G09840,HORVU.MOREX.r3.2HG0110140,LOC_Os02g07020,Zm00001eb011200,SORBI_3001G063300,AT1G10900,HORVU.MOREX.r3.2HG0096800,LOC_Os04g04150,Zm00001eb018360,SORBI_3001G066300,AT1G09750,HORVU.MOREX.r3.1HG0091010,LOC_Os02g05630,Zm00001eb013700,SORBI_3001G296900,AT1G11660,HORVU.MOREX.r3.1HG0077430,LOC_Os02g02910,Zm00001eb010420,SORBI_3001G192000,AT1G08420,HORVU.MOREX.r3.1HG0077190,LOC_Os08g02900,Zm00001eb009490,SORBI_3001G104100,AT1G14320,HORVU.MOREX.r3.1HG0094470,LOC_Os04g04150,Zm00001eb021390,SORBI_3001G314500,AT1G13140,HORVU.MOREX.r3.2HG0097360,LOC_Os05g01250,Zm00001eb006020,SORBI_3001G196100,AT1G11670,HORVU.MOREX.r3.2HG0172940,LOC_Os03g07630,Zm00001eb048420,
AT1G09920,HORVU.MOREX.r3.2HG0111100,LOC_Os03g01240,Zm00001eb012950,SORBI_3001G074400,AT1G11050,HORVU.MOREX.r3.2HG0097830,LOC_Os04g04520,Zm00001eb018860,SORBI_3001G074000,AT1G09840,HORVU.MOREX.r3.1HG0091020,LOC_Os02g05800,Zm00001eb014150,SORBI_3001G333400,AT1G11670,HORVU.MOREX.r3.1HG0077510,LOC_Os02g05120,Zm00001eb010820,SORBI_3001G192100,AT1G08590,HORVU.MOREX.r3.1HG0077210,LOC_Os08g04450,Zm00001eb009550,SORBI_3001G104500,AT1G14340,HORVU.MOREX.r3.1HG0094890,LOC_Os04g04610,Zm00001eb021470,SORBI_3001G314600,AT1G13150,HORVU.MOREX.r3.2HG0097440,LOC_Os05g01500,Zm00001eb006270,SORBI_3001G206400,AT1G12110,HORVU.MOREX.r3.2HG0183850,LOC_Os03g07650,Zm00001eb050110,
AT1G09970,HORVU.MOREX.r3.2HG0112580,LOC_Os03g01320,Zm00001eb013800,SORBI_3001G074601,AT1G11080,HORVU.MOREX.r3.2HG0097840,LOC_Os04g05560,Zm00001eb020320,SORBI_3001G074400,AT1G10020,HORVU.MOREX.r3.1HG0091430,LOC_Os02g06980,Zm00001eb015530,SORBI_3001G333500,AT1G11820,HORVU.MOREX.r3.1HG0078730,LOC_Os02g06754,Zm00001eb010950,SORBI_3001G195000,AT1G08830,HORVU.MOREX.r3.1HG0077830,LOC_Os08g05490,Zm00001eb011650,SORBI_3001G195800,AT1G14400,HORVU.MOREX.r3.1HG0095170,LOC_Os04g05070,Zm00001eb021510,SORBI_3001G314700,AT1G13190,HORVU.MOREX.r3.2HG0097600,LOC_Os05g01530,Zm00001eb006350,SORBI_3001G206900,AT1G12450,HORVU.MOREX.r3.2HG0184710,LOC_Os03g07660,Zm00001eb052440,
