PC1_Arabidopsis,PC1_Barley,PC1_Rice,PC1_Maize,PC1_Sorghum,PC2_Arabidopsis,PC2_Barley,PC2_Rice,PC2_Maize,PC2_Sorghum,PC3_Arabidopsis,PC3_Barley,PC3_Rice,PC3_Maize,PC3_Sorghum,pH_Arabidopsis,pH_Barley,pH_Rice,pH_Maize,pH_Sorghum,soilN_Arabidopsis,soilN_Barley,soilN_Rice,soilN_Maize,soilN_Sorghum,AM_rel_Arabidopsis,AM_rel_Barley,AM_rel_Rice,AM_rel_Maize,AM_rel_Sorghum,AM_roots_Arabidopsis,AM_roots_Barley,AM_roots_Rice,AM_roots_Maize,AM_roots_Sorghum,aridity_Arabidopsis,aridity_Barley,aridity_Rice,aridity_Maize,aridity_Sorghum
AT1G01695,HORVU.MOREX.r3.1HG0002090,LOC_Os01g01140,Zm00001eb001640,SORBI_3001G012500,AT1G02205,HORVU.MOREX.r3.1HG0003970,LOC_Os01g01810,Zm00001eb001050,SORBI_3001G032550,AT1G01110,HORVU.MOREX.r3.1HG0002680,LOC_Os01g01484,Zm00001eb001470,SORBI_3001G016400,AT1G01660,HORVU.MOREX.r3.1HG0002840,LOC_Os01g01140,Zm00001eb001350,SORBI_3001G025700,AT1G01650,HORVU.MOREX.r3.1HG0001930,LOC_Os01g07070,Zm00001eb001130,SORBI_3001G041450,AT1G01720,HORVU.MOREX.r3.1HG0006410,LOC_Os01g03210,Zm00001eb001690,SORBI_3001G025000,AT1G02100,HORVU.MOREX.r3.1HG0003310,LOC_Os01g03130,Zm00001eb001330,SORBI_3001G066600,AT1G01390,HORVU.MOREX.r3.1HG0004020,LOC_Os01g01369,AR3,SORBI_3001G134600
AT1G01790,HORVU.MOREX.r3.1HG0002100,LOC_Os01g01150,Zm00001eb001650,SORBI_3001G019200,AT1G02210,HORVU.MOREX.r3.1HG0003980,LOC_Os01g01830,Zm00001eb001060,SORBI_3001G032700,AT1G01120,HORVU.MOREX.r3.1HG0002690,LOC_Os01g01500,Zm00001eb001480,SORBI_3001G016500,AT1G01670,HORVU.MOREX.r3.1HG0002850,LOC_Os01g01150,Zm00001eb001360,SORBI_3001G025800,AT1G01660,HORVU.MOREX.r3.1HG0001940,LOC_Os01g07790,Zm00001eb001140,SORBI_3001G041500,AT1G01725,HORVU.MOREX.r3.1HG0006420,LOC_Os01g03580,Zm00001eb001700,SORBI_3001G025101,AT1G02110,HORVU.MOREX.r3.1HG0004280,LOC_Os01g03144,Zm00001eb001520,SORBI_3001G066700,AT1G01400,HORVU.MOREX.r3.1HG0004230,LOC_Os01g01380,ARAD1_0,SORBI_3001G223300
AT1G01810,HORVU.MOREX.r3.1HG0002770,LOC_Os01g01170,Zm00001eb001670,SORBI_3001G019300,AT1G02220,HORVU.MOREX.r3.1HG0003990,LOC_Os01g02010,Zm00001eb001140,SORBI_3001G032800,AT1G01130,HORVU.MOREX.r3.1HG0002750,LOC_Os01g01640,Zm00001eb001490,SORBI_3001G016600,AT1G01680,HORVU.MOREX.r3.1HG0002860,LOC_Os01g01170,Zm00001eb001370,SORBI_3001G025900,AT1G01670,HORVU.MOREX.r3.1HG0001950,LOC_Os01g07800,Zm00001eb001150,SORBI_3001G041600,AT1G01770,HORVU.MOREX.r3.1HG0006430,LOC_Os01g03590,Zm00001eb001710,SORBI_3001G025201,AT1G02120,HORVU.MOREX.r3.1HG0004290,LOC_Os01g03160,Zm00001eb001530,SORBI_3001G066800,AT1G01420,HORVU.MOREX.r3.1HG0005370,LOC_Os01g01390,ARF11,SORBI_3001G313900
AT1G01830,HORVU.MOREX.r3.1HG0002800,LOC_Os01g01190,Zm00001eb001780,SORBI_3001G019400,AT1G02230,HORVU.MOREX.r3.1HG0004000,LOC_Os01g02050,Zm00001eb001150,SORBI_3001G032850,AT1G01140,HORVU.MOREX.r3.1HG0003260,LOC_Os01g01830,Zm00001eb001500,SORBI_3001G016700,AT1G01695,HORVU.MOREX.r3.1HG0002870,LOC_Os01g01190,Zm00001eb001400,SORBI_3001G026000,AT1G01680,HORVU.MOREX.r3.1HG0001980,LOC_Os01g07820,Zm00001eb001160,SORBI_3001G041700,AT1G01950,HORVU.MOREX.r3.1HG0010020,LOC_Os01g03900,Zm00001eb001720,SORBI_3001G025300,AT1G02130,HORVU.MOREX.r3.1HG0004300,LOC_Os01g03170,Zm00001eb001560,SORBI_3001G066900,AT1G01430,HORVU.MOREX.r3.1HG0010930,LOC_Os01g01400,ARF4,SORBI_3001G356600
AT1G02220,HORVU.MOREX.r3.1HG0002810,LOC_Os01g01200,Zm00001eb001790,SORBI_3001G019500,AT1G02260,HORVU.MOREX.r3.1HG0004210,LOC_Os01g02360,Zm00001eb001160,SORBI_3001G032900,AT1G01150,HORVU.MOREX.r3.1HG0003270,LOC_Os01g01900,Zm00001eb001950,SORBI_3001G016800,AT1G01700,HORVU.MOREX.r3.1HG0002880,LOC_Os01g01200,Zm00001eb001510,SORBI_3001G026100,AT1G01700,HORVU.MOREX.r3.1HG0001990,LOC_Os01g07830,Zm00001eb001170,SORBI_3001G042200,AT1G02080,HORVU.MOREX.r3.1HG0010030,LOC_Os01g04010,Zm00001eb001740,SORBI_3001G038300,AT1G02140,HORVU.MOREX.r3.1HG0004310,LOC_Os01g03190,Zm00001eb001570,SORBI_3001G067000,AT1G01448,HORVU.MOREX.r3.1HG0011080,LOC_Os01g01410,ARF_5,SORBI_3001G359800
AT1G02330,HORVU.MOREX.r3.1HG0003800,LOC_Os01g01210,Zm00001eb001800,SORBI_3001G019601,AT1G02270,HORVU.MOREX.r3.1HG0004220,LOC_Os01g02790,Zm00001eb001170,SORBI_3001G033000,AT1G01183,HORVU.MOREX.r3.1HG0003280,LOC_Os01g02040,Zm00001eb001960,SORBI_3001G023300,AT1G01710,HORVU.MOREX.r3.1HG0002890,LOC_Os01g01210,Zm00001eb001550,SORBI_3001G026200,AT1G01830,HORVU.MOREX.r3.1HG0002350,LOC_Os01g07940,Zm00001eb001180,SORBI_3001G042301,AT1G02090,HORVU.MOREX.r3.1HG0010060,LOC_Os01g04020,Zm00001eb002000,SORBI_3001G038400,AT1G02190,HORVU.MOREX.r3.1HG0004320,LOC_Os01g03200,Zm00001eb001720,SORBI_3001G070800,AT1G01453,HORVU.MOREX.r3.1HG0011440,LOC_Os01g01420,ASPG1_4,SORBI_3001G379200
AT1G02350,HORVU.MOREX.r3.1HG0003890,LOC_Os01g01240,Zm00001eb001810,SORBI_3001G030400,AT1G02300,HORVU.MOREX.r3.1HG0004230,LOC_Os01g03070,Zm00001eb001180,SORBI_3001G033100,AT1G01230,HORVU.MOREX.r3.1HG0004910,LOC_Os01g02050,Zm00001eb001970,SORBI_3001G023400,AT1G01880,HORVU.MOREX.r3.1HG0003080,LOC_Os01g01240,Zm00001eb001610,SORBI_3001G026300,AT1G01960,HORVU.MOREX.r3.1HG0002380,LOC_Os01g07950,Zm00001eb001190,SORBI_3001G042400,AT1G02350,HORVU.MOREX.r3.1HG0011540,LOC_Os01g04030,Zm00001eb002010,SORBI_3001G038450,AT1G02210,HORVU.MOREX.r3.1HG0004340,LOC_Os01g03210,Zm00001eb001740,SORBI_3001G070900,AT1G01480,HORVU.MOREX.r3.1HG0011510,LOC_Os01g01430,ATL72_0,SORBI_3001G399100
AT1G02400,HORVU.MOREX.r3.1HG0003900,LOC_Os01g01250,Zm00001eb001820,SORBI_3001G030500,AT1G02350,HORVU.MOREX.r3.1HG0004240,LOC_Os01g03110,Zm00001eb001190,SORBI_3001G033200,AT1G01240,HORVU.MOREX.r3.1HG0005170,LOC_Os01g02060,Zm00001eb001980,SORBI_3001G023500,AT1G01920,HORVU.MOREX.r3.1HG0003090,LOC_Os01g01250,Zm00001eb001620,SORBI_3001G026400,AT1G02065,HORVU.MOREX.r3.1HG0002390,LOC_Os01g07970,Zm00001eb001470,SORBI_3001G042500,AT1G02360,HORVU.MOREX.r3.1HG0011550,LOC_Os01g04050,Zm00001eb002020,SORBI_3001G038500,AT1G02250,HORVU.MOREX.r3.1HG0007100,LOC_Os01g03510,Zm00001eb001760,SORBI_3001G071000,AT1G01490,HORVU.MOREX.r3.1HG0013220,LOC_Os01g01440,AUX10,SORBI_3001G401975
AT1G02420,HORVU.MOREX.r3.1HG0003910,LOC_Os01g01260,Zm00001eb001830,SORBI_3001G030600,AT1G02380,HORVU.MOREX.r3.1HG0004280,LOC_Os01g03600,Zm00001eb001260,SORBI_3001G041400,AT1G01320,HORVU.MOREX.r3.1HG0005190,LOC_Os01g02070,Zm00001eb001990,SORBI_3001G023600,AT1G01930,HORVU.MOREX.r3.1HG0003100,LOC_Os01g01260,Zm00001eb001630,SORBI_3001G026500,AT1G02310,HORVU.MOREX.r3.1HG0002630,LOC_Os01g07980,Zm00001eb001480,SORBI_3001G042600,AT1G02370,HORVU.MOREX.r3.1HG0012670,LOC_Os01g04090,Zm00001eb002100,SORBI_3001G038601,AT1G02270,HORVU.MOREX.r3.1HG0007590,LOC_Os01g03520,Zm00001eb001810,SORBI_3001G071100,AT1G01500,HORVU.MOREX.r3.1HG0013700,LOC_Os01g01450,At1g03370_2,SORBI_3002G125800
AT1G02430,HORVU.MOREX.r3.1HG0003920,LOC_Os01g01270,Zm00001eb001840,SORBI_3001G030800,AT1G02390,HORVU.MOREX.r3.1HG0004290,LOC_Os01g03720,Zm00001eb001270,SORBI_3001G041450,AT1G01440,HORVU.MOREX.r3.1HG0006210,LOC_Os01g02090,Zm00001eb002000,SORBI_3001G023700,AT1G01940,HORVU.MOREX.r3.1HG0003110,LOC_Os01g01270,Zm00001eb001640,SORBI_3001G026600,AT1G02330,HORVU.MOREX.r3.1HG0002840,LOC_Os01g08120,Zm00001eb001610,SORBI_3001G042700,AT1G02400,HORVU.MOREX.r3.1HG0012680,LOC_Os01g04110,Zm00001eb002170,SORBI_3001G038700,AT1G02300,HORVU.MOREX.r3.1HG0007700,LOC_Os01g03530,Zm00001eb001820,SORBI_3001G071200,AT1G01510,HORVU.MOREX.r3.1HG0014340,LOC_Os01g01470,At1g12460_0,SORBI_3002G190700
AT1G02450,HORVU.MOREX.r3.1HG0003950,LOC_Os01g01280,Zm00001eb001960,SORBI_3001G030900,AT1G02400,HORVU.MOREX.r3.1HG0004300,LOC_Os01g03880,Zm00001eb001280,SORBI_3001G041500,AT1G01448,HORVU.MOREX.r3.1HG0006230,LOC_Os01g02100,Zm00001eb002010,SORBI_3001G023800,AT1G01960,HORVU.MOREX.r3.1HG0003690,LOC_Os01g01280,Zm00001eb001650,SORBI_3001G026700,AT1G02340,HORVU.MOREX.r3.1HG0002850,LOC_Os01g08160,Zm00001eb001620,SORBI_3001G042800,AT1G02405,HORVU.MOREX.r3.1HG0013050,LOC_Os01g04220,Zm00001eb002180,SORBI_3001G038800,AT1G02305,HORVU.MOREX.r3.1HG0007840,LOC_Os01g03549,Zm00001eb001830,SORBI_3001G071250,AT1G01520,HORVU.MOREX.r3.1HG0014620,LOC_Os01g01484,At1g21890_0,SORBI_3002G268100
AT1G02460,HORVU.MOREX.r3.1HG0003990,LOC_Os01g01290,Zm00001eb001970,SORBI_3001G031000,AT1G02480,HORVU.MOREX.r3.1HG0004310,LOC_Os01g03940,Zm00001eb001290,SORBI_3001G041600,AT1G01453,HORVU.MOREX.r3.1HG0006570,LOC_Os01g02110,Zm00001eb002020,SORBI_3001G023900,AT1G01980,HORVU.MOREX.r3.1HG0003780,LOC_Os01g01290,Zm00001eb001680,SORBI_3001G026800,AT1G02350,HORVU.MOREX.r3.1HG0002860,LOC_Os01g08240,Zm00001eb001630,SORBI_3001G042901,AT1G02410,HORVU.MOREX.r3.1HG0013070,LOC_Os01g04230,Zm00001eb002270,SORBI_3001G049800,AT1G02310,HORVU.MOREX.r3.1HG0007850,LOC_Os01g03580,Zm00001eb001840,SORBI_3001G071300,AT1G01530,HORVU.MOREX.r3.1HG0018240,LOC_Os01g01500,At1g56130_0,SORBI_3002G321600
AT1G02470,HORVU.MOREX.r3.1HG0004000,LOC_Os01g01295,Zm00001eb001980,SORBI_3001G031100,AT1G02590,HORVU.MOREX.r3.1HG0004320,LOC_Os01g04260,Zm00001eb001470,SORBI_3001G041700,AT1G01460,HORVU.MOREX.r3.1HG0006580,LOC_Os01g02120,Zm00001eb002460,SORBI_3001G024000,AT1G02065,HORVU.MOREX.r3.1HG0003800,LOC_Os01g01295,Zm00001eb001690,SORBI_3001G026900,AT1G02405,HORVU.MOREX.r3.1HG0002870,LOC_Os01g08260,Zm00001eb001640,SORBI_3001G043000,AT1G02420,HORVU.MOREX.r3.1HG0013280,LOC_Os01g04250,Zm00001eb002280,SORBI_3001G049900,AT1G02320,HORVU.MOREX.r3.1HG0008860,LOC_Os01g03590,Zm00001eb002030,SORBI_3001G071400,AT1G01540,HORVU.MOREX.r3.1HG0019320,LOC_Os01g01510,At1g64760_2,SORBI_3002G331600
AT1G02480,HORVU.MOREX.r3.1HG0004020,LOC_Os01g01302,Zm00001eb001990,SORBI_3001G031200,AT1G02690,HORVU.MOREX.r3.1HG0004910,LOC_Os01g04270,Zm00001eb001480,SORBI_3001G041800,AT1G01471,HORVU.MOREX.r3.1HG0007840,LOC_Os01g02130,Zm00001eb002470,SORBI_3001G024100,AT1G02070,HORVU.MOREX.r3.1HG0003920,LOC_Os01g01302,Zm00001eb001700,SORBI_3001G026950,AT1G02460,HORVU.MOREX.r3.1HG0002880,LOC_Os01g08280,Zm00001eb001650,SORBI_3001G043100,AT1G02460,HORVU.MOREX.r3.1HG0014640,LOC_Os01g04260,Zm00001eb002290,SORBI_3001G050000,AT1G02630,HORVU.MOREX.r3.1HG0008890,LOC_Os01g03600,Zm00001eb002040,SORBI_3001G071500,AT1G01550,HORVU.MOREX.r3.1HG0019970,LOC_Os01g01520,At1g67340_1,SORBI_3002G335300
AT1G02490,HORVU.MOREX.r3.1HG0004030,LOC_Os01g01307,Zm00001eb002000,SORBI_3001G031300,AT1G02880,HORVU.MOREX.r3.1HG0005040,LOC_Os01g04280,Zm00001eb001490,SORBI_3001G042200,AT1G01480,HORVU.MOREX.r3.1HG0007850,LOC_Os01g02150,Zm00001eb002480,SORBI_3001G027900,AT1G02205,HORVU.MOREX.r3.1HG0003950,LOC_Os01g01307,Zm00001eb001710,SORBI_3001G027000,AT1G02490,HORVU.MOREX.r3.1HG0002890,LOC_Os01g08320,Zm00001eb001920,SORBI_3001G043200,AT1G02470,HORVU.MOREX.r3.1HG0014650,LOC_Os01g04270,Zm00001eb002300,SORBI_3001G050100,AT1G02860,HORVU.MOREX.r3.1HG0008950,LOC_Os01g03610,Zm00001eb002050,SORBI_3001G071600,AT1G01560,HORVU.MOREX.r3.1HG0025810,LOC_Os01g01540,At1g76660_1,SORBI_3003G027700
AT1G02570,HORVU.MOREX.r3.1HG0004210,LOC_Os01g01312,Zm00001eb002010,SORBI_3001G031400,AT1G02950,HORVU.MOREX.r3.1HG0008130,LOC_Os01g04290,Zm00001eb001500,SORBI_3001G042301,AT1G01490,HORVU.MOREX.r3.1HG0007900,LOC_Os01g02160,Zm00001eb002490,SORBI_3001G028000,AT1G02340,HORVU.MOREX.r3.1HG0003970,LOC_Os01g01312,Zm00001eb001720,SORBI_3001G027100,AT1G02620,HORVU.MOREX.r3.1HG0003080,LOC_Os01g08330,Zm00001eb001940,SORBI_3001G043300,AT1G02475,HORVU.MOREX.r3.1HG0018160,LOC_Os01g04280,Zm00001eb002310,SORBI_3001G050200,AT1G02880,HORVU.MOREX.r3.1HG0009730,LOC_Os01g03730,Zm00001eb002170,SORBI_3001G071700,AT1G01570,HORVU.MOREX.r3.1HG0027740,LOC_Os01g01550,At2g21160_1,SORBI_3003G027800
AT1G02590,HORVU.MOREX.r3.1HG0004220,LOC_Os01g01320,Zm00001eb002020,SORBI_3001G031500,AT1G02960,HORVU.MOREX.r3.1HG0008140,LOC_Os01g04300,Zm00001eb001560,SORBI_3001G042400,AT1G01500,HORVU.MOREX.r3.1HG0007910,LOC_Os01g02170,Zm00001eb002570,SORBI_3001G028100,AT1G02360,HORVU.MOREX.r3.1HG0003980,LOC_Os01g01320,Zm00001eb001780,SORBI_3001G027200,AT1G02690,HORVU.MOREX.r3.1HG0003090,LOC_Os01g08370,Zm00001eb002000,SORBI_3001G043400,AT1G02480,HORVU.MOREX.r3.1HG0018170,LOC_Os01g04300,Zm00001eb002320,SORBI_3001G050300,AT1G02930,HORVU.MOREX.r3.1HG0009740,LOC_Os01g03750,Zm00001eb002180,SORBI_3001G071800,AT1G01580,HORVU.MOREX.r3.1HG0029820,LOC_Os01g01610,At2g30100,SORBI_3003G088500
AT1G02740,HORVU.MOREX.r3.1HG0004230,LOC_Os01g01330,Zm00001eb002180,SORBI_3001G031600,AT1G03070,HORVU.MOREX.r3.1HG0008150,LOC_Os01g04390,Zm00001eb001570,SORBI_3001G042500,AT1G01530,HORVU.MOREX.r3.1HG0007940,LOC_Os01g02180,Zm00001eb002590,SORBI_3001G028200,AT1G02370,HORVU.MOREX.r3.1HG0003990,LOC_Os01g01330,Zm00001eb001790,SORBI_3001G027300,AT1G02740,HORVU.MOREX.r3.1HG0003100,LOC_Os01g09120,Zm00001eb002010,SORBI_3001G043500,AT1G02500,HORVU.MOREX.r3.1HG0019320,LOC_Os01g04310,Zm00001eb003110,SORBI_3001G050400,AT1G02940,HORVU.MOREX.r3.1HG0009760,LOC_Os01g03760,Zm00001eb002190,SORBI_3001G071900,AT1G01590,HORVU.MOREX.r3.1HG0035600,LOC_Os01g01620,At2g37660_0,SORBI_3003G191750
