"term","ref_count","input_count","expected","direction","fold_enrichment","raw_p","fdr","phenotype","ontology","phenotype_label","term_wrapped","term_facet","neglog10_fdr"
"steroid hormone receptor signaling pathway (GO:0043401)",76,13,1.14,"+",11.4,1.08e-10,1.57e-08,"PCs","BP","WorldClim PCs","steroid hormone receptor
signaling pathway (GO:0043401)","steroid hormone receptor
signaling pathway (GO:0043401)___WorldClim PCs",7.80410034759077
"cellular response to brassinosteroid stimulus (GO:0071367)",76,13,1.14,"+",11.4,1.08e-10,1.63e-08,"PCs","BP","WorldClim PCs","cellular response to
brassinosteroid stimulus
(GO:0071367)","cellular response to
brassinosteroid stimulus
(GO:0071367)___WorldClim PCs",7.78781239559604
"cellular response to steroid hormone stimulus (GO:0071383)",76,13,1.14,"+",11.4,1.08e-10,1.69e-08,"PCs","BP","WorldClim PCs","cellular response to steroid
hormone stimulus (GO:0071383)","cellular response to steroid
hormone stimulus (GO:0071383)___WorldClim PCs",7.77211329538633
"vacuolar protein processing (GO:0006624)",5,2,0.03,"+",68.45,0.000336,0.0375,"SoilN","BP","soil nitrogen","vacuolar protein processing
(GO:0006624)","vacuolar protein processing
(GO:0006624)___soil nitrogen",1.42596873227228
"plasmodesmata-mediated intercellular transport (GO:0010497)",14,3,0.08,"+",36.67,6.82e-05,0.0121,"SoilN","BP","soil nitrogen","plasmodesmata-mediated
intercellular transport
(GO:0010497)","plasmodesmata-mediated
intercellular transport
(GO:0010497)___soil nitrogen",1.91721462968355
"intercellular transport (GO:0010496)",15,3,0.09,"+",34.22,8.49e-05,0.0138,"SoilN","BP","soil nitrogen","intercellular transport
(GO:0010496)","intercellular transport
(GO:0010496)___soil nitrogen",1.86012091359876
"regulation of root development (GO:2000280)",20,3,0.12,"+",25.67,0.000208,0.0263,"SoilN","BP","soil nitrogen","regulation of root development
(GO:2000280)","regulation of root development
(GO:2000280)___soil nitrogen",1.58004425151024
"cellulose catabolic process (GO:0030245)",25,3,0.15,"+",20.53,0.000411,0.0423,"SoilN","BP","soil nitrogen","cellulose catabolic process
(GO:0030245)","cellulose catabolic process
(GO:0030245)___soil nitrogen",1.37365963262496
"beta-glucan catabolic process (GO:0051275)",25,3,0.15,"+",20.53,0.000411,0.0435,"SoilN","BP","soil nitrogen","beta-glucan catabolic process
(GO:0051275)","beta-glucan catabolic process
(GO:0051275)___soil nitrogen",1.36151074304536
"enzyme-linked receptor protein signaling pathway (GO:0007167)",43,4,0.25,"+",15.92,0.000117,0.0163,"SoilN","BP","soil nitrogen","enzyme-linked receptor protein
signaling pathway (GO:0007167)","enzyme-linked receptor protein
signaling pathway (GO:0007167)___soil nitrogen",1.78781239559604
"cell surface receptor protein serine/threonine kinase signaling pathway (GO:0007178)",43,4,0.25,"+",15.92,0.000117,0.0169,"SoilN","BP","soil nitrogen","cell surface receptor protein
serine/threonine kinase signaling
pathway (GO:0007178)","cell surface receptor protein
serine/threonine kinase signaling
pathway (GO:0007178)___soil nitrogen",1.77211329538633
"exocytosis (GO:0006887)",77,6,0.45,"+",13.33,6.21e-06,0.0027,"SoilN","BP","soil nitrogen","exocytosis (GO:0006887)","exocytosis (GO:0006887)___soil nitrogen",2.56863623584101
"secretion by cell (GO:0032940)",84,6,0.49,"+",12.22,1.03e-05,0.00365,"SoilN","BP","soil nitrogen","secretion by cell (GO:0032940)","secretion by cell (GO:0032940)___soil nitrogen",2.43770713554353
"response to salt (GO:1902074)",10,3,0.06,"+",49.14,2.61e-05,0.00364,"pH","BP","soil pH","response to salt (GO:1902074)","response to salt (GO:1902074)___soil pH",2.43889861635094
"phenylpropanoid catabolic process (GO:0046271)",21,4,0.13,"+",31.2,7.45e-06,0.00121,"pH","BP","soil pH","phenylpropanoid catabolic process
(GO:0046271)","phenylpropanoid catabolic process
(GO:0046271)___soil pH",2.91721462968355
"lignin catabolic process (GO:0046274)",21,4,0.13,"+",31.2,7.45e-06,0.00127,"pH","BP","soil pH","lignin catabolic process
(GO:0046274)","lignin catabolic process
(GO:0046274)___soil pH",2.89619627904404
"lignin metabolic process (GO:0009808)",41,4,0.25,"+",15.98,0.000115,0.0124,"pH","BP","soil pH","lignin metabolic process
(GO:0009808)","lignin metabolic process
(GO:0009808)___soil pH",1.90657831483776
"regulation of intracellular signal transduction (GO:1902531)",93,7,0.57,"+",12.33,1.74e-06,4e-04,"pH","BP","soil pH","regulation of intracellular
signal transduction (GO:1902531)","regulation of intracellular
signal transduction (GO:1902531)___soil pH",3.39794000867204
"response to steroid hormone (GO:0048545)",76,5,0.46,"+",10.78,0.000105,0.0117,"pH","BP","soil pH","response to steroid hormone
(GO:0048545)","response to steroid hormone
(GO:0048545)___soil pH",1.93181413825384
"steroid hormone receptor signaling pathway (GO:0043401)",76,5,0.46,"+",10.78,0.000105,0.0121,"pH","BP","soil pH","steroid hormone receptor
signaling pathway (GO:0043401)","steroid hormone receptor
signaling pathway (GO:0043401)___soil pH",1.91721462968355
"cellular response to brassinosteroid stimulus (GO:0071367)",76,5,0.46,"+",10.78,0.000105,0.0124,"pH","BP","soil pH","cellular response to
brassinosteroid stimulus
(GO:0071367)","cellular response to
brassinosteroid stimulus
(GO:0071367)___soil pH",1.90657831483776
"cellular response to steroid hormone stimulus (GO:0071383)",76,5,0.46,"+",10.78,0.000105,0.0128,"pH","BP","soil pH","cellular response to steroid
hormone stimulus (GO:0071383)","cellular response to steroid
hormone stimulus (GO:0071383)___soil pH",1.89279003035213
"brassinosteroid mediated signaling pathway (GO:0009742)",76,5,0.46,"+",10.78,0.000105,0.0133,"pH","BP","soil pH","brassinosteroid mediated
signaling pathway (GO:0009742)","brassinosteroid mediated
signaling pathway (GO:0009742)___soil pH",1.87614835903291
