




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	Client Text Box Input (Zea mays)
Reference List:	background_Maize_all_GWAS_mappable_genes.txt (Zea mays)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	background_Maize_all_GWAS_mappable_genes.txt - REFLIST (34395)	Client Text Box Input (516)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular response to lipid (GO:0071396)	197	13	2.96	+	4.40	9.89E-06	9.43E-04
phenylpropanoid metabolic process (GO:0009698)	140	9	2.10	+	4.29	2.77E-04	2.01E-02
cellular response to chemical stimulus (GO:0070887)	804	50	12.06	+	4.15	2.75E-17	1.79E-14
intracellular signal transduction (GO:0035556)	470	25	7.05	+	3.55	6.39E-08	8.06E-06
secondary metabolic process (GO:0019748)	193	10	2.90	+	3.45	7.18E-04	4.39E-02
hormone-mediated signaling pathway (GO:0009755)	488	25	7.32	+	3.41	1.31E-07	1.60E-05
cellular response to hormone stimulus (GO:0032870)	491	25	7.37	+	3.39	1.47E-07	1.74E-05
cellular response to endogenous stimulus (GO:0071495)	492	25	7.38	+	3.39	1.52E-07	1.75E-05
transmembrane transport (GO:0055085)	1430	72	21.45	+	3.36	2.27E-19	2.21E-16
cellular response to oxygen-containing compound (GO:1901701)	279	13	4.19	+	3.11	3.40E-04	2.42E-02
response to chemical (GO:0042221)	1329	61	19.94	+	3.06	1.11E-14	3.09E-12
response to lipid (GO:0033993)	304	13	4.56	+	2.85	7.60E-04	4.50E-02
signaling (GO:0023052)	1382	57	20.73	+	2.75	6.72E-12	1.25E-09
signal transduction (GO:0007165)	1382	57	20.73	+	2.75	6.72E-12	1.19E-09
cell communication (GO:0007154)	1386	57	20.79	+	2.74	7.53E-12	1.28E-09
cellular response to stimulus (GO:0051716)	2232	88	33.48	+	2.63	7.71E-17	4.31E-14
transport (GO:0006810)	2508	96	37.63	+	2.55	2.37E-17	1.85E-14
establishment of localization (GO:0051234)	2613	97	39.20	+	2.47	7.76E-17	3.79E-14
response to oxygen-containing compound (GO:1901700)	523	19	7.85	+	2.42	4.09E-04	2.81E-02
localization (GO:0051179)	2730	98	40.96	+	2.39	6.70E-16	2.91E-13
response to hormone (GO:0009725)	727	25	10.91	+	2.29	1.41E-04	1.15E-02
response to endogenous stimulus (GO:0009719)	728	25	10.92	+	2.29	1.43E-04	1.14E-02
response to stimulus (GO:0050896)	3725	118	55.88	+	2.11	2.92E-15	8.77E-13
carbohydrate metabolic process (GO:0005975)	996	31	14.94	+	2.07	1.57E-04	1.23E-02
response to stress (GO:0006950)	1887	52	28.31	+	1.84	2.40E-05	2.18E-03
catabolic process (GO:0009056)	1658	44	24.87	+	1.77	2.59E-04	1.95E-02
cellular process (GO:0009987)	13370	312	200.58	+	1.56	2.67E-23	3.48E-20
biological regulation (GO:0065007)	5093	114	76.41	+	1.49	8.37E-06	8.18E-04
regulation of biological process (GO:0050789)	4857	108	72.87	+	1.48	2.38E-05	2.21E-03
biological_process (GO:0008150)	16762	365	251.47	+	1.45	2.20E-24	4.31E-21
regulation of cellular process (GO:0050794)	4652	101	69.79	+	1.45	1.21E-04	1.01E-02
Unclassified (UNCLASSIFIED)	17633	151	264.53	-	.57	2.20E-24	8.61E-21
nucleobase-containing compound metabolic process (GO:0006139)	2550	19	38.26	-	.50	4.93E-04	3.21E-02
nucleic acid metabolic process (GO:0090304)	2071	14	31.07	-	.45	7.20E-04	4.33E-02
