"Lines","Long","Lat","n_value","elevation_m"
"SEEDGWAS1103:MRG:4:250067800",-83.402533,9.21809,487,925
"SEEDGWAS1104:MRG:4:250067802",-82.776594,8.884242,570,1736
"SEEDGWAS1105:MRG:4:250067803",-87.105301,14.100414,426,1322
"SEEDGWAS1106:MRG:4:250067804",-90.859965,15.344145,511,1939
"SEEDGWAS1107:MRG:4:250067805",-97.28339,16.233634,301,1644
"SEEDGWAS1108:MRG:4:250067806",-97.096379,16.35071,212,1454
"SEEDGWAS1109:MRG:4:250067807",-97.28339,16.233634,301,1644
"SEEDGWAS1110:MRG:4:250067808",-104.088629,21.696608,169,1401
"SEEDGWAS1111:MRG:4:250067809",-91.4,14.616667,603,695
"SEEDGWAS1114:MRG:4:250067811",-71.058506,9.157008,331,438
"SEEDGWAS1115:MRG:4:250070129",-72.008076,7.917181,418,2171
"SEEDGWAS112:MRG:4:250054525",-111.113435,30.544226,104,755
"SEEDGWAS1120:MRG:4:250070133",-102.7166667,19.96666667,205,1862
"SEEDGWAS1121:MRG:4:250070134",-97.03333333,19.08333333,443,1888
"SEEDGWAS1122:MRG:4:250070135",-96.282141,18.390306,257,43
"SEEDGWAS1124:MRG:4:250070137",-62.994159,-17.82886,239,340
"SEEDGWAS1125:MRG:4:250070138",-62.994159,-17.82886,239,340
"SEEDGWAS1126:MRG:4:250070139",-99,19.01666667,321,2624
"SEEDGWAS1128:MRG:4:250070140",-92.1,15.7,244,696
"SEEDGWAS1130:MRG:4:250070141",-93.76666667,16.08333333,215,161
"SEEDGWAS1131:MRG:4:250070142",-93.38333333,16.76666667,203,856
"SEEDGWAS1133:MRG:4:250070143",-104.5333333,25.2,180,1476
"SEEDGWAS1134:MRG:4:250070144",-92.251361,15.37229,426,2081
"SEEDGWAS1135:MRG:4:250070145",-97.020133,19.017868,438,1888
"SEEDGWAS1136:MRG:4:250070147",-103.15,18.78333,392,1581
"SEEDGWAS1138:MRG:4:250070149",-38.18333333,-10.7,226,263
"SEEDGWAS114:MRG:4:250054527",-91.642471,18.04166,543,7
"SEEDGWAS1140:MRG:4:250070150",-97.03333333,19.08333333,443,1888
"SEEDGWAS1143:MRG:4:250070153",-92.1,15.7,244,696
"SEEDGWAS1144:MRG:4:250070154",-99.385656,17.576119,191,1485
"SEEDGWAS1145:MRG:4:250070155",-97.1,19.11666667,451,1888
"SEEDGWAS1147:MRG:4:250070157",-92.711648,16.602202,259,715
"SEEDGWAS1148:MRG:4:250070158",-92.68035,16.538454,196,715
"SEEDGWAS115:MRG:4:250054528",-90.233333,19.766667,334,31
"SEEDGWAS1150:MRG:4:250070159",-92.68035,16.538454,196,715
"SEEDGWAS1151:MRG:4:250070160",-92.711648,16.602202,259,715
"SEEDGWAS1152:MRG:4:250070161",-92.711648,16.602202,259,715
"SEEDGWAS1156:MRG:4:250070164",-92.73333333,15.86666667,284,803
"SEEDGWAS1157:MRG:4:250070165",-93.26666667,16.8,182,855
"SEEDGWAS116:MRG:4:250054529",-91.759457,18.658723,619,3
"SEEDGWAS1166:MRG:4:250070172",-101.303874,17.678521,264,633
"SEEDGWAS1168:MRG:4:250070174",-97.816661,16.95513,478,1455
"SEEDGWAS1169:MRG:4:250070175",-96.46666667,15.75,187,176
"SEEDGWAS117:MRG:4:250054530",-90.740704,18.572773,361,92
"SEEDGWAS1170:MRG:4:250070176",-103.666667,18.75,248,40
"SEEDGWAS1172:MRG:4:250070178",-102.363626,18.808584,245,859
"SEEDGWAS1173:MRG:4:250070179",-102.373599,19.08164,163,337
"SEEDGWAS1174:MRG:4:250070180",-102.373599,19.08164,163,337
"SEEDGWAS1175:MRG:4:250070181",-102.373599,19.08164,163,337
"SEEDGWAS1176:MRG:4:250070182",-99.365802,16.801211,226,74
"SEEDGWAS1177:MRG:4:250070183",-100.69796,18.300591,181,412
"SEEDGWAS1178:MRG:4:250070184",-100.249473,18.298628,217,638
"SEEDGWAS1179:MRG:4:250070185",-98.06005,16.409733,250,257
"SEEDGWAS118:MRG:4:250054531",-93.101655,16.635756,227,668
"SEEDGWAS1180:MRG:4:250070186",-98.281497,16.735414,373,359
"SEEDGWAS1183:MRG:4:250070188",-99.205617,24.041477,367,241
"SEEDGWAS1184:MRG:4:250070189",-97.097646,20.480001,403,41
"SEEDGWAS1185:MRG:4:250070190",-93.26666667,16.25,173,642
"SEEDGWAS1187:MRG:4:250070192",-105.22623,22.024349,349,21
"SEEDGWAS1188:MRG:4:250070193",-104.344955,19.772796,190,1148
"SEEDGWAS1189:MRG:4:250070194",-96.91666667,18.9,391,967
"SEEDGWAS119:MRG:4:250054532",-92.81666667,16.5666667,210,715
"SEEDGWAS1191:MRG:4:250070195",-93,16.71666667,209,1045
"SEEDGWAS1192:MRG:4:250070196",-92.659404,15.332888,428,203
"SEEDGWAS1195:MRG:4:250070199",-88.51666667,20.85,891,27
"SEEDGWAS1196:MRG:4:250070200",-88.28333333,21.01666667,813,24
"SEEDGWAS1197:MRG:4:250070201",-88.003548,15.281744,451,425
"SEEDGWAS1198:MRG:4:250070202",-87.891039,15.590506,501,66
"SEEDGWAS1199:MRG:4:250070203",-88.19682,15.361949,560,590
"SEEDGWAS12:MRG:4:250054454",-96.85,20.2,613,19
"SEEDGWAS120:MRG:4:250054533",-92.0992225,15.984309,223,653
"SEEDGWAS1200:MRG:4:250070204",-87.02708,14.638033,269,868
"SEEDGWAS1204:MRG:4:250070208",-89.870508,14.348233,215,1294
"SEEDGWAS1205:MRG:4:250070209",-89.880527,14.902827,234,583
"SEEDGWAS1206:MRG:4:250070210",-89.55933,14.9483,168,479
"SEEDGWAS1207:MRG:4:250070211",-89.367104,15.115625,321,475
"SEEDGWAS1208:MRG:4:250070212",-89.428169,14.762413,275,951
"SEEDGWAS121:MRG:4:250054534",-98.8167,21.5667,522,106
"SEEDGWAS1210:MRG:4:250070214",-89.510475,14.908968,211,479
"SEEDGWAS1211:MRG:4:250070215",-89.963493,14.94666,213,583
"SEEDGWAS1212:MRG:4:250070216",-89.800183,14.940676,217,488
"SEEDGWAS1214:MRG:4:250070218",-66.36666667,18.08333333,412,262
"SEEDGWAS1215:MRG:4:250070219",-89.8,15.1,514,1459
"SEEDGWAS1216:MRG:4:250070220",-89.41666667,14.95,385,871
"SEEDGWAS122:MRG:4:250054535",-98.746052,21.26317,527,253
"SEEDGWAS1220:MRG:4:250070223",-76.43333333,20.38333333,254,104
"SEEDGWAS1236:MRG:4:250070267",-61.475936,16.389094,908,33
"SEEDGWAS124:MRG:4:250054537",-89.484052,20.734106,564,17
"SEEDGWAS1241:MRG:4:250070272",-72.699224,19.544,282,460
"SEEDGWAS1242:MRG:4:250070273",-66.158868,18.061361,585,444
"SEEDGWAS1244:MRG:4:250070274",-66.399305,18.059362,410,262
"SEEDGWAS1246:MRG:4:250070275",-65.741368,18.190513,575,257
"SEEDGWAS1247:MRG:4:250070276",-61.148187,13.232037,566,218
"SEEDGWAS1248:MRG:4:250070277",-60.624146,11.217382,681,208
"SEEDGWAS1249:MRG:4:250070278",-61.781557,17.048578,512,44
"SEEDGWAS125:MRG:4:250054538",-89.483888,20.734108,564,17
"SEEDGWAS1250:MRG:4:250070279",-59.55,13.15,463,85
"SEEDGWAS1254:MRG:4:250070280",-105.177805,21.847885,339,19
"SEEDGWAS1256:MRG:4:250070283",-92.0992225,15.984309,223,653
"SEEDGWAS1258:MRG:4:250070285",-89.718358,14.657373,208,1032
"SEEDGWAS1259:MRG:4:250070286",-89.533421,14.620613,364,917
"SEEDGWAS1260:MRG:4:250070287",-90.805464,14.786779,337,1687
"SEEDGWAS1261:MRG:4:250070288",-91.15,14.383333,547,544
"SEEDGWAS1263:MRG:4:250070290",-98.416667,21.15,453,299
"SEEDGWAS1264:MRG:4:250070292",-92.21666667,15.7,326,677
"SEEDGWAS1266:MRG:4:250070294",-105.4666667,22.4,450,17
"SEEDGWAS1267:MRG:4:250070295",-99.614777,26.888903,137,128
"SEEDGWAS1268:MRG:4:250070296",-96.9,18.85,333,967
"SEEDGWAS1269:MRG:4:250070297",-76.95,20.3,240,43
"SEEDGWAS127:MRG:4:250054539",-75.98333333,20.25,466,155
"SEEDGWAS1270:MRG:4:250070298",-76.894138,20.333221,378,43
"SEEDGWAS1271:MRG:4:250070299",-76.11666667,20.61666667,576,108
"SEEDGWAS1272:MRG:4:250070300",-77.33333333,21.08333333,409,88
"SEEDGWAS1274:MRG:4:250070301",-76.43333333,20.38333333,254,104
"SEEDGWAS1277:MRG:4:250070302",-76.95,20.3,240,43
"SEEDGWAS1278:MRG:4:250070303",-76.61666667,21.2,569,9
"SEEDGWAS1279:MRG:4:250070304",-76.95,20.3,240,43
"SEEDGWAS128:MRG:4:250054540",-76.927588,21.002852,435,71
"SEEDGWAS1281:MRG:4:250070306",-77.53333333,21.25,392,96
"SEEDGWAS1283:MRG:4:250070308",-75.729414,20.676748,414,16
"SEEDGWAS1284:MRG:4:250070310",-76.21666667,20.3,307,189
"SEEDGWAS1285:MRG:4:250070311",-61.165426,14.739362,799,355
"SEEDGWAS1287:MRG:4:250070313",-70.5,19.18333333,364,85
"SEEDGWAS1289:MRG:4:250070314",-61.264283,13.23247,755,378
"SEEDGWAS1293:MRG:4:250070317",-99.223726,24.015674,331,241
"SEEDGWAS1294:MRG:4:250070318",-86.006718,12.994002,472,618
"SEEDGWAS1295:MRG:4:250070319",-89.997599,13.735749,272,304
"SEEDGWAS13:MRG:4:250054455",-97.113749,20.474435,313,41
"SEEDGWAS130:MRG:4:250056098",-80.83333333,22.38333333,499,45
"SEEDGWAS1302:MRG:4:250070326",-73.280557,8.444639,420,1311
"SEEDGWAS1303:MRG:4:250070327",-97.699529,21.320028,387,214
"SEEDGWAS1304:MRG:4:250070328",-82.910317,9.783843,682,114
"SEEDGWAS1305:MRG:4:250070329",-84.265743,10.44895,558,258
"SEEDGWAS1306:MRG:4:250070330",-82.929368,9.54934,478,193
"SEEDGWAS1307:MRG:4:250070331",-83.25,9,537,474
"SEEDGWAS1308:MRG:4:250070332",-84.478768,10.36278788,546,255
"SEEDGWAS1309:MRG:4:250070333",-84.483438,10.403208,572,255
"SEEDGWAS1310:MRG:4:250070334",-84.266936,10.447642,558,258
"SEEDGWAS1311:MRG:4:250070335",-85.012096,10.883452,569,80
"SEEDGWAS1312:MRG:4:250070336",-85.009845,10.885181,569,80
"SEEDGWAS1313:MRG:4:250070337",-85.012907,10.91985,570,80
"SEEDGWAS1316:MRG:4:250070338",-85.612105,10.27709,252,157
"SEEDGWAS1317:MRG:4:250070339",-84.952374,10.432058,467,762
"SEEDGWAS132:MRG:4:250056100",-80,22.25,371,205
"SEEDGWAS1320:MRG:4:250070340",-84.971238,10.28643,320,404
"SEEDGWAS1321:MRG:4:250070341",-85.055372,10.350013,267,158
"SEEDGWAS1322:MRG:4:250070342",-85.230851,10.672685,351,672
"SEEDGWAS1323:MRG:4:250070343",-85.603295,11.214891,361,70
"SEEDGWAS1324:MRG:4:250070344",-85.428923,10.191279,252,87
"SEEDGWAS1325:MRG:4:250070345",-85.463114,10.031467,305,281
"SEEDGWAS1326:MRG:4:250070346",-85.460772,10.032973,305,281
"SEEDGWAS1327:MRG:4:250070347",-85.463114,10.031467,305,281
"SEEDGWAS1329:MRG:4:250070348",-83.304159,9.188017,532,1157
"SEEDGWAS133:MRG:4:250056101",-83.73333333,22.41666667,524,88
"SEEDGWAS1330:MRG:4:250070349",-83.30636,8.521084,393,101
"SEEDGWAS1332:MRG:4:250070350",-85.439086,10.151686,285,281
"SEEDGWAS1333:MRG:4:250070351",-85.507987,10.112727,320,378
"SEEDGWAS1334:MRG:4:250105240",-85.476791,10.188492,251,87
"SEEDGWAS1335:MRG:4:250105241",-89.54248,13.753858,239,715
"SEEDGWAS1336:MRG:4:250105242",-89.54248,13.753858,239,715
"SEEDGWAS1337:MRG:4:250105243",-89.54248,13.753858,239,715
"SEEDGWAS1338:MRG:4:250105244",-89.867062,13.66216,248,21
"SEEDGWAS1340:MRG:4:250105245",-88.802349,13.448614,228,32
"SEEDGWAS1342:MRG:4:250105246",-88.451302,13.330803,308,30
"SEEDGWAS1344:MRG:4:250105247",-89.179417,14.009348,332,331
"SEEDGWAS1346:MRG:4:250105248",-89.509358,14.045156,248,704
"SEEDGWAS1347:MRG:4:250105249",-89.46379,14.09389,229,496
"SEEDGWAS1348:MRG:4:250105250",-88.437896,13.561555,273,403
"SEEDGWAS1349:MRG:4:250105251",-88.437896,13.561555,273,403
"SEEDGWAS135:MRG:4:250056103",-76.38333333,20.73333333,296,69
"SEEDGWAS1350:MRG:4:250105252",-87.135874,13.173019,372,302
"SEEDGWAS1351:MRG:4:250105253",-87.891039,15.590506,501,66
"SEEDGWAS1352:MRG:4:250105254",-87.891039,15.590506,501,66
"SEEDGWAS1353:MRG:4:250105255",-88.016667,15.4,539,331
"SEEDGWAS1355:MRG:4:250105256",-86.088789,14.744943,507,540
"SEEDGWAS1356:MRG:4:250105257",-85.937304,14.793053,477,378
"SEEDGWAS1357:MRG:4:250105258",-87.929345,15.380512,467,52
"SEEDGWAS1358:MRG:4:250105259",-87.99316,15.053429,513,204
"SEEDGWAS1359:MRG:4:250105260",-87.99316,15.053429,513,204
"SEEDGWAS136:MRG:4:250056104",-61.63,12.2,617,123
"SEEDGWAS1360:MRG:4:250105261",-88.003548,15.281744,451,425
"SEEDGWAS1361:MRG:4:250105262",-81.18333333,8.133333333,305,101
"SEEDGWAS1362:MRG:4:250105263",-81.219826,8.187298,319,168
"SEEDGWAS1363:MRG:4:250105264",-80.692968,8.176827,414,72
"SEEDGWAS1364:MRG:4:250105265",-80.531579,8.327238,267,30
"SEEDGWAS1365:MRG:4:250105266",-82.71666667,8.583333333,424,402
"SEEDGWAS1366:MRG:4:250105267",-80.552275,8.061959,321,23
"SEEDGWAS1367:MRG:4:250105268",-80.48333333,7.966666667,267,45
"SEEDGWAS1368:MRG:4:250105269",-79.1,9.166666667,403,205
"SEEDGWAS1369:MRG:4:250105270",-78.978395,9.215315,361,202
"SEEDGWAS137:MRG:4:250056105",-74.267982,18.563505,550,227
"SEEDGWAS1370:MRG:4:250105271",-80.172251,8.566825,350,264
"SEEDGWAS1371:MRG:4:250105272",-80.258465,8.40745,258,48
"SEEDGWAS1372:MRG:4:250105273",-80.258465,8.40745,258,48
"SEEDGWAS1373:MRG:4:250105275",-76.95,20.96666667,417,80
"SEEDGWAS1374:MRG:4:250105276",-76.43333333,20.38333333,254,104
"SEEDGWAS1375:MRG:4:250105277",-76.21666667,20.3,307,189
"SEEDGWAS1376:MRG:4:250105278",-76.21666667,20.3,307,189
"SEEDGWAS1377:MRG:4:250105279",-61.350975,16.319743,891,46
"SEEDGWAS1378:MRG:4:250105280",-61.482804,16.214784,724,46
"SEEDGWAS1379:MRG:4:250105281",-61.700681,16.320169,631,270
"SEEDGWAS1381:MRG:4:250105283",-72.341009,19.507351,681,526
"SEEDGWAS1383:MRG:4:250105284",-73.800134,18.286044,366,77
"SEEDGWAS1386:MRG:4:250105287",-66.299774,18.18164,477,418
"SEEDGWAS1387:MRG:4:250105288",-65.741368,18.190513,575,257
"SEEDGWAS1388:MRG:4:250105289",-70.5,19.18333333,364,85
"SEEDGWAS1389:MRG:4:250105290",-70.021015,19.197019,440,138
"SEEDGWAS139:MRG:4:250056107",-98.905924,21.544818,501,242
"SEEDGWAS1390:MRG:4:250105291",-70.382798,19.677604,663,103
"SEEDGWAS1391:MRG:4:250105292",-70.488525,19.354584,334,367
"SEEDGWAS1392:MRG:4:250105293",-70.5,19.18333333,364,85
"SEEDGWAS1394:MRG:4:250105295",-61.221184,13.161853,637,100
"SEEDGWAS14:MRG:4:250054456",-96.354444,19.344444,220,48
"SEEDGWAS1400:MRG:4:250105298",-61.46,10.71,437,244
"SEEDGWAS1401:MRG:4:250105299",-61.26624,10.548746,466,56
"SEEDGWAS1402:MRG:4:250105300",-61.249153,10.502186,511,56
"SEEDGWAS1403:MRG:4:250105301",-61.249153,10.502186,511,56
"SEEDGWAS1404:MRG:4:250105302",-61.249153,10.502186,511,56
"SEEDGWAS1407:MRG:4:250105305",-47.71666667,-23.11666667,229,522
"SEEDGWAS1409:MRG:4:250105307",-49.68333333,-28.93333333,360,70
"SEEDGWAS141:MRG:4:250056108",-97.382222,20.43027778,286,143
"SEEDGWAS1410:MRG:4:250105308",-49.457185,-28.920044,456,12
"SEEDGWAS1411:MRG:4:250105309",-49.381378,-21.070066,178,452
"SEEDGWAS1413:MRG:4:250105311",-49.15,-20.96666667,181,513
"SEEDGWAS1414:MRG:4:250105312",-47.937215,-22.537739,341,561
"SEEDGWAS1416:MRG:4:250105314",-46.852271,-22.437301,263,656
"SEEDGWAS1417:MRG:4:250105315",-48.92991,-20.756582,157,524
"SEEDGWAS1418:MRG:4:250105316",-50.83333333,-21.78333333,191,436
"SEEDGWAS1421:MRG:4:250105317",-47.71666667,-23.11666667,229,522
"SEEDGWAS1422:MRG:4:250105318",-50.202062,-22.437175,272,554
"SEEDGWAS1427:MRG:4:250105322",-56.771095,-9.151427,224,195
"SEEDGWAS1428:MRG:4:250105323",-39.1086,-12.651497,275,184
"SEEDGWAS1429:MRG:4:250105324",-92.081027,14.857059,278,411
"SEEDGWAS143:MRG:4:250056110",-89.31613,19.841513,356,137
"SEEDGWAS1430:MRG:4:250105325",-91.3232,14.418766,504,323
"SEEDGWAS1432:MRG:4:250105327",-89.963493,14.94666,213,583
"SEEDGWAS1435:MRG:4:250105329",-90.487282,15.092398,500,1271
"SEEDGWAS1436:MRG:4:250105330",-89.438894,14.624426,262,1060
"SEEDGWAS1437:MRG:4:250105332",-89.1,15.266667,400,202
"SEEDGWAS1438:MRG:4:250105333",-90.751703,14.279885,241,246
"SEEDGWAS1441:MRG:4:250070383",-90.868418,14.112458,273,46
"SEEDGWAS1442:MRG:4:250070384",-74.5,20.33333333,721,199
"SEEDGWAS1443:MRG:4:250070385",-76.43333333,20.38333333,254,104
"SEEDGWAS1457:MRG:4:250070397",-46.93333333,-22.45,224,656
"SEEDGWAS1458:MRG:4:250070398",-49.457185,-28.920044,456,12
"SEEDGWAS1460:MRG:4:250070400",-54.409057,-28.290932,399,252
"SEEDGWAS1463:MRG:4:250070403",-97.61666667,16.11666667,290,147
"SEEDGWAS1464:MRG:4:250070404",-98.026611,16.343416,276,257
"SEEDGWAS1465:MRG:4:250070405",-98.026611,16.343416,276,257
"SEEDGWAS1466:MRG:4:250070406",-98.136052,16.539657,298,394
"SEEDGWAS1467:MRG:4:250070407",-97.95,17.03333333,493,1192
"SEEDGWAS1468:MRG:4:250070408",-96.48333333,15.71666667,238,176
"SEEDGWAS1469:MRG:4:250070409",-96.3,15.78333333,284,114
"SEEDGWAS1470:MRG:4:250070410",-49.825724,-22.232837,266,607
"SEEDGWAS1472:MRG:4:250070412",-49.21666667,-20.93333333,175,530
"SEEDGWAS1473:MRG:4:250070413",-50.010906,-20.404622,156,467
"SEEDGWAS1474:MRG:4:250070414",-105.2166667,21.1,297,124
"SEEDGWAS1476:MRG:4:250070415",-105.2166667,21.1,297,124
"SEEDGWAS1477:MRG:4:250070416",-105.1666667,21.2,311,22
"SEEDGWAS1478:MRG:4:250070417",-105.1833333,20.81666667,211,54
"SEEDGWAS1479:MRG:4:250070418",-105.1833333,20.81666667,211,54
"SEEDGWAS148:MRG:4:250056114",-39.21666667,-12.43333333,281,188
"SEEDGWAS1481:MRG:4:250070419",-104.915301,21.232846,187,878
"SEEDGWAS1482:MRG:4:250070420",-105.3333333,22.65,363,380
"SEEDGWAS1483:MRG:4:250070421",-105.3333333,22.65,363,380
"SEEDGWAS1484:MRG:4:250070422",-105.3333333,22.65,363,380
"SEEDGWAS1485:MRG:4:250070423",-106.44719,23.365893,198,104
"SEEDGWAS1486:MRG:4:250070424",-106.303401,23.201203,195,56
"SEEDGWAS1487:MRG:4:250070425",-107.2166667,24.71666667,184,155
"SEEDGWAS1488:MRG:4:250070426",-107.562256,25.408895,234,373
"SEEDGWAS1490:MRG:4:250070427",-108.639475,26.421574,125,126
"SEEDGWAS1492:MRG:4:250070428",-108.6333333,26.63333333,291,168
"SEEDGWAS1493:MRG:4:250070429",-108.2333333,25.81666667,160,69
"SEEDGWAS1494:MRG:4:250070430",-106.983531,24.97268,251,484
"SEEDGWAS1495:MRG:4:250070431",-109.3,28.11666667,176,683
"SEEDGWAS1496:MRG:4:250070432",-108.931234,28.353628,271,1627
"SEEDGWAS1497:MRG:4:250070433",-47.63333333,-22.71666667,195,567
"SEEDGWAS1498:MRG:4:250070434",-48.806462,-22.625913,195,594
"SEEDGWAS15:MRG:4:250054457",-97.505195,20.998948,370,39
"SEEDGWAS150:MRG:4:250056116",-37.295403,-6.996793,111,256
"SEEDGWAS1503:MRG:4:250070437",-50.268661,-21.350258,204,420
"SEEDGWAS1506:MRG:4:250070438",-89.513671,14.885899,195,479
"SEEDGWAS1508:MRG:4:250070440",-48.302538,-22.084753,274,608
"SEEDGWAS1512:MRG:4:250070441",-52.381079,-14.640556,132,328
"SEEDGWAS1513:MRG:4:250070442",-67.591402,9.772503,192,374
"SEEDGWAS1516:MRG:4:250070444",-68.177883,10.109421,248,700
"SEEDGWAS1517:MRG:4:250070445",-65.330006,9.366825,179,48
"SEEDGWAS1518:MRG:4:250070446",-72.453725,7.827287,283,932
"SEEDGWAS1519:MRG:4:250070447",-65.330006,9.366825,179,48
"SEEDGWAS152:MRG:4:250056118",-75.15,8.316666667,428,32
"SEEDGWAS153:MRG:4:250056119",-74.81666667,9.75,314,27
"SEEDGWAS1543:MRG:4:250070466",-66.127483,10.374977,501,18
"SEEDGWAS1545:MRG:4:250070467",-70.556081,8.267071,262,157
"SEEDGWAS155:MRG:4:250056120",-72.643105,7.617716,369,1691
"SEEDGWAS1550:MRG:4:250070470",-70.306586,7.488302,228,110
"SEEDGWAS1551:MRG:4:250070471",-68.54864,7.527035,244,69
"SEEDGWAS1552:MRG:4:250070472",-92.659404,15.332888,428,203
"SEEDGWAS1553:MRG:4:250070473",-100.5166667,18.23333333,170,431
"SEEDGWAS1554:MRG:4:250070474",-99.01666667,23.3,305,470
"SEEDGWAS1557:MRG:4:250070477",-87.93333333,15.8,688,150
"SEEDGWAS1560:MRG:4:250070478",-98.46634,16.504784,272,101
"SEEDGWAS1561:MRG:4:250070510",-80.41666667,7.916666667,253,45
"SEEDGWAS1564:MRG:4:250070514",-62.994159,-17.82886,239,340
"SEEDGWAS1565:MRG:4:250070515",-64.432761,-18.046032,210,1738
"SEEDGWAS1566:MRG:4:250070516",-63.668474,-21.951237,258,890
"SEEDGWAS157:MRG:4:250056122",-97.030722,20.385828,380,41
"SEEDGWAS1573:MRG:4:250070522",-64.25,8.916666667,152,284
"SEEDGWAS1574:MRG:4:250070523",-64.25,8.916666667,152,284
"SEEDGWAS1577:MRG:4:250070526",-67.043056,9.379051,200,158
"SEEDGWAS1579:MRG:4:250070528",-72.76796,9.405125,355,47
"SEEDGWAS158:MRG:4:250056123",-97.33333333,20.46666667,407,102
"SEEDGWAS1580:MRG:4:250070529",-59.692253,-32.310879,257,54
"SEEDGWAS1581:MRG:4:250070530",-66.303177,-30.377406,104,473
"SEEDGWAS1604:MRG:4:250070553",-64.786746,17.737032,486,57
"SEEDGWAS1605:MRG:4:250070554",-92.643647,15.323565,322,203
"SEEDGWAS1607:MRG:4:250070555",-92.659404,15.332888,428,203
"SEEDGWAS1610:MRG:4:250070558",-93,16.71666667,209,1045
"SEEDGWAS1611:MRG:4:250070559",-61.910948,8.018782,276,397
"SEEDGWAS162:MRG:4:250056125",-97.334715,20.511547,318,100
"SEEDGWAS163:MRG:4:250056127",-97.27305556,20.5422222,285,81
"SEEDGWAS1631:MRG:4:250070569",-92.712153,16.606885,259,715
"SEEDGWAS1632:MRG:4:250070570",-100.69796,18.300591,181,412
