"Lines","Long","Lat","crop","n_value","log_n","elevation_m"
"SEEDGWAS1045:MRG:4:250067747",-98.277964,21.038899,"maize",426,2.62940959910272,214
"SEEDGWAS1048:MRG:4:250067748",-98.222282,21.10534,"maize",500,2.69897000433602,214
"SEEDGWAS1049:MRG:4:250067749",-98.222282,21.10534,"maize",500,2.69897000433602,214
"SEEDGWAS105:MRG:4:250054520",-90.102679,20.601679,"maize",533,2.72672720902657,12
"SEEDGWAS1050:MRG:4:250067750",-98.296549,21.029685,"maize",458,2.66086547800387,214
"SEEDGWAS1051:MRG:4:250067752",-98.296549,21.029685,"maize",458,2.66086547800387,214
"SEEDGWAS1085:MRG:4:250067782",-102.8,20.55,"maize",146,2.16435285578444,1681
"SEEDGWAS1087:MRG:4:250067785",-100.21527,22.031961,"maize",175,2.24303804868629,1318
"SEEDGWAS1088:MRG:4:250067786",-99.816363,22.05427,"maize",180,2.25527250510331,1170
"SEEDGWAS1091:MRG:4:250067789",-100.9672228,25.552339,"maize",112,2.04921802267018,1392
"SEEDGWAS1095:MRG:4:250067792",-99.45,18.75,"maize",216,2.33445375115093,1161
"SEEDGWAS1096:MRG:4:250067793",-99.3,18.68,"maize",200,2.30102999566398,1107
"SEEDGWAS1097:MRG:4:250067794",-105.2977778,27.15888889,"maize",153,2.1846914308176,1533
"SEEDGWAS1107:MRG:4:250067805",-97.28339,16.233634,"maize",301,2.47856649559384,1644
"SEEDGWAS1108:MRG:4:250067806",-97.096379,16.35071,"maize",212,2.32633586092875,1454
"SEEDGWAS1109:MRG:4:250067807",-97.28339,16.233634,"maize",301,2.47856649559384,1644
"SEEDGWAS1110:MRG:4:250067808",-104.088629,21.696608,"maize",169,2.22788670461367,1401
"SEEDGWAS112:MRG:4:250054525",-111.113435,30.544226,"maize",104,2.01703333929878,755
"SEEDGWAS1120:MRG:4:250070133",-102.7166667,19.96666667,"maize",205,2.31175386105575,1862
"SEEDGWAS1121:MRG:4:250070134",-97.03333333,19.08333333,"maize",443,2.64640372622307,1888
"SEEDGWAS1122:MRG:4:250070135",-96.282141,18.390306,"maize",257,2.40993312333129,43
"SEEDGWAS1126:MRG:4:250070139",-99,19.01666667,"maize",321,2.50650503240487,2624
"SEEDGWAS1128:MRG:4:250070140",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1130:MRG:4:250070141",-93.76666667,16.08333333,"maize",215,2.33243845991561,161
"SEEDGWAS1131:MRG:4:250070142",-93.38333333,16.76666667,"maize",203,2.30749603791321,856
"SEEDGWAS1133:MRG:4:250070143",-104.5333333,25.2,"maize",180,2.25527250510331,1476
"SEEDGWAS1134:MRG:4:250070144",-92.251361,15.37229,"maize",426,2.62940959910272,2081
"SEEDGWAS1135:MRG:4:250070145",-97.020133,19.017868,"maize",438,2.6414741105041,1888
"SEEDGWAS1136:MRG:4:250070147",-103.15,18.78333,"maize",392,2.59328606702046,1581
"SEEDGWAS114:MRG:4:250054527",-91.642471,18.04166,"maize",543,2.73479982958885,7
"SEEDGWAS1140:MRG:4:250070150",-97.03333333,19.08333333,"maize",443,2.64640372622307,1888
"SEEDGWAS1143:MRG:4:250070153",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1144:MRG:4:250070154",-99.385656,17.576119,"maize",191,2.28103336724773,1485
"SEEDGWAS1145:MRG:4:250070155",-97.1,19.11666667,"maize",451,2.65417654187796,1888
"SEEDGWAS1147:MRG:4:250070157",-92.711648,16.602202,"maize",259,2.41329976408125,715
"SEEDGWAS1148:MRG:4:250070158",-92.68035,16.538454,"maize",196,2.29225607135648,715
"SEEDGWAS115:MRG:4:250054528",-90.233333,19.766667,"maize",334,2.52374646681156,31
"SEEDGWAS1150:MRG:4:250070159",-92.68035,16.538454,"maize",196,2.29225607135648,715
"SEEDGWAS1151:MRG:4:250070160",-92.711648,16.602202,"maize",259,2.41329976408125,715
"SEEDGWAS1152:MRG:4:250070161",-92.711648,16.602202,"maize",259,2.41329976408125,715
"SEEDGWAS1156:MRG:4:250070164",-92.73333333,15.86666667,"maize",284,2.45331834004704,803
"SEEDGWAS1157:MRG:4:250070165",-93.26666667,16.8,"maize",182,2.26007138798507,855
"SEEDGWAS1166:MRG:4:250070172",-101.303874,17.678521,"maize",264,2.42160392686983,633
"SEEDGWAS1168:MRG:4:250070174",-97.816661,16.95513,"maize",478,2.67942789661212,1455
"SEEDGWAS1169:MRG:4:250070175",-96.46666667,15.75,"maize",187,2.2718416065365,176
"SEEDGWAS117:MRG:4:250054530",-90.740704,18.572773,"maize",361,2.55750720190566,92
"SEEDGWAS1170:MRG:4:250070176",-103.666667,18.75,"maize",248,2.39445168082622,40
"SEEDGWAS1172:MRG:4:250070178",-102.363626,18.808584,"maize",245,2.38916608436453,859
"SEEDGWAS1173:MRG:4:250070179",-102.373599,19.08164,"maize",163,2.21218760440396,337
"SEEDGWAS1174:MRG:4:250070180",-102.373599,19.08164,"maize",163,2.21218760440396,337
"SEEDGWAS1175:MRG:4:250070181",-102.373599,19.08164,"maize",163,2.21218760440396,337
"SEEDGWAS1176:MRG:4:250070182",-99.365802,16.801211,"maize",226,2.3541084391474,74
"SEEDGWAS1177:MRG:4:250070183",-100.69796,18.300591,"maize",181,2.25767857486918,412
"SEEDGWAS1178:MRG:4:250070184",-100.249473,18.298628,"maize",217,2.33645973384853,638
"SEEDGWAS1179:MRG:4:250070185",-98.06005,16.409733,"maize",250,2.39794000867204,257
"SEEDGWAS118:MRG:4:250054531",-93.101655,16.635756,"maize",227,2.35602585719312,668
"SEEDGWAS1180:MRG:4:250070186",-98.281497,16.735414,"maize",373,2.57170883180869,359
"SEEDGWAS1183:MRG:4:250070188",-99.205617,24.041477,"maize",367,2.56466606425209,241
"SEEDGWAS1184:MRG:4:250070189",-97.097646,20.480001,"maize",403,2.60530504614111,41
"SEEDGWAS1185:MRG:4:250070190",-93.26666667,16.25,"maize",173,2.2380461031288,642
"SEEDGWAS1187:MRG:4:250070192",-105.22623,22.024349,"maize",349,2.54282542695918,21
"SEEDGWAS1188:MRG:4:250070193",-104.344955,19.772796,"maize",190,2.27875360095283,1148
"SEEDGWAS1189:MRG:4:250070194",-96.91666667,18.9,"maize",391,2.59217675739587,967
"SEEDGWAS119:MRG:4:250054532",-92.81666667,16.5666667,"maize",210,2.32221929473392,715
"SEEDGWAS1191:MRG:4:250070195",-93,16.71666667,"maize",209,2.32014628611105,1045
"SEEDGWAS1192:MRG:4:250070196",-92.659404,15.332888,"maize",428,2.63144376901317,203
"SEEDGWAS1195:MRG:4:250070199",-88.51666667,20.85,"maize",891,2.94987770403687,27
"SEEDGWAS1196:MRG:4:250070200",-88.28333333,21.01666667,"maize",813,2.91009054559407,24
"SEEDGWAS12:MRG:4:250054454",-96.85,20.2,"maize",613,2.78746047451842,19
"SEEDGWAS120:MRG:4:250054533",-92.0992225,15.984309,"maize",223,2.34830486304816,653
"SEEDGWAS121:MRG:4:250054534",-98.8167,21.5667,"maize",522,2.71767050300226,106
"SEEDGWAS122:MRG:4:250054535",-98.746052,21.26317,"maize",527,2.72181061521255,253
"SEEDGWAS124:MRG:4:250054537",-89.484052,20.734106,"maize",564,2.75127910398334,17
"SEEDGWAS125:MRG:4:250054538",-89.483888,20.734108,"maize",564,2.75127910398334,17
"SEEDGWAS1254:MRG:4:250070280",-105.177805,21.847885,"maize",339,2.53019969820308,19
"SEEDGWAS1256:MRG:4:250070283",-92.0992225,15.984309,"maize",223,2.34830486304816,653
"SEEDGWAS1263:MRG:4:250070290",-98.416667,21.15,"maize",453,2.65609820201283,299
"SEEDGWAS1264:MRG:4:250070292",-92.21666667,15.7,"maize",326,2.51321760006794,677
"SEEDGWAS1266:MRG:4:250070294",-105.4666667,22.4,"maize",450,2.65321251377534,17
"SEEDGWAS1267:MRG:4:250070295",-99.614777,26.888903,"maize",137,2.13672056715641,128
"SEEDGWAS1268:MRG:4:250070296",-96.9,18.85,"maize",333,2.52244423350632,967
"SEEDGWAS1293:MRG:4:250070317",-99.223726,24.015674,"maize",331,2.51982799377572,241
"SEEDGWAS13:MRG:4:250054455",-97.113749,20.474435,"maize",313,2.49554433754645,41
"SEEDGWAS1303:MRG:4:250070327",-97.699529,21.320028,"maize",387,2.58771096501891,214
"SEEDGWAS139:MRG:4:250056107",-98.905924,21.544818,"maize",501,2.69983772586725,242
"SEEDGWAS14:MRG:4:250054456",-96.354444,19.344444,"maize",220,2.34242268082221,48
"SEEDGWAS141:MRG:4:250056108",-97.382222,20.43027778,"maize",286,2.45636603312904,143
"SEEDGWAS143:MRG:4:250056110",-89.31613,19.841513,"maize",356,2.55144999797288,137
"SEEDGWAS1463:MRG:4:250070403",-97.61666667,16.11666667,"maize",290,2.46239799789896,147
"SEEDGWAS1464:MRG:4:250070404",-98.026611,16.343416,"maize",276,2.44090908206522,257
"SEEDGWAS1465:MRG:4:250070405",-98.026611,16.343416,"maize",276,2.44090908206522,257
"SEEDGWAS1466:MRG:4:250070406",-98.136052,16.539657,"maize",298,2.47421626407626,394
"SEEDGWAS1467:MRG:4:250070407",-97.95,17.03333333,"maize",493,2.69284691927723,1192
"SEEDGWAS1468:MRG:4:250070408",-96.48333333,15.71666667,"maize",238,2.37657695705651,176
"SEEDGWAS1469:MRG:4:250070409",-96.3,15.78333333,"maize",284,2.45331834004704,114
"SEEDGWAS1474:MRG:4:250070414",-105.2166667,21.1,"maize",297,2.47275644931721,124
"SEEDGWAS1476:MRG:4:250070415",-105.2166667,21.1,"maize",297,2.47275644931721,124
"SEEDGWAS1477:MRG:4:250070416",-105.1666667,21.2,"maize",311,2.49276038902684,22
"SEEDGWAS1478:MRG:4:250070417",-105.1833333,20.81666667,"maize",211,2.32428245529769,54
"SEEDGWAS1479:MRG:4:250070418",-105.1833333,20.81666667,"maize",211,2.32428245529769,54
"SEEDGWAS1481:MRG:4:250070419",-104.915301,21.232846,"maize",187,2.2718416065365,878
"SEEDGWAS1482:MRG:4:250070420",-105.3333333,22.65,"maize",363,2.55990662503611,380
"SEEDGWAS1483:MRG:4:250070421",-105.3333333,22.65,"maize",363,2.55990662503611,380
"SEEDGWAS1484:MRG:4:250070422",-105.3333333,22.65,"maize",363,2.55990662503611,380
"SEEDGWAS1485:MRG:4:250070423",-106.44719,23.365893,"maize",198,2.29666519026153,104
"SEEDGWAS1486:MRG:4:250070424",-106.303401,23.201203,"maize",195,2.29003461136252,56
"SEEDGWAS1487:MRG:4:250070425",-107.2166667,24.71666667,"maize",184,2.26481782300954,155
"SEEDGWAS1488:MRG:4:250070426",-107.562256,25.408895,"maize",234,2.36921585741014,373
"SEEDGWAS1490:MRG:4:250070427",-108.639475,26.421574,"maize",125,2.09691001300806,126
"SEEDGWAS1492:MRG:4:250070428",-108.6333333,26.63333333,"maize",291,2.46389298898591,168
"SEEDGWAS1493:MRG:4:250070429",-108.2333333,25.81666667,"maize",160,2.20411998265592,69
"SEEDGWAS1494:MRG:4:250070430",-106.983531,24.97268,"maize",251,2.39967372148104,484
"SEEDGWAS1495:MRG:4:250070431",-109.3,28.11666667,"maize",176,2.24551266781415,683
"SEEDGWAS1496:MRG:4:250070432",-108.931234,28.353628,"maize",271,2.43296929087441,1627
"SEEDGWAS15:MRG:4:250054457",-97.505195,20.998948,"maize",370,2.568201724067,39
"SEEDGWAS1552:MRG:4:250070472",-92.659404,15.332888,"maize",428,2.63144376901317,203
"SEEDGWAS1553:MRG:4:250070473",-100.5166667,18.23333333,"maize",170,2.23044892137827,431
"SEEDGWAS1554:MRG:4:250070474",-99.01666667,23.3,"maize",305,2.48429983934679,470
"SEEDGWAS1560:MRG:4:250070478",-98.46634,16.504784,"maize",272,2.4345689040342,101
"SEEDGWAS157:MRG:4:250056122",-97.030722,20.385828,"maize",380,2.57978359661681,41
"SEEDGWAS158:MRG:4:250056123",-97.33333333,20.46666667,"maize",407,2.60959440922522,102
"SEEDGWAS1605:MRG:4:250070554",-92.643647,15.323565,"maize",322,2.50785587169583,203
"SEEDGWAS1607:MRG:4:250070555",-92.659404,15.332888,"maize",428,2.63144376901317,203
"SEEDGWAS1610:MRG:4:250070558",-93,16.71666667,"maize",209,2.32014628611105,1045
"SEEDGWAS162:MRG:4:250056125",-97.334715,20.511547,"maize",318,2.50242711998443,100
"SEEDGWAS163:MRG:4:250056127",-97.27305556,20.5422222,"maize",285,2.45484486000851,81
"SEEDGWAS1631:MRG:4:250070569",-92.712153,16.606885,"maize",259,2.41329976408125,715
"SEEDGWAS1632:MRG:4:250070570",-100.69796,18.300591,"maize",181,2.25767857486918,412
"SEEDGWAS1633:MRG:4:250070571",-102.373599,19.08164,"maize",163,2.21218760440396,337
"SEEDGWAS1634:MRG:4:250070572",-105.2166667,21.95,"maize",418,2.62117628177504,19
"SEEDGWAS1635:MRG:4:250070573",-105.22623,22.024349,"maize",349,2.54282542695918,21
"SEEDGWAS1636:MRG:4:250070574",-105.5333333,22.36666667,"maize",470,2.67209785793572,4
"SEEDGWAS1638:MRG:4:250070575",-94.601906,16.580327,"maize",255,2.40654018043396,202
"SEEDGWAS1639:MRG:4:250070576",-86.91666667,20.51666667,"maize",837,2.92272545799326,8
"SEEDGWAS164:MRG:4:250056128",-97.343051,20.471501,"maize",383,2.58319877396862,143
"SEEDGWAS1641:MRG:4:250070577",-98.905924,21.544818,"maize",501,2.69983772586725,242
"SEEDGWAS1643:MRG:4:250070578",-99.481609,24.25333,"maize",347,2.54032947479087,319
"SEEDGWAS1644:MRG:4:250070579",-99.48333333,24.26666667,"maize",231,2.36361197989214,319
"SEEDGWAS1647:MRG:4:250070582",-97.382222,20.43027778,"maize",286,2.45636603312904,143
"SEEDGWAS1648:MRG:4:250070583",-97.382222,20.43027778,"maize",286,2.45636603312904,143
"SEEDGWAS1652:MRG:4:250070588",-102.373599,19.08164,"maize",163,2.21218760440396,337
"SEEDGWAS1653:MRG:4:250070589",-102.373599,19.08164,"maize",163,2.21218760440396,337
"SEEDGWAS1654:MRG:4:250070590",-99.36666667,18.71666667,"maize",241,2.38201704257487,1161
"SEEDGWAS1655:MRG:4:250070591",-105.382959,21.993057,"maize",441,2.64443858946784,4
"SEEDGWAS1656:MRG:4:250070592",-105.382959,21.993057,"maize",441,2.64443858946784,4
"SEEDGWAS1662:MRG:4:250070597",-99.634229,21.83299,"maize",175,2.24303804868629,975
"SEEDGWAS1663:MRG:4:250070598",-99.653771,22.023366,"maize",155,2.19033169817029,1385
"SEEDGWAS1665:MRG:4:250070599",-101.2833333,17.53333333,"maize",338,2.52891670027765,283
"SEEDGWAS1667:MRG:4:250070601",-86.91666667,20.51666667,"maize",837,2.92272545799326,8
"SEEDGWAS1668:MRG:4:250070602",-89.633331,20.250295,"maize",414,2.6170003411209,69
"SEEDGWAS167:MRG:4:250056129",-97.762003,20.910099,"maize",329,2.51719589794997,68
"SEEDGWAS1673:MRG:4:250062636",-90.046207,19.716788,"maize",313,2.49554433754645,76
"SEEDGWAS1674:MRG:4:250062637",-90.12082,19.746176,"maize",265,2.42324587393681,76
"SEEDGWAS1679:MRG:4:250062639",-101.342386,17.581508,"maize",203,2.30749603791321,71
"SEEDGWAS168:MRG:4:250056130",-97.675796,20.893005,"maize",297,2.47275644931721,68
"SEEDGWAS1680:MRG:4:250062640",-101.303874,17.678521,"maize",264,2.42160392686983,633
"SEEDGWAS1681:MRG:4:250062641",-98.712616,21.399889,"maize",469,2.67117284271508,163
"SEEDGWAS1689:MRG:4:250062647",-98.75,21.26666667,"maize",527,2.72181061521255,253
"SEEDGWAS169:MRG:4:250056131",-97.85,21.15,"maize",347,2.54032947479087,180
"SEEDGWAS1690:MRG:4:250062648",-92.659404,15.332888,"maize",428,2.63144376901317,203
"SEEDGWAS1691:MRG:4:250062649",-88.732928,20.729917,"maize",522,2.71767050300226,28
"SEEDGWAS1693:MRG:4:250062650",-93.26666667,16.25,"maize",173,2.2380461031288,642
"SEEDGWAS1694:MRG:4:250062651",-101.799996,17.971798,"maize",220,2.34242268082221,219
"SEEDGWAS1695:MRG:4:250062652",-93.26666667,16.25,"maize",173,2.2380461031288,642
"SEEDGWAS170:MRG:4:250056132",-97.83333333,21.38333333,"maize",335,2.52504480703685,74
"SEEDGWAS1704:MRG:4:250062661",-104.469957,22.274119,"maize",234,2.36921585741014,1127
"SEEDGWAS1705:MRG:4:250062662",-101.799996,17.971798,"maize",220,2.34242268082221,219
"SEEDGWAS1707:MRG:4:250062663",-89.251078,20.880724,"maize",595,2.77451696572855,15
"SEEDGWAS1708:MRG:4:250062664",-92.7,15.28333333,"maize",503,2.70156798505593,18
"SEEDGWAS1709:MRG:4:250062665",-93.71666667,16.7,"maize",189,2.27646180417324,711
"SEEDGWAS171:MRG:4:250056133",-97.51666667,21.28333333,"maize",404,2.6063813651106,61
"SEEDGWAS1710:MRG:4:250062667",-93.4,17.85,"maize",636,2.80345711564841,28
"SEEDGWAS1711:MRG:4:250062668",-101.728267,18.317643,"maize",232,2.3654879848909,433
"SEEDGWAS1712:MRG:4:250062669",-95.200253,16.498068,"maize",281,2.44870631990508,191
"SEEDGWAS1713:MRG:4:250062670",-105.262282,19.936732,"maize",215,2.33243845991561,121
"SEEDGWAS1714:MRG:4:250062671",-105.262282,19.936732,"maize",215,2.33243845991561,121
"SEEDGWAS1715:MRG:4:250062672",-104.612035,19.697393,"maize",305,2.48429983934679,748
"SEEDGWAS1716:MRG:4:250062673",-104.612035,19.697393,"maize",305,2.48429983934679,748
"SEEDGWAS1717:MRG:4:250062674",-105.262282,19.936732,"maize",215,2.33243845991561,121
"SEEDGWAS1719:MRG:4:250062675",-105.262282,19.936732,"maize",215,2.33243845991561,121
"SEEDGWAS172:MRG:4:250056134",-97.85,21.15,"maize",347,2.54032947479087,180
"SEEDGWAS1720:MRG:4:250062676",-105.262282,19.936732,"maize",215,2.33243845991561,121
"SEEDGWAS1721:MRG:4:250062677",-100.249473,18.298628,"maize",217,2.33645973384853,638
"SEEDGWAS1722:MRG:4:250062678",-94.35,16.48333333,"maize",330,2.51851393987789,71
"SEEDGWAS1723:MRG:4:250062679",-96.831814,17.528084,"maize",185,2.26717172840301,1905
"SEEDGWAS1725:MRG:4:250062681",-95.78,17.16,"maize",488,2.68841982200271,818
"SEEDGWAS1726:MRG:4:250062682",-95.78,17.16,"maize",488,2.68841982200271,818
"SEEDGWAS1727:MRG:4:250062683",-95.78,17.16,"maize",488,2.68841982200271,818
"SEEDGWAS1728:MRG:4:250062684",-95.78,17.16,"maize",488,2.68841982200271,818
"SEEDGWAS173:MRG:4:250056135",-97.71666667,21.35,"maize",417,2.62013605497376,74
"SEEDGWAS1736:MRG:4:250062690",-105.2,21.82,"maize",355,2.55022835305509,10
"SEEDGWAS1737:MRG:4:250062691",-105.2,21.82,"maize",355,2.55022835305509,10
"SEEDGWAS1739:MRG:4:250062692",-105.2,21.82,"maize",355,2.55022835305509,10
"SEEDGWAS174:MRG:4:250056136",-96.710604,20.062451,"maize",341,2.5327543789925,105
"SEEDGWAS1740:MRG:4:250062693",-89.65,20.3,"maize",397,2.59879050676312,69
"SEEDGWAS1742:MRG:4:250062695",-105.1333333,21.96666667,"maize",346,2.53907609879278,57
"SEEDGWAS1743:MRG:4:250062696",-105.1333333,21.96666667,"maize",346,2.53907609879278,57
"SEEDGWAS1744:MRG:4:250062697",-93.2296,18.296126,"maize",646,2.81023251799508,11
"SEEDGWAS1755:MRG:4:250062707",-104.35,19.76666667,"maize",201,2.30319605742049,1148
"SEEDGWAS1756:MRG:4:250062708",-104.35,19.76666667,"maize",201,2.30319605742049,1148
"SEEDGWAS1759:MRG:4:250062709",-105.370775,26.95746,"maize",150,2.17609125905568,1653
"SEEDGWAS176:MRG:4:250056137",-98.38333333,21.51666667,"maize",339,2.53019969820308,54
"SEEDGWAS1760:MRG:4:250062710",-105.3313889,27.1283333,"maize",155,2.19033169817029,1533
"SEEDGWAS1761:MRG:4:250062711",-104.890933,27.130649,"maize",193,2.28555730900777,1392
"SEEDGWAS1766:MRG:4:250062717",-103.274676,25.434457,"maize",130,2.11394335230684,1145
"SEEDGWAS177:MRG:4:250056138",-97.8,22.11,"maize",328,2.51587384371168,22
"SEEDGWAS1775:MRG:4:250062726",-102.7166667,19.96666667,"maize",205,2.31175386105575,1862
"SEEDGWAS1777:MRG:4:250062728",-98.76666667,20.6,"maize",236,2.37291200297011,1666
"SEEDGWAS1778:MRG:4:250062730",-101.03832,20.198115,"maize",175,2.24303804868629,1790
"SEEDGWAS1786:MRG:4:250062769",-100.75378,23.369168,"maize",162,2.20951501454263,1711
"SEEDGWAS1788:MRG:4:250062770",-103.005314,25.72199,"maize",201,2.30319605742049,1122
"SEEDGWAS1789:MRG:4:250062771",-101.411113,20.955531,"maize",144,2.15836249209525,1799
"SEEDGWAS1798:MRG:4:250062780",-102.4833333,20.01666667,"maize",191,2.28103336724773,1605
"SEEDGWAS1803:MRG:4:250062784",-93.176559,16.782368,"maize",224,2.35024801833416,855
"SEEDGWAS1804:MRG:4:250062785",-104.449948,21.110878,"maize",203,2.30749603791321,1369
"SEEDGWAS1809:MRG:4:250062791",-92.73333333,15.86666667,"maize",284,2.45331834004704,803
"SEEDGWAS1811:MRG:4:250062793",-98.78333333,18.88333333,"maize",305,2.48429983934679,2263
"SEEDGWAS1812:MRG:4:250062794",-91.943308,16.328624,"maize",283,2.45178643552429,1534
"SEEDGWAS1816:MRG:4:250062797",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1818:MRG:4:250062798",-100.21527,22.031961,"maize",175,2.24303804868629,1318
"SEEDGWAS1819:MRG:4:250062799",-99.88277778,21.71083333,"maize",262,2.41830129131975,1114
"SEEDGWAS1820:MRG:4:250062800",-99.883528,21.71058,"maize",262,2.41830129131975,1114
"SEEDGWAS1821:MRG:4:250062801",-99.9072222,21.7722222,"maize",154,2.18752072083646,1114
"SEEDGWAS1822:MRG:4:250062802",-99.9322222,21.79805556,"maize",134,2.12710479836481,1114
"SEEDGWAS1823:MRG:4:250062803",-99,23.91666667,"maize",182,2.26007138798507,160
"SEEDGWAS1828:MRG:4:250062808",-102.95,20.78333333,"maize",195,2.29003461136252,1703
"SEEDGWAS1829:MRG:4:250062809",-104,20.8,"maize",204,2.3096301674259,1553
"SEEDGWAS1830:MRG:4:250062810",-93.38333333,16.76666667,"maize",203,2.30749603791321,856
"SEEDGWAS1831:MRG:4:250062812",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1832:MRG:4:250062813",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1833:MRG:4:250062814",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1834:MRG:4:250062815",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1835:MRG:4:250062816",-92.1,15.7,"maize",244,2.38738982633873,696
"SEEDGWAS1836:MRG:4:250062817",-92.05,16.11666667,"maize",206,2.31386722036915,1214
"SEEDGWAS1837:MRG:4:250062818",-92.711648,16.602202,"maize",259,2.41329976408125,715
"SEEDGWAS1838:MRG:4:250062819",-92.05,16.11666667,"maize",206,2.31386722036915,1214
"SEEDGWAS1839:MRG:4:250062820",-100.265107,22.333956,"maize",170,2.23044892137827,1195
"SEEDGWAS1840:MRG:4:250063056",-99.836545,21.635442,"maize",191,2.28103336724773,1316
"SEEDGWAS1885:MRG:4:250063097",-97.181289,20.566064,"maize",295,2.46982201597816,81
"SEEDGWAS1887:MRG:4:250063098",-97.762003,20.910099,"maize",329,2.51719589794997,68
"SEEDGWAS1888:MRG:4:250063099",-97.71666667,21.35,"maize",417,2.62013605497376,74
"SEEDGWAS2008:MRG:4:250063235",-98.712616,21.399889,"maize",469,2.67117284271508,163
"SEEDGWAS2029:MRG:4:250062141",-98.10282,16.655201,"maize",290,2.46239799789896,394
"SEEDGWAS2041:MRG:4:250062151",-100.7333333,28.23333333,"maize",251,2.39967372148104,378
"SEEDGWAS2046:MRG:4:250062156",-108.3333333,26.71666667,"maize",170,2.23044892137827,543
"SEEDGWAS2047:MRG:4:250062157",-109.432449,28.155757,"maize",168,2.22530928172586,522
"SEEDGWAS2048:MRG:4:250062158",-109.1833333,28.93333333,"maize",145,2.16136800223497,769
"SEEDGWAS2073:MRG:4:250063018",-103.142683,18.797803,"maize",386,2.58658730467176,1581
"SEEDGWAS2075:MRG:4:250063019",-94.6,16.58333333,"maize",205,2.31175386105575,202
"SEEDGWAS2077:MRG:4:250063021",-103.661841,18.6781,"maize",238,2.37657695705651,352
"SEEDGWAS2078:MRG:4:250063022",-103.666667,18.75,"maize",248,2.39445168082622,40
"SEEDGWAS2079:MRG:4:250063023",-102.373599,19.08164,"maize",163,2.21218760440396,337
"SEEDGWAS2080:MRG:4:250063024",-101.8,18.96666667,"maize",206,2.31386722036915,714
"SEEDGWAS2081:MRG:4:250063025",-101.605,17.97833333,"maize",223,2.34830486304816,818
"SEEDGWAS2084:MRG:4:250063027",-98.712616,21.399889,"maize",469,2.67117284271508,163
"SEEDGWAS2087:MRG:4:250063030",-97.96666667,21.28333333,"maize",380,2.57978359661681,373
"SEEDGWAS2092:MRG:4:250063036",-105.5333333,22.36666667,"maize",470,2.67209785793572,4
"SEEDGWAS2093:MRG:4:250063037",-105.460404,22.431118,"maize",507,2.70500795933334,17
"SEEDGWAS2096:MRG:4:250063040",-98.76666667,22.01666667,"maize",232,2.3654879848909,39
