GO biological process complete	Zea mays - REFLIST (39216)	upload_1 (3615)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of cutin biosynthetic process (GO:1901957)	4	2	0.37	+	5.42	4.49E-02
positive regulation of transcription by RNA polymerase I (GO:0045943)	4	2	0.37	+	5.42	4.49E-02
maintenance of translational fidelity (GO:1990145)	4	2	0.37	+	5.42	4.49E-02
positive regulation of mitochondrial DNA metabolic process (GO:1901860)	4	2	0.37	+	5.42	4.49E-02
regulation of mitochondrial DNA metabolic process (GO:1901858)	4	2	0.37	+	5.42	4.49E-02
SNARE complex assembly (GO:0035493)	4	2	0.37	+	5.42	4.49E-02
sexual sporulation (GO:0034293)	10	5	0.92	+	5.42	1.12E-03
plant-type sporogenesis (GO:0048236)	10	5	0.92	+	5.42	1.12E-03
sporulation (GO:0043934)	10	5	0.92	+	5.42	1.12E-03
seed coat development (GO:0010214)	7	3	0.65	+	4.65	2.06E-02
male meiosis II (GO:0007142)	7	3	0.65	+	4.65	2.06E-02
cell cycle DNA replication initiation (GO:1902292)	8	3	0.74	+	4.07	3.08E-02
triose phosphate transport (GO:0015717)	8	3	0.74	+	4.07	3.08E-02
protein-tetrapyrrole linkage (GO:0017006)	8	3	0.74	+	4.07	3.08E-02
proteoglycan metabolic process (GO:0006029)	16	6	1.47	+	4.07	2.17E-03
nuclear cell cycle DNA replication initiation (GO:1902315)	8	3	0.74	+	4.07	3.08E-02
mitotic DNA replication initiation (GO:1902975)	8	3	0.74	+	4.07	3.08E-02
triose phosphate transmembrane transport (GO:0035436)	8	3	0.74	+	4.07	3.08E-02
detection of visible light (GO:0009584)	11	4	1.01	+	3.94	1.40E-02
positive regulation of response to salt stress (GO:1901002)	17	6	1.57	+	3.83	3.09E-03
cell wall proteoglycan metabolic process (GO:0010384)	12	4	1.11	+	3.62	1.95E-02
arabinogalactan protein metabolic process (GO:0010405)	12	4	1.11	+	3.62	1.95E-02
negative regulation of response to salt stress (GO:1901001)	15	5	1.38	+	3.62	9.06E-03
phototransduction (GO:0007602)	18	6	1.66	+	3.62	4.28E-03
"red, far-red light phototransduction (GO:0009585)"	18	6	1.66	+	3.62	4.28E-03
amylopectin biosynthetic process (GO:0010021)	9	3	0.83	+	3.62	4.30E-02
mitochondria-nucleus signaling pathway (GO:0031930)	9	3	0.83	+	3.62	4.30E-02
regulation of starch metabolic process (GO:2000904)	9	3	0.83	+	3.62	4.30E-02
amylopectin metabolic process (GO:2000896)	9	3	0.83	+	3.62	4.30E-02
regulation of response to salt stress (GO:1901000)	34	11	3.13	+	3.51	1.55E-04
regulation of response to osmotic stress (GO:0047484)	34	11	3.13	+	3.51	1.55E-04
chloroplast rRNA processing (GO:1901259)	19	6	1.75	+	3.43	5.77E-03
brassinosteroid biosynthetic process (GO:0016132)	16	5	1.47	+	3.39	1.22E-02
phytosteroid biosynthetic process (GO:0016129)	16	5	1.47	+	3.39	1.22E-02
glycosyl compound biosynthetic process (GO:1901659)	13	4	1.2	+	3.34	2.61E-02
detection of light stimulus (GO:0009583)	23	7	2.12	+	3.3	3.66E-03
malate transport (GO:0015743)	17	5	1.57	+	3.19	1.60E-02
C4-dicarboxylate transport (GO:0015740)	17	5	1.57	+	3.19	1.60E-02
male meiotic nuclear division (GO:0007140)	17	5	1.57	+	3.19	1.60E-02
male gamete generation (GO:0048232)	24	7	2.21	+	3.16	4.76E-03
embryo sac development (GO:0009553)	24	7	2.21	+	3.16	4.76E-03
gamete generation (GO:0007276)	25	7	2.3	+	3.04	6.09E-03
guard cell differentiation (GO:0010052)	22	6	2.03	+	2.96	1.25E-02
positive regulation of organelle organization (GO:0010638)	22	6	2.03	+	2.96	1.25E-02
detection of abiotic stimulus (GO:0009582)	30	8	2.77	+	2.89	4.75E-03
detection of external stimulus (GO:0009581)	30	8	2.77	+	2.89	4.75E-03
stomatal complex development (GO:0010374)	28	7	2.58	+	2.71	1.17E-02
stomatal complex morphogenesis (GO:0010103)	28	7	2.58	+	2.71	1.17E-02
nucleoside transport (GO:0015858)	20	5	1.84	+	2.71	3.18E-02
nucleoside transmembrane transport (GO:1901642)	20	5	1.84	+	2.71	3.18E-02
regulation of mitotic nuclear division (GO:0007088)	20	5	1.84	+	2.71	3.18E-02
multicellular organismal reproductive process (GO:0048609)	41	10	3.78	+	2.65	3.40E-03
androecium development (GO:0048466)	29	7	2.67	+	2.62	1.43E-02
stamen development (GO:0048443)	29	7	2.67	+	2.62	1.43E-02
cellular response to red or far red light (GO:0071489)	25	6	2.3	+	2.6	2.34E-02
red or far-red light signaling pathway (GO:0010017)	25	6	2.3	+	2.6	2.34E-02
regulation of mitotic sister chromatid separation (GO:0010965)	21	5	1.94	+	2.58	3.86E-02
positive regulation of cell cycle (GO:0045787)	21	5	1.94	+	2.58	3.86E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	21	5	1.94	+	2.58	3.86E-02
regulation of chromosome separation (GO:1905818)	21	5	1.94	+	2.58	3.86E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	21	5	1.94	+	2.58	3.86E-02
regulation of translational fidelity (GO:0006450)	22	5	2.03	+	2.47	4.63E-02
positive regulation of cell communication (GO:0010647)	22	5	2.03	+	2.47	4.63E-02
positive regulation of signal transduction (GO:0009967)	22	5	2.03	+	2.47	4.63E-02
response to blue light (GO:0009637)	36	8	3.32	+	2.41	1.50E-02
plant epidermis morphogenesis (GO:0090626)	45	10	4.15	+	2.41	6.90E-03
formation of cytoplasmic translation initiation complex (GO:0001732)	27	6	2.49	+	2.41	3.34E-02
gametophyte development (GO:0048229)	91	20	8.39	+	2.38	1.97E-04
floral whorl development (GO:0048438)	37	8	3.41	+	2.35	1.76E-02
pollen development (GO:0009555)	74	16	6.82	+	2.35	9.95E-04
cell surface receptor protein serine/threonine kinase signaling pathway (GO:0007178)	47	10	4.33	+	2.31	9.46E-03
enzyme-linked receptor protein signaling pathway (GO:0007167)	47	10	4.33	+	2.31	9.46E-03
glucose 6-phosphate metabolic process (GO:0051156)	33	7	3.04	+	2.3	2.83E-02
floral organ development (GO:0048437)	48	10	4.42	+	2.26	1.10E-02
nucleus organization (GO:0006997)	39	8	3.6	+	2.23	2.38E-02
detection of stimulus (GO:0051606)	49	10	4.52	+	2.21	1.27E-02
post-embryonic plant morphogenesis (GO:0090698)	49	10	4.52	+	2.21	1.27E-02
monocarboxylic acid transport (GO:0015718)	35	7	3.23	+	2.17	3.80E-02
cellular response to light stimulus (GO:0071482)	47	9	4.33	+	2.08	3.66E-02
flower development (GO:0009908)	105	20	9.68	+	2.07	1.81E-03
protein refolding (GO:0042026)	70	13	6.45	+	2.01	1.20E-02
seed development (GO:0048316)	87	16	8.02	+	2	7.76E-03
cellular response to radiation (GO:0071478)	49	9	4.52	+	1.99	4.20E-02
phospholipid dephosphorylation (GO:0046839)	60	11	5.53	+	1.99	2.31E-02
xylan biosynthetic process (GO:0045492)	60	11	5.53	+	1.99	2.31E-02
dephosphorylation (GO:0016311)	60	11	5.53	+	1.99	2.31E-02
reproductive shoot system development (GO:0090567)	115	21	10.6	+	1.98	2.99E-03
response to brassinosteroid (GO:0009741)	89	16	8.2	+	1.95	8.83E-03
protein import into nucleus (GO:0006606)	56	10	5.16	+	1.94	3.51E-02
carboxylic acid transport (GO:0046942)	80	14	7.37	+	1.9	1.80E-02
organic acid transport (GO:0015849)	80	14	7.37	+	1.9	1.80E-02
cellular response to environmental stimulus (GO:0104004)	63	11	5.81	+	1.89	4.47E-02
cellular response to abiotic stimulus (GO:0071214)	63	11	5.81	+	1.89	4.47E-02
carbohydrate derivative transport (GO:1901264)	92	16	8.48	+	1.89	1.10E-02
fruit development (GO:0010154)	104	18	9.59	+	1.88	9.46E-03
homologous recombination (GO:0035825)	64	11	5.9	+	1.86	4.64E-02
negative regulation of response to stimulus (GO:0048585)	95	16	8.76	+	1.83	1.88E-02
cell wall macromolecule metabolic process (GO:0044036)	107	18	9.86	+	1.82	1.11E-02
protein targeting to membrane (GO:0006612)	72	12	6.64	+	1.81	3.90E-02
developmental process involved in reproduction (GO:0003006)	326	54	30.05	+	1.8	2.82E-05
exocytosis (GO:0006887)	85	14	7.84	+	1.79	3.55E-02
brassinosteroid mediated signaling pathway (GO:0009742)	79	13	7.28	+	1.79	4.76E-02
cellular response to steroid hormone stimulus (GO:0071383)	79	13	7.28	+	1.79	4.76E-02
cellular response to brassinosteroid stimulus (GO:0071367)	79	13	7.28	+	1.79	4.76E-02
steroid hormone receptor signaling pathway (GO:0043401)	79	13	7.28	+	1.79	4.76E-02
response to steroid hormone (GO:0048545)	79	13	7.28	+	1.79	4.76E-02
shoot system development (GO:0048367)	251	41	23.14	+	1.77	3.90E-04
secretion (GO:0046903)	98	16	9.03	+	1.77	2.18E-02
glycoprotein metabolic process (GO:0009100)	74	12	6.82	+	1.76	4.42E-02
positive regulation of response to stimulus (GO:0048584)	159	25	14.66	+	1.71	8.31E-03
reproductive structure development (GO:0048608)	275	43	25.35	+	1.7	7.17E-04
reproductive system development (GO:0061458)	277	43	25.53	+	1.68	7.57E-04
export from cell (GO:0140352)	162	25	14.93	+	1.67	9.41E-03
reproductive process (GO:0022414)	464	70	42.77	+	1.64	4.70E-05
meiotic cell cycle process (GO:1903046)	113	17	10.42	+	1.63	4.79E-02
organic anion transport (GO:0015711)	161	24	14.84	+	1.62	1.92E-02
system development (GO:0048731)	584	87	53.83	+	1.62	9.42E-06
anatomical structure development (GO:0048856)	853	127	78.63	+	1.62	8.07E-08
sexual reproduction (GO:0019953)	142	21	13.09	+	1.6	2.83E-02
multicellular organismal process (GO:0032501)	789	115	72.73	+	1.58	1.05E-06
multicellular organism development (GO:0007275)	728	106	67.11	+	1.58	2.77E-06
meiotic cell cycle (GO:0051321)	131	19	12.08	+	1.57	4.73E-02
post-embryonic development (GO:0009791)	368	53	33.92	+	1.56	1.07E-03
organelle fission (GO:0048285)	146	21	13.46	+	1.56	4.29E-02
tissue development (GO:0009888)	146	21	13.46	+	1.56	4.29E-02
developmental process (GO:0032502)	979	140	90.25	+	1.55	1.70E-07
anatomical structure morphogenesis (GO:0009653)	217	31	20	+	1.55	1.32E-02
plant organ development (GO:0099402)	300	42	27.65	+	1.52	6.53E-03
cellular response to lipid (GO:0071396)	222	31	20.46	+	1.51	1.94E-02
response to temperature stimulus (GO:0009266)	251	35	23.14	+	1.51	1.53E-02
cell surface receptor signaling pathway (GO:0007166)	189	26	17.42	+	1.49	4.22E-02
response to lipid (GO:0033993)	345	47	31.8	+	1.48	6.55E-03
cell division (GO:0051301)	274	37	25.26	+	1.46	2.04E-02
carbohydrate derivative biosynthetic process (GO:1901137)	321	43	29.59	+	1.45	1.49E-02
cell cycle process (GO:0022402)	411	53	37.89	+	1.4	1.27E-02
proteasomal protein catabolic process (GO:0010498)	295	38	27.19	+	1.4	3.36E-02
cell cycle (GO:0007049)	466	60	42.96	+	1.4	9.66E-03
regulation of response to stimulus (GO:0048583)	526	66	48.49	+	1.36	9.82E-03
positive regulation of biological process (GO:0048518)	784	97	72.27	+	1.34	3.29E-03
positive regulation of cellular process (GO:0048522)	641	79	59.09	+	1.34	8.71E-03
carbohydrate derivative metabolic process (GO:1901135)	603	74	55.59	+	1.33	1.28E-02
response to external stimulus (GO:0009605)	663	81	61.12	+	1.33	9.89E-03
response to abiotic stimulus (GO:0009628)	663	78	61.12	+	1.28	2.53E-02
positive regulation of macromolecule metabolic process (GO:0010604)	570	67	52.54	+	1.28	4.08E-02
hormone-mediated signaling pathway (GO:0009755)	545	64	50.24	+	1.27	4.39E-02
response to hormone (GO:0009725)	820	93	75.59	+	1.23	3.79E-02
response to endogenous stimulus (GO:0009719)	821	93	75.68	+	1.23	3.80E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2877	316	265.21	+	1.19	9.10E-04
signal transduction (GO:0007165)	1511	165	139.29	+	1.18	2.32E-02
regulation of RNA metabolic process (GO:0051252)	2808	306	258.85	+	1.18	1.83E-03
signaling (GO:0023052)	1516	165	139.75	+	1.18	2.64E-02
cell communication (GO:0007154)	1521	165	140.21	+	1.18	2.67E-02
regulation of RNA biosynthetic process (GO:2001141)	2672	287	246.31	+	1.17	5.57E-03
regulation of DNA-templated transcription (GO:0006355)	2672	287	246.31	+	1.17	5.57E-03
regulation of primary metabolic process (GO:0080090)	3124	334	287.98	+	1.16	3.70E-03
cellular response to stimulus (GO:0051716)	2443	258	225.2	+	1.15	1.89E-02
response to stress (GO:0006950)	2087	219	192.38	+	1.14	4.31E-02
regulation of cellular process (GO:0050794)	5126	537	472.52	+	1.14	1.00E-03
regulation of biological process (GO:0050789)	5352	558	493.36	+	1.13	1.24E-03
regulation of macromolecule metabolic process (GO:0060255)	3447	358	317.75	+	1.13	1.48E-02
biological regulation (GO:0065007)	5614	579	517.51	+	1.12	2.56E-03
regulation of metabolic process (GO:0019222)	3513	362	323.83	+	1.12	2.18E-02
response to stimulus (GO:0050896)	4116	424	379.42	+	1.12	1.22E-02
regulation of gene expression (GO:0010468)	3321	341	306.14	+	1.11	3.05E-02
regulation of macromolecule biosynthetic process (GO:0010556)	3332	341	307.15	+	1.11	3.59E-02
macromolecule metabolic process (GO:0043170)	5511	564	508.01	+	1.11	5.31E-03
regulation of biosynthetic process (GO:0009889)	3351	342	308.9	+	1.11	4.23E-02
primary metabolic process (GO:0044238)	8019	805	739.21	+	1.09	4.89E-03
biological_process (GO:0008150)	18752	1877	1728.59	+	1.09	2.29E-07
cellular process (GO:0009987)	15029	1489	1385.4	+	1.07	2.16E-04
metabolic process (GO:0008152)	9551	935	880.43	+	1.06	2.81E-02
Unclassified (UNCLASSIFIED)	20464	1738	1886.41	-	0.92	2.29E-07
generation of precursor metabolites and energy (GO:0006091)	518	34	47.75	-	0.71	3.85E-02
photosynthesis (GO:0015979)	304	15	28.02	-	0.54	7.01E-03
electron transport chain (GO:0022900)	167	8	15.39	-	0.52	4.43E-02
plant-type cell wall organization (GO:0009664)	116	4	10.69	-	0.37	3.44E-02
