"Lines","Long","Lat","crop","am_rel_abundance_colonization_value"
"5867",14.1220385,55.7570661,"arabidopsis",0.607760667800903
"5874",16.2815,49.4112,"arabidopsis",0.595904588699341
"5890",16.2815,49.4112,"arabidopsis",0.595904588699341
"5893",16.2815,49.4112,"arabidopsis",0.595904588699341
"5907",16.2815,49.4112,"arabidopsis",0.595904588699341
"5921",16.2815,49.4112,"arabidopsis",0.595904588699341
"5950",16.2815,49.4112,"arabidopsis",0.595904588699341
"5984",16.2815,49.4112,"arabidopsis",0.595904588699341
"5993",16.2815,49.4112,"arabidopsis",0.595904588699341
"6008",16.2,49.1,"arabidopsis",NA
"6009",18.1749827,62.8759855,"arabidopsis",NA
"6010",18.1749827,62.8759855,"arabidopsis",NA
"6011",18.1749827,62.8759855,"arabidopsis",NA
"6012",18.1749827,62.8759855,"arabidopsis",NA
"6013",18.1749827,62.8759855,"arabidopsis",NA
"6016",18.4045,62.9147,"arabidopsis",NA
"6017",18.4045,62.9147,"arabidopsis",NA
"6019",14.2786489,56.0617671,"arabidopsis",NA
"6020",14.2786489,56.0617671,"arabidopsis",NA
"6021",14.281492,56.068008,"arabidopsis",NA
"6022",14.281492,56.068008,"arabidopsis",NA
"6023",13.3720798,55.7501271,"arabidopsis",NA
"6024",13.3720798,55.7501271,"arabidopsis",NA
"6025",17.7311,62.6381,"arabidopsis",0.836719393730164
"6030",18.1896,62.806,"arabidopsis",NA
"6034",13.7453108,56.0755241,"arabidopsis",0.607760667800903
"6035",13.7453108,56.0755241,"arabidopsis",0.607760667800903
"6036",13.7249024,56.1045244,"arabidopsis",0.607760667800903
"6038",13.7249024,56.1045244,"arabidopsis",0.607760667800903
"6039",13.7296953,56.1132251,"arabidopsis",0.607760667800903
"6040",13.4,55.66,"arabidopsis",0.607760667800903
"6041",14.7427433,56.0089259,"arabidopsis",NA
"6042",13.8561835,56.0964877,"arabidopsis",0.607760667800903
"6043",18.075722,62.8003225,"arabidopsis",0.836719393730164
"6046",18.075722,62.8003225,"arabidopsis",0.836719393730164
"6064",18.2763,62.9513,"arabidopsis",NA
"6069",18.2763,62.95681,"arabidopsis",NA
"6070",18.339997,62.956806,"arabidopsis",NA
"6071",18.339997,62.956806,"arabidopsis",NA
"6073",15.7779722,56.1460908,"arabidopsis",NA
"6074",16.1301702,56.4573992,"arabidopsis",NA
"6076",13.4354695,55.7170459,"arabidopsis",NA
"6077",13.4354695,55.7170459,"arabidopsis",NA
"6085",13.2155403,55.709434,"arabidopsis",NA
"6086",11.2,58.9,"arabidopsis",NA
"6087",16.1302444,56.465642,"arabidopsis",NA
"6088",16.1302444,56.465642,"arabidopsis",NA
"6090",13.2197,55.6525,"arabidopsis",NA
"6091",13.215,55.6525,"arabidopsis",NA
"6092",13.2233,55.6514,"arabidopsis",NA
"6094",13.2147,55.6494,"arabidopsis",NA
"6095",13.2161,55.6486,"arabidopsis",NA
"6096",13.2225,55.6472,"arabidopsis",NA
"6097",13.2264,55.6481,"arabidopsis",NA
"6098",13.2178,55.6561,"arabidopsis",NA
"6099",13.2193742,55.6532394,"arabidopsis",NA
"6100",13.2226591,55.6465188,"arabidopsis",NA
"6101",13.2199068,55.6465188,"arabidopsis",NA
"6102",13.2240307,55.6484554,"arabidopsis",NA
"6104",13.2078964,55.6995163,"arabidopsis",NA
"6105",13.1166475,55.7912838,"arabidopsis",NA
"6106",13.1151131,55.7892517,"arabidopsis",NA
"6107",13.1172969,55.789833,"arabidopsis",NA
"6108",13.1162548,55.7925311,"arabidopsis",NA
"6109",13.1113481,55.7895346,"arabidopsis",NA
"6111",13.1104309,55.7928025,"arabidopsis",NA
"6112",13.09336,55.7908676,"arabidopsis",NA
"6113",13.0996565,55.7976997,"arabidopsis",NA
"6114",13.1296295,55.7990936,"arabidopsis",NA
"6115",13.1326552,55.7932875,"arabidopsis",NA
"6118",13.1745511,55.7138306,"arabidopsis",NA
"6119",13.1729204,55.7034097,"arabidopsis",NA
"6122",13.2954193,55.8350143,"arabidopsis",0.607760667800903
"6123",13.2986651,55.8351287,"arabidopsis",0.607760667800903
"6124",13.2995709,55.8362185,"arabidopsis",0.607760667800903
"6125",13.2984818,55.8371341,"arabidopsis",0.607760667800903
"6126",13.3002261,55.8379372,"arabidopsis",0.607760667800903
"6128",13.2881,55.8397,"arabidopsis",0.607760667800903
"6131",13.3181,55.8369,"arabidopsis",0.607760667800903
"6132",13.3186,55.8386,"arabidopsis",0.607760667800903
"6133",13.2995693,55.8422437,"arabidopsis",0.607760667800903
"6134",13.2906,55.8383,"arabidopsis",0.607760667800903
"6136",13.5519,55.9336,"arabidopsis",0.607760667800903
"6137",13.5603,55.9419,"arabidopsis",0.607760667800903
"6138",13.5511,55.9403,"arabidopsis",0.607760667800903
"6140",13.5539,55.9392,"arabidopsis",0.607760667800903
"6141",13.5542,55.9414,"arabidopsis",0.607760667800903
"6142",13.5558,55.9428,"arabidopsis",0.607760667800903
"6145",13.5533,55.9497,"arabidopsis",0.607760667800903
"6148",13.5508,55.9319,"arabidopsis",0.607760667800903
"6149",13.5481,55.9281,"arabidopsis",0.607760667800903
"6150",13.5319,55.9261,"arabidopsis",0.607760667800903
"6151",13.2244,55.6528,"arabidopsis",NA
"6153",17.7311,62.6381,"arabidopsis",0.836719393730164
"6154",17.7311,62.6381,"arabidopsis",0.836719393730164
"6163",17.7311,62.6381,"arabidopsis",0.836719393730164
"6166",17.7311,62.6381,"arabidopsis",0.836719393730164
"6169",18.336,62.8622,"arabidopsis",NA
"6172",18.336,62.8622,"arabidopsis",NA
"6173",18.336,62.8622,"arabidopsis",NA
"6174",17.6771,62.6252,"arabidopsis",0.836719393730164
"6177",17.6771,62.6252,"arabidopsis",0.836719393730164
"6180",17.6771,62.6252,"arabidopsis",0.836719393730164
"6184",18.4473,62.8794,"arabidopsis",NA
"6188",14.1328223,55.758856,"arabidopsis",0.607760667800903
"6189",14.1328223,55.758856,"arabidopsis",0.607760667800903
"6191",14.1328223,55.758856,"arabidopsis",0.607760667800903
"6192",14.1328223,55.758856,"arabidopsis",0.607760667800903
"6193",14.1328223,55.758856,"arabidopsis",0.607760667800903
"6194",14.1328223,55.758856,"arabidopsis",0.607760667800903
"6195",14.1328223,55.758856,"arabidopsis",0.607760667800903
"6198",14.1225226,55.7567793,"arabidopsis",0.607760667800903
"6201",14.1225226,55.7567793,"arabidopsis",0.607760667800903
"6202",14.1225226,55.7567793,"arabidopsis",0.607760667800903
"6203",14.1225226,55.7567793,"arabidopsis",0.607760667800903
"6209",18.1749827,62.8759855,"arabidopsis",NA
"6210",18.1749827,62.8759855,"arabidopsis",NA
"6214",18.3174,63.0165,"arabidopsis",0.836719393730164
"6216",18.3174,63.0165,"arabidopsis",0.836719393730164
"6217",18.3174,63.0165,"arabidopsis",0.836719393730164
"6218",18.3174,63.0165,"arabidopsis",0.836719393730164
"6220",18.1896,62.806,"arabidopsis",NA
"6221",18.1896,62.806,"arabidopsis",NA
"6231",18.2763,62.9513,"arabidopsis",NA
"6235",18.339997,62.956806,"arabidopsis",NA
"6237",18.339997,62.956806,"arabidopsis",NA
"6238",18.339997,62.956806,"arabidopsis",NA
"6240",18.339997,62.956806,"arabidopsis",NA
"6241",18.339997,62.956806,"arabidopsis",NA
"6242",13.1960732,55.7060213,"arabidopsis",NA
"6243",13.85,55.95,"arabidopsis",0.607760667800903
"6244",18.4728,62.9169,"arabidopsis",NA
"6252",14.3336,55.5796,"arabidopsis",NA
"6255",14.3336,55.5796,"arabidopsis",NA
"6258",14.3336,55.5796,"arabidopsis",NA
"6268",14.3336,55.5796,"arabidopsis",NA
"6276",14.3336,55.5796,"arabidopsis",NA
"6284",14.3336,55.5796,"arabidopsis",NA
"6296",16.6314,49.2771,"arabidopsis",NA
"6390",16.6314,49.2771,"arabidopsis",NA
"6396",16.6314,49.2771,"arabidopsis",NA
"6413",13.9583592,56.0630848,"arabidopsis",0.607760667800903
"6424",16.2544,49.3853,"arabidopsis",0.595904588699341
"6434",16.2544,49.3853,"arabidopsis",0.595904588699341
"6445",16.2544,49.3853,"arabidopsis",0.595904588699341
"6680",6.4333,51.85,"arabidopsis",0.714606821537018
"6739",-73.4675,40.8585,"arabidopsis",NA
"6740",-73.4675,40.8585,"arabidopsis",NA
"6744",-73.4675,40.8585,"arabidopsis",NA
"6749",-76.5072,42.4489,"arabidopsis",NA
"6750",-76.5072,42.4489,"arabidopsis",NA
"6805",-71.0627,42.373,"arabidopsis",NA
"6806",-71.0627,42.373,"arabidopsis",NA
"6814",-86.621,41.2816,"arabidopsis",NA
"6830",73.1,49.5,"arabidopsis",0.455108225345612
"6897",1.3,45,"arabidopsis",NA
"6898",4.4,51.2167,"arabidopsis",NA
"6900",18.4840729,63.322186,"arabidopsis",0.836719393730164
"6901",18.4840729,63.322186,"arabidopsis",0.836719393730164
"6903",16.2326,49.4013,"arabidopsis",0.595904588699341
"6904",16.6166,49.2,"arabidopsis",NA
"6907",-0.6383,51.4083,"arabidopsis",NA
"6908",-0.6383,51.4083,"arabidopsis",NA
"6909",-92.3,38.3,"arabidopsis",0.454545468091965
"6911",-23.6167,15.1111,"arabidopsis",NA
"6913",18.1749827,62.8759855,"arabidopsis",NA
"6915",6.3,50.3,"arabidopsis",0.613937079906464
"6917",18.3174,63.0165,"arabidopsis",0.836719393730164
"6918",18.3174,63.0165,"arabidopsis",0.836719393730164
"6919",8,50.3,"arabidopsis",NA
"6920",9.9355,51.5338,"arabidopsis",NA
"6922",8,50.3,"arabidopsis",NA
"6923",-0.6383,51.4083,"arabidopsis",NA
"6924",-0.6383,51.4083,"arabidopsis",NA
"6926",-85.37,44.46,"arabidopsis",NA
"6927",-86.621,41.2816,"arabidopsis",NA
"6929",68.49,38.48,"arabidopsis",NA
"6931",73.1,49.5,"arabidopsis",0.455108225345612
"6932",15.2369,52.7325,"arabidopsis",NA
"6933",2.49,41.59,"arabidopsis",NA
"6938",37.6322,55.7522,"arabidopsis",NA
"6940",8.3,50.3,"arabidopsis",NA
"6943",-0.6383,51.4083,"arabidopsis",NA
"6944",-0.6383,51.4083,"arabidopsis",NA
"6945",4.45,52.24,"arabidopsis",NA
"6951",16.36,49.42,"arabidopsis",0.595904588699341
"6956",16.36,49.42,"arabidopsis",0.595904588699341
"6957",16.36,49.42,"arabidopsis",0.595904588699341
"6958",3.3,46,"arabidopsis",NA
"6959",-1.41,48.5,"arabidopsis",NA
"6960",-1.41,48.5,"arabidopsis",NA
"6961",-3.53333,38.3333,"arabidopsis",NA
"6963",68.48,38.35,"arabidopsis",NA
"6966",-0.6383,51.4083,"arabidopsis",NA
"6967",-0.6383,51.4083,"arabidopsis",NA
"6968",23.5,60,"arabidopsis",NA
"6969",23.5,60,"arabidopsis",NA
"6970",2.93056,41.7194,"arabidopsis",NA
"6971",2.93056,41.7194,"arabidopsis",NA
"6973",13.9707,56.0648,"arabidopsis",0.607760667800903
"6974",13.9707,56.0648,"arabidopsis",0.607760667800903
"6975",14.45,48.3,"arabidopsis",0.600958704948425
"6976",14.45,48.3,"arabidopsis",0.600958704948425
"6979",8.26,47.25,"arabidopsis",0.613937079906464
"6981",30,52.3,"arabidopsis",NA
"6982",9.3,52.3,"arabidopsis",NA
"6984",16.2544,49.3853,"arabidopsis",0.595904588699341
"6986",-2.2207,57.1539,"arabidopsis",0.714606821537018
"6987",7.62551,48.0683,"arabidopsis",0.607760667800903
"6989",-2.4333,54.8,"arabidopsis",0.613937079906464
"6990",5.73,53.448,"arabidopsis",NA
"6992",5.3,50.3,"arabidopsis",0.714606821537018
"6997",5.5833,51.8333,"arabidopsis",0.642683982849121
"7000",9.57073,50.9167,"arabidopsis",0.649352252483368
"7002",6.1,51.3333,"arabidopsis",0.642683982849121
"7003",7.5,47.5,"arabidopsis",0.649352252483368
"7008",5.675,52,"arabidopsis",0.714606821537018
"7013",13.287,52.4584,"arabidopsis",NA
"7014",-4.79821,56.5459,"arabidopsis",0.714606821537018
"7025",11.3396,44.5041,"arabidopsis",NA
"7026",-3.2667,54.4,"arabidopsis",NA
"7028",9.3166,49.5166,"arabidopsis",0.649352252483368
"7031",8.6667,50.0167,"arabidopsis",0.646012485027313
"7033",-122.755,41.3599,"arabidopsis",0.253591448068619
"7036",9.5,50.5,"arabidopsis",0.613937079906464
"7058",-9.0755556,53.87,"arabidopsis",0.714606821537018
"7061",-1.64293,53.2699,"arabidopsis",0.809260368347168
"7062",8.26607,50.2981,"arabidopsis",NA
"7063",-13.4811,29.2144,"arabidopsis",NA
"7064",1.1,51.3,"arabidopsis",NA
"7067",15.09,37.51,"arabidopsis",NA
"7068",12.1,42,"arabidopsis",NA
"7071",1.33867,48.0717,"arabidopsis",NA
"7072",34.7361,53.7502,"arabidopsis",NA
"7077",-8.25,40.12,"arabidopsis",0.394863456487656
"7081",-8.42639,40.2077,"arabidopsis",NA
"7092",2.823,49.416,"arabidopsis",NA
"7094",8.65081,49.8724,"arabidopsis",NA
"7096",5.04278,47.3239,"arabidopsis",NA
"7102",8.2372,50.7224,"arabidopsis",0.600958704948425
"7103",16.2667,49.4167,"arabidopsis",0.595904588699341
"7106",13.7336,51.051,"arabidopsis",NA
"7107",-1.5733,54.7761,"arabidopsis",0.714606821537018
"7109",0.5,51.3,"arabidopsis",NA
"7111",-3.16028,55.9494,"arabidopsis",NA
"7117",9.68253,51.5105,"arabidopsis",NA
"7119",8.5,50,"arabidopsis",NA
"7120",8.5,50,"arabidopsis",NA
"7125",11.0087,49.5955,"arabidopsis",0.595904588699341
"7126",24.5682,60.1997,"arabidopsis",NA
"7127",24.9871,58.6656,"arabidopsis",0.869879961013794
"7130",2.56481,44.6447,"arabidopsis",NA
"7133",8.6822,50.1102,"arabidopsis",0.646012485027313
"7138",8.0167,50.5,"arabidopsis",NA
"7143",5.86667,51.0167,"arabidopsis",NA
"7147",8.67825,50.584,"arabidopsis",NA
"7158",15.5,47,"arabidopsis",NA
"7160",-85.2532,43.178,"arabidopsis",NA
"7161",10.5,53.5,"arabidopsis",NA
"7162",9.44,52.24,"arabidopsis",NA
"7163",9.73569,52.3721,"arabidopsis",NA
"7164",12.5686,55.675,"arabidopsis",NA
"7165",8.28844,51.3472,"arabidopsis",0.613937079906464
"7169",9.88682,54.4175,"arabidopsis",NA
"7177",15,49,"arabidopsis",0.595904588699341
"7181",11.587,50.927,"arabidopsis",NA
"7183",77,35,"arabidopsis",0.378976702690125
"7186",23.8924,54.8969,"arabidopsis",NA
"7192",-5.66364,55.6395,"arabidopsis",NA
"7199",6.9666,50.95,"arabidopsis",NA
"7202",8.50861,50.1797,"arabidopsis",0.649352252483368
"7203",11.5722,49.631,"arabidopsis",0.516075789928436
"7207",135.752,35.0085,"arabidopsis",NA
"7208",-3.78181,55.6739,"arabidopsis",0.714606821537018
"7209",15.2333,52.7333,"arabidopsis",NA
"7213",15.2369,52.7325,"arabidopsis",NA
"7217",0.5,48,"arabidopsis",NA
"7218",4.49015,52.1611,"arabidopsis",0.714606821537018
"7223",8.0666,50.3833,"arabidopsis",NA
"7231",8.0666,50.3833,"arabidopsis",NA
"7244",8.26664,50.001,"arabidopsis",NA
"7248",-70.6652,41.3923,"arabidopsis",0.528501987457275
"7250",10.1138,51.9183,"arabidopsis",0.600958704948425
"7255",20.5,50.95,"arabidopsis",NA
"7258",8.5,50.5,"arabidopsis",0.600958704948425
"7268",10.981,52.6969,"arabidopsis",NA
"7276",8.5833,50.2,"arabidopsis",0.649352252483368
"7280",8.2,53.1667,"arabidopsis",0.714606821537018
"7282",8.01161,50.3827,"arabidopsis",NA
"7287",8.42255,53.3422,"arabidopsis",0.714606821537018
"7288",6.193019,60.385543,"arabidopsis",NA
"7296",29,59,"arabidopsis",0.869879961013794
"7298",10.51,47.04,"arabidopsis",0.613937079906464
"7305",10.6065,53.476,"arabidopsis",NA
"7306",-123.206,49.2655,"arabidopsis",NA
"7307",-2.96591,48.0653,"arabidopsis",NA
"7314",-3.41697,54.3512,"arabidopsis",NA
"7316",5.56667,51.9667,"arabidopsis",NA
"7319",12.1,42,"arabidopsis",NA
"7320",1.09849,49.4424,"arabidopsis",NA
"7322",34,56.3,"arabidopsis",0.88808935880661
"7323",38.28,49,"arabidopsis",NA
"7327",3.03333,41.7833,"arabidopsis",NA
"7328",3.03333,41.7833,"arabidopsis",NA
"7332",-122.2,47,"arabidopsis",NA
"7333",11.5614,46.5438,"arabidopsis",0.646012485027313
"7337",8.02341,50.8738,"arabidopsis",0.646012485027313
"7342",-3.00733,53.6473,"arabidopsis",NA
"7343",13.181,52.5339,"arabidopsis",NA
"7344",9.5,47.6667,"arabidopsis",NA
"7346",11.8558,52.6058,"arabidopsis",NA
"7347",36,52,"arabidopsis",NA
"7349",14.5,49.5,"arabidopsis",NA
"7350",-122.459,47.2413,"arabidopsis",NA
"7353",4.3,52.08,"arabidopsis",NA
"7354",14.9,56.5,"arabidopsis",0.642683982849121
"7356",-83.5553,41.6639,"arabidopsis",NA
"7358",-83.5553,41.6639,"arabidopsis",NA
"7359",-83.5553,41.6639,"arabidopsis",NA
"7372",9.9042,47.0748,"arabidopsis",0.613937079906464
"7373",136.31,34.43,"arabidopsis",0.151084795594215
"7377",-85.2563,43.2708,"arabidopsis",NA
"7378",7.7667,48.0333,"arabidopsis",NA
"7382",5.1145,52.0918,"arabidopsis",0.714606821537018
"7383",-123.206,49.2655,"arabidopsis",NA
"7384",5.55,52.0333,"arabidopsis",0.714606821537018
"7387",-2.3671,54.9902,"arabidopsis",0.613937079906464
"7394",21,52.3,"arabidopsis",NA
"7396",30,52.3,"arabidopsis",NA
"7404",10.0667,52.6,"arabidopsis",0.642683982849121
"7411",10.8134,47.9299,"arabidopsis",0.613937079906464
"7413",25.3167,54.6833,"arabidopsis",0.859005630016327
"7415",9.9361,49.7878,"arabidopsis",NA
"7416",-119.35,37.45,"arabidopsis",0.556882321834564
"7417",8.55,47.3667,"arabidopsis",NA
"7418",8.55,47.3667,"arabidopsis",NA
"7419",8.32213,50.3058,"arabidopsis",NA
"7424",16.6166,49.2,"arabidopsis",NA
"7430",6.25,48.6167,"arabidopsis",NA
"7461",15,49,"arabidopsis",0.595904588699341
"7475",-72.677,41.767,"arabidopsis",NA
"7477",-71.2825,41.7302,"arabidopsis",0.482345521450043
"7514",-86.4251,41.5609,"arabidopsis",NA
"7515",-86.4251,41.5609,"arabidopsis",NA
"7516",14.334,55.58,"arabidopsis",NA
"7517",14.334,55.58,"arabidopsis",NA
"7520",16.81,49.38,"arabidopsis",0.595904588699341
"7521",16.81,49.38,"arabidopsis",0.595904588699341
"7523",-86.3253,42.0945,"arabidopsis",0.528501987457275
"7525",-86.511,42.036,"arabidopsis",NA
"7529",-86.5128,42.0333,"arabidopsis",NA
"7530",-86.5128,42.0333,"arabidopsis",NA
"7566",-86.359,42.093,"arabidopsis",NA
"7568",-86.359,42.093,"arabidopsis",NA
"7717",-86.625,41.273,"arabidopsis",NA
"7757",-86.625,41.273,"arabidopsis",NA
"7767",-86.625,41.273,"arabidopsis",NA
"7917",-86.3253,42.0945,"arabidopsis",0.528501987457275
"7947",-86.3253,42.0945,"arabidopsis",0.528501987457275
"8037",-86.7368,41.3423,"arabidopsis",NA
"8057",-86.7368,41.3423,"arabidopsis",NA
"8077",-86.7368,41.3423,"arabidopsis",NA
"8132",-86.511,42.036,"arabidopsis",NA
"8171",-86.511,42.036,"arabidopsis",NA
"8214",2,49,"arabidopsis",0.607760667800903
"8222",14.7427433,56.0089259,"arabidopsis",NA
