,sorghum_aridity_index
IS12740.C1AB3ACXX.7.250138396,3955
IS12779.C1AB3ACXX.7.250138397,5486
IS12782.C1AB3ACXX.7.250138398,2622
IS12789.C1AB3ACXX.7.250138399,4155
IS12793.C1AB3ACXX.7.250138400,3232
IS12796.C1AB3ACXX.7.250138401,3481
IS12801.C1AB3ACXX.7.250138402,3785
IS12804.628P7AAXX.7.250007027,5320
IS12805.C1AB3ACXX.7.250138403,4501
IS12808.C1AB3ACXX.7.250138404,3982
IS12810.C1AB3ACXX.7.250138405,4850
IS12811.C1AB3ACXX.7.250138406,4959
IS12813.C1AB3ACXX.7.250138407,9214
IS12815.C1AB3ACXX.7.250138408,4010
IS12817.C1AB3ACXX.7.250138409,3177
IS12818.C1AB3ACXX.7.250138410,3784
IS12819.C1AB3ACXX.7.250138411,2015
IS12821.C1AB3ACXX.7.250138412,3682
IS12822.C1AB3ACXX.7.250138413,2629
IS12945.D0D0HACXX.5.250046350,7499
IS12953.C1AB3ACXX.7.250138414,12534
IS13148.C1AB3ACXX.7.250138415,656
IS13155.C1AB3ACXX.7.250138416,7367
IS13263.C1AB3ACXX.7.250138417,1756
IS13264.D0D0HACXX.5.250046082,2282
IS13512.C1AB3ACXX.7.250138418,9205
IS13515.C1AB3ACXX.7.250138419,345
IS1360.C1AB3ACXX.7.250137259,3046
IS1371.C1AB3ACXX.7.250137260,2904
IS13782.D0D0HACXX.5.250046354,4973
IS13791.628P7AAXX.7.250007099,4973
IS13827.70MUKAAXX.2.250006050,4973
IS13845.628NVAAXX.5.250006901,4973
IS13893.D0D0HACXX.5.250046355,4973
IS13919.D0D0HACXX.5.250046356,4973
IS13926.628NVAAXX.5.250006925,4973
IS13971.D0D0HACXX.5.250046357,4973
IS1398.628NVAAXX.5.250006961,3001
IS13989.628NVAAXX.5.250006949,4973
IS1401.C1AB3ACXX.7.250137261,1049
IS14010.D0D0HACXX.5.250046358,4973
IS14133.C1AB3ACXX.7.250138420,4019
IS1416.C1AB3ACXX.7.250137262,5199
IS1425.C1AB3ACXX.7.250137263,5976
IS14444.C1AB3ACXX.7.250138421,8489
IS14449.70MUKAAXX.2.250006046,2178
IS14478.70MUKAAXX.2.250006051,3691
IS14556.70MUKAAXX.2.250006075,1511
IS14564.MRG.4.250047679,2178
IS14635.C1AB3ACXX.7.250138422,2776
IS1464.C1AB3ACXX.7.250137264,3788
IS1469.C1AB3ACXX.7.250137265,2966
IS14719.MRG.4.250047681,4296
IS1472.C1AB3ACXX.7.250137266,2914
IS14724.C1AB3ACXX.7.250138424,4691
IS14735.70MUKAAXX.2.250006039,4455
IS1477.C1AB3ACXX.7.250137267,3293
IS1520.C1AB3ACXX.7.250137268,4207
IS1523.C1AB3ACXX.7.250137269,4997
IS1540.C1AB3ACXX.7.250137270,3487
IS17149.C1AB3ACXX.7.250138425,16119
IS17185.C1AB3ACXX.7.250138426,2525
IS17195.C1AB3ACXX.7.250138427,7638
IS17196.C1AB3ACXX.7.250138428,8970
IS17669.C1AB3ACXX.7.250138429,5011
IS17671.C1AB3ACXX.7.250138430,4672
IS17749.C1AB3ACXX.7.250138431,2731
IS17752.C1AB3ACXX.7.250138432,3928
IS17766.C1AB3ACXX.7.250138433,4636
IS17815.C1AB3ACXX.7.250138434,5776
IS17819.C1AB3ACXX.7.250138435,6195
IS17857.C1AB3ACXX.7.250138436,7410
IS17864.C1AB3ACXX.7.250138437,6380
IS17872.C1AB3ACXX.7.250138438,9080
IS17885.C1AB3ACXX.7.250138439,6910
IS17891.C1AB3ACXX.7.250138440,6135
IS17896.C1AB3ACXX.7.250138441,5703
IS17905.C1AB3ACXX.7.250138442,6788
IS17909.C1AB3ACXX.7.250138443,3650
IS17912.C1AB3ACXX.7.250138444,6592
IS17917.C1AB3ACXX.7.250138445,1303
IS17919.C1AB3ACXX.7.250138446,793
IS17920.C1AB3ACXX.7.250138447,784
IS17921.C1AB3ACXX.7.250138448,1957
IS17922.C1AB3ACXX.7.250138449,2209
IS17925.C1AB3ACXX.7.250138450,1276
IS17926.C1AB3ACXX.7.250138451,2613
IS17929.C1AB3ACXX.7.250138452,3715
IS17930.C1AB3ACXX.7.250138453,4599
IS17933.C1AB3ACXX.7.250138454,2457
IS17937.C1AB3ACXX.7.250138455,1617
IS17941.MRG.4.250047478,3067
IS17942.C1AB3ACXX.7.250138456,1854
IS17958.C1AB3ACXX.7.250138457,4363
IS17980.MRG.4.250047479,2999
IS18039.MRG.4.250047480,2999
IS18234.C1AB3ACXX.7.250138458,11991
IS18235.C1AB3ACXX.7.250138459,13046
IS18236.C1AB3ACXX.7.250138460,10002
IS18238.C1AB3ACXX.7.250138461,13719
IS18295.C1AB3ACXX.7.250138462,1409
IS18303.C1AB3ACXX.7.250138463,1692
IS18822.C1AB3ACXX.7.250138464,924
IS18948.MRG.4.250047689,3229
IS19016.70MUKAAXX.2.250006066,2463
IS19026.628P7AAXX.7.250007103,2463
IS19041.70MUKAAXX.2.250006078,2463
IS19126.D0D0HACXX.5.250046083,2463
IS19132.628NVAAXX.5.250006905,2463
IS19153.MRG.4.250047481,2463
IS19262.D0D0HACXX.5.250046084,2463
IS19477.C1AB3ACXX.7.250138465,6702
IS19485.C1AB3ACXX.7.250138466,6162
IS19494.C1AB3ACXX.7.250138467,4125
IS19507.C1AB3ACXX.7.250138468,8355
IS19513.C1AB3ACXX.7.250138469,5212
IS19520.C1AB3ACXX.7.250138470,5307
IS19677.C1AB3ACXX.7.250138471,7187
IS19680.C1AB3ACXX.7.250138472,7257
IS19685.628NVAAXX.5.250006977,6823
IS19698.C1AB3ACXX.7.250138473,7262
IS19700.C1AB3ACXX.7.250138474,7481
IS19706.C1AB3ACXX.7.250138475,6491
IS19732.C1AB3ACXX.7.250138476,7740
IS19758.C1AB3ACXX.7.250138477,6145
IS19804.C1AB3ACXX.7.250138478,4601
IS19847.70MUKAAXX.2.250006012,5172
IS19859.MRG.4.250047487,4769
IS19946.C1AB3ACXX.7.250138479,1363
IS19950.C1AB3ACXX.7.250138480,2872
IS19953.628P7AAXX.7.250007033,2117
IS19956.C1AB3ACXX.7.250138481,931
IS19962.C1AB3ACXX.7.250138482,784
IS19975.MRG.4.250047488,3827
IS19978.C1AB3ACXX.7.250137625,3092
IS19982.C1AB3ACXX.7.250137626,3116
IS19988.C1AB3ACXX.7.250137627,1825
IS19991.C1AB3ACXX.7.250137628,2402
IS19998.C1AB3ACXX.7.250137629,2729
IS20004.C1AB3ACXX.7.250137630,2274
IS20016.628P7AAXX.7.250007057,2546
IS20024.C1AB3ACXX.7.250137631,2688
IS20027.C1AB3ACXX.7.250137632,3140
IS20028.C1AB3ACXX.7.250137633,1906
IS20049.C1AB3ACXX.7.250137634,3040
IS20064.628P7AAXX.7.250007081,3667
IS20073.C1AB3ACXX.7.250137635,4957
IS20087.C1AB3ACXX.7.250137636,3255
IS20105.C1AB3ACXX.7.250137637,4156
IS20116.C1AB3ACXX.7.250137638,3801
IS20125.C1AB3ACXX.7.250137639,4892
IS20146.C1AB3ACXX.7.250137640,5391
IS20158.C1AB3ACXX.7.250137641,1163
IS20164.C1AB3ACXX.7.250137642,687
IS20166.C1AB3ACXX.7.250137643,763
IS20173.C1AB3ACXX.7.250137644,700
IS20187.C1AB3ACXX.7.250137645,898
IS20216.C1AB3ACXX.7.250137646,1569
IS20225.C1AB3ACXX.7.250137647,928
IS20230.C1AB3ACXX.7.250137648,1069
IS20234.C1AB3ACXX.7.250137649,1652
IS20243.C1AB3ACXX.7.250137650,1422
IS20250.C1AB3ACXX.7.250137651,1042
IS20261.C1AB3ACXX.7.250137652,1065
IS20300.C1AB3ACXX.7.250137653,831
IS20307.C1AB3ACXX.7.250137654,1161
IS20314.C1AB3ACXX.7.250137655,1167
IS20328.C1AB3ACXX.7.250137656,1337
IS20345.C1AB3ACXX.7.250137657,998
IS20348.C1AB3ACXX.7.250137658,1453
IS20363.C1AB3ACXX.7.250137659,1054
IS20364.C1AB3ACXX.7.250137660,740
IS20378.C1AB3ACXX.7.250137661,1198
IS20398.C1AB3ACXX.7.250137662,1553
IS20441.C1AB3ACXX.7.250137663,2161
IS20448.C1AB3ACXX.7.250137664,997
IS20450.C1AB3ACXX.7.250137665,1258
IS20452.C1AB3ACXX.7.250137666,788
IS20460.C1AB3ACXX.7.250137667,1198
IS20463.C1AB3ACXX.7.250137668,1274
IS20488.C1AB3ACXX.7.250137669,1372
IS20490.C1AB3ACXX.7.250137670,1712
IS20492.C1AB3ACXX.7.250137671,1016
IS20497.C1AB3ACXX.7.250137672,1717
IS20498.C1AB3ACXX.7.250137673,1120
IS20905.C1AB3ACXX.7.250137674,4266
IS21015.C1AB3ACXX.7.250137675,7219
IS21055.C1AB3ACXX.7.250137676,7049
IS21083.MRG.4.250047501,7054
IS21124.628NVAAXX.5.250006955,6327
IS21126.70MUKAAXX.2.250006025,6671
IS21139.C1AB3ACXX.7.250137677,10611
IS21155.C1AB3ACXX.7.250137678,8051
IS21160.C1AB3ACXX.7.250137679,3521
IS21169.C1AB3ACXX.7.250137680,7820
IS21186.C1AB3ACXX.7.250137681,6057
IS21309.C1AB3ACXX.7.250137682,4053
IS21310.C1AB3ACXX.7.250137683,4237
IS21323.C1AB3ACXX.7.250137684,4072
IS21328.C1AB3ACXX.7.250137685,2700
IS21343.C1AB3ACXX.7.250137686,7776
IS21347.C1AB3ACXX.7.250137687,6735
IS21401.70MUKAAXX.2.250006035,5359
IS21403.C1AB3ACXX.7.250137688,5633
IS21425.70MUKAAXX.2.250006057,10653
IS21464.C1AB3ACXX.7.250137689,4836
IS21512.MRG.4.250047502,4227
IS21521.C1AB3ACXX.7.250137690,8037
IS21522.C1AB3ACXX.7.250137691,5891
IS21535.C1AB3ACXX.7.250137692,5754
IS21545.C1AB3ACXX.7.250137693,4503
IS21546.C1AB3ACXX.7.250137694,8344
IS21557.C1AB3ACXX.7.250137695,6905
IS2156.628P7AAXX.7.250007017,2006
IS21565.C1AB3ACXX.7.250137696,4715
IS21583.C1AB3ACXX.7.250137697,6329
IS21631.C1AB3ACXX.7.250137698,4903
IS21645.MRG.4.250047503,4284
IS21863.MRG.4.250047504,1418
IS21976.C1AB3ACXX.7.250137699,2449
IS21982.C1AB3ACXX.7.250137701,1991
IS21991.70MUKAAXX.2.250006093,4962
IS21996.C1AB3ACXX.7.250137702,2984
IS21997.C1AB3ACXX.7.250137703,3255
IS22001.C1AB3ACXX.7.250137704,3690
IS22009.C1AB3ACXX.7.250137705,12204
IS22019.C1AB3ACXX.7.250137706,8278
IS22025.C1AB3ACXX.7.250137707,5682
IS22026.C1AB3ACXX.7.250137708,7681
IS22040.B064FABXX.1.250009992,2817
IS2205.MRG.4.250047657,3592
IS2206.C1AB3ACXX.7.250137271,11098
IS22074.70MUKAAXX.2.250006006,2249
IS22100.C1AB3ACXX.7.250137709,8138
IS22104.C1AB3ACXX.7.250137710,3048
IS22193.C1AB3ACXX.7.250137711,8268
IS22239.70MUKAAXX.2.250006015,1951
IS22282.628P7AAXX.7.250007059,1988
IS22287.628P7AAXX.7.250007083,1988
IS22291.70MUKAAXX.2.250006026,1794
IS22294.628P7AAXX.7.250007107,1794
IS22325.70MUKAAXX.2.250006036,1589
IS22330.628NVAAXX.5.250006909,1821
IS22334.628NVAAXX.5.250006933,1293
IS22598.C1AB3ACXX.7.250137712,7915
IS22601.C1AB3ACXX.7.250137713,7363
IS22604.C1AB3ACXX.7.250137714,13287
IS22608.C1AB3ACXX.7.250137715,5551
IS22609.70MUKAAXX.2.250006070,9285
IS22615.C1AB3ACXX.7.250137716,3780
IS22616.MRG.4.250047509,5097
IS22618.C1AB3ACXX.7.250137717,9843
IS2262.628P7AAXX.7.250007041,2178
IS22701.C1AB3ACXX.7.250137718,1009
IS22702.C1AB3ACXX.7.250137719,1228
IS22720.MRG.4.250047510,1664
IS22742.C1AB3ACXX.7.250137720,1980
IS22746.D1EYBACXX.1.250137752,1378
IS22751.D1EYBACXX.1.250137753,1246
IS22785.D1EYBACXX.1.250137754,1460
IS22789.D1EYBACXX.1.250137755,1887
IS22792.D1EYBACXX.1.250137756,1353
IS22799.MRG.4.250047511,1184
IS22909.70MUKAAXX.2.250006094,2168
IS22986.70MUKAAXX.2.250006007,3016
IS22996.70MUKAAXX.2.250006016,3016
IS23033.D0D0HACXX.5.250046087,945
IS23048.70MUKAAXX.2.250006027,2111
IS23053.70MUKAAXX.2.250006037,1345
IS23100.628NVAAXX.5.250006957,3473
IS23108.D1EYBACXX.1.250137757,3286
IS23142.628NVAAXX.5.250006981,3015
IS23166.B064FABXX.1.250010004,2831
IS23178.628P7AAXX.7.250007037,4076
IS23184.D1EYBACXX.1.250137758,3951
IS23188.D1EYBACXX.1.250137759,4521
IS23216.MRG.4.250047513,4911
IS23225.D1EYBACXX.1.250137760,5406
IS23240.D1EYBACXX.1.250137761,4830
IS23248.D1EYBACXX.1.250137762,6074
IS23262.D1EYBACXX.1.250137763,6421
IS23263.D1EYBACXX.1.250137764,3947
IS23275.D1EYBACXX.1.250137765,3971
IS23283.D1EYBACXX.1.250137766,4408
IS23298.D1EYBACXX.1.250137767,4999
IS23306.D1EYBACXX.1.250137768,4594
IS23308.D1EYBACXX.1.250137769,4758
IS23319.D1EYBACXX.1.250137770,5210
IS23322.D1EYBACXX.1.250137771,4078
IS23335.D1EYBACXX.1.250137772,5672
IS23341.D1EYBACXX.1.250137773,6769
IS23357.D1EYBACXX.1.250137774,5788
IS23358.D1EYBACXX.1.250137775,5327
IS23363.D1EYBACXX.1.250137776,6387
IS23366.D1EYBACXX.1.250137777,5566
IS23367.D1EYBACXX.1.250137778,3829
IS23370.D1EYBACXX.1.250137779,5491
IS23373.D1EYBACXX.1.250137780,5298
IS23375.D1EYBACXX.1.250137781,4944
IS23376.D1EYBACXX.1.250137782,4374
IS23514.MRG.4.250047514,4806
IS23521.MRG.4.250047515,4636
IS23574.70MUKAAXX.2.250006059,4636
IS23579.MRG.4.250047516,5444
IS23586.MRG.4.250047517,5500
IS23590.MRG.4.250047518,5500
IS23601.70MUKAAXX.2.250006071,5466
IS23615.D1EYBACXX.1.250137783,10671
IS23644.MRG.4.250047519,2713
IS23645.628P7AAXX.7.250007085,2713
IS23651.D1EYBACXX.1.250137784,3131
IS23666.628P7AAXX.7.250007109,3523
IS23669.628NVAAXX.5.250006911,4234
IS2367.70MUKAAXX.1.250006437,6109
IS23674.D1EYBACXX.1.250137785,4278
IS23675.D1EYBACXX.1.250137786,7762
IS23679.D1EYBACXX.1.250137787,9953
IS23684.MRG.4.250047520,7280
IS23685.D1EYBACXX.1.250137788,6507
IS23687.D1EYBACXX.1.250137789,5814
IS23693.D1EYBACXX.1.250137790,6536
IS23694.D1EYBACXX.1.250137791,5367
IS23698.D1EYBACXX.1.250137792,5734
IS23700.D1EYBACXX.1.250137793,5791
IS2371.C1AB3ACXX.7.250137272,15159
IS23711.D1EYBACXX.1.250137794,6653
IS2379.D0D0HACXX.5.250046286,2738
IS2382.D0D0HACXX.5.250046287,2738
IS2397.D0D0HACXX.5.250046289,2738
IS2416.70MUKAAXX.1.250006449,2738
IS24283.D1EYBACXX.1.250137795,6816
IS24286.D1EYBACXX.1.250137797,4237
IS24287.D1EYBACXX.1.250137798,5334
IS24288.D1EYBACXX.1.250137799,8795
IS24292.D1EYBACXX.1.250137800,7247
IS24294.D1EYBACXX.1.250137801,5944
IS24297.D1EYBACXX.1.250137802,9357
IS24299.D1EYBACXX.1.250137803,7421
IS2430.70MUKAAXX.1.250006461,2351
IS24302.D1EYBACXX.1.250137804,5240
IS24308.D1EYBACXX.1.250137805,5729
IS24309.D1EYBACXX.1.250137806,4528
IS24327.D1EYBACXX.1.250137807,3363
IS24332.D1EYBACXX.1.250137808,3880
IS24334.D1EYBACXX.1.250137809,3786
IS24336.D1EYBACXX.1.250137810,6005
IS24348.MRG.4.250047526,2630
IS24360.D1EYBACXX.1.250137811,3108
IS24369.D1EYBACXX.1.250137812,3575
IS24379.D1EYBACXX.1.250137813,4041
IS24386.D1EYBACXX.1.250137814,3980
IS24389.D1EYBACXX.1.250137815,4062
IS24413.D1EYBACXX.1.250137816,4333
IS24416.D1EYBACXX.1.250137817,4575
IS24417.D1EYBACXX.1.250137818,4598
IS24713.B064FABXX.1.250009985,6752
IS24775.D0D0HACXX.5.250046090,3527
IS24786.B064FABXX.1.250009997,3527
IS24875.D1EYBACXX.1.250137819,6320
IS25055.B064FABXX.1.250009954,5750
IS25098.D1EYBACXX.1.250137820,7067
IS25506.D1EYBACXX.1.250137821,7879
IS25543.D1EYBACXX.1.250137822,11789
IS25548.MRG.4.250047537,9058
IS25670.D1EYBACXX.1.250137823,2429
IS25690.D1EYBACXX.1.250137824,1346
IS25694.D1EYBACXX.1.250137825,1348
IS25702.628P7AAXX.7.250007063,1437
IS25706.D1EYBACXX.1.250137826,1845
IS25708.D1EYBACXX.1.250137827,1252
IS25722.D1EYBACXX.1.250137828,2392
IS25732.MRG.4.250047538,2541
IS25733.B064FABXX.1.250009950,1569
IS25752.D1EYBACXX.1.250137829,1280
IS25766.D1EYBACXX.1.250137830,985
IS25772.D1EYBACXX.1.250137831,2972
IS25783.D1EYBACXX.1.250137832,1397
IS25784.D1EYBACXX.1.250137833,3369
IS25798.D1EYBACXX.1.250137834,4848
IS25804.D1EYBACXX.1.250137835,4755
IS25812.D1EYBACXX.1.250137836,4366
IS25816.D1EYBACXX.1.250137837,4615
IS25836.B064FABXX.1.250010010,1528
IS25839.D1EYBACXX.1.250137838,1875
IS25848.D0D0HACXX.5.250046091,3242
IS25865.D1EYBACXX.1.250137839,3868
IS25868.D1EYBACXX.1.250137840,3822
IS25877.D1EYBACXX.1.250137841,3387
IS25888.D1EYBACXX.1.250137842,1882
IS25912.D1EYBACXX.1.250137843,2750
IS25913.D1EYBACXX.1.250137844,2675
IS25921.D1EYBACXX.1.250137845,2974
IS25931.D1EYBACXX.1.250137846,4086
IS25936.D1EYBACXX.1.250137847,4563
IS25945.D1EYBACXX.1.250138133,4529
IS25966.D1EYBACXX.1.250138134,6191
IS25985.D1EYBACXX.1.250138135,6076
IS25987.D1EYBACXX.1.250138136,4970
IS25989.MRG.4.250047541,4636
IS26000.D1EYBACXX.1.250138137,3874
IS26005.D1EYBACXX.1.250138138,4851
IS26008.D1EYBACXX.1.250138139,4970
IS26025.MRG.4.250047542,3373
IS26031.D1EYBACXX.1.250138140,2964
IS26056.D1EYBACXX.1.250138141,2581
IS26072.D1EYBACXX.1.250138142,3348
IS26090.D1EYBACXX.1.250138143,759
IS26091.D1EYBACXX.1.250138144,1204
IS26101.D1EYBACXX.1.250138145,997
IS26103.D1EYBACXX.1.250138146,1161
IS26108.D1EYBACXX.1.250138147,1465
IS26110.B064FABXX.1.250010016,1467
IS26123.D1EYBACXX.1.250138148,2046
IS26131.D1EYBACXX.1.250138149,1663
IS26136.D1EYBACXX.1.250138150,1620
IS26137.D1EYBACXX.1.250138151,1163
IS26142.D1EYBACXX.1.250138152,1293
IS26147.D1EYBACXX.1.250138153,2468
IS26148.D1EYBACXX.1.250138154,2375
IS26198.D0D0HACXX.5.250046092,4747
IS26222.MRG.4.250047544,4475
IS26224.D0D0HACXX.5.250046093,4768
IS26282.D1EYBACXX.1.250138155,5877
IS26285.D1EYBACXX.1.250138156,5182
IS26370.D1EYBACXX.1.250138157,7251
IS26376.D1EYBACXX.1.250138158,6867
IS26390.D1EYBACXX.1.250138159,8328
IS26404.D1EYBACXX.1.250138161,5865
IS26419.D1EYBACXX.1.250138162,6305
IS26434.D1EYBACXX.1.250138163,6192
IS26485.D1EYBACXX.1.250138164,4530
IS26516.D1EYBACXX.1.250138165,2917
IS26532.D1EYBACXX.1.250138166,3413
IS26540.D1EYBACXX.1.250138167,4300
IS26548.D1EYBACXX.1.250138168,4538
IS26565.D1EYBACXX.1.250138169,5074
IS26566.D1EYBACXX.1.250138170,7110
IS26575.D1EYBACXX.1.250138171,4115
IS26576.D1EYBACXX.1.250138172,4198
IS26579.D1EYBACXX.1.250138173,5928
IS26588.D1EYBACXX.1.250138174,5372
IS26594.D1EYBACXX.1.250138175,6615
IS26596.D1EYBACXX.1.250138176,6735
IS26598.D1EYBACXX.1.250138177,6450
IS26602.D1EYBACXX.1.250138178,6498
IS26634.D1EYBACXX.1.250138179,5093
IS26635.D1EYBACXX.1.250138180,5273
IS26638.D1EYBACXX.1.250138181,6872
IS26641.D1EYBACXX.1.250138182,6467
IS26821.D1EYBACXX.1.250138183,194
IS26827.D1EYBACXX.1.250138184,320
IS26837.D1EYBACXX.1.250138185,4343
IS26925.D1EYBACXX.1.250138186,3906
IS26978.D1EYBACXX.1.250138187,6184
IS26991.D1EYBACXX.1.250138188,7354
IS26993.D1EYBACXX.1.250138189,6700
IS27003.D1EYBACXX.1.250138190,2703
IS27071.D1EYBACXX.1.250138191,3237
IS27087.D1EYBACXX.1.250138192,2363
IS27100.D1EYBACXX.1.250138193,4046
IS27123.D1EYBACXX.1.250138194,3138
IS27129.D1EYBACXX.1.250138195,2822
IS27132.D1EYBACXX.1.250138196,2588
IS27137.D1EYBACXX.1.250138197,4339
IS27139.D1EYBACXX.1.250138198,3031
IS27146.70MUKAAXX.1.250006389,2798
IS27156.D1EYBACXX.1.250138199,2983
IS27164.70MUKAAXX.1.250006426,2949
IS27165.D1EYBACXX.1.250138200,4363
IS27167.D1EYBACXX.1.250138201,3337
IS27169.D1EYBACXX.1.250138202,2983
IS27179.D1EYBACXX.1.250138203,2695
IS27215.D1EYBACXX.1.250138204,3757
IS27222.D1EYBACXX.1.250138205,4096
IS27233.D1EYBACXX.1.250138206,3696
IS27253.D1EYBACXX.1.250138207,3710
IS27287.D0D0HACXX.5.250046095,2290
IS27292.D1EYBACXX.1.250138208,1828
IS27336.D1EYBACXX.1.250138209,1742
IS27387.D1EYBACXX.1.250138210,3757
IS27393.D1EYBACXX.1.250138211,3430
IS27490.70MUKAAXX.1.250006429,2879
IS27502.D1EYBACXX.1.250138212,3588
IS27527.D1EYBACXX.1.250138213,3554
IS27557.MRG.4.250047552,2987
IS27587.B064FABXX.1.250009955,2313
IS27599.B064FABXX.1.250009967,1605
IS27680.D1EYBACXX.1.250138214,18133
IS27697.MRG.4.250047553,17144
IS27708.D1EYBACXX.1.250138215,16708
IS27717.D1EYBACXX.1.250138216,15706
IS27726.D1EYBACXX.1.250138217,21897
IS27736.D1EYBACXX.1.250138218,15046
IS27740.D1EYBACXX.1.250138219,16628
IS27766.D1EYBACXX.1.250138220,14574
IS27775.D1EYBACXX.1.250138221,10854
IS27855.B064FABXX.1.250009999,3119
IS27858.D1EYBACXX.1.250138222,3740
IS27859.D1EYBACXX.1.250138223,6126
IS27887.MRG.4.250047555,3232
IS27912.MRG.4.250047556,4065
IS27942.D1EYBACXX.1.250138224,1330
IS28036.D1EYBACXX.1.250138225,592
IS28086.D1EYBACXX.1.250138226,246
IS28141.MRG.4.250047557,430
IS28143.D1EYBACXX.1.250138227,217
IS28313.MRG.4.250047558,233
IS28317.D1EYBACXX.1.250138228,135
IS28332.B064FABXX.1.250010011,1932
IS28444.D1EYBACXX.1.250138006,385
IS28449.MRG.4.250047560,245
IS28451.MRG.4.250047561,245
IS28453.D1EYBACXX.1.250138007,216
IS28614.MRG.4.250047562,987
IS28688.D0D0HACXX.5.250046097,691
IS28740.B064FABXX.1.250009975,1246
IS28747.MRG.4.250047563,394
IS28749.D1EYBACXX.1.250138008,362
IS28849.B064FABXX.1.250009948,414
IS28966.D1EYBACXX.1.250138009,685
IS28991.B064FABXX.1.250009956,232
IS29053.D1EYBACXX.1.250138010,427
IS29091.MRG.4.250047565,1198
IS29100.MRG.4.250047566,225
IS29187.MRG.4.250047567,8019
IS29228.D1EYBACXX.1.250138011,4316
IS29233.70MUKAAXX.1.250006441,5070
IS29239.MRG.4.250047569,5070
IS29241.MRG.4.250047570,5070
IS29304.MRG.4.250047572,8019
IS29310.70MUKAAXX.1.250006453,4148
IS29314.MRG.4.250047573,4148
IS29326.MRG.4.250047605,5070
IS29335.MRG.4.250047606,5070
IS29358.MRG.4.250047607,4005
IS29392.MRG.4.250047608,5582
IS29407.70MUKAAXX.1.250006382,4189
IS29409.70MUKAAXX.1.250006390,4189
IS29441.MRG.4.250047609,4356
IS29468.MRG.4.250047610,3751
IS29472.B064FABXX.1.250009983,3751
IS29496.70MUKAAXX.1.250006398,3394
IS29565.MRG.4.250047612,3683
IS29568.MRG.4.250047613,3683
IS29569.70MUKAAXX.1.250006410,3683
IS29582.MRG.4.250047614,3683
IS29664.D1EYBACXX.1.250138012,8186
IS29685.D1EYBACXX.1.250138013,3475
IS29689.MRG.4.250047618,3071
IS29691.70MUKAAXX.1.250006442,3071
IS29714.MRG.4.250047619,3015
IS29733.MRG.4.250047620,2781
IS29757.D1EYBACXX.1.250138014,2957
IS29772.MRG.4.250047621,4219
IS29798.D0D0HACXX.5.250046098,3604
IS29808.D1EYBACXX.1.250138015,3470
IS29838.D1EYBACXX.1.250138016,4417
IS29856.D1EYBACXX.1.250138017,4714
IS29860.D1EYBACXX.1.250138018,3929
IS29866.D1EYBACXX.1.250138019,3485
IS29870.B064FABXX.1.250010000,2200
IS29872.70MUKAAXX.1.250006454,2200
IS29876.70MUKAAXX.1.250006466,2200
IS29911.70MUKAAXX.1.250006383,2944
IS29914.MRG.4.250047622,2944
IS29950.MRG.4.250047623,2684
IS29966.B064FABXX.1.250010012,2200
IS29977.D0D0HACXX.5.250046099,2200
IS30024.D1EYBACXX.1.250138020,2559
IS30079.MRG.4.250047624,2673
