,maize_aridity_index
SEEDGWAS1204:MRG:4:250070208,7692
SEEDGWAS1205:MRG:4:250070209,4286
SEEDGWAS1206:MRG:4:250070210,4251
SEEDGWAS1207:MRG:4:250070211,7618
SEEDGWAS1208:MRG:4:250070212,5299
SEEDGWAS1209:MRG:4:250070213,8451
SEEDGWAS121:MRG:4:250054534,9967
SEEDGWAS1210:MRG:4:250070214,4322
SEEDGWAS1211:MRG:4:250070215,4747
SEEDGWAS1212:MRG:4:250070216,4601
SEEDGWAS1214:MRG:4:250070218,6615
SEEDGWAS1215:MRG:4:250070219,12784
SEEDGWAS1216:MRG:4:250070220,10067
SEEDGWAS122:MRG:4:250054535,10919
SEEDGWAS1220:MRG:4:250070223,6129
SEEDGWAS123:MRG:4:250054536,7502
SEEDGWAS1236:MRG:4:250070267,6950
SEEDGWAS124:MRG:4:250054537,5440
SEEDGWAS1241:MRG:4:250070272,6113
SEEDGWAS1242:MRG:4:250070273,9154
SEEDGWAS1244:MRG:4:250070274,7410
SEEDGWAS1246:MRG:4:250070275,9263
SEEDGWAS1247:MRG:4:250070276,11187
SEEDGWAS1248:MRG:4:250070277,11268
SEEDGWAS1249:MRG:4:250070278,5639
SEEDGWAS125:MRG:4:250054538,5440
SEEDGWAS1250:MRG:4:250070279,9060
SEEDGWAS1254:MRG:4:250070280,7746
SEEDGWAS1256:MRG:4:250070283,6905
SEEDGWAS1257:MRG:4:250070284,4431
SEEDGWAS1258:MRG:4:250070285,5418
SEEDGWAS1259:MRG:4:250070286,7741
SEEDGWAS1260:MRG:4:250070287,9111
SEEDGWAS1261:MRG:4:250070288,18179
SEEDGWAS1263:MRG:4:250070290,10141
SEEDGWAS1264:MRG:4:250070292,8154
SEEDGWAS1265:MRG:4:250070293,5622
SEEDGWAS1266:MRG:4:250070294,6518
SEEDGWAS1267:MRG:4:250070295,2163
SEEDGWAS1268:MRG:4:250070296,11275
SEEDGWAS1269:MRG:4:250070297,6552
SEEDGWAS127:MRG:4:250054539,6726
SEEDGWAS1270:MRG:4:250070298,6557
SEEDGWAS1271:MRG:4:250070299,5603
SEEDGWAS1272:MRG:4:250070300,6713
SEEDGWAS1274:MRG:4:250070301,6129
SEEDGWAS1277:MRG:4:250070302,6552
SEEDGWAS1278:MRG:4:250070303,4959
SEEDGWAS1279:MRG:4:250070304,6552
SEEDGWAS128:MRG:4:250054540,5693
SEEDGWAS1281:MRG:4:250070306,6752
SEEDGWAS1282:MRG:4:250070307,5438
SEEDGWAS1283:MRG:4:250070308,6940
SEEDGWAS1284:MRG:4:250070310,6525
SEEDGWAS1285:MRG:4:250070311,9795
SEEDGWAS1287:MRG:4:250070313,7352
SEEDGWAS1289:MRG:4:250070314,10788
SEEDGWAS129:MRG:4:250056097,8029
SEEDGWAS1293:MRG:4:250070317,4131
SEEDGWAS1294:MRG:4:250070318,7528
SEEDGWAS1295:MRG:4:250070319,8753
SEEDGWAS13:MRG:4:250054455,10025
SEEDGWAS130:MRG:4:250056098,7806
SEEDGWAS1302:MRG:4:250070326,14852
SEEDGWAS1303:MRG:4:250070327,8657
SEEDGWAS1304:MRG:4:250070328,18609
SEEDGWAS1305:MRG:4:250070329,19388
SEEDGWAS1306:MRG:4:250070330,16061
SEEDGWAS1307:MRG:4:250070331,14651
SEEDGWAS1308:MRG:4:250070332,20651
SEEDGWAS1309:MRG:4:250070333,20156
SEEDGWAS131:MRG:4:250056099,7546
SEEDGWAS1310:MRG:4:250070334,19810
SEEDGWAS1311:MRG:4:250070335,14898
SEEDGWAS1312:MRG:4:250070336,14898
SEEDGWAS1313:MRG:4:250070337,14773
SEEDGWAS1316:MRG:4:250070338,8949
SEEDGWAS1317:MRG:4:250070339,12903
SEEDGWAS132:MRG:4:250056100,7779
SEEDGWAS1320:MRG:4:250070340,10666
SEEDGWAS1321:MRG:4:250070341,9961
SEEDGWAS1322:MRG:4:250070342,10758
SEEDGWAS1323:MRG:4:250070343,10937
SEEDGWAS1324:MRG:4:250070344,9436
SEEDGWAS1325:MRG:4:250070345,10886
SEEDGWAS1326:MRG:4:250070346,10886
SEEDGWAS1327:MRG:4:250070347,10886
SEEDGWAS1329:MRG:4:250070348,17792
SEEDGWAS133:MRG:4:250056101,8811
SEEDGWAS1330:MRG:4:250070349,21581
SEEDGWAS1332:MRG:4:250070350,10058
SEEDGWAS1333:MRG:4:250070351,9513
SEEDGWAS1334:MRG:4:250105240,9411
SEEDGWAS1335:MRG:4:250105241,9625
SEEDGWAS1336:MRG:4:250105242,9625
SEEDGWAS1337:MRG:4:250105243,9625
SEEDGWAS1338:MRG:4:250105244,8872
SEEDGWAS134:MRG:4:250056102,5438
SEEDGWAS1340:MRG:4:250105245,10158
SEEDGWAS1342:MRG:4:250105246,9490
SEEDGWAS1344:MRG:4:250105247,9307
SEEDGWAS1346:MRG:4:250105248,8250
SEEDGWAS1347:MRG:4:250105249,8361
SEEDGWAS1348:MRG:4:250105250,10842
SEEDGWAS1349:MRG:4:250105251,10842
SEEDGWAS135:MRG:4:250056103,4910
SEEDGWAS1350:MRG:4:250105252,7044
SEEDGWAS1351:MRG:4:250105253,8360
SEEDGWAS1352:MRG:4:250105254,8360
SEEDGWAS1353:MRG:4:250105255,7050
SEEDGWAS1355:MRG:4:250105256,6825
SEEDGWAS1356:MRG:4:250105257,7259
SEEDGWAS1357:MRG:4:250105258,7015
SEEDGWAS1358:MRG:4:250105259,8960
SEEDGWAS1359:MRG:4:250105260,8960
SEEDGWAS136:MRG:4:250056104,9918
SEEDGWAS1360:MRG:4:250105261,7226
SEEDGWAS1361:MRG:4:250105262,16678
SEEDGWAS1362:MRG:4:250105263,17864
SEEDGWAS1363:MRG:4:250105264,11004
SEEDGWAS1364:MRG:4:250105265,11303
SEEDGWAS1365:MRG:4:250105266,18036
SEEDGWAS1366:MRG:4:250105267,9732
SEEDGWAS1367:MRG:4:250105268,8861
SEEDGWAS1368:MRG:4:250105269,11742
SEEDGWAS1369:MRG:4:250105270,14564
SEEDGWAS137:MRG:4:250056105,9591
SEEDGWAS1370:MRG:4:250105271,13891
SEEDGWAS1371:MRG:4:250105272,10833
SEEDGWAS1372:MRG:4:250105273,10833
SEEDGWAS1373:MRG:4:250105275,5707
SEEDGWAS1374:MRG:4:250105276,6129
SEEDGWAS1375:MRG:4:250105277,6525
SEEDGWAS1376:MRG:4:250105278,6525
SEEDGWAS1377:MRG:4:250105279,6629
SEEDGWAS1378:MRG:4:250105280,7515
SEEDGWAS1379:MRG:4:250105281,7477
SEEDGWAS1380:MRG:4:250105282,7679
SEEDGWAS1381:MRG:4:250105283,10280
SEEDGWAS1383:MRG:4:250105284,10183
SEEDGWAS1386:MRG:4:250105287,11547
SEEDGWAS1387:MRG:4:250105288,9263
SEEDGWAS1388:MRG:4:250105289,7352
SEEDGWAS1389:MRG:4:250105290,10174
SEEDGWAS139:MRG:4:250056107,10876
SEEDGWAS1390:MRG:4:250105291,9038
SEEDGWAS1391:MRG:4:250105292,6779
SEEDGWAS1392:MRG:4:250105293,7352
SEEDGWAS1393:MRG:4:250105294,10482
SEEDGWAS1394:MRG:4:250105295,10322
SEEDGWAS1395:MRG:4:250105296,6719
SEEDGWAS14:MRG:4:250054456,6830
SEEDGWAS1400:MRG:4:250105298,10049
SEEDGWAS1401:MRG:4:250105299,11844
SEEDGWAS1402:MRG:4:250105300,11689
SEEDGWAS1403:MRG:4:250105301,11689
SEEDGWAS1404:MRG:4:250105302,11689
SEEDGWAS1407:MRG:4:250105305,8751
SEEDGWAS1408:MRG:4:250105306,14135
SEEDGWAS1409:MRG:4:250105307,10772
SEEDGWAS141:MRG:4:250056108,9415
SEEDGWAS1410:MRG:4:250105308,10570
SEEDGWAS1411:MRG:4:250105309,7412
SEEDGWAS1412:MRG:4:250105310,9240
SEEDGWAS1413:MRG:4:250105311,7731
SEEDGWAS1414:MRG:4:250105312,9627
SEEDGWAS1415:MRG:4:250105313,8476
SEEDGWAS1416:MRG:4:250105314,9661
SEEDGWAS1417:MRG:4:250105315,8051
SEEDGWAS1418:MRG:4:250105316,8100
SEEDGWAS142:MRG:4:250056109,9100
SEEDGWAS1421:MRG:4:250105317,8751
SEEDGWAS1422:MRG:4:250105318,8435
SEEDGWAS1424:MRG:4:250105320,9958
SEEDGWAS1427:MRG:4:250105322,14793
SEEDGWAS1428:MRG:4:250105323,7609
SEEDGWAS1429:MRG:4:250105324,18380
SEEDGWAS143:MRG:4:250056110,5660
SEEDGWAS1430:MRG:4:250105325,15849
SEEDGWAS1431:MRG:4:250105326,14599
SEEDGWAS1432:MRG:4:250105327,4747
SEEDGWAS1434:MRG:4:250105328,4310
SEEDGWAS1435:MRG:4:250105329,13505
SEEDGWAS1436:MRG:4:250105330,5627
SEEDGWAS1437:MRG:4:250105332,11883
SEEDGWAS1438:MRG:4:250105333,14788
SEEDGWAS1439:MRG:4:250105334,14599
SEEDGWAS144:MRG:4:250056111,9827
SEEDGWAS1440:MRG:4:250105335,14599
SEEDGWAS1441:MRG:4:250070383,9427
SEEDGWAS1442:MRG:4:250070384,14461
SEEDGWAS1443:MRG:4:250070385,6129
SEEDGWAS1457:MRG:4:250070397,9605
SEEDGWAS1458:MRG:4:250070398,10570
SEEDGWAS1460:MRG:4:250070400,12166
SEEDGWAS1463:MRG:4:250070403,6222
SEEDGWAS1464:MRG:4:250070404,7324
SEEDGWAS1465:MRG:4:250070405,7324
SEEDGWAS1466:MRG:4:250070406,8279
SEEDGWAS1467:MRG:4:250070407,7712
SEEDGWAS1468:MRG:4:250070408,5461
SEEDGWAS1469:MRG:4:250070409,5871
SEEDGWAS1470:MRG:4:250070410,8978
SEEDGWAS1472:MRG:4:250070412,7724
SEEDGWAS1473:MRG:4:250070413,7501
SEEDGWAS1474:MRG:4:250070414,7603
SEEDGWAS1476:MRG:4:250070415,7603
SEEDGWAS1477:MRG:4:250070416,8068
SEEDGWAS1478:MRG:4:250070417,6612
SEEDGWAS1479:MRG:4:250070418,6612
SEEDGWAS148:MRG:4:250056114,5666
SEEDGWAS1481:MRG:4:250070419,6386
SEEDGWAS1482:MRG:4:250070420,6740
SEEDGWAS1483:MRG:4:250070421,6740
SEEDGWAS1484:MRG:4:250070422,6740
SEEDGWAS1485:MRG:4:250070423,4083
SEEDGWAS1486:MRG:4:250070424,4312
SEEDGWAS1487:MRG:4:250070425,3653
SEEDGWAS1488:MRG:4:250070426,4443
SEEDGWAS149:MRG:4:250056115,7142
SEEDGWAS1490:MRG:4:250070427,2663
SEEDGWAS1492:MRG:4:250070428,2998
SEEDGWAS1493:MRG:4:250070429,3388
SEEDGWAS1494:MRG:4:250070430,4502
SEEDGWAS1495:MRG:4:250070431,2843
SEEDGWAS1496:MRG:4:250070432,4872
SEEDGWAS1497:MRG:4:250070433,9160
SEEDGWAS1498:MRG:4:250070434,8562
SEEDGWAS15:MRG:4:250054457,8211
SEEDGWAS150:MRG:4:250056116,3897
SEEDGWAS1500:MRG:4:250070435,9958
SEEDGWAS1501:MRG:4:250070436,8495
SEEDGWAS1503:MRG:4:250070437,7742
SEEDGWAS1506:MRG:4:250070438,4207
SEEDGWAS1507:MRG:4:250070439,4310
SEEDGWAS1508:MRG:4:250070440,8986
SEEDGWAS1512:MRG:4:250070441,10326
SEEDGWAS1513:MRG:4:250070442,6295
SEEDGWAS1516:MRG:4:250070444,6661
SEEDGWAS1517:MRG:4:250070445,5526
SEEDGWAS1518:MRG:4:250070446,12785
SEEDGWAS1519:MRG:4:250070447,5526
SEEDGWAS152:MRG:4:250056118,10349
SEEDGWAS153:MRG:4:250056119,7708
SEEDGWAS1543:MRG:4:250070466,6990
SEEDGWAS1545:MRG:4:250070467,8685
SEEDGWAS155:MRG:4:250056120,10170
SEEDGWAS1550:MRG:4:250070470,10635
SEEDGWAS1551:MRG:4:250070471,9500
SEEDGWAS1552:MRG:4:250070472,11366
SEEDGWAS1553:MRG:4:250070473,5021
SEEDGWAS1554:MRG:4:250070474,5088
SEEDGWAS1557:MRG:4:250070477,13349
SEEDGWAS156:MRG:4:250056121,11289
SEEDGWAS1560:MRG:4:250070478,7351
SEEDGWAS1561:MRG:4:250070510,8898
SEEDGWAS1564:MRG:4:250070514,6051
SEEDGWAS1565:MRG:4:250070515,2860
SEEDGWAS1566:MRG:4:250070516,5966
SEEDGWAS157:MRG:4:250056122,10985
SEEDGWAS1572:MRG:4:250070521,6378
SEEDGWAS1573:MRG:4:250070522,5743
SEEDGWAS1574:MRG:4:250070523,5743
SEEDGWAS1577:MRG:4:250070526,6139
SEEDGWAS1578:MRG:4:250070527,5619
SEEDGWAS1579:MRG:4:250070528,10648
SEEDGWAS158:MRG:4:250056123,10636
SEEDGWAS1580:MRG:4:250070529,6354
SEEDGWAS1581:MRG:4:250070530,2095
SEEDGWAS160:MRG:4:250056124,10305
SEEDGWAS1604:MRG:4:250070553,5387
SEEDGWAS1605:MRG:4:250070554,11890
SEEDGWAS1607:MRG:4:250070555,11366
SEEDGWAS1608:MRG:4:250070556,5091
SEEDGWAS1609:MRG:4:250070557,5968
SEEDGWAS1610:MRG:4:250070558,6293
SEEDGWAS1611:MRG:4:250070559,8215
SEEDGWAS162:MRG:4:250056125,9277
SEEDGWAS163:MRG:4:250056127,8941
SEEDGWAS1631:MRG:4:250070569,6672
SEEDGWAS1632:MRG:4:250070570,4851
SEEDGWAS1633:MRG:4:250070571,4824
SEEDGWAS1634:MRG:4:250070572,7532
SEEDGWAS1635:MRG:4:250070573,7373
SEEDGWAS1636:MRG:4:250070574,6179
SEEDGWAS1638:MRG:4:250070575,5612
SEEDGWAS1639:MRG:4:250070576,8027
SEEDGWAS164:MRG:4:250056128,10605
SEEDGWAS1641:MRG:4:250070577,10876
SEEDGWAS1643:MRG:4:250070578,5042
SEEDGWAS1644:MRG:4:250070579,5062
SEEDGWAS1647:MRG:4:250070582,9415
SEEDGWAS1648:MRG:4:250070583,9415
SEEDGWAS1651:MRG:4:250070587,15182
SEEDGWAS1652:MRG:4:250070588,4824
SEEDGWAS1653:MRG:4:250070589,4824
SEEDGWAS1654:MRG:4:250070590,5255
SEEDGWAS1655:MRG:4:250070591,6723
SEEDGWAS1656:MRG:4:250070592,6723
SEEDGWAS1658:MRG:4:250070593,0
SEEDGWAS1660:MRG:4:250070595,8209
SEEDGWAS1661:MRG:4:250070596,8522
SEEDGWAS1662:MRG:4:250070597,3855
SEEDGWAS1663:MRG:4:250070598,2865
SEEDGWAS1665:MRG:4:250070599,5300
SEEDGWAS1666:MRG:4:250070600,9101
SEEDGWAS1667:MRG:4:250070601,8027
SEEDGWAS1668:MRG:4:250070602,5792
SEEDGWAS1669:MRG:4:250070603,5021
SEEDGWAS167:MRG:4:250056129,7236
SEEDGWAS1670:MRG:4:250070604,5021
SEEDGWAS1671:MRG:4:250070605,8064
SEEDGWAS1673:MRG:4:250062636,6096
SEEDGWAS1674:MRG:4:250062637,6110
SEEDGWAS1676:MRG:4:250062638,11919
SEEDGWAS1679:MRG:4:250062639,5369
SEEDGWAS168:MRG:4:250056130,7106
SEEDGWAS1680:MRG:4:250062640,5770
SEEDGWAS1681:MRG:4:250062641,10657
SEEDGWAS1682:MRG:4:250062642,6942
SEEDGWAS1683:MRG:4:250062643,6942
SEEDGWAS1684:MRG:4:250062644,6942
SEEDGWAS1685:MRG:4:250062645,6942
SEEDGWAS1689:MRG:4:250062647,10919
SEEDGWAS169:MRG:4:250056131,11738
SEEDGWAS1690:MRG:4:250062648,11366
SEEDGWAS1691:MRG:4:250062649,6252
SEEDGWAS1693:MRG:4:250062650,5886
SEEDGWAS1694:MRG:4:250062651,4845
SEEDGWAS1695:MRG:4:250062652,5886
SEEDGWAS1696:MRG:4:250062653,11672
SEEDGWAS1697:MRG:4:250062654,5894
SEEDGWAS1698:MRG:4:250062655,6425
SEEDGWAS170:MRG:4:250056132,8085
SEEDGWAS1701:MRG:4:250062658,4946
SEEDGWAS1704:MRG:4:250062661,4290
SEEDGWAS1705:MRG:4:250062662,4845
SEEDGWAS1707:MRG:4:250062663,5157
SEEDGWAS1708:MRG:4:250062664,10269
SEEDGWAS1709:MRG:4:250062665,5603
SEEDGWAS171:MRG:4:250056133,8829
SEEDGWAS1710:MRG:4:250062667,12704
SEEDGWAS1711:MRG:4:250062668,4032
SEEDGWAS1712:MRG:4:250062669,3841
SEEDGWAS1713:MRG:4:250062670,4116
SEEDGWAS1714:MRG:4:250062671,4116
SEEDGWAS1715:MRG:4:250062672,9840
SEEDGWAS1716:MRG:4:250062673,9840
SEEDGWAS1717:MRG:4:250062674,4116
SEEDGWAS1719:MRG:4:250062675,4116
SEEDGWAS172:MRG:4:250056134,11738
SEEDGWAS1720:MRG:4:250062676,4116
SEEDGWAS1721:MRG:4:250062677,5474
SEEDGWAS1722:MRG:4:250062678,6259
SEEDGWAS1723:MRG:4:250062679,4926
SEEDGWAS1725:MRG:4:250062681,13945
SEEDGWAS1726:MRG:4:250062682,13945
SEEDGWAS1727:MRG:4:250062683,13945
SEEDGWAS1728:MRG:4:250062684,13945
SEEDGWAS1729:MRG:4:250062685,6546
SEEDGWAS173:MRG:4:250056135,8662
SEEDGWAS1730:MRG:4:250062686,6546
SEEDGWAS1731:MRG:4:250062687,4976
SEEDGWAS1732:MRG:4:250062688,6429
SEEDGWAS1733:MRG:4:250062689,5377
SEEDGWAS1736:MRG:4:250062690,7689
SEEDGWAS1737:MRG:4:250062691,7689
SEEDGWAS1739:MRG:4:250062692,7689
SEEDGWAS174:MRG:4:250056136,10890
SEEDGWAS1740:MRG:4:250062693,5771
SEEDGWAS1741:MRG:4:250062694,15129
SEEDGWAS1742:MRG:4:250062695,7887
SEEDGWAS1743:MRG:4:250062696,7887
SEEDGWAS1744:MRG:4:250062697,10016
SEEDGWAS1749:MRG:4:250062702,6429
SEEDGWAS1751:MRG:4:250062703,6123
SEEDGWAS1752:MRG:4:250062704,5521
SEEDGWAS1755:MRG:4:250062707,5821
SEEDGWAS1756:MRG:4:250062708,5821
SEEDGWAS1759:MRG:4:250062709,2129
SEEDGWAS176:MRG:4:250056137,7222
SEEDGWAS1760:MRG:4:250062710,1863
SEEDGWAS1761:MRG:4:250062711,1653
SEEDGWAS1766:MRG:4:250062717,1183
SEEDGWAS1767:MRG:4:250062718,4787
SEEDGWAS1769:MRG:4:250062720,16985
SEEDGWAS177:MRG:4:250056138,6749
SEEDGWAS1770:MRG:4:250062721,14073
SEEDGWAS1771:MRG:4:250062722,9942
SEEDGWAS1773:MRG:4:250062724,6490
SEEDGWAS1775:MRG:4:250062726,4235
SEEDGWAS1777:MRG:4:250062728,2700
SEEDGWAS1778:MRG:4:250062730,3669
SEEDGWAS1779:MRG:4:250062731,14838
SEEDGWAS178:MRG:4:250056139,18561
SEEDGWAS1781:MRG:4:250062764,13505
SEEDGWAS1782:MRG:4:250062765,7143
SEEDGWAS1783:MRG:4:250062766,7692
SEEDGWAS1784:MRG:4:250062767,4310
SEEDGWAS1786:MRG:4:250062769,2368
SEEDGWAS1788:MRG:4:250062770,959
SEEDGWAS1789:MRG:4:250062771,3048
SEEDGWAS179:MRG:4:250056140,18609
SEEDGWAS1790:MRG:4:250062772,19882
SEEDGWAS1791:MRG:4:250062773,17997
SEEDGWAS1792:MRG:4:250062774,17154
SEEDGWAS1793:MRG:4:250062775,19099
SEEDGWAS1794:MRG:4:250062776,6834
SEEDGWAS1795:MRG:4:250062777,5595
SEEDGWAS1796:MRG:4:250062778,7992
SEEDGWAS1797:MRG:4:250062779,8443
SEEDGWAS1798:MRG:4:250062780,4357
SEEDGWAS1799:MRG:4:250062781,4105
SEEDGWAS180:MRG:4:250056141,19594
SEEDGWAS1800:MRG:4:250062782,7130
SEEDGWAS1802:MRG:4:250062783,3818
SEEDGWAS1803:MRG:4:250062784,5959
SEEDGWAS1804:MRG:4:250062785,5512
SEEDGWAS1806:MRG:4:250062787,2860
SEEDGWAS1807:MRG:4:250062790,5513
SEEDGWAS1809:MRG:4:250062791,12631
SEEDGWAS1810:MRG:4:250062792,7117
SEEDGWAS1811:MRG:4:250062793,5267
SEEDGWAS1812:MRG:4:250062794,8507
SEEDGWAS1816:MRG:4:250062797,7982
SEEDGWAS1818:MRG:4:250062798,3382
SEEDGWAS1819:MRG:4:250062799,3059
SEEDGWAS182:MRG:4:250056142,20651
SEEDGWAS1820:MRG:4:250062800,2958
SEEDGWAS1821:MRG:4:250062801,3222
SEEDGWAS1822:MRG:4:250062802,3075
SEEDGWAS1823:MRG:4:250062803,3756
SEEDGWAS1825:MRG:4:250062805,4236
SEEDGWAS1826:MRG:4:250062806,4236
SEEDGWAS1827:MRG:4:250062807,4236
SEEDGWAS1828:MRG:4:250062808,4453
SEEDGWAS1829:MRG:4:250062809,4382
SEEDGWAS183:MRG:4:250056143,12103
SEEDGWAS1830:MRG:4:250062810,5553
SEEDGWAS1831:MRG:4:250062812,7982
SEEDGWAS1832:MRG:4:250062813,7982
SEEDGWAS1833:MRG:4:250062814,7982
SEEDGWAS1834:MRG:4:250062815,7982
SEEDGWAS1835:MRG:4:250062816,7982
SEEDGWAS1836:MRG:4:250062817,6419
SEEDGWAS1837:MRG:4:250062818,6672
SEEDGWAS1838:MRG:4:250062819,6419
SEEDGWAS1839:MRG:4:250062820,3312
