,barley_aridity_index
BRIDGE_HOR_10947,12879
BRIDGE_HOR_10948,7305
BRIDGE_HOR_11114,3338
BRIDGE_HOR_12721,3338
BRIDGE_HOR_11009,10115
BRIDGE_HOR_10682,3489
BRIDGE_HOR_10683,3489
BRIDGE_HOR_10946,7970
BRIDGE_HOR_11113,3198
BRIDGE_HOR_11122,3198
BRIDGE_HOR_93,14187
BRIDGE_HOR_10554,0
BRIDGE_HOR_10556,0
BRIDGE_HOR_10557,0
BRIDGE_HOR_10560,0
BRIDGE_HOR_10671,0
BRIDGE_BCC_112,1024
BRIDGE_HOR_3959,12982
BRIDGE_HOR_10943,7608
BRIDGE_HOR_10944,7608
BRIDGE_HOR_10555,3287
BRIDGE_HOR_10670,3287
BRIDGE_HOR_10772,3287
BRIDGE_HOR_3954,23365
BRIDGE_HOR_3777,12299
BRIDGE_HOR_3960,12299
BRIDGE_HOR_3949,14923
BRIDGE_HOR_3956,12769
BRIDGE_HOR_10937,7568
BRIDGE_HOR_9857,13142
BRIDGE_HOR_9858,13142
BRIDGE_HOR_10939,7395
BRIDGE_HOR_10940,7395
BRIDGE_HOR_10941,7395
BRIDGE_HOR_10942,7395
BRIDGE_HOR_10992,7395
BRIDGE_HOR_10945,6614
BRIDGE_HOR_10950,6614
BRIDGE_HOR_11107,6614
BRIDGE_HOR_11108,6614
BRIDGE_HOR_3950,16283
BRIDGE_HOR_3961,15162
BRIDGE_HOR_9848,15248
BRIDGE_HOR_9850,15248
BRIDGE_HOR_9851,15248
BRIDGE_HOR_10936,7695
BRIDGE_HOR_11012,7695
BRIDGE_BCC_1590,7695
BRIDGE_HOR_10553,3886
BRIDGE_HOR_8702,3827
BRIDGE_HOR_3951,16111
BRIDGE_HOR_3957,21399
BRIDGE_HOR_3958,18853
BRIDGE_HOR_9855,14381
BRIDGE_HOR_9856,14381
BRIDGE_HOR_10552,3318
BRIDGE_HOR_10638,3318
BRIDGE_HOR_9712,7192
BRIDGE_HOR_13488_A,7399
BRIDGE_HOR_22164,7399
BRIDGE_HOR_9711,6206
BRIDGE_HOR_10630,11266
BRIDGE_HOR_3953,12546
BRIDGE_HOR_10094,13099
BRIDGE_HOR_9852,13099
BRIDGE_HOR_9853,13099
BRIDGE_HOR_9854,13099
BRIDGE_HOR_9256,5234
BRIDGE_HOR_9265,5234
BRIDGE_HOR_9462,5234
BRIDGE_HOR_13487,4402
BRIDGE_HOR_13486,4175
BRIDGE_HOR_9264,4092
BRIDGE_HOR_9308,4092
BRIDGE_HOR_9309,4092
BRIDGE_HOR_9257,4428
BRIDGE_HOR_9267,4428
BRIDGE_HOR_10411,4213
BRIDGE_HOR_10412,4213
BRIDGE_HOR_9268,4213
BRIDGE_HOR_9269,4213
BRIDGE_HOR_9273,4433
BRIDGE_HOR_9310,4213
BRIDGE_HOR_1999,3405
BRIDGE_HOR_4280,3405
BRIDGE_HOR_9258,4092
BRIDGE_HOR_9270,4092
BRIDGE_HOR_13158,14249
BRIDGE_HOR_9274,4368
BRIDGE_HOR_13159,13982
BRIDGE_HOR_9704,5902
BRIDGE_HOR_9705,5902
BRIDGE_HOR_2285,4775
BRIDGE_HOR_4579,4775
BRIDGE_HOR_2000,5295
BRIDGE_HOR_2001,4473
BRIDGE_HOR_2004,4473
BRIDGE_HOR_9859,12020
BRIDGE_HOR_10028,5626
BRIDGE_HOR_10059,5626
BRIDGE_HOR_11478,4910
BRIDGE_HOR_10952,13140
BRIDGE_HOR_11479,5380
BRIDGE_HOR_12791,5380
BRIDGE_HOR_9261,1517
BRIDGE_HOR_10044,5493
BRIDGE_HOR_12822,4084
BRIDGE_HOR_12823,4099
BRIDGE_HOR_13523,4084
BRIDGE_HOR_13524,4084
BRIDGE_HOR_10045,5843
BRIDGE_HOR_10681,5156
BRIDGE_HOR_9913,6413
BRIDGE_HOR_9914,6352
BRIDGE_HOR_10223,7940
BRIDGE_HOR_9255,2488
BRIDGE_HOR_9911,6084
BRIDGE_HOR_10225,7439
BRIDGE_HOR_10221,7151
BRIDGE_HOR_9262,2171
BRIDGE_HOR_10226,6094
BRIDGE_HOR_1669,8151
BRIDGE_HOR_2003,0
BRIDGE_HOR_1670,6798
BRIDGE_HOR_1671,6798
BRIDGE_HOR_12824,7755
BRIDGE_HOR_12825,7049
BRIDGE_HOR_2002,5739
BRIDGE_HOR_2009,7656
BRIDGE_HOR_2010,7656
BRIDGE_HOR_2011,7656
BRIDGE_HOR_10229,7711
BRIDGE_HOR_10230,7711
BRIDGE_HOR_10364,8016
BRIDGE_HOR_10365,8016
BRIDGE_HOR_10474,8016
BRIDGE_HOR_2005,0
BRIDGE_HOR_10825,4402
BRIDGE_HOR_2392,7677
BRIDGE_HOR_2486,7677
BRIDGE_HOR_2008,7591
BRIDGE_HOR_2007,6826
BRIDGE_HOR_10234,6219
BRIDGE_HOR_10827,4865
BRIDGE_HOR_2006,4615
BRIDGE_HOR_11120,4472
BRIDGE_HOR_7336,7117
BRIDGE_HOR_7392,7117
BRIDGE_HOR_9646,7343
BRIDGE_HOR_9647,7343
BRIDGE_HOR_9648,7325
BRIDGE_HOR_9653,7437
BRIDGE_HOR_9651,7493
BRIDGE_HOR_9652,7493
BRIDGE_HOR_9248,4250
BRIDGE_HOR_7334,7035
BRIDGE_HOR_7335,7035
BRIDGE_HOR_10828,3864
BRIDGE_HOR_10831,3864
BRIDGE_HOR_9252,4129
BRIDGE_HOR_9636,6568
BRIDGE_HOR_9637,6568
BRIDGE_HOR_9638,6568
BRIDGE_HOR_9639,6568
BRIDGE_HOR_9640,6568
BRIDGE_HOR_9641,6647
BRIDGE_HOR_9642,6647
BRIDGE_HOR_9643,6647
BRIDGE_HOR_9655,7301
BRIDGE_HOR_9670,9342
BRIDGE_HOR_9671,9342
BRIDGE_HOR_9656,8131
BRIDGE_HOR_9657,8131
BRIDGE_HOR_9658,8131
BRIDGE_HOR_9659,8131
BRIDGE_HOR_9660,8131
BRIDGE_HOR_9645,9529
BRIDGE_HOR_9661,9529
BRIDGE_HOR_9662,9529
BRIDGE_HOR_9663,9529
BRIDGE_HOR_9664,9529
BRIDGE_HOR_9665,9529
BRIDGE_HOR_9666,9529
BRIDGE_HOR_9667,9529
BRIDGE_HOR_9668,9529
BRIDGE_HOR_9669,9529
BRIDGE_HOR_8613,7974
BRIDGE_HOR_9685,7586
BRIDGE_HOR_9672,8237
BRIDGE_HOR_9673,8237
BRIDGE_HOR_9682,6726
BRIDGE_HOR_9683,6726
BRIDGE_HOR_9684,6726
BRIDGE_HOR_9674,8529
BRIDGE_HOR_9675,8529
BRIDGE_HOR_9676,8529
BRIDGE_HOR_9677,8529
BRIDGE_HOR_9678,8529
BRIDGE_HOR_7383,9322
BRIDGE_HOR_9681,7535
BRIDGE_HOR_9679,7821
BRIDGE_HOR_9680,7821
BRIDGE_HOR_10829,4066
BRIDGE_HOR_10830,4066
BRIDGE_HOR_9692,9395
BRIDGE_HOR_9693,9395
BRIDGE_HOR_7384,9991
BRIDGE_HOR_7385,9991
BRIDGE_HOR_7386,9991
BRIDGE_HOR_7387,9991
BRIDGE_HOR_7388,9991
BRIDGE_HOR_7438,9991
BRIDGE_HOR_4944,9991
BRIDGE_HOR_9694,9242
BRIDGE_HOR_4945,11185
BRIDGE_HOR_4946,11185
BRIDGE_HOR_7279,11185
BRIDGE_HOR_9686,10163
BRIDGE_HOR_9687,10163
BRIDGE_HOR_9688,10163
BRIDGE_HOR_9689,10163
BRIDGE_HOR_9690,10163
BRIDGE_HOR_9691,10163
BRIDGE_HOR_9700,11604
BRIDGE_HOR_9696,9080
BRIDGE_HOR_9697,9080
BRIDGE_HOR_9698,9080
BRIDGE_HOR_9699,9080
BRIDGE_HOR_9695,8946
BRIDGE_HOR_7337,8177
BRIDGE_HOR_7338,8177
BRIDGE_HOR_7339,8177
BRIDGE_HOR_7340,8177
BRIDGE_HOR_7341,8177
BRIDGE_HOR_7342,8177
BRIDGE_HOR_7343,8177
BRIDGE_HOR_7379,12177
BRIDGE_HOR_7380,12177
BRIDGE_HOR_7381,12177
BRIDGE_HOR_7376,10773
BRIDGE_HOR_7377,10773
BRIDGE_HOR_7378,10773
BRIDGE_HOR_7436,10773
BRIDGE_HOR_7437,10773
BRIDGE_HOR_7346,9518
BRIDGE_HOR_7373,15627
BRIDGE_HOR_7374,15627
BRIDGE_HOR_7375,15627
BRIDGE_HOR_7369,12050
BRIDGE_HOR_7347,9535
BRIDGE_HOR_7372,12501
BRIDGE_HOR_7349,6005
BRIDGE_HOR_7370,11081
BRIDGE_HOR_7371,11081
BRIDGE_HOR_737,7588
BRIDGE_HOR_738,7588
BRIDGE_HOR_739,8828
BRIDGE_HOR_7350,6774
BRIDGE_HOR_7351,6774
BRIDGE_HOR_7352,6774
BRIDGE_HOR_7353,6774
BRIDGE_HOR_7354,6774
BRIDGE_HOR_11312,8583
BRIDGE_HOR_11313,8583
BRIDGE_HOR_12805,8583
BRIDGE_HOR_11315,9343
BRIDGE_HOR_11314,10126
BRIDGE_HOR_12782,10126
BRIDGE_HOR_736,11104
BRIDGE_HOR_7368,10433
BRIDGE_HOR_748,11414
BRIDGE_HOR_740,9966
BRIDGE_HOR_7355,6063
BRIDGE_HOR_7356,7675
BRIDGE_HOR_7357,7675
BRIDGE_HOR_7358,7675
BRIDGE_HOR_7359,7675
BRIDGE_HOR_7390,7675
BRIDGE_HOR_756,11726
BRIDGE_HOR_13150,9385
BRIDGE_HOR_13151,9385
BRIDGE_HOR_1245,7319
BRIDGE_HOR_987,7319
BRIDGE_HOR_12402,8636
BRIDGE_HOR_12798,8636
BRIDGE_HOR_1269,8851
BRIDGE_HOR_1270,8851
BRIDGE_HOR_1286,8637
BRIDGE_HOR_12403,7664
BRIDGE_HOR_12799,7664
BRIDGE_HOR_12413,7383
BRIDGE_HOR_1267,8399
BRIDGE_HOR_1268,8399
BRIDGE_HOR_13152,7339
BRIDGE_HOR_12415,7982
BRIDGE_HOR_12416,7329
BRIDGE_HOR_768,8321
BRIDGE_HOR_2510,8252
BRIDGE_HOR_743,8252
BRIDGE_HOR_744,8368
BRIDGE_HOR_8620,9425
BRIDGE_HOR_8627,9425
BRIDGE_HOR_8629,9425
BRIDGE_HOR_8630,9425
BRIDGE_HOR_8631,9425
BRIDGE_HOR_8677,9425
BRIDGE_HOR_8680,9425
BRIDGE_HOR_1247,7771
BRIDGE_HOR_991,7771
BRIDGE_HOR_1386,8534
BRIDGE_HOR_936,8534
BRIDGE_HOR_745,7865
BRIDGE_HOR_1387,7908
BRIDGE_HOR_937,7908
BRIDGE_HOR_8615,8137
BRIDGE_HOR_1279,7511
BRIDGE_HOR_1280,7511
BRIDGE_HOR_746,7593
BRIDGE_HOR_1278,7447
BRIDGE_HOR_8684,9008
BRIDGE_HOR_8657,9899
BRIDGE_HOR_967,7521
BRIDGE_HOR_7367,7547
BRIDGE_HOR_7360,7547
BRIDGE_HOR_7361,7547
BRIDGE_HOR_989,5632
BRIDGE_HOR_8655,8947
BRIDGE_HOR_8656,8947
BRIDGE_HOR_8660,8947
BRIDGE_HOR_691,5129
BRIDGE_HOR_692,5129
BRIDGE_HOR_729,5109
BRIDGE_HOR_8647,8039
BRIDGE_HOR_7362,7627
BRIDGE_HOR_7363,7627
BRIDGE_HOR_7364,7627
BRIDGE_HOR_7365,7627
BRIDGE_HOR_7366,7627
BRIDGE_HOR_7391,7627
BRIDGE_HOR_1244,4776
BRIDGE_HOR_4402,4776
BRIDGE_HOR_760,4776
BRIDGE_HOR_986,4776
BRIDGE_HOR_732,5237
BRIDGE_HOR_8654,9444
BRIDGE_HOR_8648,9105
BRIDGE_HOR_8683,9105
BRIDGE_HOR_753,7309
BRIDGE_HOR_966,4420
BRIDGE_HOR_988,4420
BRIDGE_HOR_722,5776
BRIDGE_HOR_731,5983
BRIDGE_HOR_8650,9365
BRIDGE_HOR_8651,9365
BRIDGE_HOR_8652,9365
BRIDGE_HOR_8649,9912
BRIDGE_HOR_8653,8773
BRIDGE_HOR_1236,4666
BRIDGE_HOR_2278,4666
BRIDGE_HOR_726,4854
BRIDGE_HOR_1026,4931
BRIDGE_HOR_1027,4931
BRIDGE_HOR_1150,4931
BRIDGE_HOR_1152,4931
BRIDGE_HOR_1153,4931
BRIDGE_HOR_1158,4711
BRIDGE_HOR_1360,4711
BRIDGE_HOR_1652,4711
BRIDGE_HOR_1738,4711
BRIDGE_HOR_1739,4848
BRIDGE_HOR_6953,4931
BRIDGE_HOR_6954,4931
BRIDGE_HOR_719,4848
BRIDGE_HOR_720,4848
BRIDGE_HOR_727,4711
BRIDGE_HOR_881,4848
BRIDGE_HOR_725,4823
BRIDGE_HOR_8645,9330
BRIDGE_HOR_1020,4809
BRIDGE_HOR_1033,4732
BRIDGE_HOR_1156,4809
BRIDGE_HOR_1164,4732
BRIDGE_HOR_1380,4809
BRIDGE_HOR_8646,9845
BRIDGE_HOR_8644,9246
BRIDGE_HOR_1010,6645
BRIDGE_HOR_1022,6645
BRIDGE_HOR_1023,6645
BRIDGE_HOR_1145,6645
BRIDGE_HOR_1146,6645
BRIDGE_HOR_1147,6645
BRIDGE_HOR_1239,6645
BRIDGE_HOR_942,6645
BRIDGE_HOR_1233,3349
BRIDGE_HOR_728,5669
BRIDGE_HOR_982,3349
BRIDGE_HOR_1024,6541
BRIDGE_HOR_1148,6541
BRIDGE_HOR_1011,5207
BRIDGE_HOR_1128,5207
BRIDGE_HOR_849,5207
BRIDGE_HOR_8624,8556
BRIDGE_HOR_8679,8556
BRIDGE_HOR_723,6637
BRIDGE_HOR_724,6637
BRIDGE_HOR_1382,7052
BRIDGE_HOR_997,7052
BRIDGE_HOR_8626,9074
BRIDGE_HOR_1029,7715
BRIDGE_HOR_1159,7715
BRIDGE_HOR_730,7715
BRIDGE_HOR_848,5704
BRIDGE_HOR_8638,9425
BRIDGE_HOR_8639,9425
BRIDGE_HOR_8640,9425
BRIDGE_HOR_8641,9425
BRIDGE_HOR_8642,9425
BRIDGE_HOR_8643,9425
BRIDGE_HOR_1160,6363
BRIDGE_HOR_733,6363
BRIDGE_HOR_1031,6067
BRIDGE_HOR_1032,6067
BRIDGE_HOR_1034,5832
BRIDGE_HOR_1161,6067
BRIDGE_HOR_1162,6067
BRIDGE_HOR_1163,6067
BRIDGE_HOR_1165,5832
BRIDGE_HOR_734,6067
BRIDGE_HOR_993,6067
BRIDGE_HOR_8632,11353
BRIDGE_HOR_8633,11353
BRIDGE_HOR_8634,11353
BRIDGE_HOR_8635,11353
BRIDGE_HOR_8681,11353
BRIDGE_HOR_8682,11353
BRIDGE_HOR_8618,11050
BRIDGE_HOR_8675,11050
BRIDGE_HOR_1018,5379
BRIDGE_HOR_1019,5463
BRIDGE_HOR_1143,5463
BRIDGE_HOR_1942,5379
BRIDGE_HOR_717,5379
BRIDGE_HOR_1016,5434
BRIDGE_HOR_1039,5434
BRIDGE_HOR_1141,5434
BRIDGE_HOR_693,4190
BRIDGE_HOR_694,0
BRIDGE_HOR_688,3974
BRIDGE_HOR_689,3974
BRIDGE_HOR_709,3848
BRIDGE_HOR_8676,10933
BRIDGE_HOR_8678,10933
BRIDGE_HOR_1012,5285
BRIDGE_HOR_1014,5339
BRIDGE_HOR_1015,5339
BRIDGE_HOR_1035,5472
BRIDGE_HOR_1140,5339
BRIDGE_HOR_1166,5472
BRIDGE_HOR_1167,5472
BRIDGE_HOR_1168,5472
BRIDGE_HOR_1659,5472
BRIDGE_HOR_1383,5472
BRIDGE_HOR_4404,5472
BRIDGE_HOR_690,4032
BRIDGE_HOR_880,5339
BRIDGE_HOR_882,5472
BRIDGE_HOR_943,5472
BRIDGE_HOR_994,5472
BRIDGE_HOR_701,5174
BRIDGE_HOR_711,5174
BRIDGE_HOR_712,5174
BRIDGE_HOR_8636,9727
BRIDGE_HOR_1017,4918
BRIDGE_HOR_1040,4918
BRIDGE_HOR_1142,4918
BRIDGE_HOR_697,4167
BRIDGE_HOR_698,4167
BRIDGE_HOR_713,4292
BRIDGE_HOR_714,4292
BRIDGE_HOR_1169,5419
BRIDGE_HOR_1170,5419
BRIDGE_HOR_4417,5419
BRIDGE_HOR_700,4581
BRIDGE_HOR_944,5419
BRIDGE_HOR_995,5419
BRIDGE_HOR_996,5419
BRIDGE_HOR_752,4092
BRIDGE_HOR_8637,10253
BRIDGE_HOR_710,4112
BRIDGE_HOR_718,4038
BRIDGE_HOR_1038,5267
BRIDGE_HOR_1238,5267
BRIDGE_HOR_686,5267
BRIDGE_HOR_940,5267
BRIDGE_HOR_1283,3093
BRIDGE_HOR_1284,3093
BRIDGE_HOR_1313,3093
BRIDGE_HOR_1021,5792
BRIDGE_HOR_1144,5792
BRIDGE_HOR_1385,5792
BRIDGE_HOR_684,4501
BRIDGE_HOR_708,4049
BRIDGE_HOR_941,5792
BRIDGE_HOR_1253,3617
BRIDGE_HOR_1384,3617
BRIDGE_HOR_685,4490
BRIDGE_HOR_707,3618
BRIDGE_HOR_1258,3429
BRIDGE_HOR_706,3429
BRIDGE_HOR_1126,3889
BRIDGE_HOR_1127,3889
BRIDGE_HOR_983,3328
BRIDGE_HOR_878,4181
BRIDGE_HOR_1007,0
BRIDGE_HOR_1235,0
BRIDGE_HOR_847,3609
BRIDGE_HOR_1013,3965
BRIDGE_HOR_1138,3965
BRIDGE_HOR_3884,3965
BRIDGE_HOR_687,3223
BRIDGE_HOR_3277,3884
BRIDGE_HOR_3278,3481
BRIDGE_HOR_679,3481
BRIDGE_HOR_680,3884
BRIDGE_HOR_678,3896
BRIDGE_HOR_13449,4841
BRIDGE_HOR_13450,4841
BRIDGE_HOR_1137,4629
BRIDGE_HOR_1943,4629
BRIDGE_HOR_2281,4629
BRIDGE_HOR_681,3925
BRIDGE_HOR_1025,3376
BRIDGE_HOR_1149,3376
BRIDGE_HOR_13451,4079
BRIDGE_HOR_763,3281
BRIDGE_HOR_682,3076
BRIDGE_HOR_761,3483
BRIDGE_HOR_762,3483
BRIDGE_HOR_1139,0
BRIDGE_HOR_1651,0
BRIDGE_HOR_13456,5829
BRIDGE_HOR_1379,4330
BRIDGE_HOR_1737,3532
BRIDGE_HOR_1773,3532
BRIDGE_HOR_865,0
BRIDGE_HOR_1770,0
BRIDGE_HOR_1860,0
BRIDGE_HOR_862,3231
BRIDGE_HOR_1172,2369
BRIDGE_HOR_1173,2369
BRIDGE_HOR_1240,2369
BRIDGE_HOR_1356,2369
BRIDGE_HOR_4403,2369
BRIDGE_HOR_864,4259
BRIDGE_HOR_1131,3479
BRIDGE_HOR_1995,3479
BRIDGE_HOR_2674,3479
BRIDGE_HOR_11319,2714
BRIDGE_HOR_860,3365
BRIDGE_HOR_867,4154
BRIDGE_HOR_868,4154
BRIDGE_HOR_861,3131
BRIDGE_HOR_866,3082
BRIDGE_HOR_13455,4281
BRIDGE_HOR_12833,5056
BRIDGE_HOR_13454,4328
BRIDGE_HOR_1122,3343
BRIDGE_HOR_1125,3343
BRIDGE_HOR_1134,3343
BRIDGE_HOR_1135,3343
BRIDGE_HOR_1241,3343
BRIDGE_HOR_673,3343
BRIDGE_HOR_674,3343
BRIDGE_HOR_675,3343
BRIDGE_HOR_876,3343
BRIDGE_HOR_979,3343
BRIDGE_HOR_676,4049
BRIDGE_HOR_672,0
BRIDGE_HOR_869,0
BRIDGE_HOR_863,6092
BRIDGE_HOR_1941,3136
BRIDGE_HOR_859,3136
BRIDGE_HOR_677,6260
BRIDGE_HOR_13457,4538
BRIDGE_HOR_858,0
BRIDGE_HOR_1378,2826
BRIDGE_HOR_856,2826
BRIDGE_HOR_980,2826
BRIDGE_HOR_671,2695
BRIDGE_HOR_857,2695
BRIDGE_HOR_13453,5032
BRIDGE_HOR_855,3632
BRIDGE_HOR_853,3582
BRIDGE_HOR_1130,2999
BRIDGE_HOR_850,2913
BRIDGE_HOR_851,2913
BRIDGE_HOR_852,2913
BRIDGE_HOR_1255,0
BRIDGE_HOR_1257,4258
BRIDGE_HOR_846,2959
BRIDGE_HOR_1129,0
BRIDGE_HOR_854,3607
BRIDGE_HOR_670,3859
BRIDGE_HOR_1256,2902
BRIDGE_HOR_13458,5007
BRIDGE_BCC_223,3783
BRIDGE_HOR_13452,4831
BRIDGE_BCC_236,3539
BRIDGE_BCC_55,210
BRIDGE_BCC_31,3772
BRIDGE_BCC_50,703
BRIDGE_HOR_20121,0
BRIDGE_HOR_20135,0
BRIDGE_HOR_8536,3107
BTR_FT226,2324
BTR_FT553,2098
BRIDGE_HOR_18466,868
BRIDGE_BCC_100,2100
BRIDGE_HOR_13792,1422
BRIDGE_HOR_18480,1614
BRIDGE_HOR_18484,1422
BTR_FT549,1539
BRIDGE_HOR_13795,1452
BRIDGE_HOR_20145,1452
BRIDGE_BCC_98,2122
BRIDGE_BCC_253,3231
BRIDGE_BCC_110,5061
BRIDGE_BCC_203,5008
BRIDGE_BCC_102,1090
BRIDGE_BCC_107,3040
BRIDGE_HOR_14097,3592
BRIDGE_HOR_14098,1913
BRIDGE_HOR_11439,9124
BRIDGE_HOR_11444,9124
BRIDGE_HOR_21542,1412
BRIDGE_HOR_21716,1412
BRIDGE_HOR_14101,1439
BRIDGE_HOR_19814,1189
BRIDGE_HOR_21547,3301
BTR_FT525,1957
BRIDGE_HOR_20123,1900
BRIDGE_HOR_20129,1900
BRIDGE_HOR_21597,821
BRIDGE_HOR_21581,1695
BRIDGE_BCC_244,2142
BRIDGE_HOR_13809,727
BRIDGE_HOR_18455,737
BRIDGE_HOR_18456,727
BRIDGE_HOR_18468,755
BRIDGE_HOR_18472,737
BRIDGE_HOR_20122,755
BRIDGE_HOR_14112,1174
BRIDGE_HOR_21600,1174
BRIDGE_HOR_21556,766
BRIDGE_HOR_21546,866
BRIDGE_HOR_21571,866
BRIDGE_BCC_189,971
BRIDGE_HOR_19788,973
BRIDGE_HOR_21559,972
BRIDGE_HOR_21560,972
BRIDGE_HOR_14121,1256
BRIDGE_HOR_21553,1256
BRIDGE_HOR_19786,731
BRIDGE_HOR_19789,1297
BRIDGE_HOR_19818,1297
BRIDGE_HOR_20155,1596
BRIDGE_HOR_21570,1596
BRIDGE_HOR_14108,1614
BRIDGE_HOR_21582,1614
BRIDGE_BCC_212,577
BTR_FT555,5253
BRIDGE_HOR_9608,12061
BRIDGE_HOR_9607,11465
BRIDGE_HOR_10357,11277
BRIDGE_HOR_9614,11277
BRIDGE_HOR_9615,11277
BRIDGE_HOR_9606,12204
BRIDGE_HOR_9613,11206
BRIDGE_HOR_9616,11223
BRIDGE_HOR_9617,11223
