chr,rs,ps,p_wald,n_genes_25kb,genes_in_25kb,closest_gene,closest_gene_id,closest_gene_distance_bp
1,Chr1_9331635.0,9331635,3.974547e-17,5,AT1G26921;AT1G26920;AT1G26916;AT1G26930;AT1G26910,AT1G26921,AT1G26921,530.0
1,Chr1_9326158.0,9326158,5.2786970000000007e-17,8,AT1G26916;AT1G26910;AT1G26920;AT1G26900;AT1G26921;AT1G26890;AT1G26880;AT1G26930,AT1G26916,AT1G26916,998.0
1,Chr1_9329089.0,9329089,5.2786970000000007e-17,7,AT1G26920;AT1G26916;AT1G26921;AT1G26910;AT1G26930;AT1G26900;AT1G26890,AT1G26920,AT1G26920,423.0
1,Chr1_9331688.0,9331688,5.2786970000000007e-17,5,AT1G26921;AT1G26920;AT1G26930;AT1G26916;AT1G26910,AT1G26921,AT1G26921,583.0
1,Chr1_9332044.0,9332044,5.2786970000000007e-17,5,AT1G26921;AT1G26920;AT1G26930;AT1G26916;AT1G26910,AT1G26921,AT1G26921,939.0
1,Chr1_9334820.0,9334820,5.2786970000000007e-17,5,AT1G26930;AT1G26921;AT1G26920;AT1G26916;AT1G26940,AT1G26930,AT1G26930,1237.0
1,Chr1_17290923.0,17290923,5.61775e-17,2,AT1G47128;AT1G47200,AT1G47128,AT1G47128,5253.0
5,Chr5_22580729.0,22580729,1.326256e-16,7,AT5G55790;AT5G55800;AT5G55780;AT5G55810;AT5G55820;AT5G55770;AT5G55760,AT5G55790,AT5G55790,0.0
2,Chr2_4908049.0,4908049,1.682545e-16,1,AT2G12200,AT2G12200,AT2G12200,7105.0
1,Chr1_9332721.0,9332721,1.73097e-16,5,AT1G26921;AT1G26920;AT1G26930;AT1G26916;AT1G26910,AT1G26921,AT1G26921,1616.0
1,Chr1_13259545.0,13259545,2.467908e-16,1,AT1G35750,AT1G35750,AT1G35750,3975.0
3,Chr3_6959621.0,6959621,4.937097e-16,5,AT3G19970;AT3G19980;AT3G19960;AT3G19990;AT3G20000,AT3G19970,AT3G19970,0.0
3,Chr3_6961394.0,6961394,4.937097e-16,6,AT3G19970;AT3G19980;AT3G19990;AT3G19960;AT3G20000;AT3G20010,AT3G19970,AT3G19970,0.0
3,Chr3_6962632.0,6962632,4.937097e-16,6,AT3G19980;AT3G19970;AT3G19990;AT3G20000;AT3G19960;AT3G20010,AT3G19980,AT3G19980,0.0
3,Chr3_6966605.0,6966605,4.937097e-16,6,AT3G19990;AT3G20000;AT3G19980;AT3G20010;AT3G19970;AT3G19960,AT3G19990,AT3G19990,0.0
3,Chr3_6976704.0,6976704,4.937097e-16,5,AT3G20010;AT3G20015;AT3G20000;AT3G20020;AT3G19990,AT3G20010,AT3G20010,109.0
3,Chr3_6978215.0,6978215,4.937097e-16,4,AT3G20015;AT3G20010;AT3G20020;AT3G20000,AT3G20015,AT3G20015,262.0
3,Chr3_6981261.0,6981261,4.937097e-16,4,AT3G20015;AT3G20020;AT3G20010;AT3G20030,AT3G20015,AT3G20015,893.0
3,Chr3_6982550.0,6982550,4.937097e-16,4,AT3G20020;AT3G20015;AT3G20010;AT3G20030,AT3G20020,AT3G20020,1155.0
3,Chr3_6987877.0,6987877,4.937097e-16,4,AT3G20020;AT3G20030;AT3G20040;AT3G20015,AT3G20020,AT3G20020,0.0
3,Chr3_6988722.0,6988722,4.937097e-16,5,AT3G20020;AT3G20030;AT3G20040;AT3G20015;AT3G20050,AT3G20020,AT3G20020,623.0
1,Chr1_17304355.0,17304355,6.07836e-16,5,AT1G47220;AT1G47210;AT1G47230;AT1G47240;AT1G47200,AT1G47220,AT1G47220,0.0
1,Chr1_17344778.0,17344778,6.169973e-16,6,AT1G47310;AT1G47317;AT1G47300;AT1G47290;AT1G47330;AT1G47340,AT1G47310,AT1G47310,0.0
5,Chr5_22863386.0,22863386,6.220985e-16,8,AT5G56452;AT5G56460;AT5G56450;AT5G56470;AT5G56440;AT5G56480;AT5G56490;AT5G56430,AT5G56452,AT5G56452,1568.0
1,Chr1_28888133.0,28888133,6.445169e-16,4,AT1G76910;AT1G76900;AT1G76920;AT1G76930,AT1G76910,AT1G76910,29.0
1,Chr1_28889638.0,28889638,6.445169e-16,4,AT1G76910;AT1G76920;AT1G76900;AT1G76930,AT1G76910,AT1G76910,1534.0
1,Chr1_28891868.0,28891868,6.445169e-16,4,AT1G76920;AT1G76930;AT1G76910;AT1G76900,AT1G76920,AT1G76920,194.0
1,Chr1_28894032.0,28894032,6.445169e-16,5,AT1G76920;AT1G76930;AT1G76910;AT1G76940;AT1G76900,AT1G76920,AT1G76920,356.0
1,Chr1_28896118.0,28896118,6.445169e-16,4,AT1G76930;AT1G76920;AT1G76940;AT1G76910,AT1G76930,AT1G76930,0.0
1,Chr1_28897681.0,28897681,6.445169e-16,5,AT1G76930;AT1G76920;AT1G76940;AT1G76950;AT1G76910,AT1G76930,AT1G76930,798.0
1,Chr1_28898150.0,28898150,6.445169e-16,4,AT1G76930;AT1G76940;AT1G76920;AT1G76950,AT1G76930,AT1G76930,1267.0
1,Chr1_28902591.0,28902591,6.445169e-16,4,AT1G76940;AT1G76950;AT1G76930;AT1G76920,AT1G76940,AT1G76940,0.0
1,Chr1_28907676.0,28907676,6.445169e-16,3,AT1G76950;AT1G76940;AT1G76952,AT1G76950,AT1G76950,0.0
1,Chr1_28911839.0,28911839,6.445169e-16,7,AT1G76950;AT1G76952;AT1G76954;AT1G76955;AT1G76940;AT1G76960;AT1G76965,AT1G76950,AT1G76950,275.0
4,Chr4_12995815.0,12995815,9.006522e-16,5,AT4G25430;AT4G25420;AT4G25433;AT4G25434;AT4G25410,AT4G25430,AT4G25430,2546.0
3,Chr3_7079626.0,7079626,1.332805e-15,6,AT3G20300;AT3G20290;AT3G20280;AT3G20310;AT3G20320;AT3G20270,AT3G20300,AT3G20300,0.0
3,Chr3_7079747.0,7079747,1.332805e-15,6,AT3G20300;AT3G20290;AT3G20310;AT3G20280;AT3G20320;AT3G20270,AT3G20300,AT3G20300,0.0
1,Chr1_17296689.0,17296689,1.7281e-15,4,AT1G47200;AT1G47210;AT1G47220;AT1G47230,AT1G47200,AT1G47200,1342.0
1,Chr1_17297150.0,17297150,1.7281e-15,4,AT1G47200;AT1G47210;AT1G47220;AT1G47230,AT1G47200,AT1G47200,881.0
3,Chr3_11970635.0,11970635,1.958578e-15,4,AT3G30380;AT3G30370;AT3G30390;AT3G30350,AT3G30380,AT3G30380,3431.0
1,Chr1_9283362.0,9283362,2.545303e-15,10,AT1G26799;AT1G26798;AT1G26800;AT1G26797;AT1G26810;AT1G26796;AT1G26795;AT1G26815;AT1G26790;AT1G26820,AT1G26799,AT1G26799,511.0
1,Chr1_4586678.0,4586678,3.010713e-15,4,AT1G13370;AT1G13380;AT1G13390;AT1G13360,AT1G13370,AT1G13370,1102.0
2,Chr2_18417156.0,18417156,4.366752e-15,9,AT2G44640;AT2G44630;AT2G44620;AT2G44650;AT2G44610;AT2G44660;AT2G44600;AT2G44670;AT2G44680,AT2G44640,AT2G44640,87.0
2,Chr2_18408091.0,18408091,5.072922e-15,9,AT2G44600;AT2G44590;AT2G44610;AT2G44580;AT2G44620;AT2G44578;AT2G44630;AT2G44640;AT2G44581,AT2G44600,AT2G44600,604.0
5,Chr5_22678304.0,22678304,5.959022e-15,7,AT5G56000;AT5G56010;AT5G55990;AT5G56020;AT5G55980;AT5G56030;AT5G55970,AT5G56000,AT5G56000,0.0
3,Chr3_6840433.0,6840433,6.37641e-15,6,AT3G19680;AT3G19690;AT3G19700;AT3G19670;AT3G19710;AT3G19720,AT3G19680,AT3G19680,0.0
3,Chr3_6842499.0,6842499,6.37641e-15,6,AT3G19690;AT3G19680;AT3G19700;AT3G19710;AT3G19670;AT3G19720,AT3G19690,AT3G19690,0.0
1,Chr1_17358118.0,17358118,8.021391e-15,4,AT1G47350;AT1G47340;AT1G47330;AT1G47370,AT1G47350,AT1G47350,329.0
1,Chr1_17358908.0,17358908,8.021391e-15,4,AT1G47350;AT1G47340;AT1G47330;AT1G47370,AT1G47350,AT1G47350,0.0
1,Chr1_17359082.0,17359082,8.021391e-15,4,AT1G47350;AT1G47340;AT1G47330;AT1G47370,AT1G47350,AT1G47350,0.0
1,Chr1_17359426.0,17359426,8.021391e-15,4,AT1G47350;AT1G47340;AT1G47330;AT1G47370,AT1G47350,AT1G47350,0.0
2,Chr2_18399963.0,18399963,8.278761e-15,8,AT2G44578;AT2G44581;AT2G44580;AT2G44570;AT2G44590;AT2G44560;AT2G44600;AT2G44550,AT2G44578,AT2G44578,683.0
5,Chr5_13908687.0,13908687,1.242636e-14,4,AT5G35737;AT5G35740;AT5G35750;AT5G35735,AT5G35737,AT5G35737,1152.0
5,Chr5_8523452.0,8523452,1.264669e-14,5,AT5G24820;AT5G24810;AT5G24825;AT5G24800;AT5G24830,AT5G24820,AT5G24820,0.0
5,Chr5_22680014.0,22680014,1.629108e-14,6,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980,AT5G56000,AT5G56000,0.0
1,Chr1_17260138.0,17260138,1.666261e-14,3,AT1G46696;AT1G46768;AT1G46554,AT1G46696,AT1G46696,1722.0
1,Chr1_4350446.0,4350446,2.25198e-14,7,AT1G12760;AT1G12770;AT1G12750;AT1G12775;AT1G12780;AT1G12740;AT1G12790,AT1G12760,AT1G12760,0.0
1,Chr1_4366023.0,4366023,2.25198e-14,8,AT1G12805;AT1G12800;AT1G12810;AT1G12820;AT1G12790;AT1G12780;AT1G12830;AT1G12840,AT1G12805,AT1G12805,574.0
5,Chr5_22672320.0,22672320,2.60549e-14,6,AT5G55990;AT5G55980;AT5G55970;AT5G56000;AT5G55960;AT5G56010,AT5G55990,AT5G55990,0.0
5,Chr5_22672340.0,22672340,2.60549e-14,6,AT5G55990;AT5G55980;AT5G55970;AT5G56000;AT5G55960;AT5G56010,AT5G55990,AT5G55990,0.0
5,Chr5_22672397.0,22672397,2.60549e-14,6,AT5G55990;AT5G55980;AT5G55970;AT5G56000;AT5G55960;AT5G56010,AT5G55990,AT5G55990,0.0
5,Chr5_22672402.0,22672402,2.60549e-14,6,AT5G55990;AT5G55980;AT5G55970;AT5G56000;AT5G55960;AT5G56010,AT5G55990,AT5G55990,0.0
5,Chr5_22672519.0,22672519,2.60549e-14,6,AT5G55990;AT5G55980;AT5G55970;AT5G56000;AT5G55960;AT5G56010,AT5G55990,AT5G55990,0.0
5,Chr5_22672543.0,22672543,2.60549e-14,6,AT5G55990;AT5G55980;AT5G55970;AT5G56000;AT5G55960;AT5G56010,AT5G55990,AT5G55990,0.0
5,Chr5_22672567.0,22672567,2.60549e-14,6,AT5G55990;AT5G55980;AT5G55970;AT5G56000;AT5G55960;AT5G56010,AT5G55990,AT5G55990,0.0
5,Chr5_582465.0,582465,2.611161e-14,10,AT5G02590;AT5G02580;AT5G02600;AT5G02610;AT5G02570;AT5G02560;AT5G02615;AT5G02620;AT5G02550;AT5G02630,AT5G02590,AT5G02590,621.0
1,Chr1_4367012.0,4367012,3.650353e-14,8,AT1G12805;AT1G12810;AT1G12800;AT1G12820;AT1G12790;AT1G12830;AT1G12840;AT1G12780,AT1G12805,AT1G12805,0.0
5,Chr5_22666898.0,22666898,3.72436e-14,6,AT5G55970;AT5G55960;AT5G55980;AT5G55990;AT5G55950;AT5G55940,AT5G55970,AT5G55970,337.0
5,Chr5_22902268.0,22902268,4.703988e-14,7,AT5G56560;AT5G56570;AT5G56580;AT5G56590;AT5G56550;AT5G56600;AT5G56540,AT5G56560,AT5G56560,283.0
1,Chr1_25698272.0,25698272,6.72713e-14,3,AT1G68490;AT1G68500;AT1G68510,AT1G68490,AT1G68490,2796.0
1,Chr1_25698276.0,25698276,6.72713e-14,3,AT1G68490;AT1G68500;AT1G68510,AT1G68490,AT1G68490,2800.0
1,Chr1_25698284.0,25698284,6.72713e-14,3,AT1G68490;AT1G68500;AT1G68510,AT1G68490,AT1G68490,2808.0
1,Chr1_25496982.0,25496982,7.087002e-14,7,AT1G68020;AT1G68010;AT1G68030;AT1G68000;AT1G68040;AT1G67990;AT1G67980,AT1G68020,AT1G68020,308.0
1,Chr1_21145663.0,21145663,7.368457e-14,4,AT1G56460;AT1G56450;AT1G56440;AT1G56430,AT1G56460,AT1G56460,576.0
1,Chr1_9238095.0,9238095,7.512306e-14,6,AT1G26720;AT1G26730;AT1G26710;AT1G26700;AT1G26740;AT1G26750,AT1G26720,AT1G26720,3283.0
1,Chr1_17294268.0,17294268,7.768213e-14,4,AT1G47200;AT1G47210;AT1G47128;AT1G47220,AT1G47200,AT1G47200,3763.0
1,Chr1_17294896.0,17294896,7.768213e-14,4,AT1G47200;AT1G47210;AT1G47220;AT1G47128,AT1G47200,AT1G47200,3135.0
1,Chr1_9226035.0,9226035,8.178334e-14,6,AT1G26690;AT1G26700;AT1G26680;AT1G26710;AT1G26670;AT1G26720,AT1G26690,AT1G26690,260.0
1,Chr1_9294390.0,9294390,8.318009e-14,8,AT1G26820;AT1G26830;AT1G26815;AT1G26840;AT1G26810;AT1G26850;AT1G26800;AT1G26799,AT1G26820,AT1G26820,606.0
1,Chr1_9240310.0,9240310,9.830525e-14,8,AT1G26730;AT1G26740;AT1G26720;AT1G26750;AT1G26710;AT1G26760;AT1G26700;AT1G26761,AT1G26730,AT1G26730,1125.0
1,Chr1_9245171.0,9245171,9.830525e-14,6,AT1G26740;AT1G26730;AT1G26750;AT1G26760;AT1G26761;AT1G26762,AT1G26740,AT1G26740,0.0
1,Chr1_9254711.0,9254711,9.830525e-14,8,AT1G26762;AT1G26761;AT1G26760;AT1G26770;AT1G26750;AT1G26740;AT1G26771;AT1G26773,AT1G26762,AT1G26762,544.0
1,Chr1_9263744.0,9263744,9.830525e-14,5,AT1G26771;AT1G26773;AT1G26770;AT1G26780;AT1G26762,AT1G26771,AT1G26771,471.0
5,Chr5_22271413.0,22271413,1.014184e-13,6,AT5G54820;AT5G54830;AT5G54810;AT5G54840;AT5G54800;AT5G54850,AT5G54820,AT5G54820,0.0
5,Chr5_21998187.0,21998187,1.023171e-13,3,AT5G54200;AT5G54190;AT5G54180,AT5G54200,AT5G54200,1111.0
1,Chr1_8945206.0,8945206,1.055765e-13,7,AT1G25470;AT1G25472;AT1G25460;AT1G25480;AT1G25450;AT1G25490;AT1G25440,AT1G25470,AT1G25470,0.0
1,Chr1_8947898.0,8947898,1.055765e-13,7,AT1G25480;AT1G25470;AT1G25472;AT1G25490;AT1G25460;AT1G25500;AT1G25450,AT1G25480,AT1G25480,567.0
1,Chr1_8949574.0,8949574,1.055765e-13,8,AT1G25480;AT1G25490;AT1G25470;AT1G25472;AT1G25460;AT1G25500;AT1G25450;AT1G25510,AT1G25480,AT1G25480,0.0
2,Chr2_18425410.0,18425410,1.083002e-13,9,AT2G44670;AT2G44680;AT2G44660;AT2G44690;AT2G44650;AT2G44700;AT2G44640;AT2G44710;AT2G44630,AT2G44670,AT2G44670,0.0
1,Chr1_17323200.0,17323200,1.194933e-13,7,AT1G47260;AT1G47265;AT1G47250;AT1G47270;AT1G47271;AT1G47278;AT1G47280,AT1G47260,AT1G47260,0.0
1,Chr1_9200238.0,9200238,1.337391e-13,7,AT1G26620;AT1G26610;AT1G26630;AT1G26640;AT1G26600;AT1G26590;AT1G26650,AT1G26620,AT1G26620,569.0
5,Chr5_22984947.0,22984947,1.755567e-13,5,AT5G56850;AT5G56840;AT5G56860;AT5G56820;AT5G56810,AT5G56850,AT5G56850,246.0
5,Chr5_22192482.0,22192482,2.207456e-13,7,AT5G54630;AT5G54620;AT5G54640;AT5G54650;AT5G54610;AT5G54600;AT5G54590,AT5G54630,AT5G54630,17.0
3,Chr3_14319771.0,14319771,2.500904e-13,5,AT3G42170;AT3G42160;AT3G42180;AT3G42155;AT3G42150,AT3G42170,AT3G42170,1181.0
1,Chr1_5315092.0,5315092,2.515059e-13,7,AT1G15470;AT1G15460;AT1G15480;AT1G15450;AT1G15490;AT1G15440;AT1G15430,AT1G15470,AT1G15470,415.0
2,Chr2_2849893.0,2849893,2.572977e-13,1,AT2G06925,AT2G06925,AT2G06925,6592.0
5,Chr5_21998933.0,21998933,2.592133e-13,4,AT5G54200;AT5G54190;AT5G54180;AT5G54210,AT5G54200,AT5G54200,1857.0
2,Chr2_18390873.0,18390873,2.919277e-13,9,AT2G44550;AT2G44560;AT2G44540;AT2G44570;AT2G44530;AT2G44581;AT2G44525;AT2G44520;AT2G44578,AT2G44550,AT2G44550,0.0
2,Chr2_18391602.0,18391602,2.919277e-13,9,AT2G44560;AT2G44550;AT2G44570;AT2G44540;AT2G44530;AT2G44581;AT2G44525;AT2G44578;AT2G44520,AT2G44560,AT2G44560,178.0
2,Chr2_18394031.0,18394031,2.919277e-13,9,AT2G44570;AT2G44560;AT2G44550;AT2G44581;AT2G44540;AT2G44578;AT2G44580;AT2G44530;AT2G44590,AT2G44570,AT2G44570,211.0
1,Chr1_5042364.0,5042364,3.346973e-13,8,AT1G14685;AT1G14680;AT1G14670;AT1G14686;AT1G14687;AT1G14660;AT1G14688;AT1G14690,AT1G14685,AT1G14685,0.0
5,Chr5_22691188.0,22691188,4.683135e-13,5,AT5G56030;AT5G56040;AT5G56020;AT5G56010;AT5G56050,AT5G56030,AT5G56030,1538.0
5,Chr5_22691191.0,22691191,4.683135e-13,5,AT5G56030;AT5G56040;AT5G56020;AT5G56010;AT5G56050,AT5G56030,AT5G56030,1541.0
5,Chr5_22691213.0,22691213,4.683135e-13,5,AT5G56030;AT5G56040;AT5G56020;AT5G56010;AT5G56050,AT5G56030,AT5G56030,1563.0
5,Chr5_22691224.0,22691224,4.683135e-13,5,AT5G56030;AT5G56040;AT5G56020;AT5G56010;AT5G56050,AT5G56030,AT5G56030,1574.0
3,Chr3_6406917.0,6406917,5.161783e-13,7,AT3G18610;AT3G18620;AT3G18600;AT3G18630;AT3G18640;AT3G18590;AT3G18580,AT3G18610,AT3G18610,0.0
1,Chr1_17065632.0,17065632,6.551447e-13,2,AT1G45130;AT1G45145,AT1G45130,AT1G45130,0.0
1,Chr1_4988522.0,4988522,7.386313e-13,5,AT1G14580;AT1G14570;AT1G14560;AT1G14550;AT1G14549,AT1G14580,AT1G14580,1040.0
5,Chr5_21994861.0,21994861,8.008936e-13,5,AT5G54200;AT5G54190;AT5G54180;AT5G54170;AT5G54165,AT5G54200,AT5G54200,0.0
5,Chr5_22880561.0,22880561,9.939699e-13,6,AT5G56510;AT5G56500;AT5G56520;AT5G56490;AT5G56530;AT5G56480,AT5G56510,AT5G56510,1160.0
3,Chr3_6406909.0,6406909,9.995185e-13,7,AT3G18610;AT3G18620;AT3G18600;AT3G18630;AT3G18640;AT3G18590;AT3G18580,AT3G18610,AT3G18610,0.0
3,Chr3_6406910.0,6406910,9.995185e-13,7,AT3G18610;AT3G18620;AT3G18600;AT3G18630;AT3G18640;AT3G18590;AT3G18580,AT3G18610,AT3G18610,0.0
3,Chr3_5008295.0,5008295,1.024818e-12,7,AT3G14890;AT3G14880;AT3G14870;AT3G14900;AT3G14910;AT3G14860;AT3G14920,AT3G14890,AT3G14890,447.0
3,Chr3_4882753.0,4882753,1.057048e-12,6,AT3G14540;AT3G14550;AT3G14530;AT3G14520;AT3G14560;AT3G14570,AT3G14540,AT3G14540,0.0
3,Chr3_4897774.0,4897774,1.057048e-12,4,AT3G14570;AT3G14580;AT3G14590;AT3G14560,AT3G14570,AT3G14570,0.0
3,Chr3_4939726.0,4939726,1.057048e-12,6,AT3G14690;AT3G14700;AT3G14710;AT3G14680;AT3G14720;AT3G14730,AT3G14690,AT3G14690,261.0
5,Chr5_22679186.0,22679186,1.105183e-12,7,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980;AT5G55970,AT5G56000,AT5G56000,0.0
5,Chr5_579508.0,579508,1.105374e-12,9,AT5G02580;AT5G02570;AT5G02560;AT5G02590;AT5G02600;AT5G02550;AT5G02610;AT5G02540;AT5G02615,AT5G02580,AT5G02580,344.0
5,Chr5_579509.0,579509,1.105374e-12,9,AT5G02580;AT5G02570;AT5G02560;AT5G02590;AT5G02600;AT5G02550;AT5G02610;AT5G02540;AT5G02615,AT5G02580,AT5G02580,343.0
5,Chr5_23794020.0,23794020,1.412186e-12,6,AT5G58920;AT5G58930;AT5G58910;AT5G58940;AT5G58950;AT5G58900,AT5G58920,AT5G58920,0.0
5,Chr5_23803797.0,23803797,1.412186e-12,7,AT5G58950;AT5G58960;AT5G58940;AT5G58970;AT5G58930;AT5G58980;AT5G58920,AT5G58950,AT5G58950,124.0
5,Chr5_23830371.0,23830371,1.412186e-12,5,AT5G59020;AT5G59030;AT5G59040;AT5G59010;AT5G59050,AT5G59020,AT5G59020,0.0
5,Chr5_23832205.0,23832205,1.412186e-12,5,AT5G59030;AT5G59020;AT5G59040;AT5G59050;AT5G59010,AT5G59030,AT5G59030,1523.0
5,Chr5_23904191.0,23904191,1.412186e-12,7,AT5G59250;AT5G59240;AT5G59230;AT5G59260;AT5G59270;AT5G59220;AT5G59280,AT5G59250,AT5G59250,0.0
5,Chr5_23924582.0,23924582,1.412186e-12,8,AT5G59310;AT5G59305;AT5G59300;AT5G59320;AT5G59290;AT5G59330;AT5G59340;AT5G59280,AT5G59310,AT5G59310,503.0
5,Chr5_23927196.0,23927196,1.412186e-12,7,AT5G59310;AT5G59320;AT5G59305;AT5G59330;AT5G59300;AT5G59340;AT5G59290,AT5G59310,AT5G59310,1344.0
5,Chr5_24315922.0,24315922,1.412186e-12,6,AT5G60460;AT5G60450;AT5G60470;AT5G60480;AT5G60440;AT5G60490,AT5G60460,AT5G60460,1515.0
5,Chr5_24338712.0,24338712,1.412186e-12,10,AT5G60540;AT5G60548;AT5G60550;AT5G60530;AT5G60553;AT5G60520;AT5G60510;AT5G60560;AT5G60500;AT5G60570,AT5G60540,AT5G60540,0.0
5,Chr5_24348701.0,24348701,1.412186e-12,8,AT5G60570;AT5G60560;AT5G60580;AT5G60553;AT5G60548;AT5G60550;AT5G60590;AT5G60540,AT5G60570,AT5G60570,0.0
5,Chr5_24388521.0,24388521,1.412186e-12,3,AT5G60680;AT5G60670;AT5G60690,AT5G60680,AT5G60680,1545.0
5,Chr5_24388942.0,24388942,1.412186e-12,3,AT5G60680;AT5G60670;AT5G60690,AT5G60680,AT5G60680,1966.0
5,Chr5_24389544.0,24389544,1.412186e-12,3,AT5G60680;AT5G60690;AT5G60670,AT5G60680,AT5G60680,2568.0
5,Chr5_24390018.0,24390018,1.412186e-12,3,AT5G60680;AT5G60690;AT5G60670,AT5G60680,AT5G60680,3042.0
5,Chr5_24391353.0,24391353,1.412186e-12,3,AT5G60680;AT5G60690;AT5G60670,AT5G60680,AT5G60680,4377.0
5,Chr5_24392532.0,24392532,1.412186e-12,3,AT5G60690;AT5G60680;AT5G60700,AT5G60690,AT5G60690,4491.0
5,Chr5_24409994.0,24409994,1.412186e-12,4,AT5G60710;AT5G60700;AT5G60690;AT5G60720,AT5G60710,AT5G60710,724.0
5,Chr5_24417964.0,24417964,1.412186e-12,4,AT5G60720;AT5G60710;AT5G60730;AT5G60740,AT5G60720,AT5G60720,265.0
5,Chr5_24422041.0,24422041,1.412186e-12,5,AT5G60720;AT5G60730;AT5G60740;AT5G60710;AT5G60750,AT5G60720,AT5G60720,0.0
5,Chr5_24449371.0,24449371,1.412186e-12,4,AT5G60780;AT5G60770;AT5G60790;AT5G60760,AT5G60780,AT5G60780,1468.0
5,Chr5_24458857.0,24458857,1.412186e-12,5,AT5G60800;AT5G60790;AT5G60780;AT5G60805;AT5G60810,AT5G60800,AT5G60800,1926.0
1,Chr1_17293784.0,17293784,1.451309e-12,4,AT1G47200;AT1G47210;AT1G47128;AT1G47220,AT1G47200,AT1G47200,4247.0
5,Chr5_10368119.0,10368119,1.535915e-12,5,AT5G28442;AT5G28420;AT5G28450;AT5G28460;AT5G28410,AT5G28442,AT5G28442,266.0
1,Chr1_8949183.0,8949183,1.679599e-12,7,AT1G25480;AT1G25490;AT1G25470;AT1G25472;AT1G25460;AT1G25500;AT1G25450,AT1G25480,AT1G25480,0.0
2,Chr2_18419817.0,18419817,1.745921e-12,10,AT2G44650;AT2G44640;AT2G44660;AT2G44630;AT2G44620;AT2G44670;AT2G44610;AT2G44680;AT2G44690;AT2G44600,AT2G44650,AT2G44650,0.0
1,Chr1_17408752.0,17408752,1.880114e-12,3,AT1G47450;AT1G47470;AT1G47480,AT1G47450,AT1G47450,5559.0
