Arabidopsis_gene,Rice_gene,Maize_gene,Sorghum_gene,Barley_gene
AT1G01320,LOC_Os01g27550,Zm00001eb230860,,gene:HORVU.MOREX.r3.2HG0106600
AT1G01370,LOC_Os01g29220,Zm00001eb230870,,gene:HORVU.MOREX.r3.2HG0109680
AT1G01380,LOC_Os01g29230,Zm00001eb249320,,gene:HORVU.MOREX.r3.2HG0110000
AT1G01390,LOC_Os01g29710,Zm00001eb249330,,gene:HORVU.MOREX.r3.2HG0110020
AT1G01430,LOC_Os01g32574,Zm00001eb249340,,gene:HORVU.MOREX.r3.2HG0110380
AT1G01440,LOC_Os01g35280,Zm00001eb389580,,gene:HORVU.MOREX.r3.2HG0117920
AT1G01470,LOC_Os01g37420,,,gene:HORVU.MOREX.r3.2HG0182320
AT1G01530,LOC_Os01g38800,,,gene:HORVU.MOREX.r3.2HG0195560
AT1G01550,LOC_Os01g41710,,,gene:HORVU.MOREX.r3.3HG0219910
AT1G01580,LOC_Os01g42430,,,gene:HORVU.MOREX.r3.3HG0221840
AT1G01610,LOC_Os01g45940,,,gene:HORVU.MOREX.r3.3HG0221850
AT1G01620,LOC_Os01g47800,,,gene:HORVU.MOREX.r3.3HG0226580
AT1G01650,LOC_Os01g48070,,,gene:HORVU.MOREX.r3.3HG0228250
AT1G01660,LOC_Os01g51780,,,gene:HORVU.MOREX.r3.3HG0228330
AT1G01670,LOC_Os01g54210,,,gene:HORVU.MOREX.r3.3HG0254940
AT1G01680,LOC_Os01g54300,,,gene:HORVU.MOREX.r3.3HG0301110
AT1G01690,LOC_Os01g54570,,,gene:HORVU.MOREX.r3.3HG0303550
AT1G01740,LOC_Os01g54610,,,gene:HORVU.MOREX.r3.3HG0309130
AT1G01970,LOC_Os01g54620,,,gene:HORVU.MOREX.r3.3HG0314780
AT1G02020,LOC_Os01g54630,,,gene:HORVU.MOREX.r3.3HG0315570
AT1G02205,LOC_Os01g54640,,,gene:HORVU.MOREX.r3.3HG0329080
AT1G02330,LOC_Os01g54650,,,gene:HORVU.MOREX.r3.4HG0332260
AT1G02700,LOC_Os01g54660,,,gene:HORVU.MOREX.r3.4HG0332290
AT1G02730,LOC_Os01g54670,,,gene:HORVU.MOREX.r3.4HG0335810
AT1G03220,LOC_Os01g54680,,,gene:HORVU.MOREX.r3.4HG0335900
AT1G03230,LOC_Os01g54690,,,gene:HORVU.MOREX.r3.4HG0336830
AT1G03240,LOC_Os01g54700,,,gene:HORVU.MOREX.r3.4HG0336870
AT1G03260,LOC_Os01g54714,,,gene:HORVU.MOREX.r3.4HG0339730
AT1G03270,LOC_Os01g54760,,,gene:HORVU.MOREX.r3.4HG0343420
AT1G03290,LOC_Os01g54770,,,gene:HORVU.MOREX.r3.4HG0343660
AT1G03340,LOC_Os01g54784,,,gene:HORVU.MOREX.r3.4HG0349470
AT1G03350,LOC_Os01g54800,,,gene:HORVU.MOREX.r3.4HG0396060
AT1G03365,LOC_Os01g54810,,,gene:HORVU.MOREX.r3.4HG0405920
AT1G03370,LOC_Os01g54820,,,gene:HORVU.MOREX.r3.4HG0413970
AT1G03380,LOC_Os01g54830,,,gene:HORVU.MOREX.r3.4HG0414080
AT1G03410,LOC_Os01g54850,,,gene:HORVU.MOREX.r3.4HG0415290
AT1G03430,LOC_Os01g54860,,,gene:HORVU.MOREX.r3.5HG0424290
AT1G03445,LOC_Os01g55050,,,gene:HORVU.MOREX.r3.5HG0425940
AT1G03790,LOC_Os01g55070,,,gene:HORVU.MOREX.r3.5HG0426160
AT1G03830,LOC_Os01g55094,,,gene:HORVU.MOREX.r3.5HG0432540
AT1G03850,LOC_Os01g55100,,,gene:HORVU.MOREX.r3.5HG0484150
AT1G03860,LOC_Os01g55120,,,gene:HORVU.MOREX.r3.5HG0496850
AT1G03870,LOC_Os01g55130,,,gene:HORVU.MOREX.r3.5HG0502310
AT1G03880,LOC_Os01g55220,,,gene:HORVU.MOREX.r3.5HG0507330
AT1G03920,LOC_Os01g55260,,,gene:HORVU.MOREX.r3.5HG0509740
AT1G03982,LOC_Os01g58810,,,gene:HORVU.MOREX.r3.5HG0526140
AT1G04000,LOC_Os01g59530,,,gene:HORVU.MOREX.r3.5HG0528020
AT1G04040,LOC_Os01g59550,,,gene:HORVU.MOREX.r3.5HG0528290
AT1G04070,LOC_Os01g64750,,,gene:HORVU.MOREX.r3.5HG0528360
AT1G04080,LOC_Os01g70280,,,gene:HORVU.MOREX.r3.6HG0539150
AT1G04090,LOC_Os01g70940,,,gene:HORVU.MOREX.r3.6HG0544350
AT1G04120,LOC_Os01g71490,,,gene:HORVU.MOREX.r3.6HG0548380
AT1G04130,LOC_Os01g74240,,,gene:HORVU.MOREX.r3.6HG0553450
AT1G04320,LOC_Os01g74250,,,gene:HORVU.MOREX.r3.6HG0553930
AT1G04330,LOC_Os01g74310,,,gene:HORVU.MOREX.r3.6HG0560150
AT1G04360,LOC_Os02g02590,,,gene:HORVU.MOREX.r3.6HG0606110
AT1G04370,LOC_Os02g03050,,,gene:HORVU.MOREX.r3.6HG0621670
AT1G04400,LOC_Os02g03370,,,gene:HORVU.MOREX.r3.6HG0623790
AT1G04425,LOC_Os02g03380,,,gene:HORVU.MOREX.r3.6HG0629220
AT1G04620,LOC_Os02g05630,,,gene:HORVU.MOREX.r3.7HG0635090
AT1G04770,LOC_Os02g08330,,,gene:HORVU.MOREX.r3.7HG0648650
AT1G05010,LOC_Os02g09580,,,gene:HORVU.MOREX.r3.7HG0650180
AT1G05020,LOC_Os02g10340,,,gene:HORVU.MOREX.r3.7HG0650760
AT1G05380,LOC_Os02g10470,,,gene:HORVU.MOREX.r3.7HG0653820
AT1G05410,LOC_Os02g10760,,,gene:HORVU.MOREX.r3.7HG0686000
AT1G05470,LOC_Os02g10790,,,gene:HORVU.MOREX.r3.7HG0700690
AT1G05490,LOC_Os02g15178,,,gene:HORVU.MOREX.r3.7HG0737590
AT1G05550,LOC_Os02g16809,,,gene:HORVU.MOREX.r3.7HG0740540
AT1G05570,LOC_Os02g16830,,,gene:HORVU.MOREX.r3.7HG0744010
AT1G05910,LOC_Os02g16930,,,gene:HORVU.MOREX.r3.7HG0745500
AT1G06000,LOC_Os02g18690,,,gene:HORVU.MOREX.r3.7HG0745580
AT1G06090,LOC_Os02g19670,,,gene:HORVU.MOREX.r3.7HG0745600
AT1G06148,LOC_Os02g19820,,,
AT1G06180,LOC_Os02g20090,,,
AT1G06490,LOC_Os02g20660,,,
AT1G06880,LOC_Os02g22210,,,
AT1G07380,LOC_Os02g22370,,,
AT1G07650,LOC_Os02g22380,,,
AT1G07700,LOC_Os02g22390,,,
AT1G07810,LOC_Os02g22800,,,
AT1G08440,LOC_Os02g23822,,,
AT1G09210,LOC_Os02g23829,,,
AT1G09730,LOC_Os02g23880,,,
AT1G10170,LOC_Os02g23930,,,
AT1G10210,LOC_Os02g23960,,,
AT1G10240,LOC_Os02g24070,,,
AT1G10360,LOC_Os02g24080,,,
AT1G10480,LOC_Os02g24290,,,
AT1G10490,LOC_Os02g24300,,,
AT1G10586,LOC_Os02g24420,,,
AT1G10690,LOC_Os02g25190,,,
AT1G11040,LOC_Os02g25650,,,
AT1G11580,LOC_Os02g25870,,,
AT1G11590,LOC_Os02g26070,,,
AT1G12620,LOC_Os02g26100,,,
AT1G12640,LOC_Os02g26130,,,
AT1G12710,LOC_Os02g26280,,,
AT1G14100,LOC_Os02g26294,,,
AT1G14630,LOC_Os02g26480,,,
AT1G14688,LOC_Os02g26540,,,
AT1G14690,LOC_Os02g26600,,,
AT1G14880,LOC_Os02g26614,,,
AT1G14910,LOC_Os02g26670,,,
AT1G16130,LOC_Os02g27050,,,
AT1G16530,LOC_Os02g27090,,,
AT1G16630,LOC_Os02g27110,,,
AT1G16635,LOC_Os02g27130,,,
AT1G16670,LOC_Os02g27180,,,
AT1G16720,LOC_Os02g27350,,,
AT1G16858,LOC_Os02g28570,,,
AT1G17110,LOC_Os02g29350,,,
AT1G17140,LOC_Os02g29410,,,
AT1G17200,LOC_Os02g29464,,,
AT1G17210,LOC_Os02g29500,,,
AT1G17220,LOC_Os02g29520,,,
AT1G17340,LOC_Os02g30250,,,
AT1G17940,LOC_Os02g33110,,,
AT1G18330,LOC_Os02g34960,,,
AT1G18560,LOC_Os02g35160,,,
AT1G20090,LOC_Os02g35470,,,
AT1G20150,LOC_Os02g36960,,,
AT1G20530,LOC_Os02g37030,,,
AT1G20550,LOC_Os02g37120,,,
AT1G20690,LOC_Os02g37140,,,
AT1G20820,LOC_Os02g37180,,,
AT1G21230,LOC_Os02g37200,,,
AT1G21320,LOC_Os02g37350,,,
AT1G21750,LOC_Os02g37460,,,
AT1G22070,LOC_Os02g42620,,,
AT1G22140,LOC_Os02g45150,,,
AT1G22220,LOC_Os02g45160,,,
AT1G22980,LOC_Os02g45170,,,
AT1G23310,LOC_Os02g45200,,,
AT1G23330,LOC_Os02g45250,,,
AT1G23490,LOC_Os02g45320,,,
AT1G23590,LOC_Os02g45330,,,
AT1G24070,LOC_Os02g45344,,,
AT1G24090,LOC_Os02g45400,,,
AT1G24095,LOC_Os02g45420,,,
AT1G24120,LOC_Os02g45440,,,
AT1G24130,LOC_Os02g45450,,,
AT1G24220,LOC_Os02g45490,,,
AT1G24265,LOC_Os02g45650,,,
AT1G24300,LOC_Os02g45670,,,
AT1G24320,LOC_Os02g45980,,,
AT1G24420,LOC_Os02g45990,,,
AT1G24460,LOC_Os02g46050,,,
AT1G24490,LOC_Os02g46060,,,
AT1G24520,LOC_Os02g46790,,,
AT1G24530,LOC_Os02g49770,,,
AT1G24575,LOC_Os02g55060,,,
AT1G24650,LOC_Os02g56300,,,
AT1G24706,LOC_Os02g58554,,,
AT1G25250,LOC_Os02g58560,,,
AT1G25260,LOC_Os02g58570,,,
AT1G25270,LOC_Os02g58580,,,
AT1G25280,LOC_Os02g58600,,,
AT1G25300,LOC_Os03g01610,,,
AT1G25350,LOC_Os03g03970,,,
AT1G25420,LOC_Os03g04250,,,
AT1G25425,LOC_Os03g09210,,,
AT1G25440,LOC_Os03g12780,,,
AT1G25500,LOC_Os03g14780,,,
AT1G25520,LOC_Os03g15140,,,
AT1G25540,LOC_Os03g15160,,,
AT1G26250,LOC_Os03g15190,,,
AT1G26340,LOC_Os03g15200,,,
AT1G27310,LOC_Os03g15210,,,
AT1G28040,LOC_Os03g15220,,,
AT1G28500,LOC_Os03g15230,,,
AT1G28685,LOC_Os03g15240,,,
AT1G30040,LOC_Os03g15250,,,
AT1G30170,LOC_Os03g15260,,,
AT1G30250,LOC_Os03g15270,,,
AT1G30330,LOC_Os03g15280,,,
AT1G30640,LOC_Os03g15300,,,
AT1G30814,LOC_Os03g15310,,,
AT1G31120,LOC_Os03g15320,,,
AT1G31540,LOC_Os03g15340,,,
AT1G32170,LOC_Os03g15350,,,
AT1G32230,LOC_Os03g15370,,,
AT1G32670,LOC_Os03g15380,,,
AT1G32700,LOC_Os03g15390,,,
AT1G32750,LOC_Os03g15430,,,
AT1G32780,LOC_Os03g15530,,,
AT1G32900,LOC_Os03g15570,,,
AT1G32940,LOC_Os03g15860,,,
AT1G32950,LOC_Os03g15890,,,
AT1G32960,LOC_Os03g16030,,,
AT1G32970,LOC_Os03g16050,,,
AT1G32975,LOC_Os03g16290,,,
AT1G32980,LOC_Os03g16430,,,
AT1G33010,LOC_Os03g16580,,,
AT1G33020,LOC_Os03g16850,,,
AT1G33055,LOC_Os03g16860,,,
AT1G33060,LOC_Os03g16880,,,
AT1G33080,LOC_Os03g16890,,,
AT1G33400,LOC_Os03g16910,,,
AT1G33415,LOC_Os03g17380,,,
AT1G34245,LOC_Os03g17550,,,
AT1G34390,LOC_Os03g18020,,,
AT1G34400,LOC_Os03g19920,,,
AT1G34410,LOC_Os03g22300,,,
AT1G34419,LOC_Os03g22850,,,
AT1G34440,LOC_Os03g25314,,,
AT1G34510,LOC_Os03g27950,,,
AT1G34580,LOC_Os03g29370,,,
AT1G34844,LOC_Os03g29410,,,
AT1G35030,LOC_Os03g29420,,,
AT1G35040,LOC_Os03g29430,,,
AT1G35290,LOC_Os03g29440,,,
AT1G35375,LOC_Os03g29460,,,
AT1G35400,LOC_Os03g29470,,,
AT1G35530,LOC_Os03g29490,,,
AT1G35630,LOC_Os03g29510,,,
AT1G35780,LOC_Os03g29520,,,
AT1G35820,LOC_Os03g29540,,,
AT1G35880,LOC_Os03g29550,,,
AT1G35900,LOC_Os03g29560,,,
AT1G35910,LOC_Os03g29570,,,
AT1G36050,LOC_Os03g29584,,,
AT1G36150,LOC_Os03g29600,,,
AT1G36180,LOC_Os03g29614,,,
AT1G36510,LOC_Os03g29630,,,
AT1G36580,LOC_Os03g29650,,,
AT1G36622,LOC_Os03g29660,,,
AT1G36730,LOC_Os03g29680,,,
AT1G36745,LOC_Os03g29690,,,
AT1G36950,LOC_Os03g29710,,,
AT1G37113,LOC_Os03g29730,,,
AT1G40083,LOC_Os03g29740,,,
AT1G40104,LOC_Os03g29750,,,
AT1G41820,LOC_Os03g31134,,,
AT1G41830,LOC_Os03g31550,,,
AT1G41875,LOC_Os03g32400,,,
AT1G41880,LOC_Os03g32410,,,
AT1G41920,LOC_Os03g32499,,,
AT1G42080,LOC_Os03g33450,,,
AT1G42190,LOC_Os03g36150,,,
AT1G42430,LOC_Os03g37080,,,
AT1G42470,LOC_Os03g37790,,,
AT1G42480,LOC_Os03g37830,,,
AT1G42525,LOC_Os03g39620,,,
AT1G42550,LOC_Os03g39730,,,
AT1G42560,LOC_Os03g44530,,,
AT1G42680,LOC_Os03g45070,,,
AT1G42699,LOC_Os03g46100,,,
AT1G42700,LOC_Os03g46290,,,
AT1G42710,LOC_Os03g46780,,,
AT1G42960,LOC_Os03g49900,,,
AT1G43000,LOC_Os03g53130,,,
AT1G43040,LOC_Os03g56782,,,
AT1G43080,LOC_Os03g56970,,,
AT1G43145,LOC_Os03g57210,,,
AT1G43260,LOC_Os03g57260,,,
AT1G43310,LOC_Os03g57290,,,
AT1G43560,LOC_Os03g57380,,,
AT1G43600,LOC_Os03g57780,,,
AT1G43720,LOC_Os03g58170,,,
AT1G43730,LOC_Os03g58840,,,
AT1G43760,LOC_Os03g58850,,,
AT1G43770,LOC_Os03g58910,,,
AT1G43800,LOC_Os03g59780,,,
AT1G43890,LOC_Os03g61870,,,
AT1G43900,LOC_Os03g62060,,,
AT1G44080,LOC_Os03g62340,,,
AT1G44170,LOC_Os03g64219,,,
AT1G44542,LOC_Os04g02180,,,
AT1G44575,LOC_Os04g02340,,,
AT1G44790,LOC_Os04g04150,,,
AT1G44800,LOC_Os04g04360,,,
AT1G44890,LOC_Os04g04574,,,
AT1G45010,LOC_Os04g05420,,,
AT1G45050,LOC_Os04g05530,,,
AT1G45063,LOC_Os04g07520,,,
AT1G45110,LOC_Os04g08260,,,
AT1G46264,LOC_Os04g13040,,,
AT1G47128,LOC_Os04g14390,,,
AT1G47200,LOC_Os04g14710,,,
AT1G47240,LOC_Os04g16712,,,
AT1G47250,LOC_Os04g17140,,,
AT1G47450,LOC_Os04g17290,,,
AT1G47510,LOC_Os04g20510,,,
AT1G47700,LOC_Os04g20680,,,
AT1G47770,LOC_Os04g21860,,,
AT1G47786,LOC_Os04g21910,,,
AT1G47885,LOC_Os04g23090,,,
AT1G47970,LOC_Os04g23440,,,
AT1G48267,LOC_Os04g31590,,,
AT1G48480,LOC_Os04g35680,,,
AT1G48490,LOC_Os04g39800,,,
AT1G48510,LOC_Os04g44660,,,
AT1G48820,LOC_Os04g47140,,,
AT1G49420,LOC_Os04g47700,,,
AT1G49500,LOC_Os04g51800,,,
AT1G49620,LOC_Os04g53070,,,
AT1G49630,LOC_Os04g54280,,,
AT1G49750,LOC_Os04g55060,,,
AT1G49760,LOC_Os04g55350,,,
AT1G49770,LOC_Os04g55420,,,
AT1G49780,LOC_Os04g55430,,,
AT1G49840,LOC_Os04g55490,,,
AT1G49850,LOC_Os04g55910,,,
AT1G49860,LOC_Os04g55920,,,
AT1G50190,LOC_Os04g55940,,,
AT1G50220,LOC_Os04g55950,,,
AT1G50360,LOC_Os04g55960,,,
AT1G50380,LOC_Os04g56050,,,
AT1G50580,LOC_Os04g56150,,,
AT1G50603,LOC_Os04g56160,,,
AT1G50630,LOC_Os04g56230,,,
AT1G50840,LOC_Os04g56440,,,
AT1G51070,LOC_Os04g58100,,,
AT1G51190,LOC_Os04g58564,,,
AT1G51320,LOC_Os04g58720,,,
AT1G52040,LOC_Os04g58780,,,
AT1G52260,LOC_Os05g03210,,,
AT1G52300,LOC_Os05g03240,,,
AT1G52325,LOC_Os05g03440,,,
AT1G52615,LOC_Os05g06980,,,
AT1G52618,LOC_Os05g06990,,,
AT1G52630,LOC_Os05g07030,,,
AT1G52695,LOC_Os05g07040,,,
AT1G53200,LOC_Os05g07380,,,
AT1G53580,LOC_Os05g07670,,,
AT1G53670,LOC_Os05g08410,,,
AT1G53680,LOC_Os05g14540,,,
AT1G53690,LOC_Os05g17530,,,
AT1G53700,LOC_Os05g17604,,,
AT1G53708,LOC_Os05g17710,,,
AT1G53720,LOC_Os05g17840,,,
AT1G53930,LOC_Os05g19370,,,
AT1G54120,LOC_Os05g19630,,,
AT1G54560,LOC_Os05g20910,,,
AT1G54610,LOC_Os05g23050,,,
AT1G54710,LOC_Os05g24460,,,
AT1G55070,LOC_Os05g26070,,,
AT1G55120,LOC_Os05g31254,,,
AT1G55280,LOC_Os05g31690,,,
AT1G55290,LOC_Os05g34570,,,
AT1G55310,LOC_Os05g34590,,,
AT1G55320,LOC_Os05g36950,,,
AT1G55325,LOC_Os05g37790,,,
AT1G55420,LOC_Os05g43000,,,
AT1G55440,LOC_Os05g44020,,,
AT1G55450,LOC_Os05g44350,,,
AT1G55560,LOC_Os05g46010,,,
AT1G55840,LOC_Os05g47960,,,
AT1G56020,LOC_Os05g51200,,,
AT1G56450,LOC_Os05g51430,,,
AT1G57750,LOC_Os05g51760,,,
AT1G57770,LOC_Os05g51790,,,
AT1G57777,LOC_Os06g03320,,,
AT1G57790,LOC_Os06g03600,,,
AT1G57800,LOC_Os06g03970,,,
AT1G57943,LOC_Os06g10580,,,
AT1G57990,LOC_Os06g12680,,,
AT1G59640,LOC_Os06g12740,,,
AT1G59780,LOC_Os06g12760,,,
AT1G59890,LOC_Os06g13130,,,
AT1G60670,LOC_Os06g13230,,,
AT1G61180,LOC_Os06g13250,,,
AT1G61250,LOC_Os06g16810,,,
AT1G61260,LOC_Os06g17670,,,
AT1G61270,LOC_Os06g17680,,,
AT1G61275,LOC_Os06g17700,,,
AT1G61290,LOC_Os06g17710,,,
AT1G61320,LOC_Os06g17730,,,
AT1G61550,LOC_Os06g17740,,,
AT1G61920,LOC_Os06g17750,,,
AT1G62130,LOC_Os06g17760,,,
AT1G62150,LOC_Os06g20550,,,
AT1G62305,LOC_Os06g21560,,,
AT1G62320,LOC_Os06g22590,,,
AT1G62350,LOC_Os06g22600,,,
AT1G62360,LOC_Os06g22610,,,
AT1G62370,LOC_Os06g22620,,,
AT1G62380,LOC_Os06g22630,,,
AT1G62400,LOC_Os06g22640,,,
AT1G62410,LOC_Os06g22650,,,
AT1G62540,LOC_Os06g22654,,,
AT1G62920,LOC_Os06g22660,,,
AT1G62935,LOC_Os06g22670,,,
AT1G62960,LOC_Os06g22680,,,
AT1G63300,LOC_Os06g22690,,,
AT1G63310,LOC_Os06g22700,,,
AT1G63860,LOC_Os06g22710,,,
AT1G63990,LOC_Os06g22730,,,
AT1G64000,LOC_Os06g22740,,,
AT1G64040,LOC_Os06g22750,,,
AT1G64050,LOC_Os06g22760,,,
AT1G64060,LOC_Os06g22770,,,
AT1G64065,LOC_Os06g22790,,,
AT1G64070,LOC_Os06g22800,,,
AT1G64080,LOC_Os06g22810,,,
AT1G64090,LOC_Os06g22820,,,
AT1G64120,LOC_Os06g22829,,,
AT1G64140,LOC_Os06g22840,,,
AT1G64150,LOC_Os06g22850,,,
AT1G64320,LOC_Os06g22860,,,
AT1G64420,LOC_Os06g22870,,,
AT1G64610,LOC_Os06g22880,,,
AT1G64930,LOC_Os06g22890,,,
AT1G65280,LOC_Os06g22900,,,
AT1G65490,LOC_Os06g22919,,,
AT1G66245,LOC_Os06g22940,,,
AT1G66980,LOC_Os06g22950,,,
AT1G67120,LOC_Os06g22960,,,
AT1G67780,LOC_Os06g22970,,,
AT1G67850,LOC_Os06g22980,,,
AT1G67860,LOC_Os06g23010,,,
AT1G67880,LOC_Os06g23020,,,
AT1G67890,LOC_Os06g23030,,,
AT1G67910,LOC_Os06g23040,,,
AT1G67950,LOC_Os06g23050,,,
AT1G67960,LOC_Os06g23060,,,
AT1G68400,LOC_Os06g23070,,,
AT1G69570,LOC_Os06g23080,,,
AT1G69795,LOC_Os06g23090,,,
AT1G69860,LOC_Os06g23100,,,
AT1G70410,LOC_Os06g23114,,,
AT1G70420,LOC_Os06g23130,,,
AT1G70480,LOC_Os06g23140,,,
AT1G70490,LOC_Os06g23150,,,
AT1G70500,LOC_Os06g23160,,,
AT1G70505,LOC_Os06g23170,,,
AT1G72220,LOC_Os06g23180,,,
AT1G72630,LOC_Os06g23190,,,
AT1G73030,LOC_Os06g23200,,,
AT1G73580,LOC_Os06g23210,,,
AT1G76120,LOC_Os06g23220,,,
AT1G76130,LOC_Os06g23230,,,
AT1G76135,LOC_Os06g23240,,,
AT1G76500,LOC_Os06g23250,,,
AT1G76920,LOC_Os06g23260,,,
AT1G77130,LOC_Os06g23274,,,
AT1G77140,LOC_Os06g23290,,,
AT1G77150,LOC_Os06g23300,,,
AT1G77450,LOC_Os06g23320,,,
AT1G77460,LOC_Os06g23330,,,
AT1G77470,LOC_Os06g23340,,,
AT1G77490,LOC_Os06g23360,,,
AT1G77740,LOC_Os06g23370,,,
AT1G77746,LOC_Os06g23380,,,
AT1G77850,LOC_Os06g23390,,,
AT1G78080,LOC_Os06g23400,,,
AT1G78172,LOC_Os06g23410,,,
AT1G78230,LOC_Os06g23420,,,
AT1G78265,LOC_Os06g23430,,,
AT1G78570,LOC_Os06g23440,,,
AT1G78580,LOC_Os06g23450,,,
AT1G78620,LOC_Os06g23460,,,
AT1G78640,LOC_Os06g23470,,,
AT1G78850,LOC_Os06g23480,,,
AT1G78860,LOC_Os06g23504,,,
AT1G78880,LOC_Os06g23530,,,
AT1G78890,LOC_Os06g23540,,,
AT1G78920,LOC_Os06g23560,,,
AT1G78950,LOC_Os06g23570,,,
AT1G78955,LOC_Os06g23580,,,
AT1G78960,LOC_Os06g23590,,,
AT1G78990,LOC_Os06g23600,,,
AT1G79000,LOC_Os06g23610,,,
AT1G79040,LOC_Os06g23620,,,
AT1G79050,LOC_Os06g23630,,,
AT1G79120,LOC_Os06g23640,,,
AT1G79170,LOC_Os06g23650,,,
AT1G79180,LOC_Os06g23660,,,
AT1G79190,LOC_Os06g23670,,,
AT1G79230,LOC_Os06g23790,,,
AT1G79240,LOC_Os06g23800,,,
AT1G79320,LOC_Os06g23810,,,
AT1G79330,LOC_Os06g24060,,,
AT1G79340,LOC_Os06g24310,,,
AT1G79390,LOC_Os06g24560,,,
AT1G79420,LOC_Os06g24594,,,
AT1G79430,LOC_Os06g24620,,,
AT1G79460,LOC_Os06g25170,,,
AT1G79529,LOC_Os06g25250,,,
AT1G79530,LOC_Os06g25500,,,
AT1G79540,LOC_Os06g25630,,,
AT1G79550,LOC_Os06g25660,,,
AT1G79560,LOC_Os06g25720,,,
AT1G79570,LOC_Os06g25730,,,
AT1G79820,LOC_Os06g26234,,,
AT1G79950,LOC_Os06g27340,,,
AT1G80050,LOC_Os06g27360,,,
AT1G80080,LOC_Os06g27390,,,
AT1G80460,LOC_Os06g27630,,,
AT1G80730,LOC_Os06g27700,,,
AT2G01050,LOC_Os06g27710,,,
AT2G01080,LOC_Os06g28040,,,
AT2G01430,LOC_Os06g28060,,,
AT2G01440,LOC_Os06g28570,,,
AT2G01735,LOC_Os06g29080,,,
AT2G01790,LOC_Os06g29110,,,
AT2G02050,LOC_Os06g29220,,,
AT2G02070,LOC_Os06g29420,,,
AT2G02080,LOC_Os06g29830,,,
AT2G02170,LOC_Os06g30090,,,
AT2G02220,LOC_Os06g30160,,,
AT2G02370,LOC_Os06g30179,,,
AT2G02380,LOC_Os06g30230,,,
AT2G02450,LOC_Os06g30240,,,
AT2G02770,LOC_Os06g30250,,,
AT2G02790,LOC_Os06g30260,,,
AT2G02955,LOC_Os06g30270,,,
AT2G03430,LOC_Os06g30280,,,
AT2G03570,LOC_Os06g30290,,,
AT2G03840,LOC_Os06g30300,,,
AT2G03890,LOC_Os06g31280,,,
AT2G03932,LOC_Os06g31290,,,
AT2G03936,LOC_Os06g31300,,,
AT2G03955,LOC_Os06g31310,,,
AT2G04030,LOC_Os06g31320,,,
AT2G04100,LOC_Os06g31350,,,
AT2G04780,LOC_Os06g31390,,,
AT2G04940,LOC_Os06g31400,,,
AT2G05060,LOC_Os06g31410,,,
AT2G05100,LOC_Os06g31420,,,
AT2G05160,LOC_Os06g31430,,,
AT2G05330,LOC_Os06g31440,,,
AT2G05335,LOC_Os06g31450,,,
AT2G05350,LOC_Os06g31460,,,
AT2G05360,LOC_Os06g31480,,,
AT2G05370,LOC_Os06g32790,,,
AT2G05400,LOC_Os06g36480,,,
AT2G05420,LOC_Os06g36690,,,
AT2G05430,LOC_Os06g36700,,,
AT2G05440,LOC_Os06g37520,,,
AT2G05530,LOC_Os06g38920,,,
AT2G05540,LOC_Os06g38930,,,
AT2G05580,LOC_Os06g38980,,,
AT2G05645,LOC_Os06g38990,,,
AT2G05710,LOC_Os06g39030,,,
AT2G05752,LOC_Os06g39040,,,
AT2G05760,LOC_Os06g39060,,,
AT2G05765,LOC_Os06g39070,,,
