Arabidopsis_gene,Rice_gene,Maize_gene,Sorghum_gene,Barley_gene
AT1G19371,LOC_Os02g25300,,,
AT1G19390,LOC_Os02g25310,,,
AT1G19396,LOC_Os02g25330,,,
AT1G19410,LOC_Os02g25340,,,
AT1G19430,LOC_Os02g25350,,,
AT1G19460,LOC_Os02g25360,,,
AT1G19620,LOC_Os02g25370,,,
AT1G19640,LOC_Os02g25380,,,
AT1G19670,LOC_Os02g25390,,,
AT1G19700,LOC_Os02g25400,,,
AT1G19800,LOC_Os02g25410,,,
AT1G19835,LOC_Os02g25430,,,
AT1G19840,LOC_Os02g25440,,,
AT1G19850,LOC_Os02g25449,,,
AT1G19950,LOC_Os02g25460,,,
AT1G20010,LOC_Os02g25470,,,
AT1G20015,LOC_Os02g25480,,,
AT1G20020,LOC_Os02g25490,,,
AT1G20050,LOC_Os02g25500,,,
AT1G20065,LOC_Os02g25510,,,
AT1G20080,LOC_Os02g25520,,,
AT1G20090,LOC_Os02g25530,,,
AT1G20100,LOC_Os02g25540,,,
AT1G20150,LOC_Os02g25550,,,
AT1G20200,LOC_Os02g25560,,,
AT1G20240,LOC_Os02g25580,,,
AT1G20260,LOC_Os02g25600,,,
AT1G20270,LOC_Os02g25620,,,
AT1G20280,LOC_Os02g25624,,,
AT1G20290,LOC_Os02g25630,,,
AT1G20300,LOC_Os02g25640,,,
AT1G20320,LOC_Os02g25650,,,
AT1G20330,LOC_Os02g25670,,,
AT1G20380,LOC_Os02g25680,,,
AT1G20400,LOC_Os02g25690,,,
AT1G20450,LOC_Os02g25700,,,
AT1G20490,LOC_Os02g25720,,,
AT1G20530,LOC_Os02g25730,,,
AT1G20550,LOC_Os02g25740,,,
AT1G20580,LOC_Os02g25750,,,
AT1G20590,LOC_Os02g25755,,,
AT1G20600,LOC_Os02g25760,,,
AT1G20620,LOC_Os02g25770,,,
AT1G20630,LOC_Os02g25780,,,
AT1G20640,LOC_Os02g25790,,,
AT1G20650,LOC_Os02g25800,,,
AT1G20670,LOC_Os02g25810,,,
AT1G20680,LOC_Os02g25820,,,
AT1G20690,LOC_Os02g25830,,,
AT1G20760,LOC_Os02g25840,,,
AT1G20800,LOC_Os02g25870,,,
AT1G20820,LOC_Os02g25880,,,
AT1G20823,LOC_Os02g25890,,,
AT1G20850,LOC_Os02g25900,,,
AT1G20870,LOC_Os02g25910,,,
AT1G20920,LOC_Os02g25940,,,
AT1G20925,LOC_Os02g25950,,,
AT1G20950,LOC_Os02g25960,,,
AT1G20970,LOC_Os02g25970,,,
AT1G20980,LOC_Os02g25990,,,
AT1G21000,LOC_Os02g26014,,,
AT1G21080,LOC_Os02g26040,,,
AT1G21110,LOC_Os02g26050,,,
AT1G21120,LOC_Os02g26060,,,
AT1G21230,LOC_Os02g26070,,,
AT1G21250,LOC_Os02g26080,,,
AT1G21310,LOC_Os02g26100,,,
AT1G21320,LOC_Os02g26110,,,
AT1G21326,LOC_Os02g26120,,,
AT1G21390,LOC_Os02g26130,,,
AT1G21450,LOC_Os02g26140,,,
AT1G21560,LOC_Os02g26150,,,
AT1G21610,LOC_Os02g26160,,,
AT1G21640,LOC_Os02g26180,,,
AT1G21650,LOC_Os02g26190,,,
AT1G21750,LOC_Os02g26200,,,
AT1G21835,LOC_Os02g26210,,,
AT1G21900,LOC_Os02g26220,,,
AT1G21910,LOC_Os02g26230,,,
AT1G21920,LOC_Os02g26240,,,
AT1G21925,LOC_Os02g26250,,,
AT1G21930,LOC_Os02g26260,,,
AT1G21940,LOC_Os02g26270,,,
AT1G21970,LOC_Os02g26280,,,
AT1G21980,LOC_Os02g26290,,,
AT1G22010,LOC_Os02g26294,,,
AT1G22015,LOC_Os02g26300,,,
AT1G22030,LOC_Os02g26310,,,
AT1G22040,LOC_Os02g26320,,,
AT1G22065,LOC_Os02g26330,,,
AT1G22067,LOC_Os02g26349,,,
AT1G22070,LOC_Os02g26370,,,
AT1G22120,LOC_Os02g26380,,,
AT1G22130,LOC_Os02g26400,,,
AT1G22140,LOC_Os02g26404,,,
AT1G22220,LOC_Os02g26420,,,
AT1G22340,LOC_Os02g26430,,,
AT1G22470,LOC_Os02g26440,,,
AT1G22490,LOC_Os02g26470,,,
AT1G22530,LOC_Os02g26480,,,
AT1G22570,LOC_Os02g26490,,,
AT1G22640,LOC_Os02g26500,,,
AT1G22720,LOC_Os02g26510,,,
AT1G22880,LOC_Os02g26530,,,
AT1G22980,LOC_Os02g26540,,,
AT1G22990,LOC_Os02g26550,,,
AT1G23010,LOC_Os02g26560,,,
AT1G23020,LOC_Os02g26570,,,
AT1G23030,LOC_Os02g26600,,,
AT1G23037,LOC_Os02g26614,,,
AT1G23110,LOC_Os02g26630,,,
AT1G23200,LOC_Os02g26640,,,
AT1G23210,LOC_Os02g26650,,,
AT1G23250,LOC_Os02g26660,,,
AT1G23260,LOC_Os02g26670,,,
AT1G23310,LOC_Os02g26680,,,
AT1G23330,LOC_Os02g26690,,,
AT1G23380,LOC_Os02g26700,,,
AT1G23410,LOC_Os02g26710,,,
AT1G23420,LOC_Os02g26750,,,
AT1G23490,LOC_Os02g26760,,,
AT1G23520,LOC_Os02g26770,,,
AT1G23540,LOC_Os02g26780,,,
AT1G23560,LOC_Os02g26800,,,
AT1G23570,LOC_Os02g26810,,,
AT1G23580,LOC_Os02g26820,,,
AT1G23590,LOC_Os02g26830,,,
AT1G23710,LOC_Os02g26840,,,
AT1G23720,LOC_Os02g26850,,,
AT1G23724,LOC_Os02g26860,,,
AT1G23750,LOC_Os02g26870,,,
AT1G23760,LOC_Os02g26880,,,
AT1G23770,LOC_Os02g26890,,,
AT1G23910,LOC_Os02g26910,,,
AT1G23935,LOC_Os02g26920,,,
AT1G23950,LOC_Os02g26930,,,
AT1G23960,LOC_Os02g26940,,,
AT1G23965,LOC_Os02g26950,,,
AT1G23980,LOC_Os02g26960,,,
AT1G24000,LOC_Os02g26984,,,
AT1G24010,LOC_Os02g27020,,,
AT1G24020,LOC_Os02g27030,,,
AT1G24068,LOC_Os02g27050,,,
AT1G24070,LOC_Os02g27060,,,
AT1G24080,LOC_Os02g27070,,,
AT1G24090,LOC_Os02g27090,,,
AT1G24095,LOC_Os02g27100,,,
AT1G24110,LOC_Os02g27110,,,
AT1G24120,LOC_Os02g27120,,,
AT1G24130,LOC_Os02g27130,,,
AT1G24140,LOC_Os02g27140,,,
AT1G24147,LOC_Os02g27150,,,
AT1G24170,LOC_Os02g27160,,,
AT1G24180,LOC_Os02g27180,,,
AT1G24190,LOC_Os02g27190,,,
AT1G24200,LOC_Os02g27200,,,
AT1G24220,LOC_Os02g27210,,,
AT1G24260,LOC_Os02g27220,,,
AT1G24265,LOC_Os02g27230,,,
AT1G24267,LOC_Os02g27240,,,
AT1G24300,LOC_Os02g27250,,,
AT1G24320,LOC_Os02g27260,,,
AT1G24330,LOC_Os02g27270,,,
AT1G24388,LOC_Os02g27280,,,
AT1G24390,LOC_Os02g27300,,,
AT1G24400,LOC_Os02g27310,,,
AT1G24405,LOC_Os02g27320,,,
AT1G24420,LOC_Os02g27350,,,
AT1G24430,LOC_Os02g27360,,,
AT1G24450,LOC_Os02g27370,,,
AT1G24460,LOC_Os02g27380,,,
AT1G24470,LOC_Os02g27400,,,
AT1G24490,LOC_Os02g27420,,,
AT1G24510,LOC_Os02g27440,,,
AT1G24520,LOC_Os02g27460,,,
AT1G24530,LOC_Os02g27470,,,
AT1G24560,LOC_Os02g27480,,,
AT1G24575,LOC_Os02g27520,,,
AT1G24620,LOC_Os02g27540,,,
AT1G24625,LOC_Os02g27594,,,
AT1G24650,LOC_Os02g27900,,,
AT1G24706,LOC_Os02g28500,,,
AT1G24764,LOC_Os02g28560,,,
AT1G24909,LOC_Os02g28570,,,
AT1G25240,LOC_Os02g28700,,,
AT1G25250,LOC_Os02g28830,,,
AT1G25260,LOC_Os02g29140,,,
AT1G25270,LOC_Os02g29210,,,
AT1G25280,LOC_Os02g29230,,,
AT1G25290,LOC_Os02g29240,,,
AT1G25300,LOC_Os02g29340,,,
AT1G25320,LOC_Os02g29350,,,
AT1G25340,LOC_Os02g29410,,,
AT1G25350,LOC_Os02g29464,,,
AT1G25380,LOC_Os02g29480,,,
AT1G25400,LOC_Os02g29500,,,
AT1G25410,LOC_Os02g29520,,,
AT1G25420,LOC_Os02g29720,,,
AT1G25422,LOC_Os02g29910,,,
AT1G25425,LOC_Os02g30140,,,
AT1G25440,LOC_Os02g30219,,,
AT1G25450,LOC_Os02g30250,,,
AT1G25460,LOC_Os02g30630,,,
AT1G25500,LOC_Os02g31010,,,
AT1G25520,LOC_Os02g31230,,,
AT1G25540,LOC_Os02g31290,,,
AT1G25550,LOC_Os02g31850,,,
AT1G25570,LOC_Os02g32380,,,
AT1G25682,LOC_Os02g32550,,,
AT1G25988,LOC_Os02g32760,,,
AT1G26090,LOC_Os02g32780,,,
AT1G26110,LOC_Os02g33000,,,
AT1G26120,LOC_Os02g33110,,,
AT1G26160,LOC_Os02g33420,,,
AT1G26170,LOC_Os02g33430,,,
AT1G26190,LOC_Os02g33470,,,
AT1G26240,LOC_Os02g33490,,,
AT1G26250,LOC_Os02g33540,,,
AT1G26290,LOC_Os02g33750,,,
AT1G26310,LOC_Os02g33790,,,
AT1G26320,LOC_Os02g34040,,,
AT1G26330,LOC_Os02g34120,,,
AT1G26340,LOC_Os02g34280,,,
AT1G26370,LOC_Os02g34660,,,
AT1G26380,LOC_Os02g34710,,,
AT1G26390,LOC_Os02g34830,,,
AT1G26400,LOC_Os02g34840,,,
AT1G26410,LOC_Os02g34960,,,
AT1G26430,LOC_Os02g35160,,,
AT1G26440,LOC_Os02g35190,,,
AT1G26470,LOC_Os02g35270,,,
AT1G26490,LOC_Os02g35470,,,
AT1G26540,LOC_Os02g35530,,,
AT1G26620,LOC_Os02g35670,,,
AT1G26680,LOC_Os02g35940,,,
AT1G26690,LOC_Os02g36100,,,
AT1G26700,LOC_Os02g36210,,,
AT1G26720,LOC_Os02g36390,,,
AT1G26730,LOC_Os02g36710,,,
AT1G26760,LOC_Os02g36820,,,
AT1G26761,LOC_Os02g36840,,,
AT1G26762,LOC_Os02g36880,,,
AT1G26773,LOC_Os02g36910,,,
AT1G26798,LOC_Os02g36960,,,
AT1G26840,LOC_Os02g37030,,,
AT1G26930,LOC_Os02g37070,,,
AT1G26945,LOC_Os02g37120,,,
AT1G27110,LOC_Os02g37140,,,
AT1G27120,LOC_Os02g37180,,,
AT1G27210,LOC_Os02g37200,,,
AT1G27240,LOC_Os02g37260,,,
AT1G27270,LOC_Os02g37300,,,
AT1G27280,LOC_Os02g37350,,,
AT1G27300,LOC_Os02g37430,,,
AT1G27310,LOC_Os02g37460,,,
AT1G27330,LOC_Os02g37530,,,
AT1G27410,LOC_Os02g37590,,,
AT1G27430,LOC_Os02g37630,,,
AT1G27435,LOC_Os02g37840,,,
AT1G27440,LOC_Os02g38180,,,
AT1G27500,LOC_Os02g38200,,,
AT1G27510,LOC_Os02g38210,,,
AT1G27530,LOC_Os02g38220,,,
AT1G27540,LOC_Os02g38230,,,
AT1G27550,LOC_Os02g38370,,,
AT1G27565,LOC_Os02g38490,,,
AT1G27570,LOC_Os02g38550,,,
AT1G27580,LOC_Os02g39330,,,
AT1G27590,LOC_Os02g40680,,,
AT1G27595,LOC_Os02g40690,,,
AT1G27600,LOC_Os02g40770,,,
AT1G27660,LOC_Os02g40950,,,
AT1G27760,LOC_Os02g41690,,,
AT1G27770,LOC_Os02g41720,,,
AT1G27870,LOC_Os02g41770,,,
AT1G27880,LOC_Os02g42020,,,
AT1G27940,LOC_Os02g42100,,,
AT1G27980,LOC_Os02g42520,,,
AT1G28000,LOC_Os02g42540,,,
AT1G28020,LOC_Os02g42620,,,
AT1G28040,LOC_Os02g42650,,,
AT1G28060,LOC_Os02g42670,,,
AT1G28090,LOC_Os02g42760,,,
AT1G28120,LOC_Os02g43830,,,
AT1G28135,LOC_Os02g43980,,,
AT1G28150,LOC_Os02g44090,,,
AT1G28160,LOC_Os02g44124,,,
AT1G28170,LOC_Os02g44130,,,
AT1G28180,LOC_Os02g44400,,,
AT1G28230,LOC_Os02g44710,,,
AT1G28240,LOC_Os02g44720,,,
AT1G28270,LOC_Os02g45150,,,
AT1G28280,LOC_Os02g45160,,,
AT1G28290,LOC_Os02g45170,,,
AT1G28304,LOC_Os02g45200,,,
AT1G28306,LOC_Os02g45210,,,
AT1G28307,LOC_Os02g45240,,,
AT1G28310,LOC_Os02g45250,,,
AT1G28320,LOC_Os02g45300,,,
AT1G28327,LOC_Os02g45310,,,
AT1G28335,LOC_Os02g45320,,,
AT1G28340,LOC_Os02g45330,,,
AT1G28420,LOC_Os02g45344,,,
AT1G28500,LOC_Os02g45400,,,
AT1G28580,LOC_Os02g45410,,,
AT1G28685,LOC_Os02g45420,,,
AT1G29010,LOC_Os02g45440,,,
AT1G29025,LOC_Os02g45450,,,
AT1G29030,LOC_Os02g45460,,,
AT1G29050,LOC_Os02g45490,,,
AT1G29060,LOC_Os02g45500,,,
AT1G29070,LOC_Os02g45510,,,
AT1G29071,LOC_Os02g45520,,,
AT1G29080,LOC_Os02g45530,,,
AT1G29090,LOC_Os02g45540,,,
AT1G29100,LOC_Os02g45550,,,
AT1G29110,LOC_Os02g45580,,,
AT1G29120,LOC_Os02g45600,,,
AT1G29150,LOC_Os02g45620,,,
AT1G29160,LOC_Os02g45630,,,
AT1G29170,LOC_Os02g45640,,,
AT1G29220,LOC_Os02g45650,,,
AT1G29290,LOC_Os02g45660,,,
AT1G29340,LOC_Os02g45670,,,
AT1G29370,LOC_Os02g45690,,,
AT1G29390,LOC_Os02g45800,,,
AT1G29400,LOC_Os02g45910,,,
AT1G29510,LOC_Os02g45920,,,
AT1G29560,LOC_Os02g45930,,,
AT1G29640,LOC_Os02g45950,,,
AT1G29700,LOC_Os02g45960,,,
AT1G29750,LOC_Os02g45974,,,
AT1G29790,LOC_Os02g45980,,,
AT1G29830,LOC_Os02g45990,,,
AT1G29850,LOC_Os02g46000,,,
AT1G29900,LOC_Os02g46010,,,
AT1G29950,LOC_Os02g46020,,,
AT1G30016,LOC_Os02g46030,,,
AT1G30040,LOC_Os02g46040,,,
AT1G30050,LOC_Os02g46050,,,
AT1G30060,LOC_Os02g46060,,,
AT1G30090,LOC_Os02g46070,,,
AT1G30100,LOC_Os02g46080,,,
AT1G30120,LOC_Os02g46090,,,
AT1G30130,LOC_Os02g46560,,,
AT1G30140,LOC_Os02g46600,,,
AT1G30170,LOC_Os02g46790,,,
AT1G30190,LOC_Os02g46920,,,
AT1G30220,LOC_Os02g46970,,,
AT1G30250,LOC_Os02g47130,,,
AT1G30270,LOC_Os02g47200,,,
AT1G30280,LOC_Os02g47270,,,
AT1G30330,LOC_Os02g47290,,,
AT1G30350,LOC_Os02g47560,,,
AT1G30360,LOC_Os02g47610,,,
AT1G30400,LOC_Os02g47630,,,
AT1G30440,LOC_Os02g47670,,,
AT1G30470,LOC_Os02g49260,,,
AT1G30490,LOC_Os02g49450,,,
AT1G30500,LOC_Os02g49760,,,
AT1G30510,LOC_Os02g49770,,,
AT1G30515,LOC_Os02g49840,,,
AT1G30570,LOC_Os02g50230,,,
AT1G30620,LOC_Os02g50250,,,
AT1G30630,LOC_Os02g50640,,,
AT1G30640,LOC_Os02g50700,,,
AT1G30650,LOC_Os02g50820,,,
AT1G30660,LOC_Os02g52070,,,
AT1G30670,LOC_Os02g52150,,,
AT1G30700,LOC_Os02g52720,,,
AT1G30720,LOC_Os02g52970,,,
AT1G30730,LOC_Os02g53010,,,
AT1G30780,LOC_Os02g53020,,,
AT1G30814,LOC_Os02g53520,,,
AT1G30820,LOC_Os02g53690,,,
AT1G30825,LOC_Os02g54160,,,
AT1G30845,LOC_Os02g54254,,,
AT1G30860,LOC_Os02g54580,,,
AT1G30930,LOC_Os02g54590,,,
AT1G30950,LOC_Os02g54650,,,
AT1G30960,LOC_Os02g54670,,,
AT1G30970,LOC_Os02g54990,,,
AT1G30972,LOC_Os02g55060,,,
AT1G31000,LOC_Os02g55070,,,
AT1G31020,LOC_Os02g55320,,,
AT1G31040,LOC_Os02g55600,,,
AT1G31050,LOC_Os02g56300,,,
AT1G31070,LOC_Os02g57710,,,
AT1G31090,LOC_Os02g58554,,,
AT1G31120,LOC_Os02g58560,,,
AT1G31130,LOC_Os02g58570,,,
AT1G31160,LOC_Os02g58580,,,
AT1G31163,LOC_Os02g58600,,,
AT1G31180,LOC_Os02g58690,,,
AT1G31220,LOC_Os02g58700,,,
AT1G31230,LOC_Os03g01610,,,
AT1G31250,LOC_Os03g01990,,,
AT1G31258,LOC_Os03g02500,,,
AT1G31260,LOC_Os03g02720,,,
AT1G31270,LOC_Os03g02762,,,
AT1G31280,LOC_Os03g02820,,,
AT1G31290,LOC_Os03g03034,,,
AT1G31310,LOC_Os03g03060,,,
AT1G31319,LOC_Os03g03200,,,
AT1G31350,LOC_Os03g03320,,,
AT1G31450,LOC_Os03g03330,,,
AT1G31500,LOC_Os03g03370,,,
AT1G31510,LOC_Os03g03720,,,
AT1G31520,LOC_Os03g03800,,,
AT1G31530,LOC_Os03g03970,,,
AT1G31540,LOC_Os03g04250,,,
AT1G31580,LOC_Os03g04490,,,
AT1G31640,LOC_Os03g04890,,,
AT1G31650,LOC_Os03g05020,,,
AT1G31660,LOC_Os03g06290,,,
AT1G31690,LOC_Os03g06705,,,
AT1G31710,LOC_Os03g07110,,,
AT1G31730,LOC_Os03g07450,,,
AT1G31750,LOC_Os03g07480,,,
AT1G31772,LOC_Os03g07490,,,
AT1G31780,LOC_Os03g07500,,,
AT1G31800,LOC_Os03g07510,,,
AT1G31810,LOC_Os03g08220,,,
AT1G31812,LOC_Os03g08310,,,
AT1G31817,LOC_Os03g08960,,,
AT1G31835,LOC_Os03g09140,,,
AT1G31840,LOC_Os03g09210,,,
AT1G31870,LOC_Os03g09280,,,
AT1G31940,LOC_Os03g09970,,,
AT1G31950,LOC_Os03g10030,,,
AT1G32000,LOC_Os03g10150,,,
AT1G32070,LOC_Os03g10190,,,
AT1G32100,LOC_Os03g10510,,,
AT1G32120,LOC_Os03g10530,,,
AT1G32160,LOC_Os03g11400,,,
AT1G32170,LOC_Os03g11614,,,
AT1G32172,LOC_Os03g12290,,,
AT1G32180,LOC_Os03g12470,,,
AT1G32190,LOC_Os03g12730,,,
AT1G32230,LOC_Os03g12780,,,
AT1G32240,LOC_Os03g12790,,,
AT1G32250,LOC_Os03g13630,,,
AT1G32260,LOC_Os03g13710,,,
AT1G32270,LOC_Os03g13970,,,
AT1G32330,LOC_Os03g13984,,,
AT1G32337,LOC_Os03g14170,,,
AT1G32380,LOC_Os03g14180,,,
AT1G32430,LOC_Os03g14205,,,
AT1G32440,LOC_Os03g14780,,,
AT1G32490,LOC_Os03g14820,,,
AT1G32600,LOC_Os03g15070,,,
AT1G32650,LOC_Os03g15130,,,
AT1G32670,LOC_Os03g15140,,,
AT1G32690,LOC_Os03g15160,,,
AT1G32700,LOC_Os03g15170,,,
AT1G32710,LOC_Os03g15190,,,
AT1G32720,LOC_Os03g15200,,,
AT1G32740,LOC_Os03g15210,,,
AT1G32750,LOC_Os03g15220,,,
AT1G32763,LOC_Os03g15230,,,
AT1G32770,LOC_Os03g15240,,,
AT1G32780,LOC_Os03g15250,,,
AT1G32810,LOC_Os03g15260,,,
AT1G32850,LOC_Os03g15270,,,
AT1G32880,LOC_Os03g15280,,,
AT1G32900,LOC_Os03g15300,,,
AT1G32910,LOC_Os03g15310,,,
AT1G32940,LOC_Os03g15320,,,
AT1G32950,LOC_Os03g15340,,,
AT1G32960,LOC_Os03g15350,,,
AT1G32970,LOC_Os03g15370,,,
AT1G32975,LOC_Os03g15380,,,
AT1G32980,LOC_Os03g15390,,,
AT1G33010,LOC_Os03g15400,,,
AT1G33020,LOC_Os03g15410,,,
AT1G33055,LOC_Os03g15430,,,
AT1G33060,LOC_Os03g15440,,,
AT1G33080,LOC_Os03g15530,,,
AT1G33090,LOC_Os03g15570,,,
AT1G33100,LOC_Os03g15700,,,
AT1G33110,LOC_Os03g15720,,,
AT1G33120,LOC_Os03g15730,,,
AT1G33140,LOC_Os03g15760,,,
AT1G33220,LOC_Os03g15810,,,
AT1G33230,LOC_Os03g15830,,,
AT1G33240,LOC_Os03g15850,,,
AT1G33250,LOC_Os03g15860,,,
AT1G33260,LOC_Os03g15890,,,
AT1G33280,LOC_Os03g15990,,,
AT1G33290,LOC_Os03g16030,,,
AT1G33320,LOC_Os03g16050,,,
AT1G33330,LOC_Os03g16060,,,
AT1G33370,LOC_Os03g16070,,,
AT1G33390,LOC_Os03g16120,,,
AT1G33400,LOC_Os03g16290,,,
AT1G33415,LOC_Os03g16430,,,
AT1G33440,LOC_Os03g16580,,,
AT1G33470,LOC_Os03g16650,,,
AT1G33590,LOC_Os03g16700,,,
AT1G33607,LOC_Os03g16709,,,
AT1G33610,LOC_Os03g16790,,,
AT1G33615,LOC_Os03g16850,,,
AT1G33670,LOC_Os03g16860,,,
AT1G33680,LOC_Os03g16880,,,
AT1G33709,LOC_Os03g16890,,,
AT1G33750,LOC_Os03g16910,,,
AT1G33760,LOC_Os03g17180,,,
AT1G33790,LOC_Os03g17250,,,
AT1G33850,LOC_Os03g17260,,,
AT1G33910,LOC_Os03g17380,,,
AT1G33920,LOC_Os03g17410,,,
AT1G33925,LOC_Os03g17550,,,
AT1G33930,LOC_Os03g17634,,,
AT1G33950,LOC_Os03g17710,,,
AT1G34010,LOC_Os03g17820,,,
AT1G34040,LOC_Os03g17850,,,
AT1G34041,LOC_Os03g18020,,,
AT1G34042,LOC_Os03g18030,,,
AT1G34046,LOC_Os03g18130,,,
AT1G34047,LOC_Os03g18290,,,
AT1G34060,LOC_Os03g18540,,,
AT1G34070,LOC_Os03g18740,,,
AT1G34095,LOC_Os03g19120,,,
AT1G34110,LOC_Os03g19580,,,
AT1G34120,LOC_Os03g19760,,,
AT1G34130,LOC_Os03g19920,,,
AT1G34140,LOC_Os03g19980,,,
AT1G34150,LOC_Os03g20090,,,
AT1G34170,LOC_Os03g20100,,,
AT1G34245,LOC_Os03g20300,,,
AT1G34270,LOC_Os03g20310,,,
AT1G34300,LOC_Os03g20570,,,
AT1G34320,LOC_Os03g20910,,,
AT1G34340,LOC_Os03g21279,,,
AT1G34350,LOC_Os03g21450,,,
AT1G34355,LOC_Os03g22050,,,
AT1G34360,LOC_Os03g22210,,,
AT1G34390,LOC_Os03g22300,,,
AT1G34400,LOC_Os03g22320,,,
AT1G34410,LOC_Os03g22350,,,
AT1G34418,LOC_Os03g22480,,,
AT1G34419,LOC_Os03g22634,,,
AT1G34440,LOC_Os03g22730,,,
AT1G34460,LOC_Os03g22800,,,
AT1G34510,LOC_Os03g22850,,,
AT1G34520,LOC_Os03g24060,,,
AT1G34540,LOC_Os03g24210,,,
AT1G34550,LOC_Os03g24220,,,
AT1G34575,LOC_Os03g24450,,,
AT1G34580,LOC_Os03g24460,,,
AT1G34630,LOC_Os03g24650,,,
AT1G34640,LOC_Os03g24990,,,
AT1G34650,LOC_Os03g25150,,,
AT1G34670,LOC_Os03g25314,,,
AT1G34750,LOC_Os03g25400,,,
AT1G34760,LOC_Os03g25430,,,
AT1G34792,LOC_Os03g26980,,,
AT1G34844,LOC_Os03g27420,,,
AT1G35030,LOC_Os03g27430,,,
AT1G35040,LOC_Os03g27550,,,
AT1G35140,LOC_Os03g27950,,,
AT1G35150,LOC_Os03g28330,,,
AT1G35160,LOC_Os03g29290,,,
AT1G35180,LOC_Os03g29370,,,
AT1G35181,LOC_Os03g29410,,,
AT1G35190,LOC_Os03g29420,,,
AT1G35210,LOC_Os03g29430,,,
AT1G35220,LOC_Os03g29440,,,
AT1G35230,LOC_Os03g29460,,,
AT1G35240,LOC_Os03g29470,,,
AT1G35242,LOC_Os03g29490,,,
AT1G35250,LOC_Os03g29510,,,
AT1G35255,LOC_Os03g29520,,,
AT1G35260,LOC_Os03g29540,,,
AT1G35290,LOC_Os03g29550,,,
AT1G35310,LOC_Os03g29560,,,
AT1G35320,LOC_Os03g29570,,,
AT1G35330,LOC_Os03g29584,,,
AT1G35333,LOC_Os03g29600,,,
AT1G35340,LOC_Os03g29614,,,
AT1G35350,LOC_Os03g29630,,,
AT1G35365,LOC_Os03g29650,,,
AT1G35375,LOC_Os03g29660,,,
AT1G35400,LOC_Os03g29680,,,
AT1G35440,LOC_Os03g29690,,,
AT1G35460,LOC_Os03g29710,,,
AT1G35461,LOC_Os03g29730,,,
AT1G35467,LOC_Os03g29740,,,
AT1G35490,LOC_Os03g29750,,,
AT1G35501,LOC_Os03g30270,,,
AT1G35515,LOC_Os03g30500,,,
AT1G35520,LOC_Os03g30550,,,
AT1G35530,LOC_Os03g30580,,,
AT1G35537,LOC_Os03g30740,,,
AT1G35540,LOC_Os03g30750,,,
AT1G35545,LOC_Os03g30910,,,
AT1G35550,LOC_Os03g31000,,,
AT1G35560,LOC_Os03g31134,,,
AT1G35580,LOC_Os03g31150,,,
AT1G35610,LOC_Os03g31500,,,
AT1G35614,LOC_Os03g31550,,,
AT1G35630,LOC_Os03g31560,,,
AT1G35660,LOC_Os03g31630,,,
AT1G35670,LOC_Os03g31634,,,
AT1G35680,LOC_Os03g31660,,,
AT1G35710,LOC_Os03g31670,,,
AT1G35730,LOC_Os03g31690,,,
AT1G35750,LOC_Os03g31770,,,
AT1G35780,LOC_Os03g31790,,,
AT1G35820,LOC_Os03g31839,,,
AT1G35830,LOC_Os03g31880,,,
AT1G35850,LOC_Os03g31930,,,
AT1G35860,LOC_Os03g32010,,,
AT1G35880,LOC_Os03g32070,,,
AT1G35890,LOC_Os03g32119,,,
AT1G35900,LOC_Os03g32180,,,
AT1G35910,LOC_Os03g32190,,,
AT1G36000,LOC_Os03g32200,,,
AT1G36050,LOC_Os03g32350,,,
AT1G36060,LOC_Os03g32370,,,
AT1G36070,LOC_Os03g32400,,,
AT1G36078,LOC_Os03g32410,,,
AT1G36095,LOC_Os03g32420,,,
AT1G36100,LOC_Os03g32499,,,
AT1G36150,LOC_Os03g32749,,,
AT1G36160,LOC_Os03g32980,,,
AT1G36180,LOC_Os03g32990,,,
AT1G36230,LOC_Os03g33450,,,
AT1G36240,LOC_Os03g33700,,,
AT1G36272,LOC_Os03g33837,,,
AT1G36280,LOC_Os03g34129,,,
AT1G36310,LOC_Os03g34140,,,
AT1G36370,LOC_Os03g34190,,,
AT1G36380,LOC_Os03g35560,,,
AT1G36390,LOC_Os03g36110,,,
AT1G36510,LOC_Os03g36150,,,
AT1G36580,LOC_Os03g36160,,,
AT1G36622,LOC_Os03g36279,,,
AT1G36675,LOC_Os03g37080,,,
AT1G36730,LOC_Os03g37130,,,
AT1G36745,LOC_Os03g37210,,,
AT1G36920,LOC_Os03g37430,,,
AT1G36950,LOC_Os03g37790,,,
AT1G36992,LOC_Os03g37810,,,
AT1G37020,LOC_Os03g37820,,,
AT1G37113,LOC_Os03g37830,,,
AT1G37130,LOC_Os03g38150,,,
AT1G37150,LOC_Os03g38170,,,
AT1G37162,LOC_Os03g38540,,,
AT1G38065,LOC_Os03g38830,,,
AT1G38131,LOC_Os03g39160,,,
AT1G38630,LOC_Os03g39284,,,
AT1G38790,LOC_Os03g39490,,,
AT1G38950,LOC_Os03g39620,,,
AT1G40083,LOC_Os03g39730,,,
AT1G40087,LOC_Os03g39740,,,
AT1G40104,LOC_Os03g39850,,,
AT1G40390,LOC_Os03g39860,,,
AT1G41820,LOC_Os03g40290,,,
AT1G41830,LOC_Os03g40310,,,
AT1G41875,LOC_Os03g40470,,,
AT1G41880,LOC_Os03g40790,,,
AT1G41920,LOC_Os03g40970,,,
AT1G42080,LOC_Os03g41180,,,
