,ZM_PC1,ZMPC2,ZM_PC3
SEEDGWAS1104:MRG:4:250067802,-3.621482049,-5.396755917,2.884129888
SEEDGWAS1105:MRG:4:250067803,-0.562753232,-0.693281629,1.042240499
SEEDGWAS1106:MRG:4:250067804,-1.604234844,-4.343378636,1.751355333
SEEDGWAS1107:MRG:4:250067805,-1.144991375,-0.60803375,2.608854351
SEEDGWAS1108:MRG:4:250067806,-0.953133507,0.205113704,2.192118193
SEEDGWAS1109:MRG:4:250067807,-1.144991375,-0.60803375,2.608854351
SEEDGWAS1110:MRG:4:250067808,0.630733544,2.690123934,-0.271241639
SEEDGWAS1111:MRG:4:250067809,-7.194725382,-1.751017563,3.712858623
SEEDGWAS1114:MRG:4:250067811,-4.085979036,-0.193784068,0.804682764
SEEDGWAS1115:MRG:4:250070129,-0.834689307,-5.237312602,2.255855178
SEEDGWAS1118:MRG:4:250070132,-4.221230039,2.914089562,2.03566289
SEEDGWAS112:MRG:4:250054525,2.603472986,4.090780104,-3.922177401
SEEDGWAS1120:MRG:4:250070133,1.4783338,0.97770086,0.538684496
SEEDGWAS1121:MRG:4:250070134,1.064859516,-3.045330369,1.198734486
SEEDGWAS1122:MRG:4:250070135,-3.556425204,2.110509294,-0.135707407
SEEDGWAS1124:MRG:4:250070137,-2.427522848,0.47094117,-1.403397171
SEEDGWAS1125:MRG:4:250070138,-2.427522848,0.47094117,-1.403397171
SEEDGWAS1126:MRG:4:250070139,2.687219211,-1.562734763,1.933431172
SEEDGWAS1128:MRG:4:250070140,-2.521548502,1.870344631,0.891746643
SEEDGWAS113:MRG:4:250054526,-2.924938101,2.537794337,-0.333512087
SEEDGWAS1130:MRG:4:250070141,-4.26209219,3.047803746,2.057582831
SEEDGWAS1131:MRG:4:250070142,-1.442220546,1.801884197,0.278259867
SEEDGWAS1133:MRG:4:250070143,2.818172587,3.026651766,-2.117692401
SEEDGWAS1134:MRG:4:250070144,0.202352085,-1.742254274,2.934249822
SEEDGWAS1135:MRG:4:250070145,1.064859516,-3.045330369,1.198734486
SEEDGWAS1136:MRG:4:250070147,-0.133110519,0.469264325,1.53265527
SEEDGWAS1138:MRG:4:250070149,-1.616187007,0.359851971,-0.585479205
SEEDGWAS114:MRG:4:250054527,-3.955564281,1.691286905,-0.876695668
SEEDGWAS1140:MRG:4:250070150,1.064859516,-3.045330369,1.198734486
SEEDGWAS1141:MRG:4:250070151,-0.169493805,2.623679564,0.511732784
SEEDGWAS1142:MRG:4:250070152,-0.169493805,2.623679564,0.511732784
SEEDGWAS1143:MRG:4:250070153,-2.521548502,1.870344631,0.891746643
SEEDGWAS1144:MRG:4:250070154,-0.737815727,1.936566622,1.264830583
SEEDGWAS1145:MRG:4:250070155,1.064859516,-3.045330369,1.198734486
SEEDGWAS1146:MRG:4:250070156,-0.353219027,0.247853599,1.400734709
SEEDGWAS1147:MRG:4:250070157,-1.779285505,1.953104121,0.396706812
SEEDGWAS1148:MRG:4:250070158,-1.779285505,1.953104121,0.396706812
SEEDGWAS115:MRG:4:250054528,-2.853249303,2.546095087,-0.656130985
SEEDGWAS1150:MRG:4:250070159,-1.779285505,1.953104121,0.396706812
SEEDGWAS1151:MRG:4:250070160,-1.779285505,1.953104121,0.396706812
SEEDGWAS1152:MRG:4:250070161,-1.779285505,1.953104121,0.396706812
SEEDGWAS1156:MRG:4:250070164,-3.560834096,1.118273847,1.884040337
SEEDGWAS1157:MRG:4:250070165,-1.364069894,1.872642249,0.40116226
SEEDGWAS116:MRG:4:250054529,-4.17214758,1.922775473,-0.602963661
SEEDGWAS1161:MRG:4:250070169,0.669245919,-2.204523786,1.051995939
SEEDGWAS1166:MRG:4:250070172,-3.051570032,1.933850488,2.5694802
SEEDGWAS1167:MRG:4:250070173,-3.715516169,2.662927411,1.661834127
SEEDGWAS1168:MRG:4:250070174,-1.259803515,0.402480636,2.095823715
SEEDGWAS1169:MRG:4:250070175,-3.034948858,2.467402934,1.562111913
SEEDGWAS117:MRG:4:250054530,-3.12698911,2.182899437,-0.563770675
SEEDGWAS1170:MRG:4:250070176,-2.75791059,3.116753497,1.180851769
SEEDGWAS1171:MRG:4:250070177,-1.713490168,4.423087217,-0.10235043
SEEDGWAS1172:MRG:4:250070178,-1.051119251,2.332835291,1.1596103
SEEDGWAS1173:MRG:4:250070179,-1.584311502,3.797573083,0.312241898
SEEDGWAS1174:MRG:4:250070180,-1.584311502,3.797573083,0.312241898
SEEDGWAS1175:MRG:4:250070181,-1.584311502,3.797573083,0.312241898
SEEDGWAS1176:MRG:4:250070182,-4.152136251,2.43978693,1.919703051
SEEDGWAS1177:MRG:4:250070183,-2.829046239,4.352722626,0.373490997
SEEDGWAS1178:MRG:4:250070184,-2.408164835,4.010843089,0.118101996
SEEDGWAS1179:MRG:4:250070185,-3.374847778,2.701761856,1.698489012
SEEDGWAS118:MRG:4:250054531,-1.674797338,2.537243453,0.573977936
SEEDGWAS1180:MRG:4:250070186,-3.900435285,2.320857479,2.092117024
SEEDGWAS1183:MRG:4:250070188,0.664228958,2.491534474,-3.4750882
SEEDGWAS1184:MRG:4:250070189,-3.270634403,-0.733096995,-2.514072752
SEEDGWAS1185:MRG:4:250070190,-1.677847338,2.670104287,0.856248122
SEEDGWAS1187:MRG:4:250070192,-3.659874817,3.172315272,1.004790512
SEEDGWAS1188:MRG:4:250070193,-0.372837254,1.281968945,1.105735693
SEEDGWAS1189:MRG:4:250070194,-1.728183931,-0.853297376,0.319084069
SEEDGWAS119:MRG:4:250054532,-1.779285505,1.953104121,0.396706812
SEEDGWAS1191:MRG:4:250070195,-0.978486432,1.207655317,0.89672368
SEEDGWAS1192:MRG:4:250070196,-4.910483992,2.086049279,2.591148418
SEEDGWAS1195:MRG:4:250070199,-3.000235157,1.438410616,-0.603426231
SEEDGWAS1196:MRG:4:250070200,-3.104686451,1.192572757,-0.624380418
SEEDGWAS1197:MRG:4:250070201,-3.562581338,0.4193956,0.170817443
SEEDGWAS1198:MRG:4:250070202,-4.604795444,0.420974533,-0.769556782
SEEDGWAS1199:MRG:4:250070203,-3.128797385,-0.213584488,-0.000947449
SEEDGWAS12:MRG:4:250054454,-3.860090531,-1.206677876,-2.478446715
SEEDGWAS120:MRG:4:250054533,-2.344913702,2.059167645,0.933531077
SEEDGWAS1200:MRG:4:250070204,-1.230221092,0.524291214,0.218918868
SEEDGWAS1204:MRG:4:250070208,-1.28657553,-0.220718199,2.4832979
SEEDGWAS1205:MRG:4:250070209,-2.968690303,1.715701446,1.098810822
SEEDGWAS1206:MRG:4:250070210,-2.497778873,2.453998085,0.981955694
SEEDGWAS1207:MRG:4:250070211,-3.55228126,1.257343499,0.746024537
SEEDGWAS1208:MRG:4:250070212,-2.096437671,0.3507964,1.362501237
SEEDGWAS1209:MRG:4:250070213,-0.908503057,-0.993544888,2.604845479
SEEDGWAS121:MRG:4:250054534,-2.516389315,1.239942692,-2.278265632
SEEDGWAS1210:MRG:4:250070214,-2.497778873,2.453998085,0.981955694
SEEDGWAS1211:MRG:4:250070215,-2.968690303,1.715701446,1.098810822
SEEDGWAS1212:MRG:4:250070216,-2.600598234,2.408980026,1.01350464
SEEDGWAS1214:MRG:4:250070218,-3.269633271,-0.10541617,0.282959297
SEEDGWAS1215:MRG:4:250070219,-2.072661225,-2.515666279,1.644303978
SEEDGWAS1216:MRG:4:250070220,-2.523495339,0.222980221,1.2211477
SEEDGWAS122:MRG:4:250054535,-2.90762521,0.111378189,-1.904983338
SEEDGWAS1220:MRG:4:250070223,-3.044157474,1.228130674,-0.41403598
SEEDGWAS123:MRG:4:250054536,-2.34939008,1.652372115,-1.669558802
SEEDGWAS1236:MRG:4:250070267,-4.381477831,0.029624378,-0.550220035
SEEDGWAS124:MRG:4:250054537,-2.109093957,2.270612033,-0.778500942
SEEDGWAS1241:MRG:4:250070272,-2.738464269,-0.010829085,0.767972106
SEEDGWAS1242:MRG:4:250070273,-3.825259011,-2.095407529,-0.346843988
SEEDGWAS1244:MRG:4:250070274,-3.269633271,-0.10541617,0.282959297
SEEDGWAS1246:MRG:4:250070275,-5.079927639,-2.56057414,-1.01982433
SEEDGWAS1247:MRG:4:250070276,-6.479339632,-2.017757427,-0.36183672
SEEDGWAS1248:MRG:4:250070277,-6.46334774,-2.175340295,0.303719361
SEEDGWAS1249:MRG:4:250070278,-4.335060506,0.161106633,-0.693200792
SEEDGWAS125:MRG:4:250054538,-2.109093957,2.270612033,-0.778500942
SEEDGWAS1250:MRG:4:250070279,-5.671087115,-0.837843361,0.060113763
SEEDGWAS1254:MRG:4:250070280,-3.756794605,3.025498155,1.089573925
SEEDGWAS1256:MRG:4:250070283,-2.344913702,2.059167645,0.933531077
SEEDGWAS1257:MRG:4:250070284,-1.920106172,1.513759674,1.357252047
SEEDGWAS1258:MRG:4:250070285,-1.515451732,0.808279579,1.811022593
SEEDGWAS1259:MRG:4:250070286,-1.592457048,1.191600853,1.6686457
SEEDGWAS1260:MRG:4:250070287,-0.531231157,-1.508244979,2.820331641
SEEDGWAS1261:MRG:4:250070288,-7.200184412,-1.359367384,3.72172867
SEEDGWAS1263:MRG:4:250070290,-2.728938381,-0.319480588,-1.867548779
SEEDGWAS1264:MRG:4:250070292,-2.592424085,1.892799478,1.011532626
SEEDGWAS1265:MRG:4:250070293,-1.674797338,2.537243453,0.573977936
SEEDGWAS1266:MRG:4:250070294,-2.842100178,3.270264522,0.561239194
SEEDGWAS1267:MRG:4:250070295,1.621455547,2.666165475,-5.303104083
SEEDGWAS1268:MRG:4:250070296,-1.728183931,-0.853297376,0.319084069
SEEDGWAS1269:MRG:4:250070297,-3.406632898,1.217893874,-0.160830858
SEEDGWAS127:MRG:4:250054539,-3.321083976,0.626728638,-0.325323916
SEEDGWAS1270:MRG:4:250070298,-3.406632898,1.217893874,-0.160830858
SEEDGWAS1271:MRG:4:250070299,-3.057059998,1.245294454,-0.505316379
SEEDGWAS1272:MRG:4:250070300,-3.03705923,1.106576788,-0.510129412
SEEDGWAS1274:MRG:4:250070301,-3.044157474,1.228130674,-0.41403598
SEEDGWAS1277:MRG:4:250070302,-3.406632898,1.217893874,-0.160830858
SEEDGWAS1278:MRG:4:250070303,-3.01351032,1.192216349,-1.242021716
SEEDGWAS1279:MRG:4:250070304,-3.406632898,1.217893874,-0.160830858
SEEDGWAS128:MRG:4:250054540,-2.920376246,1.269942274,-0.798532131
SEEDGWAS1281:MRG:4:250070306,-3.051968822,0.885665823,-0.515776768
SEEDGWAS1282:MRG:4:250070307,-2.820974451,1.036339243,-1.004010685
SEEDGWAS1283:MRG:4:250070308,-3.688502815,0.575871961,-1.481724668
SEEDGWAS1284:MRG:4:250070310,-3.180249891,0.465680055,-0.432628583
SEEDGWAS1285:MRG:4:250070311,-5.51543692,-2.396683968,-0.160402211
SEEDGWAS1287:MRG:4:250070313,-4.330865497,-0.268234014,-1.096419264
SEEDGWAS1289:MRG:4:250070314,-6.037489556,-2.472213518,-0.281544638
SEEDGWAS129:MRG:4:250056097,-3.311122473,0.880800184,-0.486935377
SEEDGWAS1293:MRG:4:250070317,0.664228958,2.491534474,-3.4750882
SEEDGWAS1294:MRG:4:250070318,-2.249810486,1.130658802,1.424603994
SEEDGWAS1295:MRG:4:250070319,-3.893103772,1.56224784,2.418437951
SEEDGWAS13:MRG:4:250054455,-3.270634403,-0.733096995,-2.514072752
SEEDGWAS130:MRG:4:250056098,-3.259588457,0.800766471,-0.197554274
SEEDGWAS1302:MRG:4:250070326,-3.183250394,-3.729389426,1.396955938
SEEDGWAS1303:MRG:4:250070327,-2.544786242,-0.170448534,-1.469358058
SEEDGWAS1304:MRG:4:250070328,-8.66101284,-4.649482147,-1.431767074
SEEDGWAS1305:MRG:4:250070329,-8.175476865,-3.712709011,0.041327974
SEEDGWAS1306:MRG:4:250070330,-8.140009118,-4.340893174,-1.130049045
SEEDGWAS1307:MRG:4:250070331,-6.990853366,-2.55519711,1.445814868
SEEDGWAS1308:MRG:4:250070332,-7.981269927,-3.374884545,0.228397591
SEEDGWAS1309:MRG:4:250070333,-7.981269927,-3.374884545,0.228397591
SEEDGWAS131:MRG:4:250056099,-3.333115953,0.729530526,-0.68081378
SEEDGWAS1310:MRG:4:250070334,-8.175476865,-3.712709011,0.041327974
SEEDGWAS1311:MRG:4:250070335,-6.811777281,-1.179460546,0.733364064
SEEDGWAS1312:MRG:4:250070336,-6.811777281,-1.179460546,0.733364064
SEEDGWAS1313:MRG:4:250070337,-6.811777281,-1.179460546,0.733364064
SEEDGWAS1316:MRG:4:250070338,-5.151038819,1.462000545,1.699943926
SEEDGWAS1317:MRG:4:250070339,-5.041849551,-2.077365132,2.135380914
SEEDGWAS132:MRG:4:250056100,-2.979878634,0.160931992,-0.471592579
SEEDGWAS1320:MRG:4:250070340,-5.285343024,-0.029078016,2.308084075
SEEDGWAS1321:MRG:4:250070341,-5.395246608,1.018594952,1.887354478
SEEDGWAS1322:MRG:4:250070342,-4.993202988,-1.896846098,1.783813424
SEEDGWAS1323:MRG:4:250070343,-5.312565113,0.54190668,1.784738254
SEEDGWAS1324:MRG:4:250070344,-5.231451796,1.564354581,1.783967279
SEEDGWAS1325:MRG:4:250070345,-5.055330435,0.926794413,2.127002748
SEEDGWAS1326:MRG:4:250070346,-5.055330435,0.926794413,2.127002748
SEEDGWAS1327:MRG:4:250070347,-5.055330435,0.926794413,2.127002748
SEEDGWAS1329:MRG:4:250070348,-4.748203986,-3.367452176,2.772766751
SEEDGWAS133:MRG:4:250056101,-3.339740858,-0.188893252,-0.991510003
SEEDGWAS1330:MRG:4:250070349,-8.434387727,-2.209817053,1.447470651
SEEDGWAS1332:MRG:4:250070350,-5.055330435,0.926794413,2.127002748
SEEDGWAS1333:MRG:4:250070351,-4.982176576,0.602056894,2.324085505
SEEDGWAS1334:MRG:4:250105240,-5.231451796,1.564354581,1.783967279
SEEDGWAS1335:MRG:4:250105241,-2.972071968,0.695627071,2.874823382
SEEDGWAS1336:MRG:4:250105242,-2.972071968,0.695627071,2.874823382
SEEDGWAS1337:MRG:4:250105243,-2.972071968,0.695627071,2.874823382
SEEDGWAS1338:MRG:4:250105244,-4.532164654,2.098477462,2.068589169
SEEDGWAS134:MRG:4:250056102,-2.820974451,1.036339243,-1.004010685
SEEDGWAS1340:MRG:4:250105245,-4.80039397,1.484736665,2.254275634
SEEDGWAS1342:MRG:4:250105246,-4.52435974,1.735366773,2.734798297
SEEDGWAS1344:MRG:4:250105247,-3.147776638,1.929917409,1.850927119
SEEDGWAS1346:MRG:4:250105248,-2.477665767,1.300289446,2.19055626
SEEDGWAS1347:MRG:4:250105249,-2.907528098,1.682351164,1.950531602
SEEDGWAS1348:MRG:4:250105250,-4.004294844,0.637188391,2.536593349
SEEDGWAS1349:MRG:4:250105251,-4.004294844,0.637188391,2.536593349
SEEDGWAS135:MRG:4:250056103,-2.714540138,1.687866023,-0.559078083
SEEDGWAS1350:MRG:4:250105252,-3.834502632,2.063259583,1.973300918
SEEDGWAS1351:MRG:4:250105253,-4.604795444,0.420974533,-0.769556782
SEEDGWAS1352:MRG:4:250105254,-4.604795444,0.420974533,-0.769556782
SEEDGWAS1353:MRG:4:250105255,-3.498042142,0.512184678,-0.254542422
SEEDGWAS1355:MRG:4:250105256,-2.760079717,1.008174,0.001797881
SEEDGWAS1356:MRG:4:250105257,-3.473917074,1.08048853,-0.024295606
SEEDGWAS1357:MRG:4:250105258,-3.982264626,1.285571278,-0.474442215
SEEDGWAS1358:MRG:4:250105259,-4.175891888,0.963102836,0.375980006
SEEDGWAS1359:MRG:4:250105260,-4.175891888,0.963102836,0.375980006
SEEDGWAS136:MRG:4:250056104,-5.871613579,-1.000985224,0.048837897
SEEDGWAS1360:MRG:4:250105261,-3.562581338,0.4193956,0.170817443
SEEDGWAS1361:MRG:4:250105262,-7.66233156,-0.910740576,1.956246053
SEEDGWAS1362:MRG:4:250105263,-7.818279631,-1.546412924,1.92161995
SEEDGWAS1363:MRG:4:250105264,-6.366355987,0.175202216,1.673342999
SEEDGWAS1364:MRG:4:250105265,-5.994734157,0.738969403,1.786685039
SEEDGWAS1365:MRG:4:250105266,-7.612491801,-2.757377672,1.734374333
SEEDGWAS1366:MRG:4:250105267,-6.078297207,0.788752558,1.773922358
SEEDGWAS1367:MRG:4:250105268,-5.529741998,1.122080763,1.795113853
SEEDGWAS1368:MRG:4:250105269,-6.8950306,-1.587182554,1.578796726
SEEDGWAS1369:MRG:4:250105270,-6.711344214,-1.392326557,1.83854057
SEEDGWAS137:MRG:4:250056105,-4.407892637,-1.175851001,-0.514149466
SEEDGWAS1370:MRG:4:250105271,-6.468387134,-0.689414405,1.862639351
SEEDGWAS1371:MRG:4:250105272,-6.290578719,0.351540833,1.800053417
SEEDGWAS1372:MRG:4:250105273,-6.290578719,0.351540833,1.800053417
SEEDGWAS1373:MRG:4:250105275,-2.995774128,1.419716001,-0.453601286
SEEDGWAS1374:MRG:4:250105276,-3.044157474,1.228130674,-0.41403598
SEEDGWAS1375:MRG:4:250105277,-3.180249891,0.465680055,-0.432628583
SEEDGWAS1376:MRG:4:250105278,-3.180249891,0.465680055,-0.432628583
SEEDGWAS1377:MRG:4:250105279,-4.727158337,-0.42732834,-0.750451752
SEEDGWAS1378:MRG:4:250105280,-4.727158337,-0.42732834,-0.750451752
SEEDGWAS1379:MRG:4:250105281,-4.594567863,-1.430907457,-0.778812074
SEEDGWAS1380:MRG:4:250105282,-4.90488459,-0.366384277,-0.656270822
SEEDGWAS1381:MRG:4:250105283,-3.106227047,-1.260082554,0.071159827
SEEDGWAS1383:MRG:4:250105284,-5.094456459,-0.35180748,-0.239092339
SEEDGWAS1386:MRG:4:250105287,-3.994663142,-2.352181759,-0.651664809
SEEDGWAS1387:MRG:4:250105288,-5.079927639,-2.56057414,-1.01982433
SEEDGWAS1388:MRG:4:250105289,-4.330865497,-0.268234014,-1.096419264
SEEDGWAS1389:MRG:4:250105290,-5.015715035,-1.621666394,-1.332377093
SEEDGWAS139:MRG:4:250056107,-2.969555698,0.603219434,-1.797096368
SEEDGWAS1390:MRG:4:250105291,-4.995170183,-1.368978945,-0.842135635
SEEDGWAS1391:MRG:4:250105292,-3.754389493,-1.82135568,-1.192387544
SEEDGWAS1392:MRG:4:250105293,-4.330865497,-0.268234014,-1.096419264
SEEDGWAS1393:MRG:4:250105294,-6.037489556,-2.472213518,-0.281544638
SEEDGWAS1394:MRG:4:250105295,-6.700618012,-1.345753133,-0.2759147
SEEDGWAS1395:MRG:4:250105296,-5.467226178,-0.551671022,0.642839751
SEEDGWAS14:MRG:4:250054456,-2.172375959,2.438101978,0.613740175
SEEDGWAS1400:MRG:4:250105298,-5.658649321,-1.665385446,0.561295616
SEEDGWAS1401:MRG:4:250105299,-6.321551635,-1.404180647,0.595646587
SEEDGWAS1402:MRG:4:250105300,-6.321551635,-1.404180647,0.595646587
SEEDGWAS1403:MRG:4:250105301,-6.321551635,-1.404180647,0.595646587
SEEDGWAS1404:MRG:4:250105302,-6.321551635,-1.404180647,0.595646587
SEEDGWAS1407:MRG:4:250105305,-0.80353478,-0.786945639,-0.228827075
SEEDGWAS1408:MRG:4:250105306,-1.938051547,-3.037820058,-2.808006901
SEEDGWAS1409:MRG:4:250105307,-0.971791468,-3.118302744,-3.315606263
SEEDGWAS141:MRG:4:250056108,-2.667364374,-0.288805466,-2.134964231
SEEDGWAS1410:MRG:4:250105308,-0.897545667,-2.717451037,-3.316300961
SEEDGWAS1411:MRG:4:250105309,-1.478365918,0.35478595,0.185688437
SEEDGWAS1412:MRG:4:250105310,-0.868671169,-0.636654974,0.083376257
SEEDGWAS1413:MRG:4:250105311,-1.69170537,0.275741752,0.491218992
SEEDGWAS1414:MRG:4:250105312,-1.074396324,-0.730845915,-0.047649197
SEEDGWAS1415:MRG:4:250105313,-1.856308239,0.116538476,0.766463667
SEEDGWAS1416:MRG:4:250105314,-0.923126602,-0.903487477,0.263217421
SEEDGWAS1417:MRG:4:250105315,-1.853718232,0.383951463,0.656824905
SEEDGWAS1418:MRG:4:250105316,-1.277847836,-0.294437513,-0.768057205
SEEDGWAS142:MRG:4:250056109,-2.868303125,-0.147293623,-2.214724703
SEEDGWAS1421:MRG:4:250105317,-0.80353478,-0.786945639,-0.228827075
SEEDGWAS1422:MRG:4:250105318,-0.889465405,-0.892847087,-0.907038103
SEEDGWAS1424:MRG:4:250105320,-0.935857618,-1.226221238,0.318242953
SEEDGWAS1427:MRG:4:250105322,-5.594113201,0.496985314,0.66441843
SEEDGWAS1428:MRG:4:250105323,-2.636029885,-1.398842859,-1.188165907
SEEDGWAS1429:MRG:4:250105324,-7.188136554,-0.161273392,3.639528433
SEEDGWAS143:MRG:4:250056110,-2.150855453,1.913434809,-0.692662045
SEEDGWAS1430:MRG:4:250105325,-7.072848387,-0.268117657,3.337429269
SEEDGWAS1431:MRG:4:250105326,-5.935881138,0.866941122,3.004288449
SEEDGWAS1432:MRG:4:250105327,-2.968690303,1.715701446,1.098810822
SEEDGWAS1434:MRG:4:250105328,-1.920106172,1.513759674,1.357252047
SEEDGWAS1435:MRG:4:250105329,-2.999315239,-2.165417135,1.358813204
SEEDGWAS1436:MRG:4:250105330,-1.443650429,0.059770044,1.714551826
SEEDGWAS1437:MRG:4:250105332,-5.058085619,-0.130763863,-0.190190783
SEEDGWAS1438:MRG:4:250105333,-5.935881138,0.866941122,3.004288449
SEEDGWAS1439:MRG:4:250105334,-5.935881138,0.866941122,3.004288449
SEEDGWAS144:MRG:4:250056111,-0.192237042,-1.960341828,-1.36116417
SEEDGWAS1440:MRG:4:250105335,-5.935881138,0.866941122,3.004288449
SEEDGWAS1441:MRG:4:250070383,-4.416438787,2.372015241,1.92221489
SEEDGWAS1442:MRG:4:250070384,-5.386948216,-2.803000093,-1.731010997
SEEDGWAS1443:MRG:4:250070385,-3.044157474,1.228130674,-0.41403598
SEEDGWAS1457:MRG:4:250070397,-0.923126602,-0.903487477,0.263217421
SEEDGWAS1458:MRG:4:250070398,-0.897545667,-2.717451037,-3.316300961
SEEDGWAS1460:MRG:4:250070400,-2.245179706,-4.139742777,-4.631156038
SEEDGWAS1463:MRG:4:250070403,-3.223862088,2.502663968,1.554532153
SEEDGWAS1464:MRG:4:250070404,-3.374847778,2.701761856,1.698489012
SEEDGWAS1465:MRG:4:250070405,-3.374847778,2.701761856,1.698489012
SEEDGWAS1466:MRG:4:250070406,-3.331354737,2.353229267,1.886844096
SEEDGWAS1467:MRG:4:250070407,-1.566151192,0.985405397,1.866235295
SEEDGWAS1468:MRG:4:250070408,-3.034948858,2.467402934,1.562111913
SEEDGWAS1469:MRG:4:250070409,-3.652097073,2.486999877,1.45209327
SEEDGWAS1470:MRG:4:250070410,-0.958283805,-0.972389134,-0.493899332
SEEDGWAS1472:MRG:4:250070412,-1.5485939,0.255939791,0.477840343
SEEDGWAS1473:MRG:4:250070413,-1.604296496,0.311863447,0.169575927
SEEDGWAS1474:MRG:4:250070414,-3.658880136,1.903502975,1.184570024
