rs	chr	ps	p_wald	n_genes_25kb	genes_in_25kb	closest_gene	closest_gene_id	closest_gene_distance_bp
Chr3_15530.0	3	15530	5.378254e-12	7	AT3G01050;AT3G01060;AT3G01040;AT3G01070;AT3G01030;AT3G01020;AT3G01080	AT3G01050	AT3G01050	855
Chr3_16169.0	3	16169	5.378254e-12	6	AT3G01060;AT3G01050;AT3G01070;AT3G01040;AT3G01030;AT3G01080	AT3G01060	AT3G01060	474
Chr3_16246.0	3	16246	5.378254e-12	6	AT3G01060;AT3G01050;AT3G01070;AT3G01040;AT3G01030;AT3G01080	AT3G01060	AT3G01060	397
Chr3_21298.0	3	21298	5.378254e-12	7	AT3G01070;AT3G01060;AT3G01080;AT3G01050;AT3G01085;AT3G01040;AT3G01090	AT3G01070	AT3G01070	579
Chr3_24043.0	3	24043	5.378254e-12	6	AT3G01080;AT3G01070;AT3G01085;AT3G01060;AT3G01090;AT3G01050	AT3G01080	AT3G01080	1464
Chr3_25274.0	3	25274	5.378254e-12	6	AT3G01080;AT3G01085;AT3G01070;AT3G01090;AT3G01060;AT3G01100	AT3G01080	AT3G01080	233
Chr3_27092.0	3	27092	5.378254e-12	6	AT3G01080;AT3G01085;AT3G01090;AT3G01070;AT3G01100;AT3G01060	AT3G01080	AT3G01080	0
Chr3_27691.0	3	27691	5.378254e-12	6	AT3G01080;AT3G01085;AT3G01090;AT3G01070;AT3G01100;AT3G01060	AT3G01080	AT3G01080	242
Chr3_28006.0	3	28006	5.378254e-12	6	AT3G01085;AT3G01080;AT3G01090;AT3G01100;AT3G01070;AT3G01060	AT3G01085	AT3G01085	0
Chr3_34921.0	3	34921	5.378254e-12	6	AT3G01100;AT3G01090;AT3G01120;AT3G01085;AT3G01080;AT3G01130	AT3G01100	AT3G01100	0
Chr5_21055105.0	5	21055105	7.370786e-12	4	AT5G51810;AT5G51800;AT5G51812;AT5G51820	AT5G51810	AT5G51810	83
Chr5_21057678.0	5	21057678	7.370786e-12	4	AT5G51812;AT5G51810;AT5G51800;AT5G51820	AT5G51812	AT5G51812	861
Chr5_21064380.0	5	21064380	7.370786e-12	5	AT5G51820;AT5G51830;AT5G51812;AT5G51840;AT5G51810	AT5G51820	AT5G51820	0
Chr5_21067328.0	5	21067328	7.370786e-12	5	AT5G51820;AT5G51830;AT5G51840;AT5G51812;AT5G51845	AT5G51820	AT5G51820	0
Chr5_21069467.0	5	21069467	7.370786e-12	5	AT5G51830;AT5G51820;AT5G51840;AT5G51845;AT5G51850	AT5G51830	AT5G51830	105
Chr5_21071071.0	5	21071071	7.370786e-12	5	AT5G51830;AT5G51840;AT5G51820;AT5G51845;AT5G51850	AT5G51830	AT5G51830	0
Chr5_21076042.0	5	21076042	7.370786e-12	7	AT5G51845;AT5G51840;AT5G51850;AT5G51830;AT5G51860;AT5G51820;AT5G51870	AT5G51845	AT5G51845	1101
Chr5_21079212.0	5	21079212	7.370786e-12	6	AT5G51850;AT5G51845;AT5G51860;AT5G51840;AT5G51870;AT5G51830	AT5G51850	AT5G51850	40
Chr5_21087739.0	5	21087739	7.370786e-12	8	AT5G51870;AT5G51880;AT5G51890;AT5G51860;AT5G51900;AT5G51850;AT5G51910;AT5G51920	AT5G51870	AT5G51870	0
Chr5_20108808.0	5	20108808	9.603287e-12	6	AT5G49555;AT5G49550;AT5G49560;AT5G49540;AT5G49570;AT5G49530	AT5G49555	AT5G49555	0
Chr5_20111106.0	5	20111106	9.603287e-12	6	AT5G49560;AT5G49555;AT5G49570;AT5G49550;AT5G49540;AT5G49530	AT5G49560	AT5G49560	0
Chr5_20113270.0	5	20113270	9.603287e-12	6	AT5G49570;AT5G49560;AT5G49555;AT5G49550;AT5G49540;AT5G49530	AT5G49570	AT5G49570	0
Chr5_20113919.0	5	20113919	9.603287e-12	7	AT5G49570;AT5G49560;AT5G49555;AT5G49550;AT5G49540;AT5G49530;AT5G49580	AT5G49570	AT5G49570	0
Chr5_20222946.0	5	20222946	1.71233e-11	4	AT5G49770;AT5G49760;AT5G49780;AT5G49750	AT5G49770	AT5G49770	0
Chr5_20227562.0	5	20227562	1.71233e-11	4	AT5G49770;AT5G49780;AT5G49760;AT5G49800	AT5G49770	AT5G49770	295
Chr5_12918929.0	5	12918929	1.839298e-11	1	AT5G34581	AT5G34581	AT5G34581	1437
Chr1_6391823.0	1	6391823	2.30725e-11	6	AT1G18570;AT1G18560;AT1G18580;AT1G18590;AT1G18550;AT1G18600	AT1G18570	AT1G18570	556
Chr5_22538325.0	5	22538325	2.527433e-11	7	AT5G55660;AT5G55650;AT5G55640;AT5G55630;AT5G55670;AT5G55620;AT5G55680	AT5G55660	AT5G55660	288
Chr5_23901117.0	5	23901117	3.030117e-11	6	AT5G59230;AT5G59240;AT5G59250;AT5G59220;AT5G59260;AT5G59210	AT5G59230	AT5G59230	438
Chr4_17977547.0	4	17977547	3.044654e-11	10	AT4G38390;AT4G38400;AT4G38401;AT4G38380;AT4G38405;AT4G38410;AT4G38420;AT4G38370;AT4G38360;AT4G38430	AT4G38390	AT4G38390	0
Chr4_17764943.0	4	17764943	3.388258e-11	2	AT4G37790;AT4G37780	AT4G37790	AT4G37790	3099
Chr5_19040945.0	5	19040945	3.784896e-11	4	AT5G46900;AT5G46890;AT5G46880;AT5G46910	AT5G46900	AT5G46900	543
Chr5_23830371.0	5	23830371	4.762551e-11	5	AT5G59020;AT5G59030;AT5G59040;AT5G59010;AT5G59050	AT5G59020	AT5G59020	0
Chr5_582465.0	5	582465	5.059526e-11	10	AT5G02590;AT5G02580;AT5G02600;AT5G02610;AT5G02570;AT5G02560;AT5G02615;AT5G02620;AT5G02550;AT5G02630	AT5G02590	AT5G02590	621
Chr3_3729.0	3	3729	7.243482e-11	6	AT3G01015;AT3G01010;AT3G01020;AT3G01030;AT3G01040;AT3G01050	AT3G01015	AT3G01015	0
Chr5_21653896.0	5	21653896	7.443912e-11	6	AT5G53380;AT5G53370;AT5G53390;AT5G53360;AT5G53350;AT5G53400	AT5G53380	AT5G53380	705
Chr5_23832205.0	5	23832205	7.847101e-11	5	AT5G59030;AT5G59020;AT5G59040;AT5G59050;AT5G59010	AT5G59030	AT5G59030	1523
Chr5_630615.0	5	630615	8.980067e-11	7	AT5G02780;AT5G02770;AT5G02790;AT5G02760;AT5G02800;AT5G02810;AT5G02750	AT5G02780	AT5G02780	261
Chr5_630688.0	5	630688	8.980067e-11	7	AT5G02780;AT5G02770;AT5G02790;AT5G02760;AT5G02800;AT5G02810;AT5G02750	AT5G02780	AT5G02780	188
Chr1_16962632.0	1	16962632	9.883902e-11	2	AT1G44890;AT1G44900	AT1G44890	AT1G44890	512
Chr1_16963660.0	1	16963660	9.883902e-11	2	AT1G44890;AT1G44900	AT1G44890	AT1G44890	0
Chr5_21028808.0	5	21028808	1.097414e-10	5	AT5G51760;AT5G51770;AT5G51780;AT5G51750;AT5G51740	AT5G51760	AT5G51760	0
Chr5_20995578.0	5	20995578	1.109525e-10	6	AT5G51670;AT5G51680;AT5G51690;AT5G51700;AT5G51660;AT5G51710	AT5G51670	AT5G51670	0
Chr5_20995587.0	5	20995587	1.109525e-10	6	AT5G51670;AT5G51680;AT5G51690;AT5G51700;AT5G51660;AT5G51710	AT5G51670	AT5G51670	0
Chr5_10822172.0	5	10822172	1.179079e-10	5	AT5G28800;AT5G28810;AT5G28781;AT5G28780;AT5G28820	AT5G28800	AT5G28800	708
Chr2_15792197.0	2	15792197	1.619786e-10	6	AT2G37650;AT2G37640;AT2G37660;AT2G37670;AT2G37630;AT2G37678	AT2G37650	AT2G37650	426
Chr5_10066944.0	5	10066944	2.234853e-10	1	AT5G28060	AT5G28060	AT5G28060	2602
Chr4_4228790.0	4	4228790	2.579186e-10	0	NA	NA	NA	NA
Chr4_1000054.0	4	1000054	2.618965e-10	5	AT4G02280;AT4G02290;AT4G02270;AT4G02260;AT4G02300	AT4G02280	AT4G02280	1087
Chr1_13162221.0	1	13162221	2.852085e-10	4	AT1G35630;AT1G35625;AT1G35620;AT1G35617	AT1G35630	AT1G35630	745
Chr5_21652906.0	5	21652906	2.894321e-10	7	AT5G53370;AT5G53380;AT5G53360;AT5G53390;AT5G53350;AT5G53400;AT5G53340	AT5G53370	AT5G53370	1313
Chr5_21652907.0	5	21652907	2.894321e-10	7	AT5G53370;AT5G53380;AT5G53360;AT5G53390;AT5G53350;AT5G53400;AT5G53340	AT5G53370	AT5G53370	1314
Chr4_5346568.0	4	5346568	2.965092e-10	2	AT4G08430;AT4G08410	AT4G08430	AT4G08430	828
Chr5_20355507.0	5	20355507	3.043769e-10	9	AT5G50030;AT5G50020;AT5G50040;AT5G50050;AT5G50010;AT5G50011;AT5G50012;AT5G50060;AT5G50070	AT5G50030	AT5G50030	0
Chr4_18022847.0	4	18022847	3.224354e-10	9	AT4G38530;AT4G38545;AT4G38540;AT4G38552;AT4G38550;AT4G38520;AT4G38560;AT4G38510;AT4G38570	AT4G38530	AT4G38530	0
Chr3_11727842.0	3	11727842	3.55146e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	271
Chr3_11727843.0	3	11727843	3.55146e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	270
Chr5_22192482.0	5	22192482	3.608119e-10	7	AT5G54630;AT5G54620;AT5G54640;AT5G54650;AT5G54610;AT5G54600;AT5G54590	AT5G54630	AT5G54630	17
Chr4_4209430.0	4	4209430	3.713908e-10	3	AT4G07410;AT4G07408;AT4G07400	AT4G07410	AT4G07410	4206
Chr4_4209440.0	4	4209440	3.713908e-10	3	AT4G07410;AT4G07408;AT4G07400	AT4G07410	AT4G07410	4216
Chr4_4209450.0	4	4209450	3.713908e-10	3	AT4G07410;AT4G07408;AT4G07400	AT4G07410	AT4G07410	4226
Chr4_4209458.0	4	4209458	3.713908e-10	3	AT4G07410;AT4G07408;AT4G07400	AT4G07410	AT4G07410	4234
Chr5_20062160.0	5	20062160	3.739973e-10	5	AT5G49470;AT5G49460;AT5G49480;AT5G49448;AT5G49450	AT5G49470	AT5G49470	1288
Chr5_11550357.0	5	11550357	4.085522e-10	1	AT5G31412	AT5G31412	AT5G31412	6589
Chr5_11550920.0	5	11550920	4.085522e-10	1	AT5G31412	AT5G31412	AT5G31412	7152
Chr2_8398131.0	2	8398131	4.418615e-10	4	AT2G19390;AT2G19400;AT2G19410;AT2G19385	AT2G19390	AT2G19390	269
Chr5_20106990.0	5	20106990	4.692891e-10	7	AT5G49550;AT5G49555;AT5G49540;AT5G49530;AT5G49560;AT5G49570;AT5G49525	AT5G49550	AT5G49550	0
Chr5_20114585.0	5	20114585	4.692891e-10	6	AT5G49570;AT5G49560;AT5G49555;AT5G49550;AT5G49540;AT5G49580	AT5G49570	AT5G49570	0
Chr5_21037393.0	5	21037393	4.881143e-10	5	AT5G51780;AT5G51790;AT5G51770;AT5G51795;AT5G51760	AT5G51780	AT5G51780	620
Chr5_11744647.0	5	11744647	5.10497e-10	0	NA	NA	NA	NA
Chr5_1488381.0	5	1488381	5.58387e-10	7	AT5G05040;AT5G05030;AT5G05050;AT5G05060;AT5G05020;AT5G05010;AT5G05070	AT5G05040	AT5G05040	413
Chr3_1447.0	3	1447	6.977205e-10	5	AT3G01015;AT3G01010;AT3G01020;AT3G01030;AT3G01040	AT3G01015	AT3G01015	206
Chr5_22538189.0	5	22538189	7.331989e-10	7	AT5G55660;AT5G55650;AT5G55640;AT5G55630;AT5G55670;AT5G55620;AT5G55680	AT5G55660	AT5G55660	424
Chr5_23915611.0	5	23915611	7.794847e-10	8	AT5G59290;AT5G59280;AT5G59270;AT5G59300;AT5G59260;AT5G59305;AT5G59250;AT5G59310	AT5G59290	AT5G59290	0
Chr5_23918753.0	5	23918753	7.794847e-10	7	AT5G59290;AT5G59300;AT5G59280;AT5G59305;AT5G59270;AT5G59310;AT5G59260	AT5G59290	AT5G59290	561
Chr5_23920635.0	5	23920635	7.794847e-10	7	AT5G59300;AT5G59290;AT5G59305;AT5G59310;AT5G59280;AT5G59270;AT5G59320	AT5G59300	AT5G59300	0
Chr2_8395470.0	2	8395470	8.037013e-10	5	AT2G19390;AT2G19400;AT2G19385;AT2G19380;AT2G19410	AT2G19390	AT2G19390	0
Chr5_23874043.0	5	23874043	8.56604e-10	8	AT5G59130;AT5G59140;AT5G59150;AT5G59160;AT5G59120;AT5G59170;AT5G59180;AT5G59110	AT5G59130	AT5G59130	323
Chr5_23876491.0	5	23876491	8.56604e-10	8	AT5G59150;AT5G59140;AT5G59130;AT5G59160;AT5G59170;AT5G59180;AT5G59120;AT5G59190	AT5G59150	AT5G59150	95
Chr5_23879087.0	5	23879087	8.56604e-10	8	AT5G59160;AT5G59150;AT5G59170;AT5G59140;AT5G59180;AT5G59130;AT5G59190;AT5G59200	AT5G59160	AT5G59160	250
Chr5_23879267.0	5	23879267	8.56604e-10	8	AT5G59160;AT5G59150;AT5G59170;AT5G59140;AT5G59180;AT5G59130;AT5G59190;AT5G59200	AT5G59160	AT5G59160	70
Chr5_15291383.0	5	15291383	8.674716e-10	4	AT5G38270;AT5G38280;AT5G38260;AT5G38250	AT5G38270	AT5G38270	1131
Chr5_562244.0	5	562244	8.705886e-10	8	AT5G02520;AT5G02510;AT5G02530;AT5G02505;AT5G02502;AT5G02500;AT5G02540;AT5G02490	AT5G02520	AT5G02520	0
Chr5_562775.0	5	562775	8.705886e-10	7	AT5G02520;AT5G02530;AT5G02510;AT5G02505;AT5G02502;AT5G02540;AT5G02500	AT5G02520	AT5G02520	0
Chr5_562850.0	5	562850	8.705886e-10	7	AT5G02520;AT5G02530;AT5G02510;AT5G02505;AT5G02502;AT5G02540;AT5G02500	AT5G02520	AT5G02520	0
Chr5_562963.0	5	562963	8.705886e-10	7	AT5G02520;AT5G02530;AT5G02510;AT5G02505;AT5G02502;AT5G02540;AT5G02500	AT5G02520	AT5G02520	0
Chr5_562978.0	5	562978	8.705886e-10	7	AT5G02520;AT5G02530;AT5G02510;AT5G02505;AT5G02502;AT5G02540;AT5G02500	AT5G02520	AT5G02520	0
Chr5_563052.0	5	563052	8.705886e-10	7	AT5G02520;AT5G02530;AT5G02510;AT5G02505;AT5G02502;AT5G02540;AT5G02500	AT5G02520	AT5G02520	0
Chr3_11727690.0	3	11727690	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	423
Chr3_11727714.0	3	11727714	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	399
Chr3_11727717.0	3	11727717	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	396
Chr3_11727753.0	3	11727753	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	360
Chr3_11727760.0	3	11727760	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	353
Chr3_11727762.0	3	11727762	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	351
Chr3_11727808.0	3	11727808	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	305
Chr3_11727821.0	3	11727821	9.05828e-10	4	AT3G29810;AT3G29800;AT3G29830;AT3G29797	AT3G29810	AT3G29810	292
Chr1_20187511.0	1	20187511	1.028134e-09	7	AT1G54080;AT1G54090;AT1G54070;AT1G54060;AT1G54095;AT1G54050;AT1G54100	AT1G54080	AT1G54080	415
Chr1_25577028.0	1	25577028	1.072785e-09	7	AT1G68240;AT1G68238;AT1G68250;AT1G68230;AT1G68220;AT1G68210;AT1G68260	AT1G68240	AT1G68240	899
Chr1_25577035.0	1	25577035	1.072785e-09	7	AT1G68240;AT1G68238;AT1G68250;AT1G68230;AT1G68220;AT1G68210;AT1G68260	AT1G68240	AT1G68240	906
Chr5_21016470.0	5	21016470	1.147579e-09	5	AT5G51740;AT5G51730;AT5G51750;AT5G51720;AT5G51710	AT5G51740	AT5G51740	557
Chr2_7777325.0	2	7777325	1.153437e-09	5	AT2G17900;AT2G17890;AT2G17920;AT2G17930;AT2G17880	AT2G17900	AT2G17900	642
Chr2_7777344.0	2	7777344	1.153437e-09	5	AT2G17900;AT2G17890;AT2G17920;AT2G17930;AT2G17880	AT2G17900	AT2G17900	661
Chr2_7777649.0	2	7777649	1.153437e-09	5	AT2G17900;AT2G17890;AT2G17920;AT2G17930;AT2G17880	AT2G17900	AT2G17900	966
Chr2_7777772.0	2	7777772	1.153437e-09	5	AT2G17900;AT2G17920;AT2G17890;AT2G17930;AT2G17880	AT2G17900	AT2G17900	1089
Chr2_7777897.0	2	7777897	1.153437e-09	5	AT2G17900;AT2G17920;AT2G17890;AT2G17930;AT2G17880	AT2G17900	AT2G17900	1214
Chr2_7777915.0	2	7777915	1.153437e-09	5	AT2G17900;AT2G17920;AT2G17890;AT2G17930;AT2G17880	AT2G17900	AT2G17900	1232
Chr2_7778230.0	2	7778230	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17890;AT2G17930	AT2G17900	AT2G17900	1547
Chr2_7778637.0	2	7778637	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	1954
Chr2_7778690.0	2	7778690	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2007
Chr2_7779040.0	2	7779040	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2357
Chr2_7779167.0	2	7779167	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2484
Chr2_7779173.0	2	7779173	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2490
Chr2_7779196.0	2	7779196	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2513
Chr2_7779224.0	2	7779224	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2541
Chr2_7779338.0	2	7779338	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2655
Chr2_7779404.0	2	7779404	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2721
Chr2_7779522.0	2	7779522	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2839
Chr2_7779556.0	2	7779556	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2873
Chr2_7779655.0	2	7779655	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2972
Chr2_7779676.0	2	7779676	1.153437e-09	4	AT2G17900;AT2G17920;AT2G17930;AT2G17890	AT2G17900	AT2G17900	2993
Chr2_7779702.0	2	7779702	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	3010
Chr2_7779745.0	2	7779745	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2967
Chr2_7779839.0	2	7779839	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2873
Chr2_7780000.0	2	7780000	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2712
Chr2_7780012.0	2	7780012	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2700
Chr2_7780036.0	2	7780036	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2676
Chr2_7780076.0	2	7780076	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2636
Chr2_7780238.0	2	7780238	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2474
Chr2_7780306.0	2	7780306	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2406
Chr2_7780354.0	2	7780354	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2358
Chr2_7780432.0	2	7780432	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2280
Chr2_7780480.0	2	7780480	1.153437e-09	4	AT2G17920;AT2G17900;AT2G17930;AT2G17890	AT2G17920	AT2G17920	2232
Chr2_7780573.0	2	7780573	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	2139
Chr2_7780666.0	2	7780666	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	2046
Chr2_7780726.0	2	7780726	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1986
Chr2_7780819.0	2	7780819	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1893
Chr2_7780828.0	2	7780828	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1884
Chr2_7780914.0	2	7780914	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1798
Chr2_7780975.0	2	7780975	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1737
Chr2_7781021.0	2	7781021	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1691
Chr2_7781177.0	2	7781177	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1535
Chr2_7781224.0	2	7781224	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1488
Chr2_7781294.0	2	7781294	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1418
Chr2_7781434.0	2	7781434	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1278
Chr2_7781479.0	2	7781479	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1233
Chr2_7781665.0	2	7781665	1.153437e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	1047
Chr4_17863404.0	4	17863404	1.30395e-09	9	AT4G38030;AT4G38020;AT4G38010;AT4G38040;AT4G38000;AT4G37990;AT4G38050;AT4G37980;AT4G38052	AT4G38030	AT4G38030	0
Chr2_9530208.0	2	9530208	1.340035e-09	5	AT2G22440;AT2G22450;AT2G22430;AT2G22460;AT2G22470	AT2G22440	AT2G22440	291
Chr2_7782609.0	2	7782609	1.359491e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	103
Chr2_7782617.0	2	7782617	1.359491e-09	4	AT2G17920;AT2G17930;AT2G17900;AT2G17890	AT2G17920	AT2G17920	95
Chr2_7782677.0	2	7782677	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	35
Chr2_7782748.0	2	7782748	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7782755.0	2	7782755	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7782759.0	2	7782759	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7782761.0	2	7782761	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7782765.0	2	7782765	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7782802.0	2	7782802	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7782865.0	2	7782865	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7782867.0	2	7782867	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7783119.0	2	7783119	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7783152.0	2	7783152	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7783329.0	2	7783329	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
Chr2_7783505.0	2	7783505	1.359491e-09	3	AT2G17920;AT2G17930;AT2G17900	AT2G17920	AT2G17920	0
