rs	chr	ps	p_wald	n_genes_25kb	genes_in_25kb	closest_gene	closest_gene_id	closest_gene_distance_bp
S2_51240462	2	51240462	6.477395e-06	1	SORBI_3002G164700	SORBI_3002G164700	SORBI_3002G164700	583
S4_2423743	4	2423743	7.229855e-06	5	SORBI_3004G030200;SORBI_3004G030300;SORBI_3004G030100;SORBI_3004G030400;SORBI_3004G030000	SORBI_3004G030200	SORBI_3004G030200	0
S6_56483441	6	56483441	9.795581e-06	8	SORBI_3006G217000;SORBI_3006G217100;SORBI_3006G217200;SORBI_3006G216900;SORBI_3006G217300;SORBI_3006G217400;SORBI_3006G216800;SORBI_3006G217500	SORBI_3006G217000	SORBI_3006G217000	0
S10_12901092	10	12901092	1.341822e-05	3	SORBI_3010G117450;SORBI_3010G117400;SORBI_3010G117300	SORBI_3010G117450	SORBI_3010G117450	17275
S7_13166702	7	13166702	1.355646e-05	2	SORBI_3007G090412;SORBI_3007G090415	SORBI_3007G090412	SORBI_3007G090412	10034
S7_15139939	7	15139939	1.560992e-05	0	NA	NA	NA	NA
S4_1911691	4	1911691	2.324442e-05	8	SORBI_3004G023400;SORBI_3004G023300;SORBI_3004G023700;SORBI_3004G023500;SORBI_3004G023600;SORBI_3004G023200;SORBI_3004G023100;SORBI_3004G023733	SORBI_3004G023400	SORBI_3004G023400	0
S5_10234987	5	10234987	2.828418e-05	2	SORBI_3005G079025;SORBI_3005G078950	SORBI_3005G079025	SORBI_3005G079025	0
S6_51901003	6	51901003	2.930004e-05	5	SORBI_3006G161000;SORBI_3006G161100;SORBI_3006G161200;SORBI_3006G160900;SORBI_3006G161300	SORBI_3006G161000	SORBI_3006G161000	739
S7_12928570	7	12928570	3.000431e-05	3	SORBI_3007G090200;SORBI_3007G090300;SORBI_3007G090400	SORBI_3007G090200	SORBI_3007G090200	5486
S3_73109960	3	73109960	3.307684e-05	6	SORBI_3003G427600;SORBI_3003G427700;SORBI_3003G427550;SORBI_3003G427800;SORBI_3003G427500;SORBI_3003G427400	SORBI_3003G427600	SORBI_3003G427600	0
S3_72422938	3	72422938	3.384494e-05	12	SORBI_3003G418600;SORBI_3003G418700;SORBI_3003G418500;SORBI_3003G418733;SORBI_3003G418400;SORBI_3003G418766;SORBI_3003G418800;SORBI_3003G418900;SORBI_3003G418300;SORBI_3003G419100;SORBI_3003G419000;SORBI_3003G418200	SORBI_3003G418600	SORBI_3003G418600	2550
S7_16991865	7	16991865	3.508845e-05	0	NA	NA	NA	NA
S7_11500279	7	11500279	3.544244e-05	1	SORBI_3007G086400	SORBI_3007G086400	SORBI_3007G086400	9821
S1_46458064	1	46458064	3.621156e-05	0	NA	NA	NA	NA
S7_16983098	7	16983098	3.714534e-05	0	NA	NA	NA	NA
S7_12700104	7	12700104	3.950605e-05	2	SORBI_3007G089900;SORBI_3007G090001	SORBI_3007G089900	SORBI_3007G089900	701
S3_64723143	3	64723143	3.991458e-05	3	SORBI_3003G319600;SORBI_3003G319500;SORBI_3003G319700	SORBI_3003G319600	SORBI_3003G319600	5325
S4_2391896	4	2391896	3.99887e-05	8	SORBI_3004G029900;SORBI_3004G029800;SORBI_3004G029700;SORBI_3004G030000;SORBI_3004G029651;SORBI_3004G030100;SORBI_3004G030200;SORBI_3004G029601	SORBI_3004G029900	SORBI_3004G029900	3079
S7_11500185	7	11500185	4.026065e-05	1	SORBI_3007G086400	SORBI_3007G086400	SORBI_3007G086400	9915
S4_1872629	4	1872629	4.114749e-05	4	SORBI_3004G023000;SORBI_3004G023100;SORBI_3004G022950;SORBI_3004G023200	SORBI_3004G023000	SORBI_3004G023000	0
S1_3007829	1	3007829	4.294945e-05	6	SORBI_3001G040300;SORBI_3001G040400;SORBI_3001G040500;SORBI_3001G040600;SORBI_3001G040200;SORBI_3001G040100	SORBI_3001G040300	SORBI_3001G040300	0
S3_7501407	3	7501407	4.329429e-05	3	SORBI_3003G086700;SORBI_3003G086800;SORBI_3003G086600	SORBI_3003G086700	SORBI_3003G086700	1949
S7_15790315	7	15790315	4.344844e-05	0	NA	NA	NA	NA
S7_12928703	7	12928703	4.501581e-05	3	SORBI_3007G090200;SORBI_3007G090300;SORBI_3007G090400	SORBI_3007G090200	SORBI_3007G090200	5353
S7_12928708	7	12928708	4.501581e-05	3	SORBI_3007G090200;SORBI_3007G090300;SORBI_3007G090400	SORBI_3007G090200	SORBI_3007G090200	5348
S7_12095950	7	12095950	4.55831e-05	3	SORBI_3007G088200;SORBI_3007G088100;SORBI_3007G088000	SORBI_3007G088200	SORBI_3007G088200	10455
S10_6995022	10	6995022	4.668589e-05	7	SORBI_3010G081800;SORBI_3010G081750;SORBI_3010G081900;SORBI_3010G081950;SORBI_3010G082000;SORBI_3010G081700;SORBI_3010G082100	SORBI_3010G081800	SORBI_3010G081800	3300
S7_12064372	7	12064372	4.830716e-05	2	SORBI_3007G088000;SORBI_3007G087900	SORBI_3007G088000	SORBI_3007G088000	7408
S7_15228883	7	15228883	4.899432e-05	2	SORBI_3007G091400;SORBI_3007G091500	SORBI_3007G091400	SORBI_3007G091400	10435
S5_61103522	5	61103522	4.958802e-05	1	SORBI_3005G145550	SORBI_3005G145550	SORBI_3005G145550	3785
S7_16986622	7	16986622	5.027225e-05	0	NA	NA	NA	NA
S7_15726922	7	15726922	5.216848e-05	1	SORBI_3007G092400	SORBI_3007G092400	SORBI_3007G092400	9350
S7_17353517	7	17353517	5.231999e-05	1	SORBI_3007G094700	SORBI_3007G094700	SORBI_3007G094700	15779
S7_12594361	7	12594361	5.422909e-05	2	SORBI_3007G089300;SORBI_3007G089400	SORBI_3007G089300	SORBI_3007G089300	0
S7_11816022	7	11816022	5.726466e-05	2	SORBI_3007G087300;SORBI_3007G087200	SORBI_3007G087300	SORBI_3007G087300	14619
S7_14639006	7	14639006	5.8274e-05	0	NA	NA	NA	NA
S2_23124050	2	23124050	5.900955e-05	1	SORBI_3002G141900	SORBI_3002G141900	SORBI_3002G141900	0
S7_15402463	7	15402463	5.977264e-05	0	NA	NA	NA	NA
S2_73957069	2	73957069	6.110597e-05	11	SORBI_3002G384300;SORBI_3002G384200;SORBI_3002G384150;THI1-2;SORBI_3002G384100;SORBI_3002G384000;SORBI_3002G384500;SORBI_3002G384600;SORBI_3002G383900;SORBI_3002G383800;SORBI_3002G384700	SORBI_3002G384300	SORBI_3002G384300	0
S2_55928120	2	55928120	6.442461e-05	2	SORBI_3002G178101;SORBI_3002G178200	SORBI_3002G178101	SORBI_3002G178101	11833
S7_12695617	7	12695617	6.640833e-05	2	SORBI_3007G089900;SORBI_3007G090001	SORBI_3007G089900	SORBI_3007G089900	0
S2_60662397	2	60662397	6.82208e-05	6	SORBI_3002G214300;SORBI_3002G214400;SORBI_3002G214200;SORBI_3002G214500;SORBI_3002G214600;SORBI_3002G214700	SORBI_3002G214300	SORBI_3002G214300	1796
S1_26900565	1	26900565	7.899492e-05	4	SORBI_3001G249400;SORBI_3001G249300;SORBI_3001G249500;SORBI_3001G249266	SORBI_3001G249400	SORBI_3001G249400	1114
S10_7004332	10	7004332	8.127868e-05	7	SORBI_3010G081800;SORBI_3010G081900;SORBI_3010G081950;SORBI_3010G082000;SORBI_3010G082100;SORBI_3010G081750;SORBI_3010G082201	SORBI_3010G081800	SORBI_3010G081800	53
S7_55151383	7	55151383	8.372815e-05	1	SORBI_3007G132100	SORBI_3007G132100	SORBI_3007G132100	11404
S2_60663236	2	60663236	8.549032e-05	6	SORBI_3002G214300;SORBI_3002G214400;SORBI_3002G214200;SORBI_3002G214500;SORBI_3002G214600;SORBI_3002G214700	SORBI_3002G214300	SORBI_3002G214300	2635
S7_13649433	7	13649433	8.694436e-05	0	NA	NA	NA	NA
S6_14478935	6	14478935	9.448084e-05	1	SORBI_3006G037700	SORBI_3006G037700	SORBI_3006G037700	8637
S7_12939166	7	12939166	0.0001011894	3	SORBI_3007G090300;SORBI_3007G090200;SORBI_3007G090400	SORBI_3007G090300	SORBI_3007G090300	237
S7_12939168	7	12939168	0.0001011894	3	SORBI_3007G090300;SORBI_3007G090200;SORBI_3007G090400	SORBI_3007G090300	SORBI_3007G090300	235
S7_12939211	7	12939211	0.0001011894	3	SORBI_3007G090300;SORBI_3007G090200;SORBI_3007G090400	SORBI_3007G090300	SORBI_3007G090300	192
S6_37668711	6	37668711	0.0001098678	0	NA	NA	NA	NA
S2_23030503	2	23030503	0.0001157825	2	SORBI_3002G141600;SORBI_3002G141700	SORBI_3002G141600	SORBI_3002G141600	16901
S2_23046858	2	23046858	0.0001157825	2	SORBI_3002G141600;SORBI_3002G141700	SORBI_3002G141600	SORBI_3002G141600	546
S4_1872631	4	1872631	0.0001169719	4	SORBI_3004G023000;SORBI_3004G023100;SORBI_3004G022950;SORBI_3004G023200	SORBI_3004G023000	SORBI_3004G023000	0
S7_12810119	7	12810119	0.0001218619	1	SORBI_3007G090100	SORBI_3007G090100	SORBI_3007G090100	5695
S7_55980389	7	55980389	0.0001276801	6	SORBI_3007G134600;SORBI_3007G134650;SORBI_3007G134700;SORBI_3007G134800;SORBI_3007G134900;SORBI_3007G135000	SORBI_3007G134600	SORBI_3007G134600	0
S1_18030102	1	18030102	0.0001278047	3	SORBI_3001G199200;SORBI_3001G199300;SORBI_3001G199400	SORBI_3001G199200	SORBI_3001G199200	4572
S1_18030100	1	18030100	0.0001285038	3	SORBI_3001G199200;SORBI_3001G199300;SORBI_3001G199400	SORBI_3001G199200	SORBI_3001G199200	4574
S5_3070471	5	3070471	0.0001343827	7	SORBI_3005G034000;SORBI_3005G033900;SORBI_3005G034100;SORBI_3005G034200;SORBI_3005G033801;SORBI_3005G034300;SORBI_3005G034400	SORBI_3005G034000	SORBI_3005G034000	160
S1_26888429	1	26888429	0.0001347315	4	SORBI_3001G249300;SORBI_3001G249266;SORBI_3001G249400;SORBI_3001G249233	SORBI_3001G249300	SORBI_3001G249300	0
S3_69379197	3	69379197	0.0001348072	7	SORBI_3003G379900;SORBI_3003G380000;SORBI_3003G379800;SORBI_3003G380100;SORBI_3003G380200;SORBI_3003G379700;SORBI_3003G380300	SORBI_3003G379900	SORBI_3003G379900	832
S1_17657185	1	17657185	0.0001391774	2	SORBI_3001G196200;SORBI_3001G196100	SORBI_3001G196200	SORBI_3001G196200	20761
S5_59929354	5	59929354	0.0001404229	0	NA	NA	NA	NA
S8_3805014	8	3805014	0.0001463718	1	SORBI_3008G039501	SORBI_3008G039501	SORBI_3008G039501	13729
S10_1748364	10	1748364	0.0001671177	5	SORBI_3010G021800;SORBI_3010G021700;SORBI_3010G021600;SORBI_3010G021500;SORBI_3010G021900	SORBI_3010G021800	SORBI_3010G021800	0
S2_73973890	2	73973890	0.0001678459	12	SORBI_3002G384600;SORBI_3002G384500;SORBI_3002G384700;THI1-2;SORBI_3002G384800;SORBI_3002G384900;SORBI_3002G384300;SORBI_3002G385000;SORBI_3002G384200;SORBI_3002G385100;SORBI_3002G385200;SORBI_3002G384150	SORBI_3002G384600	SORBI_3002G384600	0
S4_1781035	4	1781035	0.0001711431	6	SORBI_3004G022800;SORBI_3004G022700;SORBI_3004G022850;SORBI_3004G022600;SORBI_3004G022500;SORBI_3004G022432	SORBI_3004G022800	SORBI_3004G022800	2062
S4_1903303	4	1903303	0.0001807763	7	SORBI_3004G023300;SORBI_3004G023200;SORBI_3004G023400;SORBI_3004G023100;SORBI_3004G023700;SORBI_3004G023500;SORBI_3004G023600	SORBI_3004G023300	SORBI_3004G023300	2156
S5_54517717	5	54517717	0.0001821371	4	SORBI_3005G124400;SORBI_3005G124300;SORBI_3005G124350;SORBI_3005G124200	SORBI_3005G124400	SORBI_3005G124400	0
S4_6570315	4	6570315	0.0001824496	6	SORBI_3004G079900;SORBI_3004G080000;SORBI_3004G080100;SORBI_3004G079800;SORBI_3004G080200;SORBI_3004G079700	SORBI_3004G079900	SORBI_3004G079900	0
S7_14791484	7	14791484	0.0001828418	1	SORBI_3007G091100	SORBI_3007G091100	SORBI_3007G091100	10973
S6_10562370	6	10562370	0.0001905401	3	SORBI_3006G035200;SORBI_3006G035300;SORBI_3006G035350	SORBI_3006G035200	SORBI_3006G035200	0
S10_48005128	10	48005128	0.0001978973	0	NA	NA	NA	NA
S6_40423088	6	40423088	0.0001999786	2	SORBI_3006G058000;SORBI_3006G058100	SORBI_3006G058000	SORBI_3006G058000	3747
S5_52527107	5	52527107	0.0001999912	1	SORBI_3005G120400	SORBI_3005G120400	SORBI_3005G120400	1592
S5_52526748	5	52526748	0.0002014272	1	SORBI_3005G120400	SORBI_3005G120400	SORBI_3005G120400	1951
S1_64811693	1	64811693	0.0002035078	7	SORBI_3001G358366;SORBI_3001G358300;SORBI_3001G358432;SORBI_3001G358500;SORBI_3001G358200;SORBI_3001G358600;SORBI_3001G358700	SORBI_3001G358366	SORBI_3001G358366	4392
S1_64742496	1	64742496	0.0002291948	8	SORBI_3001G357700;SORBI_3001G357650;SORBI_3001G357600;SORBI_3001G357500;SORBI_3001G357800;SORBI_3001G357400;SORBI_3001G357900;SORBI_3001G357300	SORBI_3001G357700	SORBI_3001G357700	3900
S3_67931777	3	67931777	0.0002292757	8	SORBI_3003G361500;SORBI_3003G361600;SORBI_3003G361400;SORBI_3003G361700;SORBI_3003G361800;SORBI_3003G361300;SORBI_3003G361900;SORBI_3003G362000	SORBI_3003G361500	SORBI_3003G361500	0
S10_54788929	10	54788929	0.0002395708	2	SORBI_3010G205200;SORBI_3010G205300	SORBI_3010G205200	SORBI_3010G205200	14566
S10_6084376	10	6084376	0.0002450958	9	SORBI_3010G074700;SORBI_3010G074800;SORBI_3010G074600;SORBI_3010G074900;SORBI_3010G074500;SORBI_3010G074920;SORBI_3010G074432;SORBI_3010G074366;SORBI_3010G074300	SORBI_3010G074700	SORBI_3010G074700	469
S3_50827400	3	50827400	0.0002589683	4	SORBI_3003G188801;SORBI_3003G188700;SORBI_3003G188600;SORBI_3003G188500	SORBI_3003G188801	SORBI_3003G188801	0
S5_61065980	5	61065980	0.0002601754	3	SORBI_3005G145400;SORBI_3005G145300;SORBI_3005G145201	SORBI_3005G145400	SORBI_3005G145400	4526
S1_17601964	1	17601964	0.0002699438	5	SORBI_3001G195932;SORBI_3001G195800;SORBI_3001G196000;SORBI_3001G195866;SORBI_3001G195700	SORBI_3001G195932	SORBI_3001G195932	0
S1_71798110	1	71798110	0.0002707459	8	SORBI_3001G440000;SORBI_3001G439900;SORBI_3001G440100;SORBI_3001G439850;SORBI_3001G439800;SORBI_3001G440200;SORBI_3001G439700;SORBI_3001G440300	SORBI_3001G440000	SORBI_3001G440000	0
S5_52527012	5	52527012	0.00028882	1	SORBI_3005G120400	SORBI_3005G120400	SORBI_3005G120400	1687
S7_15203496	7	15203496	0.0003001625	2	SORBI_3007G091400;SORBI_3007G091500	SORBI_3007G091400	SORBI_3007G091400	4298
S10_60435208	10	60435208	0.0003047614	7	SORBI_3010G264900;SORBI_3010G270100;SORBI_3010G269950;SORBI_3010G269800;SORBI_3010G265100;SORBI_3010G267651;SORBI_3010G270200	SORBI_3010G264900	SORBI_3010G264900	1437
S7_8797997	7	8797997	0.0003073361	1	SORBI_3007G076100	SORBI_3007G076100	SORBI_3007G076100	15895
S7_13962176	7	13962176	0.0003081399	1	SORBI_3007G090460	SORBI_3007G090460	SORBI_3007G090460	20768
S2_60663237	2	60663237	0.0003101173	6	SORBI_3002G214300;SORBI_3002G214400;SORBI_3002G214200;SORBI_3002G214500;SORBI_3002G214600;SORBI_3002G214700	SORBI_3002G214300	SORBI_3002G214300	2636
S5_10266772	5	10266772	0.0003141364	1	SORBI_3005G079100	SORBI_3005G079100	SORBI_3005G079100	2877
S1_64947137	1	64947137	0.000324716	8	SORBI_3001G359800;SORBI_3001G359700;SORBI_3001G359900;SORBI_3001G359601;SORBI_3001G360000;SORBI_3001G359500;SORBI_3001G359400;SORBI_3001G360200	SORBI_3001G359800	SORBI_3001G359800	0
S7_16659083	7	16659083	0.0003350514	0	NA	NA	NA	NA
S1_3082098	1	3082098	0.0003375329	8	SORBI_3001G041450;SORBI_3001G041400;SORBI_3001G041500;SORBI_3001G041600;SORBI_3001G041700;SORBI_3001G041300;SORBI_3001G041200;SORBI_3001G041100	SORBI_3001G041450	SORBI_3001G041450	278
S7_17463517	7	17463517	0.00033828	0	NA	NA	NA	NA
S7_13649137	7	13649137	0.0003461554	0	NA	NA	NA	NA
S3_72483744	3	72483744	0.0003541688	6	SORBI_3003G419600;SORBI_3003G419500;SORBI_3003G419400;SORBI_3003G419700;SORBI_3003G419300;SORBI_3003G419200	SORBI_3003G419600	SORBI_3003G419600	2693
S10_48005107	10	48005107	0.0003618732	0	NA	NA	NA	NA
S7_17339156	7	17339156	0.0003620386	0	NA	NA	NA	NA
S2_50137698	2	50137698	0.0003669858	0	NA	NA	NA	NA
S1_49036242	1	49036242	0.0003737141	4	SORBI_3001G264300;SORBI_3001G264400;SORBI_3001G264201;SORBI_3001G264100	SORBI_3001G264300	SORBI_3001G264300	1941
S3_8279439	3	8279439	0.0003750558	4	SORBI_3003G095100;SORBI_3003G095150;SORBI_3003G095000;SORBI_3003G094900	SORBI_3003G095100	SORBI_3003G095100	0
S7_16318006	7	16318006	0.0003790861	0	NA	NA	NA	NA
S3_65599263	3	65599263	0.0003943301	6	SORBI_3003G331100;SORBI_3003G331200;SORBI_3003G331300;SORBI_3003G331400;SORBI_3003G331000;SORBI_3003G330900	SORBI_3003G331100	SORBI_3003G331100	0
S4_2478172	4	2478172	0.0003992898	9	SORBI_3004G030850;SORBI_3004G030900;SORBI_3004G030800;SORBI_3004G031001;SORBI_3004G030750;SORBI_3004G031100;SORBI_3004G031200;SORBI_3004G030700;SORBI_3004G030600	SORBI_3004G030850	SORBI_3004G030850	0
S7_12904877	7	12904877	0.0004036691	0	NA	NA	NA	NA
S7_17046494	7	17046494	0.0004045745	0	NA	NA	NA	NA
S3_65599276	3	65599276	0.0004141065	6	SORBI_3003G331100;SORBI_3003G331200;SORBI_3003G331300;SORBI_3003G331400;SORBI_3003G331000;SORBI_3003G330900	SORBI_3003G331100	SORBI_3003G331100	0
S5_50248167	5	50248167	0.0004221452	0	NA	NA	NA	NA
S1_17603672	1	17603672	0.000427	6	SORBI_3001G195932;SORBI_3001G196000;SORBI_3001G195800;SORBI_3001G195866;SORBI_3001G195700;SORBI_3001G196100	SORBI_3001G195932	SORBI_3001G195932	111
S7_17315061	7	17315061	0.0004279506	1	SORBI_3007G094600	SORBI_3007G094600	SORBI_3007G094600	11075
S9_96126	9	96126	0.0004358462	5	SORBI_3009G000900;SORBI_3009G000801;SORBI_3009G000700;SORBI_3009G000600;SORBI_3009G000500	SORBI_3009G000900	SORBI_3009G000900	2340
S5_60238257	5	60238257	0.0004370449	1	SORBI_3005G141600	SORBI_3005G141600	SORBI_3005G141600	16192
S9_55375109	9	55375109	0.0004371974	10	SORBI_3009G205400;SORBI_3009G205500;SORBI_3009G205300;SORBI_3009G205600;SORBI_3009G205700;SORBI_3009G205200;SORBI_3009G205800;SORBI_3009G205100;SORBI_3009G205000;SORBI_3009G205900	SORBI_3009G205400	SORBI_3009G205400	0
S1_24718771	1	24718771	0.0004381798	5	SORBI_3001G240500;SORBI_3001G240400;SORBI_3001G240300;SORBI_3001G240100;SORBI_3001G240600	SORBI_3001G240500	SORBI_3001G240500	370
S7_15368949	7	15368949	0.000444092	1	SORBI_3007G091800	SORBI_3007G091800	SORBI_3007G091800	1053
S1_7990774	1	7990774	0.0004502541	8	SORBI_3001G104300;SORBI_3001G104100;SORBI_3001G104400;SORBI_3001G104000;SORBI_3001G104050;SORBI_3001G104500;SORBI_3001G103900;SORBI_3001G104550	SORBI_3001G104300	SORBI_3001G104300	3334
S7_15203334	7	15203334	0.0004518535	2	SORBI_3007G091400;SORBI_3007G091500	SORBI_3007G091400	SORBI_3007G091400	4460
S7_15203358	7	15203358	0.0004518535	2	SORBI_3007G091400;SORBI_3007G091500	SORBI_3007G091400	SORBI_3007G091400	4436
S7_15385333	7	15385333	0.0004607958	1	SORBI_3007G091800	SORBI_3007G091800	SORBI_3007G091800	14450
S9_52183285	9	52183285	0.0004660663	8	SORBI_3009G165600;SORBI_3009G165700;SORBI_3009G165500;SORBI_3009G165400;SORBI_3009G165800;SORBI_3009G165900;SORBI_3009G165950;SORBI_3009G165300	SORBI_3009G165600	SORBI_3009G165600	0
S2_62047470	2	62047470	0.000482335	6	SORBI_3002G229250;SORBI_3002G229300;SORBI_3002G229400;SORBI_3002G229200;SORBI_3002G229100;SORBI_3002G229500	SORBI_3002G229250	SORBI_3002G229250	397
S2_62047471	2	62047471	0.000482335	6	SORBI_3002G229250;SORBI_3002G229300;SORBI_3002G229400;SORBI_3002G229200;SORBI_3002G229100;SORBI_3002G229500	SORBI_3002G229250	SORBI_3002G229250	396
S9_6837125	9	6837125	0.0004832661	3	SORBI_3009G064250;SORBI_3009G064300;SORBI_3009G064200	SORBI_3009G064250	SORBI_3009G064250	11195
S9_6837242	9	6837242	0.0004832661	3	SORBI_3009G064250;SORBI_3009G064300;SORBI_3009G064200	SORBI_3009G064250	SORBI_3009G064250	11312
S8_1957929	8	1957929	0.0004903473	5	SORBI_3008G022200;SORBI_3008G022300;SORBI_3008G022400;SORBI_3008G022500;SORBI_3008G022100	SORBI_3008G022200	SORBI_3008G022200	0
S5_52527030	5	52527030	0.000492438	1	SORBI_3005G120400	SORBI_3005G120400	SORBI_3005G120400	1669
S7_16810224	7	16810224	0.0005209075	0	NA	NA	NA	NA
S6_4657970	6	4657970	0.0005328185	3	SORBI_3006G025900;SORBI_3006G026000;SORBI_3006G026100	SORBI_3006G025900	SORBI_3006G025900	11342
S7_12584755	7	12584755	0.0005462987	1	SORBI_3007G089300	SORBI_3007G089300	SORBI_3007G089300	0
S7_12584759	7	12584759	0.0005462987	1	SORBI_3007G089300	SORBI_3007G089300	SORBI_3007G089300	0
S6_60909761	6	60909761	0.0005489054	11	SORBI_3006G278500;SORBI_3006G278400;SORBI_3006G278600;SORBI_3006G278700;SORBI_3006G278300;SORBI_3006G278200;SORBI_3006G278800;SORBI_3006G278900;SORBI_3006G278100;SORBI_3006G278000;SORBI_3006G278950	SORBI_3006G278500	SORBI_3006G278500	0
S10_45986526	10	45986526	0.0005673838	3	SORBI_3010G156100;SORBI_3010G156000;SORBI_3010G155901	SORBI_3010G156100	SORBI_3010G156100	2217
S6_48606391	6	48606391	0.0005696085	8	SORBI_3006G118850;SORBI_3006G118800;SORBI_3006G118900;SORBI_3006G119000;SORBI_3006G119100;SORBI_3006G118700;SORBI_3006G119200;SORBI_3006G118500	SORBI_3006G118850	SORBI_3006G118850	491
S1_3165094	1	3165094	0.0005761612	7	SORBI_3001G042600;SORBI_3001G042500;SORBI_3001G042400;SORBI_3001G042700;SORBI_3001G042301;SORBI_3001G042200;SORBI_3001G042800	SORBI_3001G042600	SORBI_3001G042600	1922
S2_25323426	2	25323426	0.0005867262	1	SORBI_3002G143500	SORBI_3002G143500	SORBI_3002G143500	0
S10_8967625	10	8967625	0.0005914734	8	SORBI_3010G099100;SORBI_3010G099000;SORBI_3010G099200;SORBI_3010G099300;SORBI_3010G098932;SORBI_3010G099400;SORBI_3010G098866;SORBI_3010G099500	SORBI_3010G099100	SORBI_3010G099100	0
S9_52617809	9	52617809	0.000598235	7	SORBI_3009G170500;SORBI_3009G170550;SORBI_3009G170600;SORBI_3009G170400;SORBI_3009G170301;SORBI_3009G170200;SORBI_3009G170700	SORBI_3009G170500	SORBI_3009G170500	1442
S5_10058190	5	10058190	0.000606107	1	SORBI_3005G078500	SORBI_3005G078500	SORBI_3005G078500	10767
S10_6083386	10	6083386	0.0006063032	9	SORBI_3010G074700;SORBI_3010G074800;SORBI_3010G074600;SORBI_3010G074900;SORBI_3010G074500;SORBI_3010G074920;SORBI_3010G074432;SORBI_3010G074366;SORBI_3010G074300	SORBI_3010G074700	SORBI_3010G074700	0
S7_12986834	7	12986834	0.0006284842	0	NA	NA	NA	NA
S7_12927838	7	12927838	0.0006470439	3	SORBI_3007G090200;SORBI_3007G090300;SORBI_3007G090400	SORBI_3007G090200	SORBI_3007G090200	6218
S7_12927846	7	12927846	0.0006470439	3	SORBI_3007G090200;SORBI_3007G090300;SORBI_3007G090400	SORBI_3007G090200	SORBI_3007G090200	6210
S1_41370348	1	41370348	0.0006475365	0	NA	NA	NA	NA
S1_33098008	1	33098008	0.0006544442	0	NA	NA	NA	NA
S7_11122353	7	11122353	0.0006561864	1	SORBI_3007G086032	SORBI_3007G086032	SORBI_3007G086032	23176
S1_68461413	1	68461413	0.0006581548	5	SORBI_3001G398800;SORBI_3001G398700;SORBI_3001G398950;SORBI_3001G398600;SORBI_3001G399100	SORBI_3001G398800	SORBI_3001G398800	1429
S7_12939752	7	12939752	0.0006603373	3	SORBI_3007G090300;SORBI_3007G090400;SORBI_3007G090200	SORBI_3007G090300	SORBI_3007G090300	0
S7_12939754	7	12939754	0.0006603373	3	SORBI_3007G090300;SORBI_3007G090400;SORBI_3007G090200	SORBI_3007G090300	SORBI_3007G090300	0
S1_49648795	1	49648795	0.000669597	0	NA	NA	NA	NA
S7_12594462	7	12594462	0.0006727992	2	SORBI_3007G089300;SORBI_3007G089400	SORBI_3007G089300	SORBI_3007G089300	0
