rs	chr	ps	p_wald	n_genes_25kb	genes_in_25kb	closest_gene	closest_gene_id	closest_gene_distance_bp
S1_165966743	1	165966743	8.185483e-05	1	Zm00001eb030190	Zm00001eb030190	Zm00001eb030190	5422
S9_143809457	9	143809457	8.215062e-05	4	Zm00001eb397000;Zm00001eb396990;Zm00001eb397010;Zm00001eb397020	Zm00001eb397000	Zm00001eb397000	0
S8_176951330	8	176951330	8.262439e-05	2	Zm00001eb368900;Zm00001eb368910	Zm00001eb368900	Zm00001eb368900	0
S3_61206466	3	61206466	8.350575e-05	1	Zm00001eb131150	Zm00001eb131150	Zm00001eb131150	0
S2_5285950	2	5285950	8.626223e-05	8	Zm00001eb068280;Zm00001eb068270;Zm00001eb068290;Zm00001eb068300;Zm00001eb068310;Zm00001eb068320;Zm00001eb068330;Zm00001eb068340	Zm00001eb068280	Zm00001eb068280	1954
S5_219292015	5	219292015	8.716398e-05	4	Zm00001eb256330;Zm00001eb256340;Zm00001eb256350;Zm00001eb256360	Zm00001eb256330	Zm00001eb256330	152
S3_163427466	3	163427466	8.809239e-05	1	Zm00001eb143360	Zm00001eb143360	Zm00001eb143360	1566
S5_207916532	5	207916532	9.200775e-05	4	Zm00001eb251660;Zm00001eb251670;aox1;EAT1	Zm00001eb251660	Zm00001eb251660	1671
S3_164769829	3	164769829	9.383242e-05	1	Zm00001eb143640	Zm00001eb143640	Zm00001eb143640	11361
S10_72463703	10	72463703	9.565964e-05	2	Zm00001eb414790;Zm00001eb414780	Zm00001eb414790	Zm00001eb414790	0
S5_103781454	5	103781454	9.677886e-05	0	NA	NA	NA	NA
S6_7272323	6	7272323	9.911181e-05	4	Zm00001eb260320;Zm00001eb260310;Zm00001eb260330;Zm00001eb260300	Zm00001eb260320	Zm00001eb260320	1093
S6_176137294	6	176137294	0.0001052941	6	EREB165;Zm00001eb295940;Zm00001eb295950;Zm00001eb295960;Zm00001eb295970;Zm00001eb295980	EREB165	Zm00001eb295930	0
S4_165440516	4	165440516	0.0001100923	4	DOF5.6_0;PCMP-E87_0;Zm00001eb188440;Zm00001eb188470	DOF5.6_0	Zm00001eb188460	0
S8_69356367	8	69356367	0.0001115309	1	Zm00001eb343460	Zm00001eb343460	Zm00001eb343460	276
S7_8644840	7	8644840	0.0001162944	2	Zm00001eb301000;Zm00001eb300990	Zm00001eb301000	Zm00001eb301000	0
S1_8240557	1	8240557	0.0001166943	4	Zm00001eb003020;Zm00001eb003030;Orphan357;Zm00001eb003000	Zm00001eb003020	Zm00001eb003020	0
S4_163423404	4	163423404	0.0001197035	2	Zm00001eb187950;Zm00001eb187960	Zm00001eb187950	Zm00001eb187950	0
S3_219121063	3	219121063	0.0001201916	4	Zm00001eb158110;Zm00001eb158120;Zm00001eb158130;Zm00001eb158140	Zm00001eb158110	Zm00001eb158110	0
S1_26806682	1	26806682	0.0001202262	2	Zm00001eb008720;ATP4	Zm00001eb008720	Zm00001eb008720	24
S1_165966773	1	165966773	0.0001204326	1	Zm00001eb030190	Zm00001eb030190	Zm00001eb030190	5452
S3_224950963	3	224950963	0.0001257563	4	Zm00001eb160050;Zm00001eb160040;ZmGR2c;Zm00001eb160030	Zm00001eb160050	Zm00001eb160050	0
S7_169583192	7	169583192	0.0001271415	2	Zm00001eb325550;Zm00001eb325560	Zm00001eb325550	Zm00001eb325550	560
S8_12021955	8	12021955	0.0001283252	1	Zm00001eb335100	Zm00001eb335100	Zm00001eb335100	123
S10_132692007	10	132692007	0.0001287307	1	Zm00001eb426360	Zm00001eb426360	Zm00001eb426360	3263
S2_194677671	2	194677671	0.0001306476	2	HSP81-3;Zm00001eb101740	HSP81-3	Zm00001eb101750	0
S1_144608933	1	144608933	0.0001341811	1	SRF6_2	SRF6_2	Zm00001eb027970	0
S9_132996262	9	132996262	0.0001395847	1	Zm00001eb394120	Zm00001eb394120	Zm00001eb394120	0
S2_16924133	2	16924133	0.0001431745	2	Zm00001eb073490;Zm00001eb073480	Zm00001eb073490	Zm00001eb073490	650
S6_160806715	6	160806715	0.0001436263	1	Zm00001eb289000	Zm00001eb289000	Zm00001eb289000	5235
S2_176294365	2	176294365	0.0001463353	3	Zm00001eb097360;Zm00001eb097340;Zm00001eb097350	Zm00001eb097360	Zm00001eb097360	0
S8_145639443	8	145639443	0.0001473681	3	Zm00001eb357790;Zm00001eb357800;MYBR35	Zm00001eb357790	Zm00001eb357790	222
S7_172006951	7	172006951	0.0001476477	3	Zm00001eb326620;Zm00001eb326610;Zm00001eb326600	Zm00001eb326620	Zm00001eb326620	787
S2_232921059	2	232921059	0.0001491317	2	At1g64760_2;Zm00001eb114320	At1g64760_2	Zm00001eb114330	0
S9_141334198	9	141334198	0.000153	5	Zm00001eb396090;EZ2;Zm00001eb396100;Zm00001eb396080;Zm00001eb396110	Zm00001eb396090	Zm00001eb396090	0
S10_97213358	10	97213358	0.000156033	2	Zm00001eb418880;Zm00001eb418890	Zm00001eb418880	Zm00001eb418880	0
S3_115768738	3	115768738	0.0001599384	0	NA	NA	NA	NA
S8_69356362	8	69356362	0.0001609407	1	Zm00001eb343460	Zm00001eb343460	Zm00001eb343460	271
S2_235184600	2	235184600	0.0001632007	1	Zm00001eb114990	Zm00001eb114990	Zm00001eb114990	0
S5_2651062	5	2651062	0.0001675939	5	Zm00001eb211700;Zm00001eb211710;Zm00001eb211720;Zm00001eb211690;Zm00001eb211730	Zm00001eb211700	Zm00001eb211700	0
S6_138979187	6	138979187	0.0001677071	1	Zm00001eb282990	Zm00001eb282990	Zm00001eb282990	1250
S2_23241956	2	23241956	0.0001703372	4	Zm00001eb075250;Zm00001eb075260;Zm00001eb075270;Zm00001eb075280	Zm00001eb075250	Zm00001eb075250	7058
S1_41370234	1	41370234	0.0001713624	2	Zm00001eb012560;Zm00001eb012570	Zm00001eb012560	Zm00001eb012560	0
S4_248056570	4	248056570	0.0001740531	2	Zm00001eb209080;Zm00001eb209090	Zm00001eb209080	Zm00001eb209080	0
S4_36625714	4	36625714	0.0001749842	1	Zm00001eb172910	Zm00001eb172910	Zm00001eb172910	0
S2_170094352	2	170094352	0.0001798787	2	Zm00001eb096070;Zm00001eb096060	Zm00001eb096070	Zm00001eb096070	0
S1_286290094	1	286290094	0.0001828698	1	Zm00001eb058240	Zm00001eb058240	Zm00001eb058240	0
S5_32089725	5	32089725	0.0001840199	7	Zm00001eb222240;Zm00001eb222250;Zm00001eb222230;Zm00001eb222220;Zm00001eb222210;Zm00001eb222200;Zm00001eb222190	Zm00001eb222240	Zm00001eb222240	59
S6_38834436	6	38834436	0.0001857786	0	NA	NA	NA	NA
S3_230739807	3	230739807	0.0001871264	5	Zm00001eb161970;Zm00001eb161950;Zm00001eb161960;Zm00001eb161940;Zm00001eb161980	Zm00001eb161970	Zm00001eb161970	0
S1_66301638	1	66301638	0.0001882221	1	Zm00001eb018610	Zm00001eb018610	Zm00001eb018610	0
S3_213475805	3	213475805	0.0001902899	3	DTX14_1;Zm00001eb156540;Zm00001eb156550	DTX14_1	Zm00001eb156530	0
S1_35722451	1	35722451	0.0001913281	3	Zm00001eb011100;Zm00001eb011110;Zm00001eb011090	Zm00001eb011100	Zm00001eb011100	0
S8_62894705	8	62894705	0.0001918988	0	NA	NA	NA	NA
S8_162406006	8	162406006	0.000192808	1	YUC2	YUC2	Zm00001eb362000	11230
S9_144105722	9	144105722	0.0001945332	1	YIPF7_0	YIPF7_0	Zm00001eb397070	0
S4_52619446	4	52619446	0.0001948674	1	Zm00001eb175850	Zm00001eb175850	Zm00001eb175850	0
S3_213475809	3	213475809	0.0001980453	3	DTX14_1;Zm00001eb156540;Zm00001eb156550	DTX14_1	Zm00001eb156530	0
S2_203068501	2	203068501	0.0002042667	6	Zm00001eb103990;Zm00001eb103980;Zm00001eb103970;Zm00001eb103960;Zm00001eb103950;Zm00001eb103940	Zm00001eb103990	Zm00001eb103990	650
S4_195465360	4	195465360	0.0002047388	1	Zm00001eb197300	Zm00001eb197300	Zm00001eb197300	0
S9_128791675	9	128791675	0.0002050928	1	Zm00001eb393050	Zm00001eb393050	Zm00001eb393050	0
S3_163427443	3	163427443	0.0002069765	1	Zm00001eb143360	Zm00001eb143360	Zm00001eb143360	1543
S5_135110793	5	135110793	0.0002070907	1	Zm00001eb237210	Zm00001eb237210	Zm00001eb237210	0
S5_212858792	5	212858792	0.0002085384	3	ORRM1;Zm00001eb253570;Zm00001eb253580	ORRM1	Zm00001eb253560	0
S7_163586821	7	163586821	0.0002104401	3	Zm00001eb323220;Zm00001eb323210;Zm00001eb323230	Zm00001eb323220	Zm00001eb323220	0
S1_106265782	1	106265782	0.0002120868	1	Zm00001eb025100	Zm00001eb025100	Zm00001eb025100	0
S6_171960899	6	171960899	0.0002163236	1	Zm00001eb293730	Zm00001eb293730	Zm00001eb293730	4259
S6_176155729	6	176155729	0.00021763	6	Zm00001eb295980;Zm00001eb295970;Zm00001eb295960;Zm00001eb295950;Zm00001eb295940;EREB165	Zm00001eb295980	Zm00001eb295980	0
S6_152581229	6	152581229	0.0002178517	1	Zm00001eb286490	Zm00001eb286490	Zm00001eb286490	0
S1_234173686	1	234173686	0.0002199606	2	Zm00001eb044970;Zm00001eb044960	Zm00001eb044970	Zm00001eb044970	0
S3_213475808	3	213475808	0.0002215147	3	DTX14_1;Zm00001eb156540;Zm00001eb156550	DTX14_1	Zm00001eb156530	0
S3_4410057	3	4410057	0.0002217935	4	Zm00001eb120370;RLK;Zm00001eb120380;Zm00001eb120390	Zm00001eb120370	Zm00001eb120370	60
S7_163586800	7	163586800	0.000222482	3	Zm00001eb323220;Zm00001eb323210;Zm00001eb323230	Zm00001eb323220	Zm00001eb323220	0
S3_4409585	3	4409585	0.000223924	4	Zm00001eb120370;RLK;Zm00001eb120380;Zm00001eb120390	Zm00001eb120370	Zm00001eb120370	532
S5_17151043	5	17151043	0.0002243762	3	Zm00001eb218590;Zm00001eb218580;Zm00001eb218600	Zm00001eb218590	Zm00001eb218590	0
S8_151365410	8	151365410	0.0002263088	0	NA	NA	NA	NA
S4_74117005	4	74117005	0.0002310151	1	Zm00001eb178280	Zm00001eb178280	Zm00001eb178280	0
S2_194676835	2	194676835	0.0002310682	2	HSP81-3;Zm00001eb101740	HSP81-3	Zm00001eb101750	0
S5_103798178	5	103798178	0.0002326077	1	SAUR39_12	SAUR39_12	Zm00001eb234990	21199
S3_108179676	3	108179676	0.0002358723	0	NA	NA	NA	NA
S5_169687001	5	169687001	0.0002377985	2	Zm00001eb242100;Zm00001eb242110	Zm00001eb242100	Zm00001eb242100	0
S5_103819302	5	103819302	0.0002389221	3	SAUR39_12;EBP2_1;Zm00001eb235010	SAUR39_12	Zm00001eb234990	75
S6_38834442	6	38834442	0.0002401898	0	NA	NA	NA	NA
S7_181045549	7	181045549	0.0002429589	1	Zm00001eb330070	Zm00001eb330070	Zm00001eb330070	16
S9_145851676	9	145851676	0.0002471602	1	Zm00001eb397710	Zm00001eb397710	Zm00001eb397710	0
S8_153500618	8	153500618	0.0002483246	2	Zm00001eb359850;Zm00001eb359860	Zm00001eb359850	Zm00001eb359850	10213
S10_112682967	10	112682967	0.0002492245	2	Zm00001eb421240;Zm00001eb421230	Zm00001eb421240	Zm00001eb421240	4930
S7_33197144	7	33197144	0.0002508817	1	Zm00001eb305460	Zm00001eb305460	Zm00001eb305460	0
S5_17151045	5	17151045	0.0002539614	3	Zm00001eb218590;Zm00001eb218580;Zm00001eb218600	Zm00001eb218590	Zm00001eb218590	0
S3_213475801	3	213475801	0.0002552206	3	DTX14_1;Zm00001eb156540;Zm00001eb156550	DTX14_1	Zm00001eb156530	0
S3_203555998	3	203555998	0.0002557939	4	PERK1_6;Zm00001eb153360;Zm00001eb153350;Zm00001eb153340	PERK1_6	Zm00001eb153370	0
S6_130399405	6	130399405	0.0002564808	1	Zm00001eb280880	Zm00001eb280880	Zm00001eb280880	0
S5_220123558	5	220123558	0.0002578868	5	Zm00001eb256740;Zm00001eb256750;Zm00001eb256760;Zm00001eb256770;Zm00001eb256780	Zm00001eb256740	Zm00001eb256740	0
S7_174112987	7	174112987	0.00025849	5	Zm00001eb327220;Zm00001eb327230;Zm00001eb327240;Zm00001eb327250;UP3	Zm00001eb327220	Zm00001eb327220	0
S3_213475820	3	213475820	0.0002585154	3	DTX14_1;Zm00001eb156540;Zm00001eb156550	DTX14_1	Zm00001eb156530	0
S10_4062241	10	4062241	0.0002589734	4	Zm00001eb406290;Zm00001eb406300;Zm00001eb406280;Zm00001eb406270	Zm00001eb406290	Zm00001eb406290	324
S10_1421460	10	1421460	0.0002617053	11	Zm00001eb405120;Zm00001eb405130;Zm00001eb405100;Zm00001eb405110;Zm00001eb405090;Zm00001eb405140;Zm00001eb405080;NH5.1_1;LECRK91_9;Zm00001eb405070;ASMT3_0	Zm00001eb405120	Zm00001eb405120	466
S2_23241959	2	23241959	0.0002624459	4	Zm00001eb075250;Zm00001eb075260;Zm00001eb075270;Zm00001eb075280	Zm00001eb075250	Zm00001eb075250	7061
S5_54992930	5	54992930	0.0002628057	1	Zm00001eb226360	Zm00001eb226360	Zm00001eb226360	0
S10_113756035	10	113756035	0.0002665428	0	NA	NA	NA	NA
S8_19057465	8	19057465	0.0002684567	6	Zm00001eb337010;Zm00001eb337000;Zm00001eb336990;Zm00001eb336980;Zm00001eb336970;Zm00001eb336960	Zm00001eb337010	Zm00001eb337010	1221
S4_177887694	4	177887694	0.0002693534	2	Zm00001eb191930;Zm00001eb191940	Zm00001eb191930	Zm00001eb191930	861
S1_234248870	1	234248870	0.0002700303	2	Zm00001eb044980;Zm00001eb044990	Zm00001eb044980	Zm00001eb044980	3234
S2_5181581	2	5181581	0.0002703853	7	Zm00001eb068210;Zm00001eb068200;Zm00001eb068220;Zm00001eb068230;Zm00001eb068240;Zm00001eb068190;Zm00001eb068180	Zm00001eb068210	Zm00001eb068210	915
S7_126958630	7	126958630	0.0002758953	4	Zm00001eb314130;Zm00001eb314140;Zm00001eb314150;Zm00001eb314120	Zm00001eb314130	Zm00001eb314130	0
S4_117586184	4	117586184	0.0002800375	2	H32_0;Zm00001eb181730	H32_0	Zm00001eb181740	0
S4_560024	4	560024	0.0002810676	3	Zm00001eb164300;PUMP1_0;Zm00001eb164320	Zm00001eb164300	Zm00001eb164300	0
S10_142001445	10	142001445	0.0002849155	7	Zm00001eb429840;Zm00001eb429830;Zm00001eb429820;Zm00001eb429850;Zm00001eb429810;Zm00001eb429800;Zm00001eb429860	Zm00001eb429840	Zm00001eb429840	0
S5_75374837	5	75374837	0.0002856206	0	NA	NA	NA	NA
S5_8531876	5	8531876	0.0002860882	4	Zm00001eb215280;Zm00001eb215270;Zm00001eb215260;Zm00001eb215250	Zm00001eb215280	Zm00001eb215280	0
S4_190700313	4	190700313	0.0002879524	3	SCR;Zm00001eb195660;SALT_5	SCR	Zm00001eb195650	2454
S2_64366959	2	64366959	0.0002889816	1	Zm00001eb084680	Zm00001eb084680	Zm00001eb084680	1214
S2_23670862	2	23670862	0.0002928363	1	Zm00001eb075380	Zm00001eb075380	Zm00001eb075380	0
S2_2397091	2	2397091	0.0002930764	5	Zm00001eb066610;Zm00001eb066600;Zm00001eb066620;Zm00001eb066590;Zm00001eb066580	Zm00001eb066610	Zm00001eb066610	0
S1_45596367	1	45596367	0.0002935374	4	Zm00001eb013600;Zm00001eb013610;Zm00001eb013620;Zm00001eb013630	Zm00001eb013600	Zm00001eb013600	0
S8_173088005	8	173088005	0.0002944597	3	Zm00001eb366740;Zm00001eb366730;Zm00001eb366750	Zm00001eb366740	Zm00001eb366740	0
S4_117586181	4	117586181	0.000294921	2	H32_0;Zm00001eb181730	H32_0	Zm00001eb181740	0
S9_130359064	9	130359064	0.0002961439	1	Zm00001eb393450	Zm00001eb393450	Zm00001eb393450	175
S5_12954198	5	12954198	0.0002962197	4	Os03g0698800_1;Zm00001eb216900;Zm00001eb216920;Zm00001eb216890	Os03g0698800_1	Zm00001eb216910	0
S5_135423369	5	135423369	0.0002969277	1	Zm00001eb237240	Zm00001eb237240	Zm00001eb237240	0
S2_9821079	2	9821079	0.0002992933	3	Zm00001eb070480;Zm00001eb070460;Zm00001eb070470	Zm00001eb070480	Zm00001eb070480	6619
S1_33106227	1	33106227	0.0003034204	2	Zm00001eb010410;Zm00001eb010420	Zm00001eb010410	Zm00001eb010410	0
S3_220438405	3	220438405	0.0003034304	2	Zm00001eb158690;Zm00001eb158700	Zm00001eb158690	Zm00001eb158690	0
S5_223653419	5	223653419	0.0003048423	3	Zm00001eb258580;Zm00001eb258570;Zm00001eb258590	Zm00001eb258580	Zm00001eb258580	2
S8_155527840	8	155527840	0.0003059983	1	Zm00001eb360550	Zm00001eb360550	Zm00001eb360550	2629
S4_195376987	4	195376987	0.0003115006	3	Zm00001eb197280;Zm00001eb197290;Zm00001eb197270	Zm00001eb197280	Zm00001eb197280	0
S8_148411156	8	148411156	0.0003135891	1	Zm00001eb358420	Zm00001eb358420	Zm00001eb358420	0
S1_234173687	1	234173687	0.0003139295	2	Zm00001eb044970;Zm00001eb044960	Zm00001eb044970	Zm00001eb044970	0
S2_2397090	2	2397090	0.0003178898	5	Zm00001eb066610;Zm00001eb066600;Zm00001eb066620;Zm00001eb066590;Zm00001eb066580	Zm00001eb066610	Zm00001eb066610	0
S3_4409631	3	4409631	0.0003179029	4	Zm00001eb120370;RLK;Zm00001eb120380;Zm00001eb120390	Zm00001eb120370	Zm00001eb120370	486
S2_22112243	2	22112243	0.0003184503	2	Zm00001eb074920;EREB198	Zm00001eb074920	Zm00001eb074920	3726
S6_84361183	6	84361183	0.0003187859	1	Zm00001eb271010	Zm00001eb271010	Zm00001eb271010	0
S6_152581203	6	152581203	0.0003214591	1	Zm00001eb286490	Zm00001eb286490	Zm00001eb286490	0
S7_163142225	7	163142225	0.000322657	5	Zm00001eb323070;Zm00001eb323080;Zm00001eb323060;Zm00001eb323090;Zm00001eb323050	Zm00001eb323070	Zm00001eb323070	0
S10_130129941	10	130129941	0.0003348869	6	Zm00001eb425700;Zm00001eb425690;Zm00001eb425710;Zm00001eb425670;Zm00001eb425680;Zm00001eb425720	Zm00001eb425700	Zm00001eb425700	0
S9_91314121	9	91314121	0.0003353268	1	Zm00001eb385750	Zm00001eb385750	Zm00001eb385750	0
S5_165273308	5	165273308	0.0003357426	5	Zm00001eb241290;Zm00001eb241280;Zm00001eb241270;Zm00001eb241260;Zm00001eb241250	Zm00001eb241290	Zm00001eb241290	0
S9_91314138	9	91314138	0.0003360772	1	Zm00001eb385750	Zm00001eb385750	Zm00001eb385750	0
