"Lines","Long","Lat","crop","maprecip_value"
"1002",14.0526813,55.3822641,"arabidopsis",622
"1006",14.0526813,55.3822641,"arabidopsis",622
"1061",14.1333,55.7167,"arabidopsis",704
"1062",14.1333,55.7167,"arabidopsis",704
"1063",14.1333,55.7167,"arabidopsis",704
"1066",14.1333,55.7167,"arabidopsis",704
"1070",14.1333,55.7167,"arabidopsis",704
"1158",16.5167,56.7,"arabidopsis",514
"1166",16.5167,56.7,"arabidopsis",514
"1254",17.0167,59.4333,"arabidopsis",526
"1257",17.0167,59.4333,"arabidopsis",526
"1313",16.8667,59.5667,"arabidopsis",544
"1317",16.8667,59.5667,"arabidopsis",544
"1552",18.3667,63.0833,"arabidopsis",709
"1612",-86.583,41.9,"arabidopsis",968
"1622",-86.583,41.9,"arabidopsis",968
"1651",-86.4045,43.3431,"arabidopsis",823
"1652",-86.4045,43.3431,"arabidopsis",823
"1676",-86.607,41.879,"arabidopsis",968
"1684",-86.607,41.879,"arabidopsis",968
"1739",-85.398,42.405,"arabidopsis",899
"1741",-85.398,42.405,"arabidopsis",899
"1756",-86.358,42.184,"arabidopsis",936
"1757",-86.358,42.184,"arabidopsis",936
"1793",-86.67,41.847,"arabidopsis",978
"1797",-86.67,41.847,"arabidopsis",978
"1819",-86.67,41.8,"arabidopsis",978
"1820",-86.67,41.8,"arabidopsis",978
"1829",-86.509,42.051,"arabidopsis",945
"1834",-86.509,42.051,"arabidopsis",945
"1835",-86.509,42.051,"arabidopsis",945
"1851",-86.2657,43.595,"arabidopsis",862
"1852",-86.2657,43.595,"arabidopsis",862
"1853",-86.2657,43.595,"arabidopsis",862
"1872",-86.2657,43.595,"arabidopsis",862
"1890",-86.1859,43.5139,"arabidopsis",852
"1925",-86.1843,43.5251,"arabidopsis",852
"1942",-86.1843,43.5251,"arabidopsis",852
"1943",-86.1843,43.5251,"arabidopsis",852
"1954",-86.1739,43.5187,"arabidopsis",852
"2016",-86.1788,43.5356,"arabidopsis",852
"2017",-86.1788,43.5356,"arabidopsis",852
"2031",-86.412,42.166,"arabidopsis",936
"2053",-86.412,42.166,"arabidopsis",936
"2057",-86.412,42.166,"arabidopsis",936
"2081",-86.3368,43.2483,"arabidopsis",814
"2091",-86.3368,43.2483,"arabidopsis",814
"2106",-86.0891,43.2749,"arabidopsis",840
"2108",-86.0891,43.2749,"arabidopsis",840
"2141",-86.0891,43.2749,"arabidopsis",840
"2159",-86.431,42.148,"arabidopsis",925
"2166",-86.431,42.148,"arabidopsis",925
"2171",-86.431,42.148,"arabidopsis",925
"2191",-86.3929,43.7623,"arabidopsis",851
"2202",-86.3929,43.7623,"arabidopsis",851
"2212",-86.3929,43.7623,"arabidopsis",851
"2239",-86.382,42.184,"arabidopsis",936
"2240",-86.382,42.184,"arabidopsis",936
"2276",-86.496,43.665,"arabidopsis",841
"2278",-86.496,43.665,"arabidopsis",841
"2285",-86.496,43.665,"arabidopsis",841
"2286",-86.496,43.665,"arabidopsis",841
"2317",-86.514,42.03,"arabidopsis",960
"2370",-86.646,41.865,"arabidopsis",962
"2412",-86.646,41.865,"arabidopsis",962
"4779",-4.9,50.4,"arabidopsis",1031
"4807",-4.9,50.4,"arabidopsis",1031
"4826",-4.9,50.4,"arabidopsis",1031
"4840",-4.9,50.4,"arabidopsis",1031
"4857",-4.9,50.3,"arabidopsis",1016
"4884",-4.9,50.3,"arabidopsis",1016
"4900",-4.8,50.3,"arabidopsis",990
"4939",-4.7,50.4,"arabidopsis",1041
"4958",-4.5,50.5,"arabidopsis",1165
"5023",0.5,51.3,"arabidopsis",641
"5104",0.5,51.3,"arabidopsis",641
"5151",-1.7,52.2,"arabidopsis",628
"5165",0.4,51.3,"arabidopsis",636
"5210",0.3,51.2,"arabidopsis",717
"5236",0.4,51.2,"arabidopsis",660
"5249",0.3,51.2,"arabidopsis",717
"5253",0.6,51.1,"arabidopsis",720
"5276",1.1,51.3,"arabidopsis",605
"5279",1.1,51.3,"arabidopsis",605
"5349",0.4,51.1,"arabidopsis",786
"5353",-3,54.5,"arabidopsis",1764
"5395",-3,54.4,"arabidopsis",1729
"5486",-3.3,54.6,"arabidopsis",1573
"5577",-3.4,54.7,"arabidopsis",1191
"5644",-2.9,54.4,"arabidopsis",1712
"5651",-2.9,54.4,"arabidopsis",1712
"5717",-3.2,54.6,"arabidopsis",1657
"5718",-3.4,57,"arabidopsis",1239
"5720",-1.6,53.3,"arabidopsis",1016
"5726",1.1,51.3,"arabidopsis",605
"5741",-4.1,56.6,"arabidopsis",1910
"5748",-4.4,56,"arabidopsis",1460
"5757",-2.3,54.6,"arabidopsis",1458
"5768",-1.5,54.1,"arabidopsis",654
"5772",-2.3,54.1,"arabidopsis",1464
"5776",-1.3,52.9,"arabidopsis",615
"5779",-3.1,51,"arabidopsis",1020
"5784",-5.2,56.4,"arabidopsis",1699
"5798",-3.3,53.1,"arabidopsis",901
"5800",-5.5,57.4,"arabidopsis",2370
"5811",-3.1,52.9,"arabidopsis",1016
"5822",-5.98333,56.7333,"arabidopsis",2226
"5830",15.9807762,56.3130014,"arabidopsis",591
"5831",15.9807762,56.3130014,"arabidopsis",591
"5832",15.9807762,56.3130014,"arabidopsis",591
"5836",13.51,55.86,"arabidopsis",752
"5837",16.2326,49.4013,"arabidopsis",562
"5856",17.4849587,63.0091989,"arabidopsis",645
"5860",18.0141098,62.6827735,"arabidopsis",702
"5865",14.1231006,55.7565106,"arabidopsis",704
"5867",14.1220385,55.7570661,"arabidopsis",704
"5874",16.2815,49.4112,"arabidopsis",559
"5890",16.2815,49.4112,"arabidopsis",559
"5893",16.2815,49.4112,"arabidopsis",559
"5907",16.2815,49.4112,"arabidopsis",559
"5921",16.2815,49.4112,"arabidopsis",559
"5950",16.2815,49.4112,"arabidopsis",559
"5984",16.2815,49.4112,"arabidopsis",559
"5993",16.2815,49.4112,"arabidopsis",559
"6008",16.2,49.1,"arabidopsis",520
"6009",18.1749827,62.8759855,"arabidopsis",717
"6010",18.1749827,62.8759855,"arabidopsis",717
"6011",18.1749827,62.8759855,"arabidopsis",717
"6012",18.1749827,62.8759855,"arabidopsis",717
"6013",18.1749827,62.8759855,"arabidopsis",717
"6016",18.4045,62.9147,"arabidopsis",704
"6017",18.4045,62.9147,"arabidopsis",704
"6019",14.2786489,56.0617671,"arabidopsis",572
"6020",14.2786489,56.0617671,"arabidopsis",572
"6021",14.281492,56.068008,"arabidopsis",572
"6022",14.281492,56.068008,"arabidopsis",572
"6023",13.3720798,55.7501271,"arabidopsis",694
"6024",13.3720798,55.7501271,"arabidopsis",694
"6025",17.7311,62.6381,"arabidopsis",704
"6030",18.1896,62.806,"arabidopsis",707
"6034",13.7453108,56.0755241,"arabidopsis",777
"6035",13.7453108,56.0755241,"arabidopsis",777
"6036",13.7249024,56.1045244,"arabidopsis",777
"6038",13.7249024,56.1045244,"arabidopsis",777
"6039",13.7296953,56.1132251,"arabidopsis",777
"6040",13.4,55.66,"arabidopsis",688
"6041",14.7427433,56.0089259,"arabidopsis",560
"6042",13.8561835,56.0964877,"arabidopsis",744
"6043",18.075722,62.8003225,"arabidopsis",690
"6046",18.075722,62.8003225,"arabidopsis",690
"6064",18.2763,62.9513,"arabidopsis",711
"6069",18.2763,62.95681,"arabidopsis",711
"6070",18.339997,62.956806,"arabidopsis",711
"6071",18.339997,62.956806,"arabidopsis",711
"6073",15.7779722,56.1460908,"arabidopsis",562
"6074",16.1301702,56.4573992,"arabidopsis",547
"6076",13.4354695,55.7170459,"arabidopsis",694
"6077",13.4354695,55.7170459,"arabidopsis",694
"6085",13.2155403,55.709434,"arabidopsis",642
"6086",11.2,58.9,"arabidopsis",759
"6087",16.1302444,56.465642,"arabidopsis",547
"6088",16.1302444,56.465642,"arabidopsis",547
"6090",13.2197,55.6525,"arabidopsis",606
"6091",13.215,55.6525,"arabidopsis",606
"6092",13.2233,55.6514,"arabidopsis",606
"6094",13.2147,55.6494,"arabidopsis",606
"6095",13.2161,55.6486,"arabidopsis",606
"6096",13.2225,55.6472,"arabidopsis",606
"6097",13.2264,55.6481,"arabidopsis",606
"6098",13.2178,55.6561,"arabidopsis",606
"6099",13.2193742,55.6532394,"arabidopsis",606
"6100",13.2226591,55.6465188,"arabidopsis",606
"6101",13.2199068,55.6465188,"arabidopsis",606
"6102",13.2240307,55.6484554,"arabidopsis",606
"6104",13.2078964,55.6995163,"arabidopsis",642
"6105",13.1166475,55.7912838,"arabidopsis",652
"6106",13.1151131,55.7892517,"arabidopsis",652
"6107",13.1172969,55.789833,"arabidopsis",652
"6108",13.1162548,55.7925311,"arabidopsis",652
"6109",13.1113481,55.7895346,"arabidopsis",652
"6111",13.1104309,55.7928025,"arabidopsis",652
"6112",13.09336,55.7908676,"arabidopsis",652
"6113",13.0996565,55.7976997,"arabidopsis",652
"6114",13.1296295,55.7990936,"arabidopsis",652
"6115",13.1326552,55.7932875,"arabidopsis",652
"6118",13.1745511,55.7138306,"arabidopsis",642
"6119",13.1729204,55.7034097,"arabidopsis",642
"6122",13.2954193,55.8350143,"arabidopsis",713
"6123",13.2986651,55.8351287,"arabidopsis",713
"6124",13.2995709,55.8362185,"arabidopsis",713
"6125",13.2984818,55.8371341,"arabidopsis",713
"6126",13.3002261,55.8379372,"arabidopsis",713
"6128",13.2881,55.8397,"arabidopsis",713
"6131",13.3181,55.8369,"arabidopsis",713
"6132",13.3186,55.8386,"arabidopsis",713
"6133",13.2995693,55.8422437,"arabidopsis",713
"6134",13.2906,55.8383,"arabidopsis",713
"6136",13.5519,55.9336,"arabidopsis",775
"6137",13.5603,55.9419,"arabidopsis",775
"6138",13.5511,55.9403,"arabidopsis",775
"6140",13.5539,55.9392,"arabidopsis",775
"6141",13.5542,55.9414,"arabidopsis",775
"6142",13.5558,55.9428,"arabidopsis",775
"6145",13.5533,55.9497,"arabidopsis",775
"6148",13.5508,55.9319,"arabidopsis",775
"6149",13.5481,55.9281,"arabidopsis",775
"6150",13.5319,55.9261,"arabidopsis",775
"6151",13.2244,55.6528,"arabidopsis",606
"6153",17.7311,62.6381,"arabidopsis",704
"6154",17.7311,62.6381,"arabidopsis",704
"6163",17.7311,62.6381,"arabidopsis",704
"6166",17.7311,62.6381,"arabidopsis",704
"6169",18.336,62.8622,"arabidopsis",703
"6172",18.336,62.8622,"arabidopsis",703
"6173",18.336,62.8622,"arabidopsis",703
"6174",17.6771,62.6252,"arabidopsis",704
"6177",17.6771,62.6252,"arabidopsis",704
"6180",17.6771,62.6252,"arabidopsis",704
"6184",18.4473,62.8794,"arabidopsis",704
"6188",14.1328223,55.758856,"arabidopsis",704
"6189",14.1328223,55.758856,"arabidopsis",704
"6191",14.1328223,55.758856,"arabidopsis",704
"6192",14.1328223,55.758856,"arabidopsis",704
"6193",14.1328223,55.758856,"arabidopsis",704
"6194",14.1328223,55.758856,"arabidopsis",704
"6195",14.1328223,55.758856,"arabidopsis",704
"6198",14.1225226,55.7567793,"arabidopsis",704
"6201",14.1225226,55.7567793,"arabidopsis",704
"6202",14.1225226,55.7567793,"arabidopsis",704
"6203",14.1225226,55.7567793,"arabidopsis",704
"6209",18.1749827,62.8759855,"arabidopsis",717
"6210",18.1749827,62.8759855,"arabidopsis",717
"6214",18.3174,63.0165,"arabidopsis",706
"6216",18.3174,63.0165,"arabidopsis",706
"6217",18.3174,63.0165,"arabidopsis",706
"6218",18.3174,63.0165,"arabidopsis",706
"6220",18.1896,62.806,"arabidopsis",707
"6221",18.1896,62.806,"arabidopsis",707
"6231",18.2763,62.9513,"arabidopsis",711
"6235",18.339997,62.956806,"arabidopsis",711
"6237",18.339997,62.956806,"arabidopsis",711
"6238",18.339997,62.956806,"arabidopsis",711
"6240",18.339997,62.956806,"arabidopsis",711
"6241",18.339997,62.956806,"arabidopsis",711
"6242",13.1960732,55.7060213,"arabidopsis",642
"6243",13.85,55.95,"arabidopsis",793
"6244",18.4728,62.9169,"arabidopsis",680
"6252",14.3336,55.5796,"arabidopsis",630
"6255",14.3336,55.5796,"arabidopsis",630
"6258",14.3336,55.5796,"arabidopsis",630
"6268",14.3336,55.5796,"arabidopsis",630
"6276",14.3336,55.5796,"arabidopsis",630
"6284",14.3336,55.5796,"arabidopsis",630
"6296",16.6314,49.2771,"arabidopsis",537
"6390",16.6314,49.2771,"arabidopsis",537
"6396",16.6314,49.2771,"arabidopsis",537
"6413",13.9583592,56.0630848,"arabidopsis",705
"6424",16.2544,49.3853,"arabidopsis",562
"6434",16.2544,49.3853,"arabidopsis",562
"6445",16.2544,49.3853,"arabidopsis",562
"6680",6.4333,51.85,"arabidopsis",738
"6739",-73.4675,40.8585,"arabidopsis",1104
"6740",-73.4675,40.8585,"arabidopsis",1104
"6744",-73.4675,40.8585,"arabidopsis",1104
"6749",-76.5072,42.4489,"arabidopsis",918
"6750",-76.5072,42.4489,"arabidopsis",918
"6805",-71.0627,42.373,"arabidopsis",1128
"6806",-71.0627,42.373,"arabidopsis",1128
"6814",-86.621,41.2816,"arabidopsis",972
"6830",73.1,49.5,"arabidopsis",291
"6897",1.3,45,"arabidopsis",921
"6898",4.4,51.2167,"arabidopsis",795
"6900",18.4840729,63.322186,"arabidopsis",654
"6901",18.4840729,63.322186,"arabidopsis",654
"6903",16.2326,49.4013,"arabidopsis",562
"6904",16.6166,49.2,"arabidopsis",499
"6907",-0.6383,51.4083,"arabidopsis",668
"6908",-0.6383,51.4083,"arabidopsis",668
"6909",-92.3,38.3,"arabidopsis",1024
"6911",-23.6167,15.1111,"arabidopsis",288
"6913",18.1749827,62.8759855,"arabidopsis",717
"6915",6.3,50.3,"arabidopsis",1065
"6917",18.3174,63.0165,"arabidopsis",706
"6918",18.3174,63.0165,"arabidopsis",706
"6919",8,50.3,"arabidopsis",744
"6920",9.9355,51.5338,"arabidopsis",716
"6922",8,50.3,"arabidopsis",744
"6923",-0.6383,51.4083,"arabidopsis",668
"6924",-0.6383,51.4083,"arabidopsis",668
"6926",-85.37,44.46,"arabidopsis",790
"6927",-86.621,41.2816,"arabidopsis",972
"6929",68.49,38.48,"arabidopsis",492
"6931",73.1,49.5,"arabidopsis",291
"6932",15.2369,52.7325,"arabidopsis",527
"6933",2.49,41.59,"arabidopsis",702
"6938",37.6322,55.7522,"arabidopsis",677
"6940",8.3,50.3,"arabidopsis",725
"6943",-0.6383,51.4083,"arabidopsis",668
"6944",-0.6383,51.4083,"arabidopsis",668
"6945",4.45,52.24,"arabidopsis",814
"6951",16.36,49.42,"arabidopsis",566
"6956",16.36,49.42,"arabidopsis",566
"6957",16.36,49.42,"arabidopsis",566
"6958",3.3,46,"arabidopsis",690
"6959",-1.41,48.5,"arabidopsis",754
"6960",-1.41,48.5,"arabidopsis",754
"6961",-3.53333,38.3333,"arabidopsis",422
"6963",68.48,38.35,"arabidopsis",481
"6966",-0.6383,51.4083,"arabidopsis",668
"6967",-0.6383,51.4083,"arabidopsis",668
"6968",23.5,60,"arabidopsis",716
"6969",23.5,60,"arabidopsis",716
"6970",2.93056,41.7194,"arabidopsis",694
"6971",2.93056,41.7194,"arabidopsis",694
"6973",13.9707,56.0648,"arabidopsis",705
"6974",13.9707,56.0648,"arabidopsis",705
"6975",14.45,48.3,"arabidopsis",743
"6976",14.45,48.3,"arabidopsis",743
"6979",8.26,47.25,"arabidopsis",1284
"6981",30,52.3,"arabidopsis",617
"6982",9.3,52.3,"arabidopsis",760
"6984",16.2544,49.3853,"arabidopsis",562
"6986",-2.2207,57.1539,"arabidopsis",806
"6987",7.62551,48.0683,"arabidopsis",1042
"6989",-2.4333,54.8,"arabidopsis",1345
"6990",5.73,53.448,"arabidopsis",813
"6992",5.3,50.3,"arabidopsis",878
"6997",5.5833,51.8333,"arabidopsis",781
"7000",9.57073,50.9167,"arabidopsis",754
"7002",6.1,51.3333,"arabidopsis",734
"7003",7.5,47.5,"arabidopsis",985
"7008",5.675,52,"arabidopsis",799
"7013",13.287,52.4584,"arabidopsis",564
"7014",-4.79821,56.5459,"arabidopsis",2180
"7025",11.3396,44.5041,"arabidopsis",723
"7026",-3.2667,54.4,"arabidopsis",1500
"7028",9.3166,49.5166,"arabidopsis",862
"7031",8.6667,50.0167,"arabidopsis",660
"7033",-122.755,41.3599,"arabidopsis",744
"7036",9.5,50.5,"arabidopsis",899
"7058",-9.0755556,53.87,"arabidopsis",1187
"7061",-1.64293,53.2699,"arabidopsis",1069
"7062",8.26607,50.2981,"arabidopsis",725
"7063",-13.4811,29.2144,"arabidopsis",155
"7064",1.1,51.3,"arabidopsis",605
"7067",15.09,37.51,"arabidopsis",534
"7068",12.1,42,"arabidopsis",390
"7071",1.33867,48.0717,"arabidopsis",621
"7072",34.7361,53.7502,"arabidopsis",632
"7077",-8.25,40.12,"arabidopsis",1132
"7081",-8.42639,40.2077,"arabidopsis",974
"7092",2.823,49.416,"arabidopsis",637
"7094",8.65081,49.8724,"arabidopsis",697
"7096",5.04278,47.3239,"arabidopsis",798
"7102",8.2372,50.7224,"arabidopsis",908
"7103",16.2667,49.4167,"arabidopsis",559
"7106",13.7336,51.051,"arabidopsis",652
"7107",-1.5733,54.7761,"arabidopsis",651
"7109",0.5,51.3,"arabidopsis",641
"7111",-3.16028,55.9494,"arabidopsis",671
"7117",9.68253,51.5105,"arabidopsis",796
"7119",8.5,50,"arabidopsis",593
"7120",8.5,50,"arabidopsis",593
"7125",11.0087,49.5955,"arabidopsis",738
"7126",24.5682,60.1997,"arabidopsis",661
"7127",24.9871,58.6656,"arabidopsis",710
"7130",2.56481,44.6447,"arabidopsis",734
"7133",8.6822,50.1102,"arabidopsis",642
"7138",8.0167,50.5,"arabidopsis",836
"7143",5.86667,51.0167,"arabidopsis",753
"7147",8.67825,50.584,"arabidopsis",670
"7158",15.5,47,"arabidopsis",846
"7160",-85.2532,43.178,"arabidopsis",874
"7161",10.5,53.5,"arabidopsis",726
"7162",9.44,52.24,"arabidopsis",792
"7163",9.73569,52.3721,"arabidopsis",656
"7164",12.5686,55.675,"arabidopsis",597
"7165",8.28844,51.3472,"arabidopsis",1134
"7169",9.88682,54.4175,"arabidopsis",831
"7177",15,49,"arabidopsis",647
"7181",11.587,50.927,"arabidopsis",657
"7183",77,35,"arabidopsis",104
"7186",23.8924,54.8969,"arabidopsis",611
"7192",-5.66364,55.6395,"arabidopsis",1450
"7199",6.9666,50.95,"arabidopsis",810
"7202",8.50861,50.1797,"arabidopsis",788
"7203",11.5722,49.631,"arabidopsis",926
"7207",135.752,35.0085,"arabidopsis",1600
"7208",-3.78181,55.6739,"arabidopsis",1396
"7209",15.2333,52.7333,"arabidopsis",527
"7213",15.2369,52.7325,"arabidopsis",527
"7217",0.5,48,"arabidopsis",678
"7218",4.49015,52.1611,"arabidopsis",835
"7223",8.0666,50.3833,"arabidopsis",674
"7231",8.0666,50.3833,"arabidopsis",674
"7244",8.26664,50.001,"arabidopsis",587
"7248",-70.6652,41.3923,"arabidopsis",1177
"7250",10.1138,51.9183,"arabidopsis",725
"7255",20.5,50.95,"arabidopsis",622
"7258",8.5,50.5,"arabidopsis",685
"7268",10.981,52.6969,"arabidopsis",582
"7276",8.5833,50.2,"arabidopsis",676
"7280",8.2,53.1667,"arabidopsis",757
"7282",8.01161,50.3827,"arabidopsis",713
"7287",8.42255,53.3422,"arabidopsis",720
"7288",6.193019,60.385543,"arabidopsis",2318
"7296",29,59,"arabidopsis",697
"7298",10.51,47.04,"arabidopsis",1084
"7305",10.6065,53.476,"arabidopsis",710
"7306",-123.206,49.2655,"arabidopsis",1491
"7307",-2.96591,48.0653,"arabidopsis",939
"7314",-3.41697,54.3512,"arabidopsis",1173
"7316",5.56667,51.9667,"arabidopsis",802
"7319",12.1,42,"arabidopsis",390
"7320",1.09849,49.4424,"arabidopsis",733
"7322",34,56.3,"arabidopsis",644
"7323",38.28,49,"arabidopsis",524
"7327",3.03333,41.7833,"arabidopsis",654
"7328",3.03333,41.7833,"arabidopsis",654
"7332",-122.2,47,"arabidopsis",1304
"7333",11.5614,46.5438,"arabidopsis",749
"7337",8.02341,50.8738,"arabidopsis",998
"7342",-3.00733,53.6473,"arabidopsis",887
"7343",13.181,52.5339,"arabidopsis",555
"7344",9.5,47.6667,"arabidopsis",1018
"7346",11.8558,52.6058,"arabidopsis",550
"7347",36,52,"arabidopsis",641
"7349",14.5,49.5,"arabidopsis",632
"7350",-122.459,47.2413,"arabidopsis",1124
"7353",4.3,52.08,"arabidopsis",838
"7354",14.9,56.5,"arabidopsis",668
"7356",-83.5553,41.6639,"arabidopsis",854
"7358",-83.5553,41.6639,"arabidopsis",854
"7359",-83.5553,41.6639,"arabidopsis",854
"7372",9.9042,47.0748,"arabidopsis",1302
"7373",136.31,34.43,"arabidopsis",1957
"7377",-85.2563,43.2708,"arabidopsis",868
"7378",7.7667,48.0333,"arabidopsis",910
"7382",5.1145,52.0918,"arabidopsis",791
"7383",-123.206,49.2655,"arabidopsis",1491
"7384",5.55,52.0333,"arabidopsis",815
"7387",-2.3671,54.9902,"arabidopsis",1068
"7394",21,52.3,"arabidopsis",481
"7396",30,52.3,"arabidopsis",617
"7404",10.0667,52.6,"arabidopsis",679
"7411",10.8134,47.9299,"arabidopsis",1103
"7413",25.3167,54.6833,"arabidopsis",658
"7415",9.9361,49.7878,"arabidopsis",645
"7416",-119.35,37.45,"arabidopsis",865
"7417",8.55,47.3667,"arabidopsis",1104
"7418",8.55,47.3667,"arabidopsis",1104
"7419",8.32213,50.3058,"arabidopsis",717
"7424",16.6166,49.2,"arabidopsis",499
"7430",6.25,48.6167,"arabidopsis",787
"7461",15,49,"arabidopsis",647
"7475",-72.677,41.767,"arabidopsis",1147
"7477",-71.2825,41.7302,"arabidopsis",1207
"7514",-86.4251,41.5609,"arabidopsis",991
"7515",-86.4251,41.5609,"arabidopsis",991
"7516",14.334,55.58,"arabidopsis",630
"7517",14.334,55.58,"arabidopsis",630
"7520",16.81,49.38,"arabidopsis",596
"7521",16.81,49.38,"arabidopsis",596
"7523",-86.3253,42.0945,"arabidopsis",965
"7525",-86.511,42.036,"arabidopsis",960
"7529",-86.5128,42.0333,"arabidopsis",960
"7530",-86.5128,42.0333,"arabidopsis",960
"7566",-86.359,42.093,"arabidopsis",955
"7568",-86.359,42.093,"arabidopsis",955
"7717",-86.625,41.273,"arabidopsis",972
"7757",-86.625,41.273,"arabidopsis",972
"7767",-86.625,41.273,"arabidopsis",972
"7917",-86.3253,42.0945,"arabidopsis",965
"7947",-86.3253,42.0945,"arabidopsis",965
"8037",-86.7368,41.3423,"arabidopsis",979
"8057",-86.7368,41.3423,"arabidopsis",979
"8077",-86.7368,41.3423,"arabidopsis",979
"8132",-86.511,42.036,"arabidopsis",960
"8171",-86.511,42.036,"arabidopsis",960
"8214",2,49,"arabidopsis",630
"8222",14.7427433,56.0089259,"arabidopsis",560
"8227",17.898516,62.7920572,"arabidopsis",677
"8230",16.5,56.68,"arabidopsis",514
"8231",15.9960089,56.3065535,"arabidopsis",581
"8233",-87.1923,41.1876,"arabidopsis",968
"8234",15.9753237,56.3201865,"arabidopsis",600
"8235",17.1,48.8,"arabidopsis",653
"8236",15.76,49.33,"arabidopsis",573
"8237",13.1,55.8,"arabidopsis",652
"8238",0.4,51.15,"arabidopsis",726
"8239",7,51,"arabidopsis",810
"8240",13.196,55.705,"arabidopsis",642
"8241",13.85,55.95,"arabidopsis",793
"8242",15.7832574,56.1510312,"arabidopsis",562
"8243",11.2547,43.7703,"arabidopsis",920
"8244",2.3086,48.6103,"arabidopsis",626
"8246",-79.18,35,"arabidopsis",1194
"8247",13.7407939,56.0692873,"arabidopsis",777
"8249",15.8,57.7,"arabidopsis",633
"8256",12.9040338,56.4487477,"arabidopsis",775
"8258",12.9040338,56.4487477,"arabidopsis",775
"8259",12.9040338,56.4487477,"arabidopsis",775
"8264",2.8,41.6833,"arabidopsis",723
"8283",14.1262764,55.7599276,"arabidopsis",704
"8284",16.2815,49.4112,"arabidopsis",559
"8285",16.2815,49.4112,"arabidopsis",559
"8290",8.5,50,"arabidopsis",593
"8297",6.14,46.21,"arabidopsis",993
"8306",13.7134622,56.1035094,"arabidopsis",777
"8307",13.7296953,56.1132251,"arabidopsis",777
"8311",11.5,47.5,"arabidopsis",1309
"8312",7.5,50.5,"arabidopsis",845
"8326",14.7427433,56.0089259,"arabidopsis",560
"8334",13.19,55.72,"arabidopsis",642
"8335",13.2,55.71,"arabidopsis",642
"8337",12.37,44,"arabidopsis",878
"8343",1.5,47.5,"arabidopsis",669
"8351",18.37,60.25,"arabidopsis",623
"8354",56.3167,58,"arabidopsis",611
"8357",2.25,41.5,"arabidopsis",612
"8365",16,49,"arabidopsis",531
"8366",8.5,50.5,"arabidopsis",685
"8369",13.4354695,55.7170459,"arabidopsis",694
"8376",17.997819,62.6897799,"arabidopsis",702
"8386",11.2,58.9,"arabidopsis",759
"8387",18.06,59.34,"arabidopsis",562
"8419",25.3167,54.6833,"arabidopsis",658
"8420",8.5333,50.0667,"arabidopsis",615
"8422",14.2786489,56.0617671,"arabidopsis",572
"8424",77,35,"arabidopsis",104
"8426",13.9589922,56.0681098,"arabidopsis",705
"8427",13.9707,56.0648,"arabidopsis",705
"8464",-86.8513,41.6862,"arabidopsis",980
"8483",-86.8513,41.6862,"arabidopsis",980
"8699",-86.3253,42.0945,"arabidopsis",965
"8723",-86.3253,42.0945,"arabidopsis",965
"9027",-86.511,42.036,"arabidopsis",960
"9057",13.9167,56.1,"arabidopsis",705
"9058",16.6333,57.75,"arabidopsis",583
"9067",48.7992,38.6536,"arabidopsis",927
"9069",48.7992,38.6536,"arabidopsis",927
"9070",48.7992,38.6536,"arabidopsis",927
