species,trait,rows,gwas_file,output
barley,aridity_index,1168,/Users/nirwantandukar/Documents/Github/Landadapt/results/aridity_index/barley_aridity_index.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_aridity_index_GWAS_top0p5_annotation_table.csv
maize,aridity_index,2299,/Users/nirwantandukar/Documents/Github/Landadapt/results/aridity_index/maize_aridity_index.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_aridity_index_GWAS_top0p5_annotation_table.csv
rice,aridity_index,29048,/Users/nirwantandukar/Documents/Github/Landadapt/results/aridity_index/rice_aridity_index.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_aridity_index_GWAS_top0p5_annotation_table.csv
sorghum,aridity_index,232,/Users/nirwantandukar/Documents/Github/Landadapt/results/aridity_index/sorghum_aridity_index.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_aridity_index_GWAS_top0p5_annotation_table.csv
arabidopsis,cec,15950,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_cec.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_cec_GWAS_top0p5_annotation_table.csv
barley,cec,1224,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_cec.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_cec_GWAS_top0p5_annotation_table.csv
maize,cec,2283,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_cec.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_cec_GWAS_top0p5_annotation_table.csv
rice,cec,29207,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_cec.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_cec_GWAS_top0p5_annotation_table.csv
sorghum,cec,306,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_cec.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_cec_GWAS_top0p5_annotation_table.csv
arabidopsis,pc1_worldclim,16547,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_PC1.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_pc1_worldclim_GWAS_top0p5_annotation_table.csv
barley,pc1_worldclim,1009,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_PC1.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_pc1_worldclim_GWAS_top0p5_annotation_table.csv
maize,pc1_worldclim,2307,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_PC1.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_pc1_worldclim_GWAS_top0p5_annotation_table.csv
rice,pc1_worldclim,29705,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_PC1.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_pc1_worldclim_GWAS_top0p5_annotation_table.csv
sorghum,pc1_worldclim,309,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_PC1.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_pc1_worldclim_GWAS_top0p5_annotation_table.csv
arabidopsis,pc2_worldclim,16776,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_PC2.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_pc2_worldclim_GWAS_top0p5_annotation_table.csv
barley,pc2_worldclim,1173,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_PC2.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_pc2_worldclim_GWAS_top0p5_annotation_table.csv
maize,pc2_worldclim,2311,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_PC2.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_pc2_worldclim_GWAS_top0p5_annotation_table.csv
rice,pc2_worldclim,29789,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_PC2.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_pc2_worldclim_GWAS_top0p5_annotation_table.csv
sorghum,pc2_worldclim,304,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_PC2.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_pc2_worldclim_GWAS_top0p5_annotation_table.csv
arabidopsis,pc3_worldclim,16122,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_PC3.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_pc3_worldclim_GWAS_top0p5_annotation_table.csv
barley,pc3_worldclim,1244,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_PC3.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_pc3_worldclim_GWAS_top0p5_annotation_table.csv
maize,pc3_worldclim,2310,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_PC3.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_pc3_worldclim_GWAS_top0p5_annotation_table.csv
rice,pc3_worldclim,28672,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_PC3.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_pc3_worldclim_GWAS_top0p5_annotation_table.csv
sorghum,pc3_worldclim,237,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_PC3.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_pc3_worldclim_GWAS_top0p5_annotation_table.csv
arabidopsis,ph,16207,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_ph.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_ph_GWAS_top0p5_annotation_table.csv
barley,ph,1193,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_ph.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_ph_GWAS_top0p5_annotation_table.csv
maize,ph,2320,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_ph.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_ph_GWAS_top0p5_annotation_table.csv
rice,ph,29050,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_ph.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_ph_GWAS_top0p5_annotation_table.csv
sorghum,ph,261,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_ph.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_ph_GWAS_top0p5_annotation_table.csv
arabidopsis,soilN,15588,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_soilN.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_soilN_GWAS_top0p5_annotation_table.csv
barley,soilN,1319,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_soilN.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_soilN_GWAS_top0p5_annotation_table.csv
maize,soilN,2311,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_soilN.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_soilN_GWAS_top0p5_annotation_table.csv
rice,soilN,29400,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_soilN.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_soilN_GWAS_top0p5_annotation_table.csv
sorghum,soilN,285,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_soilN.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_soilN_GWAS_top0p5_annotation_table.csv
