Species,Trait,Gene,SNP,Pvalue,Relation,Distance_bp,Chr,Pos
barley,soilN,HORVU.MOREX.r3.1HG0076930,"chr1H:476742221\G,\A",1.44342e-05,in_gene,0,chr1H,476742221
barley,soilN,HORVU.MOREX.r3.4HG0332260,"chr4H:3056198\C,\T",1.472301e-05,downstream,719,chr4H,3056198
barley,soilN,HORVU.MOREX.r3.4HG0335900,"chr4H:13291317\T,\C",1.481291e-05,upstream,2964,chr4H,13291317
barley,soilN,HORVU.MOREX.r3.7HG0686000,"chr7H:219009533\G,\T",1.668159e-05,downstream,19950,chr7H,219009533
barley,soilN,HORVU.MOREX.r3.3HG0221840,"chr3H:7026492\C,\T",1.694484e-05,upstream,511,chr3H,7026492
barley,soilN,HORVU.MOREX.r3.1HG0062490,"chr1H:413835281\G,\A",1.827837e-05,downstream,7199,chr1H,413835281
barley,soilN,HORVU.MOREX.r3.3HG0254940,"chr3H:184172087\C,\T",1.876839e-05,downstream,3628,chr3H,184172087
barley,soilN,HORVU.MOREX.r3.2HG0105470,"chr2H:20864894\G,\A",1.989834e-05,upstream,6408,chr2H,20864894
barley,soilN,HORVU.MOREX.r3.2HG0101700,"chr2H:13622541\C,\T",2.026607e-05,in_gene,0,chr2H,13622541
barley,soilN,HORVU.MOREX.r3.1HG0052290,"chr1H:348617831\G,\T",2.038978e-05,in_gene,0,chr1H,348617831
barley,soilN,HORVU.MOREX.r3.4HG0332260,"chr4H:3048110\G,\T",2.039064e-05,upstream,5987,chr4H,3048110
barley,soilN,HORVU.MOREX.r3.4HG0332260,"chr4H:3048135\C,\A",2.039064e-05,upstream,5962,chr4H,3048135
barley,soilN,HORVU.MOREX.r3.5HG0432540,"chr5H:38508430\C,\G",2.076175e-05,upstream,12797,chr5H,38508430
barley,soilN,HORVU.MOREX.r3.5HG0526140,"chr5H:562867330\A,\G",2.078983e-05,in_gene,0,chr5H,562867330
barley,soilN,HORVU.MOREX.r3.7HG0700690,"chr7H:389966868\G,\A",2.079337e-05,downstream,1512,chr7H,389966868
barley,soilN,HORVU.MOREX.r3.6HG0606110,"chr6H:455312743\C,\T",2.204522e-05,in_gene,0,chr6H,455312743
barley,soilN,HORVU.MOREX.r3.4HG0332260,"chr4H:3048161\A,\T",2.232942e-05,upstream,5936,chr4H,3048161
barley,soilN,HORVU.MOREX.r3.2HG0182320,"chr2H:561516267\G,\T",2.365336e-05,downstream,15089,chr2H,561516267
barley,soilN,HORVU.MOREX.r3.6HG0553450,"chr6H:36381728\C,\T",2.591309e-05,downstream,6854,chr6H,36381728
barley,soilN,HORVU.MOREX.r3.1HG0052290,"chr1H:348617830\A,\T",2.611897e-05,in_gene,0,chr1H,348617830
barley,soilN,HORVU.MOREX.r3.3HG0315570,"chr3H:587896254\T,\A",2.633336e-05,in_gene,0,chr3H,587896254
barley,soilN,HORVU.MOREX.r3.5HG0484150,"chr5H:446537610\G,\A",2.761507e-05,downstream,10841,chr5H,446537610
barley,soilN,HORVU.MOREX.r3.4HG0336870,"chr4H:16624465\T,\G",2.809036e-05,upstream,12618,chr4H,16624465
barley,soilN,HORVU.MOREX.r3.3HG0228250,"chr3H:19155003\C,\T",2.81524e-05,in_gene,0,chr3H,19155003
barley,soilN,HORVU.MOREX.r3.1HG0006160,"chr1H:12722203\C,\T",2.87977e-05,upstream,8398,chr1H,12722203
barley,soilN,HORVU.MOREX.r3.1HG0006160,"chr1H:12722158\G,\A",2.913959e-05,upstream,8443,chr1H,12722158
barley,soilN,HORVU.MOREX.r3.6HG0553930,"chr6H:37731037\G,\A",2.948583e-05,downstream,17175,chr6H,37731037
barley,soilN,HORVU.MOREX.r3.5HG0425940,"chr5H:13532623\G,\T",2.970356e-05,in_gene,0,chr5H,13532623
barley,soilN,HORVU.MOREX.r3.5HG0425940,"chr5H:13532624\A,\C",2.970356e-05,in_gene,0,chr5H,13532624
barley,soilN,HORVU.MOREX.r3.5HG0528020,"chr5H:567104534\A,\C",2.989859e-05,downstream,749,chr5H,567104534
barley,soilN,HORVU.MOREX.r3.6HG0553450,"chr6H:36381702\G,\A",3.000332e-05,downstream,6828,chr6H,36381702
barley,soilN,HORVU.MOREX.r3.4HG0413970,"chr4H:598255855\C,\G",3.026597e-05,in_gene,0,chr4H,598255855
barley,soilN,HORVU.MOREX.r3.3HG0303550,"chr3H:553195983\C,\T",3.045885e-05,in_gene,0,chr3H,553195983
barley,soilN,HORVU.MOREX.r3.2HG0110380,"chr2H:32356636\A,\G",3.053978e-05,upstream,5669,chr2H,32356636
barley,soilN,HORVU.MOREX.r3.2HG0100900,"chr2H:12219240\G,\A",3.200866e-05,in_gene,0,chr2H,12219240
barley,soilN,HORVU.MOREX.r3.3HG0219910,"chr3H:3656757\A,\C",3.275627e-05,upstream,1087,chr3H,3656757
barley,soilN,HORVU.MOREX.r3.3HG0228250,"chr3H:19155009\T,\C",3.30008e-05,in_gene,0,chr3H,19155009
barley,soilN,HORVU.MOREX.r3.1HG0006160,"chr1H:12722138\C,\G",3.360896e-05,upstream,8463,chr1H,12722138
barley,soilN,HORVU.MOREX.r3.5HG0528360,"chr5H:567743823\T,\A",3.504783e-05,downstream,843,chr5H,567743823
barley,soilN,HORVU.MOREX.r3.5HG0424290,"chr5H:9018120\A,\G",3.553934e-05,downstream,13877,chr5H,9018120
barley,soilN,HORVU.MOREX.r3.6HG0553450,"chr6H:36381753\C,\T",3.643812e-05,downstream,6879,chr6H,36381753
barley,soilN,HORVU.MOREX.r3.4HG0343660,"chr4H:47650617\T,\G",3.697282e-05,downstream,4609,chr4H,47650617
barley,soilN,HORVU.MOREX.r3.2HG0110020,"chr2H:31585914\G,\A",3.842815e-05,downstream,1386,chr2H,31585914
barley,soilN,HORVU.MOREX.r3.2HG0110020,"chr2H:31585902\A,\G",3.842815e-05,downstream,1374,chr2H,31585902
barley,soilN,HORVU.MOREX.r3.3HG0314780,"chr3H:586400178\T,\C",3.951233e-05,downstream,6778,chr3H,586400178
barley,soilN,HORVU.MOREX.r3.6HG0623790,"chr6H:537421591\G,\A",4.007481e-05,in_gene,0,chr6H,537421591
barley,soilN,HORVU.MOREX.r3.2HG0110020,"chr2H:31585865\C,\T",4.255821e-05,downstream,1337,chr2H,31585865
barley,soilN,HORVU.MOREX.r3.6HG0560150,"chr6H:68295957\C,\A",4.371433e-05,downstream,14250,chr6H,68295957
barley,soilN,HORVU.MOREX.r3.2HG0182320,"chr2H:561516256\C,\A",4.418681e-05,downstream,15078,chr2H,561516256
barley,soilN,HORVU.MOREX.r3.3HG0301110,"chr3H:543916948\G,\A",4.555416e-05,upstream,4081,chr3H,543916948
barley,soilN,HORVU.MOREX.r3.4HG0405920,"chr4H:572528376\G,\A",4.588904e-05,in_gene,0,chr4H,572528376
barley,soilN,HORVU.MOREX.r3.5HG0496850,"chr5H:493512657\A,\T",4.759446e-05,downstream,41,chr5H,493512657
barley,soilN,HORVU.MOREX.r3.5HG0509740,"chr5H:524797820\G,\A",5.1305e-05,downstream,677,chr5H,524797820
barley,soilN,HORVU.MOREX.r3.2HG0110020,"chr2H:31585929\T,\A",5.26529e-05,downstream,1401,chr2H,31585929
barley,soilN,HORVU.MOREX.r3.2HG0117920,"chr2H:60274193\C,\T",5.274315e-05,in_gene,0,chr2H,60274193
barley,soilN,HORVU.MOREX.r3.7HG0744010,"chr7H:612906123\G,\T",5.4403e-05,downstream,2234,chr7H,612906123
barley,soilN,HORVU.MOREX.r3.2HG0109680,"chr2H:30471896\T,\C",5.478607e-05,in_gene,0,chr2H,30471896
barley,soilN,HORVU.MOREX.r3.6HG0621670,"chr6H:531313546\C,\T",5.557586e-05,upstream,21439,chr6H,531313546
barley,soilN,HORVU.MOREX.r3.4HG0415290,"chr4H:601605749\T,\C",5.74679e-05,upstream,9399,chr4H,601605749
barley,soilN,HORVU.MOREX.r3.6HG0539150,"chr6H:2772705\A,\G",5.848031e-05,downstream,10357,chr6H,2772705
barley,soilN,HORVU.MOREX.r3.6HG0629220,"chr6H:552268908\T,\C",5.90658e-05,in_gene,0,chr6H,552268908
barley,soilN,HORVU.MOREX.r3.3HG0315570,"chr3H:587896193\T,\C",6.137726e-05,in_gene,0,chr3H,587896193
barley,soilN,HORVU.MOREX.r3.3HG0315570,"chr3H:587896261\T,\C",6.191738e-05,in_gene,0,chr3H,587896261
barley,soilN,HORVU.MOREX.r3.3HG0315570,"chr3H:587896259\C,\T",6.191738e-05,in_gene,0,chr3H,587896259
barley,soilN,HORVU.MOREX.r3.6HG0548380,"chr6H:21737504\C,\T",6.2925e-05,upstream,7130,chr6H,21737504
barley,soilN,HORVU.MOREX.r3.3HG0226580,"chr3H:15476065\C,\T",6.380343e-05,downstream,252,chr3H,15476065
barley,soilN,HORVU.MOREX.r3.5HG0496850,"chr5H:493512651\G,\A",6.384741e-05,downstream,35,chr5H,493512651
barley,soilN,HORVU.MOREX.r3.4HG0335810,"chr4H:13052854\G,\C",6.419599e-05,downstream,1354,chr4H,13052854
barley,soilN,HORVU.MOREX.r3.4HG0336830,"chr4H:16429451\G,\A",6.684381e-05,upstream,3634,chr4H,16429451
barley,soilN,HORVU.MOREX.r3.7HG0635090,"chr7H:2507550\T,\G",6.756828e-05,in_gene,0,chr7H,2507550
barley,soilN,HORVU.MOREX.r3.4HG0332290,"chr4H:3092979\G,\C",7.548405e-05,downstream,16409,chr4H,3092979
barley,soilN,HORVU.MOREX.r3.7HG0744010,"chr7H:612906065\C,\T",8.252715e-05,downstream,2176,chr7H,612906065
barley,soilN,HORVU.MOREX.r3.7HG0648650,"chr7H:26870007\G,\A",8.31394e-05,downstream,5224,chr7H,26870007
barley,soilN,HORVU.MOREX.r3.3HG0314780,"chr3H:586410779\T,\C",8.338819e-05,downstream,17379,chr3H,586410779
barley,soilN,HORVU.MOREX.r3.1HG0006100,"chr1H:12644277\G,\A",8.370416e-05,in_gene,0,chr1H,12644277
barley,soilN,HORVU.MOREX.r3.6HG0629220,"chr6H:552268916\T,\C",8.563167e-05,in_gene,0,chr6H,552268916
barley,soilN,HORVU.MOREX.r3.7HG0650180,"chr7H:29943884\T,\C",8.58493e-05,upstream,1585,chr7H,29943884
barley,soilN,HORVU.MOREX.r3.5HG0509740,"chr5H:524797816\A,\G",8.683229e-05,downstream,673,chr5H,524797816
barley,soilN,HORVU.MOREX.r3.1HG0006130,"chr1H:12698079\G,\A",8.851926e-05,downstream,6189,chr1H,12698079
barley,soilN,HORVU.MOREX.r3.6HG0560150,"chr6H:68295955\G,\A",8.95134e-05,downstream,14248,chr6H,68295955
barley,soilN,HORVU.MOREX.r3.1HG0078610,"chr1H:481878093\A,\T",9.035922e-05,downstream,1810,chr1H,481878093
barley,soilN,HORVU.MOREX.r3.4HG0339730,"chr4H:27057985\C,\G",9.23193e-05,downstream,47,chr4H,27057985
barley,soilN,HORVU.MOREX.r3.7HG0740540,"chr7H:605598151\G,\A",9.765955e-05,downstream,1173,chr7H,605598151
barley,soilN,HORVU.MOREX.r3.3HG0228330,"chr3H:19296008\A,\G",9.911023e-05,upstream,4485,chr3H,19296008
barley,soilN,HORVU.MOREX.r3.7HG0737590,"chr7H:597916671\T,\C",0.0001021565,upstream,10164,chr7H,597916671
barley,soilN,HORVU.MOREX.r3.6HG0544350,"chr6H:14515956\G,\A",0.0001037991,in_gene,0,chr6H,14515956
barley,soilN,HORVU.MOREX.r3.6HG0544350,"chr6H:14515964\T,\C",0.0001037991,in_gene,0,chr6H,14515964
barley,soilN,HORVU.MOREX.r3.2HG0106600,"chr2H:23762640\A,\G",0.0001053391,upstream,1222,chr2H,23762640
barley,soilN,HORVU.MOREX.r3.4HG0415110,"chr4H:600999581\G,\A",0.0001058571,upstream,10069,chr4H,600999581
barley,soilN,HORVU.MOREX.r3.4HG0415110,"chr4H:600999585\C,\T",0.0001058571,upstream,10065,chr4H,600999585
barley,soilN,HORVU.MOREX.r3.1HG0066010,"chr1H:431746501\C,\T",0.0001063708,upstream,384,chr1H,431746501
barley,soilN,HORVU.MOREX.r3.7HG0648920,"chr7H:27539309\G,\T",0.0001077025,downstream,295,chr7H,27539309
barley,soilN,HORVU.MOREX.r3.1HG0006130,"chr1H:12698102\G,\A",0.0001078674,downstream,6212,chr1H,12698102
barley,soilN,HORVU.MOREX.r3.2HG0110000,"chr2H:31546141\C,\T",0.0001093529,in_gene,0,chr2H,31546141
barley,soilN,HORVU.MOREX.r3.1HG0041440,"chr1H:263305320\A,\G",0.000111105,downstream,6790,chr1H,263305320
barley,soilN,HORVU.MOREX.r3.1HG0006100,"chr1H:12644311\C,\T",0.0001139291,in_gene,0,chr1H,12644311
barley,soilN,HORVU.MOREX.r3.4HG0414080,"chr4H:598567977\G,\C",0.0001141391,upstream,7398,chr4H,598567977
barley,soilN,HORVU.MOREX.r3.2HG0099120,"chr2H:9273049\T,\C",0.0001175201,in_gene,0,chr2H,9273049
barley,soilN,HORVU.MOREX.r3.4HG0343420,"chr4H:46064245\C,\T",0.0001189634,upstream,24042,chr4H,46064245
barley,soilN,HORVU.MOREX.r3.1HG0066010,"chr1H:431746440\A,\G",0.0001194304,upstream,445,chr1H,431746440
barley,soilN,HORVU.MOREX.r3.2HG0115000,"chr2H:49500322\G,\A",0.0001206831,in_gene,0,chr2H,49500322
barley,soilN,RBOHB1,"chr4H:598857742\C,\T",0.0001216628,upstream,7352,chr4H,598857742
barley,soilN,HORVU.MOREX.r3.7HG0745500,"chr7H:615893219\C,\A",0.0001216668,upstream,4201,chr7H,615893219
barley,soilN,HORVU.MOREX.r3.4HG0396060,"chr4H:530342356\T,\C",0.0001217786,downstream,13904,chr4H,530342356
barley,soilN,HORVU.MOREX.r3.7HG0745600,"chr7H:616002783\C,\T",0.0001217898,downstream,9,chr7H,616002783
barley,soilN,HORVU.MOREX.r3.2HG0106550,"chr2H:23718500\G,\A",0.0001222427,downstream,1577,chr2H,23718500
barley,soilN,HORVU.MOREX.r3.6HG0581440,"chr6H:222192174\T,\C",0.0001234793,downstream,18955,chr6H,222192174
barley,soilN,HORVU.MOREX.r3.4HG0406470,"chr4H:574969532\A,\G",0.000123915,upstream,17418,chr4H,574969532
barley,soilN,MLO,"chr1H:431352824\T,\C",0.0001274214,in_gene,0,chr1H,431352824
barley,soilN,Cer-q,"chr2H:4740444\C,\T",0.0001301977,downstream,190,chr2H,4740444
barley,soilN,HORVU.MOREX.r3.3HG0329080,"chr3H:615794062\C,\A",0.0001317198,upstream,19138,chr3H,615794062
barley,soilN,HORVU.MOREX.r3.4HG0332260,"chr4H:3051345\G,\A",0.0001329423,upstream,2752,chr4H,3051345
barley,soilN,HORVU.MOREX.r3.5HG0430270,"chr5H:28081328\G,\A",0.0001331011,downstream,16031,chr5H,28081328
barley,soilN,HORVU.MOREX.r3.5HG0526140,"chr5H:562867236\T,\C",0.0001332003,in_gene,0,chr5H,562867236
barley,soilN,HORVU.MOREX.r3.2HG0202880,"chr2H:630539886\C,\G",0.0001332609,upstream,397,chr2H,630539886
barley,soilN,HORVU.MOREX.r3.2HG0097520,"chr2H:5012159\C,\A",0.0001356318,upstream,8812,chr2H,5012159
barley,soilN,HORVU.MOREX.r3.1HG0008690,"chr1H:20701536\G,\A",0.0001374612,downstream,644,chr1H,20701536
barley,soilN,HORVU.MOREX.r3.5HG0484900,"chr5H:451336240\G,\C",0.0001383641,upstream,9941,chr5H,451336240
barley,soilN,HORVU.MOREX.r3.4HG0406470,"chr4H:574969442\A,\G",0.0001395152,upstream,17508,chr4H,574969442
barley,soilN,HORVU.MOREX.r3.1HG0092920,"chr1H:510087807\C,\T",0.0001396493,downstream,2967,chr1H,510087807
barley,soilN,HORVU.MOREX.r3.4HG0406470,"chr4H:574969492\G,\A",0.0001397231,upstream,17458,chr4H,574969492
barley,soilN,HORVU.MOREX.r3.1HG0092920,"chr1H:510087832\G,\A",0.0001409853,downstream,2992,chr1H,510087832
barley,soilN,HORVU.MOREX.r3.4HG0332230,"chr4H:2777530\C,\T",0.0001475259,in_gene,0,chr4H,2777530
barley,soilN,HORVU.MOREX.r3.4HG0406470,"chr4H:574969457\T,\C",0.0001475647,upstream,17493,chr4H,574969457
barley,soilN,HORVU.MOREX.r3.7HG0650650,"chr7H:31205225\T,\C",0.000149069,downstream,732,chr7H,31205225
barley,soilN,HORVU.MOREX.r3.6HG0560150,"chr6H:68295965\A,\G",0.000152134,downstream,14258,chr6H,68295965
barley,soilN,HORVU.MOREX.r3.6HG0560150,"chr6H:68295962\G,\A",0.000152134,downstream,14255,chr6H,68295962
barley,soilN,HORVU.MOREX.r3.7HG0745320,"chr7H:615710341\T,\C",0.0001524329,upstream,198,chr7H,615710341
barley,soilN,HORVU.MOREX.r3.2HG0107680,"chr2H:25801275\C,\T",0.0001540725,in_gene,0,chr2H,25801275
barley,soilN,HORVU.MOREX.r3.3HG0228280,"chr3H:19170437\C,\A",0.0001546944,downstream,1369,chr3H,19170437
barley,soilN,HORVU.MOREX.r3.4HG0394480,"chr4H:519578962\A,\G",0.0001561202,upstream,4914,chr4H,519578962
barley,soilN,HORVU.MOREX.r3.1HG0007460,"chr1H:15197730\T,\C",0.0001624243,upstream,22342,chr1H,15197730
barley,soilN,HORVU.MOREX.r3.2HG0105380,"chr2H:20247537\A,\G",0.0001641041,downstream,1355,chr2H,20247537
barley,soilN,HORVU.MOREX.r3.7HG0748290,"chr7H:621204124\G,\A",0.0001669103,in_gene,0,chr7H,621204124
barley,soilN,HORVU.MOREX.r3.1HG0082310,"chr1H:490289373\G,\A",0.0001670523,downstream,16790,chr1H,490289373
barley,soilN,HORVU.MOREX.r3.7HG0695500,"chr7H:332377446\G,\A",0.0001683031,upstream,8596,chr7H,332377446
barley,soilN,HORVU.MOREX.r3.2HG0113100,"chr2H:43036725\G,\A",0.000168959,downstream,13036,chr2H,43036725
barley,soilN,HORVU.MOREX.r3.5HG0432540,"chr5H:38508435\C,\T",0.0001703756,upstream,12792,chr5H,38508435
barley,soilN,HORVU.MOREX.r3.1HG0089870,"chr1H:503994843\G,\A",0.0001706096,downstream,5260,chr1H,503994843
barley,soilN,HORVU.MOREX.r3.4HG0347190,"chr4H:74011646\T,\G",0.0001713409,in_gene,0,chr4H,74011646
barley,soilN,HORVU.MOREX.r3.4HG0349520,"chr4H:92991071\G,\A",0.0001716528,downstream,2124,chr4H,92991071
barley,soilN,HORVU.MOREX.r3.3HG0314780,"chr3H:586410788\A,\G",0.000173021,downstream,17388,chr3H,586410788
barley,soilN,HORVU.MOREX.r3.7HG0744500,"chr7H:613835051\G,\A",0.0001747889,upstream,22873,chr7H,613835051
barley,soilN,HORVU.MOREX.r3.4HG0335810,"chr4H:13059562\T,\C",0.000177146,downstream,8062,chr4H,13059562
barley,soilN,HORVU.MOREX.r3.3HG0228280,"chr3H:19171131\T,\C",0.0001808528,downstream,2063,chr3H,19171131
barley,soilN,HORVU.MOREX.r3.4HG0394350,"chr4H:517931692\C,\T",0.0001822251,downstream,23281,chr4H,517931692
barley,soilN,HORVU.MOREX.r3.7HG0748570,"chr7H:621696134\C,\A",0.0001824786,upstream,941,chr7H,621696134
barley,soilN,HORVU.MOREX.r3.3HG0228280,"chr3H:19170430\C,\T",0.0001829948,downstream,1362,chr3H,19170430
barley,soilN,HORVU.MOREX.r3.5HG0528280,"chr5H:567580827\C,\T",0.0001841443,upstream,3908,chr5H,567580827
barley,soilN,HORVU.MOREX.r3.4HG0335810,"chr4H:13059511\G,\A",0.000184684,downstream,8011,chr4H,13059511
barley,soilN,HORVU.MOREX.r3.1HG0043650,"chr1H:283610909\A,\G",0.0001865979,downstream,12172,chr1H,283610909
barley,soilN,HORVU.MOREX.r3.4HG0403100,"chr4H:563338430\A,\C",0.000189661,in_gene,0,chr4H,563338430
barley,soilN,HORVU.MOREX.r3.5HG0509720,"chr5H:524763361\G,\C",0.0001916813,downstream,4307,chr5H,524763361
barley,soilN,HORVU.MOREX.r3.4HG0343660,"chr4H:47650654\C,\T",0.000191978,downstream,4646,chr4H,47650654
barley,soilN,HORVU.MOREX.r3.5HG0509590,"chr5H:524492528\G,\A",0.0001946192,downstream,744,chr5H,524492528
barley,soilN,HORVU.MOREX.r3.6HG0544350,"chr6H:14515939\G,\A",0.0001960474,in_gene,0,chr6H,14515939
barley,soilN,HORVU.MOREX.r3.7HG0745790,"chr7H:616291868\G,\A",0.000199116,downstream,13295,chr7H,616291868
barley,soilN,HORVU.MOREX.r3.5HG0526140,"chr5H:562867232\C,\T",0.0001992599,in_gene,0,chr5H,562867232
barley,soilN,HORVU.MOREX.r3.7HG0650510,"chr7H:30846332\G,\A",0.0002006248,downstream,9119,chr7H,30846332
barley,soilN,HORVU.MOREX.r3.3HG0314840,"chr3H:586504956\G,\A",0.0002041142,upstream,4235,chr3H,586504956
barley,soilN,HORVU.MOREX.r3.1HG0092920,"chr1H:510087830\G,\A",0.0002047928,downstream,2990,chr1H,510087830
barley,soilN,HORVU.MOREX.r3.4HG0413970,"chr4H:598256765\C,\G",0.0002053132,in_gene,0,chr4H,598256765
barley,soilN,HORVU.MOREX.r3.3HG0252840,"chr3H:168279877\T,\C",0.0002137655,upstream,1524,chr3H,168279877
barley,soilN,MLO,"chr1H:431352883\C,\A",0.000214077,in_gene,0,chr1H,431352883
barley,soilN,HORVU.MOREX.r3.2HG0177340,"chr2H:537411000\C,\A",0.0002166788,upstream,13703,chr2H,537411000
barley,soilN,HORVU.MOREX.r3.7HG0740630,"chr7H:606128659\C,\T",0.0002178661,downstream,15332,chr7H,606128659
barley,soilN,HORVU.MOREX.r3.7HG0658130,"chr7H:54963257\A,\T",0.0002203973,downstream,4610,chr7H,54963257
barley,soilN,HORVU.MOREX.r3.5HG0476180,"chr5H:406132187\A,\C",0.0002207436,downstream,22367,chr5H,406132187
barley,soilN,HORVU.MOREX.r3.7HG0737570,"chr7H:597909688\G,\A",0.0002210744,downstream,13469,chr7H,597909688
barley,soilN,HORVU.MOREX.r3.1HG0043650,"chr1H:283610933\G,\A",0.0002250299,downstream,12196,chr1H,283610933
barley,soilN,dof7,"chr4H:44090492\G,\A",0.0002286048,upstream,8622,chr4H,44090492
barley,soilN,HORVU.MOREX.r3.3HG0228280,"chr3H:19171056\G,\A",0.0002308219,downstream,1988,chr3H,19171056
barley,soilN,HORVU.MOREX.r3.5HG0482980,"chr5H:443375662\T,\A",0.0002309536,downstream,2780,chr5H,443375662
barley,soilN,HORVU.MOREX.r3.7HG0650760,"chr7H:31266407\G,\A",0.0002313111,downstream,2576,chr7H,31266407
barley,soilN,Cer-q,"chr2H:4740543\C,\T",0.0002314547,downstream,289,chr2H,4740543
barley,soilN,HORVU.MOREX.r3.5HG0485660,"chr5H:455430714\C,\T",0.0002339485,in_gene,0,chr5H,455430714
barley,soilN,HORVU.MOREX.r3.2HG0154520,"chr2H:367644313\C,\A",0.0002345067,upstream,12014,chr2H,367644313
barley,soilN,HORVU.MOREX.r3.2HG0196800,"chr2H:616914830\C,\T",0.0002399799,downstream,4038,chr2H,616914830
barley,soilN,HORVU.MOREX.r3.5HG0527750,"chr5H:566341330\T,\C",0.0002422172,downstream,21,chr5H,566341330
barley,soilN,HORVU.MOREX.r3.5HG0426690,"chr5H:16789194\A,\G",0.0002435573,upstream,20811,chr5H,16789194
barley,soilN,HORVU.MOREX.r3.4HG0335150,"chr4H:10879064\G,\T",0.0002438288,in_gene,0,chr4H,10879064
barley,soilN,HORVU.MOREX.r3.2HG0183240,"chr2H:565255503\G,\A",0.0002459064,downstream,3726,chr2H,565255503
barley,soilN,HORVU.MOREX.r3.1HG0079140,"chr1H:483125548\G,\T",0.0002507511,in_gene,0,chr1H,483125548
barley,soilN,HORVU.MOREX.r3.2HG0107750,"chr2H:25941244\A,\C",0.0002514162,in_gene,0,chr2H,25941244
barley,soilN,dof7,"chr4H:44116884\G,\C",0.0002528157,downstream,16548,chr4H,44116884
barley,soilN,HORVU.MOREX.r3.7HG0740630,"chr7H:606128776\G,\A",0.0002563935,downstream,15449,chr7H,606128776
