,maize_ph,maize_cec
SEEDGWAS1131:MRG:4:250070142,68,184
SEEDGWAS1133:MRG:4:250070143,81,180
SEEDGWAS1134:MRG:4:250070144,62,233
SEEDGWAS1135:MRG:4:250070145,55,284
SEEDGWAS1136:MRG:4:250070147,59,231
SEEDGWAS1138:MRG:4:250070149,66,247
SEEDGWAS114:MRG:4:250054527,61,261
SEEDGWAS1140:MRG:4:250070150,55,258
SEEDGWAS1141:MRG:4:250070151,NA,NA
SEEDGWAS1142:MRG:4:250070152,NA,NA
SEEDGWAS1143:MRG:4:250070153,67,218
SEEDGWAS1144:MRG:4:250070154,72,217
SEEDGWAS1145:MRG:4:250070155,56,245
SEEDGWAS1146:MRG:4:250070156,NA,NA
SEEDGWAS1147:MRG:4:250070157,64,237
SEEDGWAS1148:MRG:4:250070158,65,185
SEEDGWAS115:MRG:4:250054528,73,278
SEEDGWAS1150:MRG:4:250070159,65,185
SEEDGWAS1151:MRG:4:250070160,64,237
SEEDGWAS1152:MRG:4:250070161,64,237
SEEDGWAS1156:MRG:4:250070164,61,192
SEEDGWAS1157:MRG:4:250070165,68,180
SEEDGWAS116:MRG:4:250054529,74,312
SEEDGWAS1161:MRG:4:250070169,NA,NA
SEEDGWAS1166:MRG:4:250070172,61,209
SEEDGWAS1167:MRG:4:250070173,NA,NA
SEEDGWAS1168:MRG:4:250070174,50,242
SEEDGWAS1169:MRG:4:250070175,62,187
SEEDGWAS117:MRG:4:250054530,73,338
SEEDGWAS1170:MRG:4:250070176,70,271
SEEDGWAS1171:MRG:4:250070177,NA,NA
SEEDGWAS1172:MRG:4:250070178,66,203
SEEDGWAS1173:MRG:4:250070179,73,193
SEEDGWAS1174:MRG:4:250070180,73,193
SEEDGWAS1175:MRG:4:250070181,73,193
SEEDGWAS1176:MRG:4:250070182,59,191
SEEDGWAS1177:MRG:4:250070183,71,192
SEEDGWAS1178:MRG:4:250070184,67,232
SEEDGWAS1179:MRG:4:250070185,57,189
SEEDGWAS118:MRG:4:250054531,70,209
SEEDGWAS1180:MRG:4:250070186,57,194
SEEDGWAS1183:MRG:4:250070188,77,229
SEEDGWAS1184:MRG:4:250070189,61,240
SEEDGWAS1185:MRG:4:250070190,62,178
SEEDGWAS1187:MRG:4:250070192,63,229
SEEDGWAS1188:MRG:4:250070193,71,195
SEEDGWAS1189:MRG:4:250070194,58,278
SEEDGWAS119:MRG:4:250054532,65,206
SEEDGWAS1191:MRG:4:250070195,65,208
SEEDGWAS1192:MRG:4:250070196,57,222
SEEDGWAS1195:MRG:4:250070199,74,288
SEEDGWAS1196:MRG:4:250070200,73,282
SEEDGWAS1197:MRG:4:250070201,69,290
SEEDGWAS1198:MRG:4:250070202,64,273
SEEDGWAS1199:MRG:4:250070203,63,294
SEEDGWAS12:MRG:4:250054454,63,249
SEEDGWAS120:MRG:4:250054533,68,188
SEEDGWAS1200:MRG:4:250070204,68,294
SEEDGWAS1204:MRG:4:250070208,62,262
SEEDGWAS1205:MRG:4:250070209,70,246
SEEDGWAS1206:MRG:4:250070210,69,248
SEEDGWAS1207:MRG:4:250070211,66,241
SEEDGWAS1208:MRG:4:250070212,66,267
SEEDGWAS1209:MRG:4:250070213,NA,NA
SEEDGWAS121:MRG:4:250054534,72,257
SEEDGWAS1210:MRG:4:250070214,70,219
SEEDGWAS1211:MRG:4:250070215,67,247
SEEDGWAS1212:MRG:4:250070216,69,239
SEEDGWAS1214:MRG:4:250070218,62,257
SEEDGWAS1215:MRG:4:250070219,59,257
SEEDGWAS1216:MRG:4:250070220,62,296
SEEDGWAS122:MRG:4:250054535,65,241
SEEDGWAS1220:MRG:4:250070223,69,402
SEEDGWAS123:MRG:4:250054536,NA,NA
SEEDGWAS1236:MRG:4:250070267,64,331
SEEDGWAS124:MRG:4:250054537,74,350
SEEDGWAS1241:MRG:4:250070272,66,296
SEEDGWAS1242:MRG:4:250070273,54,248
SEEDGWAS1244:MRG:4:250070274,64,245
SEEDGWAS1246:MRG:4:250070275,58,309
SEEDGWAS1247:MRG:4:250070276,55,219
SEEDGWAS1248:MRG:4:250070277,56,234
SEEDGWAS1249:MRG:4:250070278,70,325
SEEDGWAS125:MRG:4:250054538,74,350
SEEDGWAS1250:MRG:4:250070279,65,229
SEEDGWAS1254:MRG:4:250070280,58,196
SEEDGWAS1256:MRG:4:250070283,68,188
SEEDGWAS1257:MRG:4:250070284,NA,NA
SEEDGWAS1258:MRG:4:250070285,64,231
SEEDGWAS1259:MRG:4:250070286,61,287
SEEDGWAS1260:MRG:4:250070287,61,228
SEEDGWAS1261:MRG:4:250070288,56,238
SEEDGWAS1263:MRG:4:250070290,67,232
SEEDGWAS1264:MRG:4:250070292,64,232
SEEDGWAS1265:MRG:4:250070293,NA,NA
SEEDGWAS1266:MRG:4:250070294,63,193
SEEDGWAS1267:MRG:4:250070295,79,192
SEEDGWAS1268:MRG:4:250070296,57,240
SEEDGWAS1269:MRG:4:250070297,67,358
SEEDGWAS127:MRG:4:250054539,70,370
SEEDGWAS1270:MRG:4:250070298,68,359
SEEDGWAS1271:MRG:4:250070299,70,392
SEEDGWAS1272:MRG:4:250070300,68,405
SEEDGWAS1274:MRG:4:250070301,69,402
SEEDGWAS1277:MRG:4:250070302,67,358
SEEDGWAS1278:MRG:4:250070303,73,470
SEEDGWAS1279:MRG:4:250070304,67,358
SEEDGWAS128:MRG:4:250054540,72,386
SEEDGWAS1281:MRG:4:250070306,67,403
SEEDGWAS1282:MRG:4:250070307,NA,NA
SEEDGWAS1283:MRG:4:250070308,71,411
SEEDGWAS1284:MRG:4:250070310,71,374
SEEDGWAS1285:MRG:4:250070311,59,283
SEEDGWAS1287:MRG:4:250070313,56,239
SEEDGWAS1289:MRG:4:250070314,57,275
SEEDGWAS129:MRG:4:250056097,NA,NA
SEEDGWAS1293:MRG:4:250070317,77,215
SEEDGWAS1294:MRG:4:250070318,65,317
SEEDGWAS1295:MRG:4:250070319,62,230
SEEDGWAS13:MRG:4:250054455,63,196
SEEDGWAS130:MRG:4:250056098,67,315
SEEDGWAS1302:MRG:4:250070326,51,184
SEEDGWAS1303:MRG:4:250070327,72,216
SEEDGWAS1304:MRG:4:250070328,55,231
SEEDGWAS1305:MRG:4:250070329,53,98
SEEDGWAS1306:MRG:4:250070330,54,184
SEEDGWAS1307:MRG:4:250070331,53,164
SEEDGWAS1308:MRG:4:250070332,53,111
SEEDGWAS1309:MRG:4:250070333,56,155
SEEDGWAS131:MRG:4:250056099,NA,NA
SEEDGWAS1310:MRG:4:250070334,53,98
SEEDGWAS1311:MRG:4:250070335,53,114
SEEDGWAS1312:MRG:4:250070336,53,114
SEEDGWAS1313:MRG:4:250070337,55,165
SEEDGWAS1316:MRG:4:250070338,61,258
SEEDGWAS1317:MRG:4:250070339,57,172
SEEDGWAS132:MRG:4:250056100,68,351
SEEDGWAS1320:MRG:4:250070340,59,244
SEEDGWAS1321:MRG:4:250070341,60,256
SEEDGWAS1322:MRG:4:250070342,61,183
SEEDGWAS1323:MRG:4:250070343,62,243
SEEDGWAS1324:MRG:4:250070344,60,185
SEEDGWAS1325:MRG:4:250070345,59,271
SEEDGWAS1326:MRG:4:250070346,59,271
SEEDGWAS1327:MRG:4:250070347,59,271
SEEDGWAS1329:MRG:4:250070348,52,120
SEEDGWAS133:MRG:4:250056101,62,274
SEEDGWAS1330:MRG:4:250070349,56,213
SEEDGWAS1332:MRG:4:250070350,60,258
SEEDGWAS1333:MRG:4:250070351,58,251
SEEDGWAS1334:MRG:4:250105240,62,252
SEEDGWAS1335:MRG:4:250105241,61,239
SEEDGWAS1336:MRG:4:250105242,61,239
SEEDGWAS1337:MRG:4:250105243,61,239
SEEDGWAS1338:MRG:4:250105244,63,231
SEEDGWAS134:MRG:4:250056102,NA,NA
SEEDGWAS1340:MRG:4:250105245,59,198
SEEDGWAS1342:MRG:4:250105246,61,237
SEEDGWAS1344:MRG:4:250105247,61,223
SEEDGWAS1346:MRG:4:250105248,60,284
SEEDGWAS1347:MRG:4:250105249,61,211
SEEDGWAS1348:MRG:4:250105250,61,256
SEEDGWAS1349:MRG:4:250105251,61,256
SEEDGWAS135:MRG:4:250056103,74,436
SEEDGWAS1350:MRG:4:250105252,65,322
SEEDGWAS1351:MRG:4:250105253,64,273
SEEDGWAS1352:MRG:4:250105254,64,273
SEEDGWAS1353:MRG:4:250105255,64,259
SEEDGWAS1355:MRG:4:250105256,66,298
SEEDGWAS1356:MRG:4:250105257,66,274
SEEDGWAS1357:MRG:4:250105258,70,315
SEEDGWAS1358:MRG:4:250105259,66,258
SEEDGWAS1359:MRG:4:250105260,66,258
SEEDGWAS136:MRG:4:250056104,58,262
SEEDGWAS1360:MRG:4:250105261,69,290
SEEDGWAS1361:MRG:4:250105262,54,167
SEEDGWAS1362:MRG:4:250105263,53,161
SEEDGWAS1363:MRG:4:250105264,61,196
SEEDGWAS1364:MRG:4:250105265,61,182
SEEDGWAS1365:MRG:4:250105266,53,124
SEEDGWAS1366:MRG:4:250105267,62,249
SEEDGWAS1367:MRG:4:250105268,58,242
SEEDGWAS1368:MRG:4:250105269,58,214
SEEDGWAS1369:MRG:4:250105270,55,174
SEEDGWAS137:MRG:4:250056105,57,254
SEEDGWAS1370:MRG:4:250105271,53,219
SEEDGWAS1371:MRG:4:250105272,59,162
SEEDGWAS1372:MRG:4:250105273,59,162
SEEDGWAS1373:MRG:4:250105275,72,409
SEEDGWAS1374:MRG:4:250105276,69,402
SEEDGWAS1375:MRG:4:250105277,71,374
SEEDGWAS1376:MRG:4:250105278,71,374
SEEDGWAS1377:MRG:4:250105279,66,318
SEEDGWAS1378:MRG:4:250105280,59,287
SEEDGWAS1379:MRG:4:250105281,60,288
SEEDGWAS1380:MRG:4:250105282,NA,NA
SEEDGWAS1381:MRG:4:250105283,57,279
SEEDGWAS1383:MRG:4:250105284,56,220
SEEDGWAS1386:MRG:4:250105287,51,251
SEEDGWAS1387:MRG:4:250105288,58,309
SEEDGWAS1388:MRG:4:250105289,56,239
SEEDGWAS1389:MRG:4:250105290,54,257
SEEDGWAS139:MRG:4:250056107,68,219
SEEDGWAS1390:MRG:4:250105291,56,315
SEEDGWAS1391:MRG:4:250105292,62,310
SEEDGWAS1392:MRG:4:250105293,56,239
SEEDGWAS1393:MRG:4:250105294,NA,NA
SEEDGWAS1394:MRG:4:250105295,60,264
SEEDGWAS1395:MRG:4:250105296,NA,NA
SEEDGWAS14:MRG:4:250054456,68,222
SEEDGWAS1400:MRG:4:250105298,54,211
SEEDGWAS1401:MRG:4:250105299,57,242
SEEDGWAS1402:MRG:4:250105300,53,238
SEEDGWAS1403:MRG:4:250105301,53,238
SEEDGWAS1404:MRG:4:250105302,53,238
SEEDGWAS1407:MRG:4:250105305,54,137
SEEDGWAS1408:MRG:4:250105306,NA,NA
SEEDGWAS1409:MRG:4:250105307,54,247
SEEDGWAS141:MRG:4:250056108,65,201
SEEDGWAS1410:MRG:4:250105308,55,284
SEEDGWAS1411:MRG:4:250105309,56,92
SEEDGWAS1412:MRG:4:250105310,NA,NA
SEEDGWAS1413:MRG:4:250105311,54,100
SEEDGWAS1414:MRG:4:250105312,54,148
SEEDGWAS1415:MRG:4:250105313,NA,NA
SEEDGWAS1416:MRG:4:250105314,53,146
SEEDGWAS1417:MRG:4:250105315,54,100
SEEDGWAS1418:MRG:4:250105316,55,110
SEEDGWAS142:MRG:4:250056109,NA,NA
SEEDGWAS1421:MRG:4:250105317,54,137
SEEDGWAS1422:MRG:4:250105318,55,116
SEEDGWAS1424:MRG:4:250105320,NA,NA
SEEDGWAS1427:MRG:4:250105322,44,164
SEEDGWAS1428:MRG:4:250105323,59,222
SEEDGWAS1429:MRG:4:250105324,56,185
SEEDGWAS143:MRG:4:250056110,73,313
SEEDGWAS1430:MRG:4:250105325,56,233
SEEDGWAS1431:MRG:4:250105326,NA,NA
SEEDGWAS1432:MRG:4:250105327,67,247
SEEDGWAS1434:MRG:4:250105328,NA,NA
SEEDGWAS1435:MRG:4:250105329,58,209
SEEDGWAS1436:MRG:4:250105330,67,271
SEEDGWAS1437:MRG:4:250105332,59,193
SEEDGWAS1438:MRG:4:250105333,60,237
SEEDGWAS1439:MRG:4:250105334,NA,NA
SEEDGWAS144:MRG:4:250056111,NA,NA
SEEDGWAS1440:MRG:4:250105335,NA,NA
SEEDGWAS1441:MRG:4:250070383,61,247
SEEDGWAS1442:MRG:4:250070384,59,283
SEEDGWAS1443:MRG:4:250070385,69,402
SEEDGWAS1457:MRG:4:250070397,55,125
SEEDGWAS1458:MRG:4:250070398,55,284
SEEDGWAS1460:MRG:4:250070400,51,225
SEEDGWAS1463:MRG:4:250070403,61,214
SEEDGWAS1464:MRG:4:250070404,62,197
SEEDGWAS1465:MRG:4:250070405,62,197
SEEDGWAS1466:MRG:4:250070406,54,213
SEEDGWAS1467:MRG:4:250070407,52,270
SEEDGWAS1468:MRG:4:250070408,63,190
SEEDGWAS1469:MRG:4:250070409,62,216
SEEDGWAS1470:MRG:4:250070410,56,126
SEEDGWAS1472:MRG:4:250070412,55,92
SEEDGWAS1473:MRG:4:250070413,55,91
SEEDGWAS1474:MRG:4:250070414,61,227
SEEDGWAS1476:MRG:4:250070415,61,227
SEEDGWAS1477:MRG:4:250070416,66,226
SEEDGWAS1478:MRG:4:250070417,66,202
SEEDGWAS1479:MRG:4:250070418,66,202
SEEDGWAS148:MRG:4:250056114,64,271
SEEDGWAS1481:MRG:4:250070419,59,197
SEEDGWAS1482:MRG:4:250070420,58,251
SEEDGWAS1483:MRG:4:250070421,58,251
SEEDGWAS1484:MRG:4:250070422,58,251
SEEDGWAS1485:MRG:4:250070423,67,182
SEEDGWAS1486:MRG:4:250070424,66,189
SEEDGWAS1487:MRG:4:250070425,70,182
SEEDGWAS1488:MRG:4:250070426,68,229
SEEDGWAS149:MRG:4:250056115,NA,NA
SEEDGWAS1490:MRG:4:250070427,74,210
SEEDGWAS1492:MRG:4:250070428,71,205
SEEDGWAS1493:MRG:4:250070429,71,210
SEEDGWAS1494:MRG:4:250070430,67,253
SEEDGWAS1495:MRG:4:250070431,73,236
SEEDGWAS1496:MRG:4:250070432,57,240
SEEDGWAS1497:MRG:4:250070433,53,116
SEEDGWAS1498:MRG:4:250070434,54,107
SEEDGWAS15:MRG:4:250054457,74,226
SEEDGWAS150:MRG:4:250056116,62,202
SEEDGWAS1500:MRG:4:250070435,NA,NA
SEEDGWAS1501:MRG:4:250070436,NA,NA
SEEDGWAS1503:MRG:4:250070437,57,109
SEEDGWAS1506:MRG:4:250070438,70,210
SEEDGWAS1507:MRG:4:250070439,NA,NA
SEEDGWAS1508:MRG:4:250070440,55,143
SEEDGWAS1512:MRG:4:250070441,51,104
SEEDGWAS1513:MRG:4:250070442,60,176
SEEDGWAS1516:MRG:4:250070444,62,184
SEEDGWAS1517:MRG:4:250070445,59,172
SEEDGWAS1518:MRG:4:250070446,55,184
SEEDGWAS1519:MRG:4:250070447,59,172
SEEDGWAS152:MRG:4:250056118,58,192
SEEDGWAS153:MRG:4:250056119,57,212
SEEDGWAS1543:MRG:4:250070466,55,236
SEEDGWAS1545:MRG:4:250070467,56,175
SEEDGWAS155:MRG:4:250056120,58,226
SEEDGWAS1550:MRG:4:250070470,53,143
SEEDGWAS1551:MRG:4:250070471,56,152
SEEDGWAS1552:MRG:4:250070472,57,222
SEEDGWAS1553:MRG:4:250070473,70,203
SEEDGWAS1554:MRG:4:250070474,76,237
SEEDGWAS1557:MRG:4:250070477,57,312
SEEDGWAS156:MRG:4:250056121,NA,NA
SEEDGWAS1560:MRG:4:250070478,59,221
SEEDGWAS1561:MRG:4:250070510,59,244
SEEDGWAS1564:MRG:4:250070514,62,158
SEEDGWAS1565:MRG:4:250070515,70,203
SEEDGWAS1566:MRG:4:250070516,58,170
SEEDGWAS157:MRG:4:250056122,61,213
SEEDGWAS1572:MRG:4:250070521,NA,NA
SEEDGWAS1573:MRG:4:250070522,56,122
SEEDGWAS1574:MRG:4:250070523,56,122
SEEDGWAS1577:MRG:4:250070526,58,193
SEEDGWAS1578:MRG:4:250070527,NA,NA
SEEDGWAS1579:MRG:4:250070528,53,183
SEEDGWAS158:MRG:4:250056123,59,222
SEEDGWAS1580:MRG:4:250070529,63,247
SEEDGWAS1581:MRG:4:250070530,74,158
SEEDGWAS160:MRG:4:250056124,NA,NA
SEEDGWAS1604:MRG:4:250070553,74,312
SEEDGWAS1605:MRG:4:250070554,59,212
SEEDGWAS1607:MRG:4:250070555,57,222
SEEDGWAS1608:MRG:4:250070556,NA,NA
SEEDGWAS1609:MRG:4:250070557,NA,NA
SEEDGWAS1610:MRG:4:250070558,65,208
SEEDGWAS1611:MRG:4:250070559,57,167
SEEDGWAS162:MRG:4:250056125,63,195
SEEDGWAS163:MRG:4:250056127,64,187
SEEDGWAS1631:MRG:4:250070569,64,237
SEEDGWAS1632:MRG:4:250070570,71,192
SEEDGWAS1633:MRG:4:250070571,73,193
SEEDGWAS1634:MRG:4:250070572,61,225
SEEDGWAS1635:MRG:4:250070573,63,229
SEEDGWAS1636:MRG:4:250070574,68,213
SEEDGWAS1638:MRG:4:250070575,61,212
SEEDGWAS1639:MRG:4:250070576,68,231
SEEDGWAS164:MRG:4:250056128,63,189
SEEDGWAS1641:MRG:4:250070577,68,219
SEEDGWAS1643:MRG:4:250070578,73,203
SEEDGWAS1644:MRG:4:250070579,76,206
SEEDGWAS1647:MRG:4:250070582,65,201
SEEDGWAS1648:MRG:4:250070583,65,201
SEEDGWAS1651:MRG:4:250070587,NA,NA
SEEDGWAS1652:MRG:4:250070588,73,193
SEEDGWAS1653:MRG:4:250070589,73,193
SEEDGWAS1654:MRG:4:250070590,69,267
SEEDGWAS1655:MRG:4:250070591,69,209
SEEDGWAS1656:MRG:4:250070592,69,209
SEEDGWAS1658:MRG:4:250070593,NA,NA
SEEDGWAS1660:MRG:4:250070595,56,149
SEEDGWAS1661:MRG:4:250070596,56,234
SEEDGWAS1662:MRG:4:250070597,72,202
SEEDGWAS1663:MRG:4:250070598,76,209
SEEDGWAS1665:MRG:4:250070599,62,251
SEEDGWAS1666:MRG:4:250070600,NA,NA
SEEDGWAS1667:MRG:4:250070601,68,231
SEEDGWAS1668:MRG:4:250070602,73,315
SEEDGWAS1669:MRG:4:250070603,NA,NA
SEEDGWAS167:MRG:4:250056129,73,226
SEEDGWAS1670:MRG:4:250070604,NA,NA
SEEDGWAS1671:MRG:4:250070605,58,158
SEEDGWAS1673:MRG:4:250062636,73,293
SEEDGWAS1674:MRG:4:250062637,70,227
SEEDGWAS1676:MRG:4:250062638,NA,NA
SEEDGWAS1679:MRG:4:250062639,64,203
SEEDGWAS168:MRG:4:250056130,74,230
SEEDGWAS1680:MRG:4:250062640,61,209
SEEDGWAS1681:MRG:4:250062641,70,253
SEEDGWAS1682:MRG:4:250062642,NA,NA
SEEDGWAS1683:MRG:4:250062643,NA,NA
SEEDGWAS1684:MRG:4:250062644,NA,NA
SEEDGWAS1685:MRG:4:250062645,NA,NA
SEEDGWAS1689:MRG:4:250062647,65,241
SEEDGWAS169:MRG:4:250056131,65,212
SEEDGWAS1690:MRG:4:250062648,57,222
SEEDGWAS1691:MRG:4:250062649,72,315
SEEDGWAS1693:MRG:4:250062650,62,178
SEEDGWAS1694:MRG:4:250062651,66,215
SEEDGWAS1695:MRG:4:250062652,62,178
SEEDGWAS1696:MRG:4:250062653,53,179
SEEDGWAS1697:MRG:4:250062654,60,191
SEEDGWAS1698:MRG:4:250062655,60,208
SEEDGWAS170:MRG:4:250056132,73,240
SEEDGWAS1701:MRG:4:250062658,NA,NA
SEEDGWAS1704:MRG:4:250062661,64,229
SEEDGWAS1705:MRG:4:250062662,66,215
SEEDGWAS1707:MRG:4:250062663,76,377
SEEDGWAS1708:MRG:4:250062664,61,228
SEEDGWAS1709:MRG:4:250062665,67,175
SEEDGWAS171:MRG:4:250056133,75,225
SEEDGWAS1710:MRG:4:250062667,59,172
SEEDGWAS1711:MRG:4:250062668,68,215
SEEDGWAS1712:MRG:4:250062669,68,173
SEEDGWAS1713:MRG:4:250062670,67,239
SEEDGWAS1714:MRG:4:250062671,67,239
SEEDGWAS1715:MRG:4:250062672,53,198
SEEDGWAS1716:MRG:4:250062673,53,198
SEEDGWAS1717:MRG:4:250062674,67,239
SEEDGWAS1719:MRG:4:250062675,67,239
SEEDGWAS172:MRG:4:250056134,65,212
SEEDGWAS1720:MRG:4:250062676,67,239
SEEDGWAS1721:MRG:4:250062677,67,232
SEEDGWAS1722:MRG:4:250062678,62,209
SEEDGWAS1723:MRG:4:250062679,69,172
SEEDGWAS1725:MRG:4:250062681,56,165
SEEDGWAS1726:MRG:4:250062682,56,165
SEEDGWAS1727:MRG:4:250062683,56,165
SEEDGWAS1728:MRG:4:250062684,56,165
SEEDGWAS1729:MRG:4:250062685,59,228
SEEDGWAS173:MRG:4:250056135,72,232
SEEDGWAS1730:MRG:4:250062686,59,228
SEEDGWAS1731:MRG:4:250062687,68,214
SEEDGWAS1732:MRG:4:250062688,60,245
SEEDGWAS1733:MRG:4:250062689,62,192
SEEDGWAS1736:MRG:4:250062690,65,245
SEEDGWAS1737:MRG:4:250062691,65,245
SEEDGWAS1739:MRG:4:250062692,65,245
SEEDGWAS174:MRG:4:250056136,58,225
SEEDGWAS1740:MRG:4:250062693,73,320
SEEDGWAS1741:MRG:4:250062694,NA,NA
SEEDGWAS1742:MRG:4:250062695,62,198
SEEDGWAS1743:MRG:4:250062696,62,198
SEEDGWAS1744:MRG:4:250062697,57,271
SEEDGWAS1749:MRG:4:250062702,60,245
SEEDGWAS1751:MRG:4:250062703,64,243
SEEDGWAS1752:MRG:4:250062704,64,229
SEEDGWAS1755:MRG:4:250062707,70,197
SEEDGWAS1756:MRG:4:250062708,70,197
SEEDGWAS1759:MRG:4:250062709,77,240
SEEDGWAS176:MRG:4:250056137,74,216
SEEDGWAS1760:MRG:4:250062710,77,209
SEEDGWAS1761:MRG:4:250062711,81,227
SEEDGWAS1766:MRG:4:250062717,84,167
SEEDGWAS1767:MRG:4:250062718,NA,NA
SEEDGWAS1769:MRG:4:250062720,NA,NA
SEEDGWAS177:MRG:4:250056138,78,300
SEEDGWAS1770:MRG:4:250062721,54,152
SEEDGWAS1771:MRG:4:250062722,59,303
SEEDGWAS1773:MRG:4:250062724,64,233
SEEDGWAS1775:MRG:4:250062726,64,286
SEEDGWAS1777:MRG:4:250062728,71,238
SEEDGWAS1778:MRG:4:250062730,72,268
SEEDGWAS1779:MRG:4:250062731,55,213
SEEDGWAS178:MRG:4:250056139,55,240
SEEDGWAS1781:MRG:4:250062764,58,209
SEEDGWAS1782:MRG:4:250062765,64,316
SEEDGWAS1783:MRG:4:250062766,62,262
SEEDGWAS1784:MRG:4:250062767,NA,NA
SEEDGWAS1786:MRG:4:250062769,80,210
SEEDGWAS1788:MRG:4:250062770,82,179
SEEDGWAS1789:MRG:4:250062771,70,225
SEEDGWAS179:MRG:4:250056140,55,231
SEEDGWAS1790:MRG:4:250062772,54,154
SEEDGWAS1791:MRG:4:250062773,54,168
SEEDGWAS1792:MRG:4:250062774,58,194
SEEDGWAS1793:MRG:4:250062775,57,185
SEEDGWAS1794:MRG:4:250062776,64,257
SEEDGWAS1795:MRG:4:250062777,66,229
SEEDGWAS1796:MRG:4:250062778,63,291
SEEDGWAS1797:MRG:4:250062779,60,252
SEEDGWAS1798:MRG:4:250062780,65,261
SEEDGWAS1799:MRG:4:250062781,NA,NA
SEEDGWAS180:MRG:4:250056141,56,127
SEEDGWAS1800:MRG:4:250062782,62,262
SEEDGWAS1802:MRG:4:250062783,NA,NA
SEEDGWAS1803:MRG:4:250062784,69,198
SEEDGWAS1804:MRG:4:250062785,62,215
SEEDGWAS1806:MRG:4:250062787,70,203
