GeneID	GeneName	Family_Subfamily	Protein_class	GO_MF	GO_BP	GO_CC
Zm00001eb038960	Expansin	EXPANSIN-A32 (PTHR31867:SF113)			plant-type cell wall organization(GO:0009664);cell wall organization(GO:0071555)	extracellular region(GO:0005576);membrane(GO:0016020)
Zm00001eb069640	GH16 domain-containing protein	XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE PROTEIN 9 (PTHR31062:SF108)	hydrolase(PC00121)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	carbohydrate metabolic process(GO:0005975);plant-type secondary cell wall biogenesis(GO:0009834)	
Zm00001eb005530	Kelch motif family protein	"REPEAT-CONTAINING F-BOX FAMILY PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR46122:SF25)"	oxidase(PC00175)			nucleus(GO:0005634)
Zm00001eb379100	Binding partner of ACD11 1	RNA-BINDING REGION RNP-1 DOMAIN-CONTAINING PROTEIN (PTHR32343:SF10)	RNA splicing factor(PC00148)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
Zm00001eb408430	Amino acid permease 2	AMINO ACID PERMEASE 2 (PTHR48017:SF123)		amino acid transmembrane transporter activity(GO:0015171)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	membrane(GO:0016020)
Zm00001eb062530	Ras-related protein ARA-3	OS03G0819900 PROTEIN (PTHR47980:SF73)		nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	exocytosis(GO:0006887)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb122470	ABC transporter domain-containing protein	ABC TRANSPORTER G FAMILY MEMBER 31 (PTHR19241:SF675)	ATP-binding cassette (ABC) transporter(PC00003)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb304280	Pectin lyase-like superfamily protein	OS07G0245200 PROTEIN (PTHR31339:SF20)	lyase(PC00144)			
Zm00001eb222050	Protein kinase domain-containing protein	"LEUCINE RICH REPEAT FAMILY PROTEIN, EXPRESSED (PTHR48053:SF32)"		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);signaling receptor activity(GO:0038023)	hormone-mediated signaling pathway(GO:0009755)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb342280	Protein NRT1_ PTR FAMILY 6.2	PROTEIN NRT1_ PTR FAMILY 6.2 (PTHR11654:SF85)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb180070	Protein NRT1_ PTR FAMILY 1.2	PROTEIN NRT1_ PTR FAMILY 1.2 (PTHR11654:SF341)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb280720	Gnk2-homologous domain-containing protein	OS06G0253600 PROTEIN (PTHR32080:SF63)				plasma membrane(GO:0005886);plasmodesma(GO:0009506)
Zm00001eb228140	Leucine-rich repeat receptor-like kinase protein THICK TASSEL DWARF1	RECEPTOR PROTEIN KINASE CLAVATA1 (PTHR48056:SF44)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);receptor serine/threonine kinase binding(GO:0033612);protein serine kinase activity(GO:0106310)	regulation of meristem structural organization(GO:0009934);regulation of meristem growth(GO:0010075);regulation of floral meristem growth(GO:0010080);cell differentiation(GO:0030154);gametophyte development(GO:0048229);floral organ development(GO:0048437);specification of floral organ number(GO:0048833)	membrane(GO:0016020)
Zm00001eb063370	Pectin lyase-like superfamily protein	PLASMIN AND FIBRONECTIN-BINDING PROTEIN A (PTHR31339:SF9)	lyase(PC00144)			
Zm00001eb349510	EamA domain-containing protein	OS05G0409500 PROTEIN (PTHR31218:SF399)				
Zm00001eb425840	Peroxidase superfamily protein	PEROXIDASE 18-RELATED (PTHR31235:SF9)	peroxidase(PC00180)	catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb162570	Protein NRT1_ PTR FAMILY 6.2	PROTEIN NRT1_ PTR FAMILY 6.2 (PTHR11654:SF85)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb207640	Peroxidase	PEROXIDASE (PTHR31235:SF246)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb121500	cytokinin dehydrogenase	CYTOKININ DEHYDROGENASE 1 (PTHR13878:SF42)	oxidase(PC00175)	catalytic activity(GO:0003824);oxidoreductase activity(GO:0016491);cytokinin dehydrogenase activity(GO:0019139);flavin adenine dinucleotide binding(GO:0050660);FAD binding(GO:0071949)	cytokinin metabolic process(GO:0009690)	
Zm00001eb249690	Trehalose 6-phosphate phosphatase	TREHALOSE-PHOSPHATE PHOSPHATASE 1-RELATED (PTHR43768:SF23)	phosphatase(PC00181)			
Zm00001eb403580	NAC domain-containing protein	NAC DOMAIN-CONTAINING PROTEIN 105 (PTHR31744:SF236)		DNA binding(GO:0003677)	regulation of DNA-templated transcription(GO:0006355)	
Zm00001eb272480	Methyltransferase PMT27	METHYLTRANSFERASE PMT27-RELATED (PTHR10108:SF1077)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);transferase activity(GO:0016740)	methylation(GO:0032259)	cytoplasm(GO:0005737);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb405820	Putative phototropic-resoponsive NPH3 family protein	PHOTOTROPIC-RESOPONSIVE NPH3 FAMILY PROTEIN-RELATED (PTHR32370:SF169)			protein ubiquitination(GO:0016567)	
Zm00001eb076810	Carboxypeptidase	SERINE CARBOXYPEPTIDASE-LIKE 35 (PTHR11802:SF280)	serine protease(PC00203)	carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	
Zm00001eb066630	Phytosulfokine receptor 1	PHYTOSULFOKINE RECEPTOR 1 (PTHR27000:SF802)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
Zm00001eb430810	Potassium transporter	POTASSIUM TRANSPORTER 10 (PTHR30540:SF95)	transporter(PC00227)			
Zm00001eb068210	Peroxidase	PEROXIDASE (PTHR31388:SF27)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb041140	non-specific serine_threonine protein kinase	CBL-INTERACTING PROTEIN KINASE 6 (PTHR43895:SF149)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	signal transduction(GO:0007165)	
Zm00001eb107190	Calcium-dependent protein kinase 7	CALCIUM-DEPENDENT PROTEIN KINASE 32 (PTHR24349:SF456)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737);plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb296060	mitogen-activated protein kinase	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR24055:SF580)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);MAP kinase activity(GO:0004707);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	MAPK cascade(GO:0000165);intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb126980	Protein NRT1_ PTR FAMILY 6.1	PROTEIN NRT1_ PTR FAMILY 6.1 (PTHR11654:SF112)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb251980	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF212)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb313490	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF31)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb328990	CDPK-related kinase 1	CDPK-RELATED KINASE 7 (PTHR24349:SF92)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);catalytic activity(GO:0003824);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb227950	Protein kinase domain-containing protein	CDPK-RELATED KINASE 3 (PTHR24349:SF361)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);catalytic activity(GO:0003824);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb275510	Uncharacterized protein					
Zm00001eb093410	Calcium dependent protein kinase2	CALCIUM-DEPENDENT PROTEIN KINASE 26 (PTHR24349:SF533)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb330530	Peroxidase	PEROXIDASE 70 (PTHR31388:SF48)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb233720	4-coumarate--CoA ligase	4-COUMARATE--COA LIGASE 3 (PTHR24096:SF300)	ligase(PC00142)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);4-coumarate-CoA ligase activity(GO:0016207);CoA-ligase activity(GO:0016405);ligase activity(GO:0016874);trans-cinnamate-CoA ligase activity(GO:0106290)	phenylpropanoid metabolic process(GO:0009698)	
Zm00001eb031840	Cation_H(+) antiporter 19	CATION_H(+) ANTIPORTER 19 (PTHR32468:SF72)	transporter(PC00227)	antiporter activity(GO:0015297)	monoatomic ion transport(GO:0006811);monoatomic cation transport(GO:0006812);potassium ion transport(GO:0006813);regulation of pH(GO:0006885);transmembrane transport(GO:0055085);proton transmembrane transport(GO:1902600)	chloroplast envelope(GO:0009941);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb257300	Pathogenesis-related protein PR-1	"CAP (CYSTEINE-RICH SECRETORY PROTEINS, ANTIGEN 5, AND PATHOGENESIS-RELATED 1 PROTEIN) SUPERFAMILY PROTEIN (PTHR10334:SF430)"	defense/immunity protein(PC00090)		defense response to other organism(GO:0098542)	extracellular region(GO:0005576);extracellular space(GO:0005615)
Zm00001eb144570	PTI1-like tyrosine-protein kinase 3	OS01G0899000 PROTEIN (PTHR47983:SF33)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein tyrosine kinase activity(GO:0004713);non-membrane spanning protein tyrosine kinase activity(GO:0004715);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);protein kinase binding(GO:0019901)		
Zm00001eb374600	BTB_POZ domain-containing protein NPY1	OS06G0184500 PROTEIN (PTHR32370:SF168)			protein ubiquitination(GO:0016567)	
Zm00001eb039590	Histidine-containing phosphotransfer protein	HISTIDINE-CONTAINING PHOSPHOTRANSFER PROTEIN 1 (PTHR28242:SF47)		protein binding(GO:0005515);histidine phosphotransfer kinase activity(GO:0009927);protein histidine kinase binding(GO:0043424)	phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736);positive regulation of cytokinin-activated signaling pathway(GO:0080038)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb242750	Germin-like protein	GERMIN-LIKE PROTEIN SUBFAMILY 3 MEMBER 2 (PTHR31238:SF8)		manganese ion binding(GO:0030145);metal ion binding(GO:0046872)	plasmodesmata-mediated intercellular transport(GO:0010497);regulation of root development(GO:2000280)	plasmodesma(GO:0009506);apoplast(GO:0048046)
Zm00001eb192230	protein-serine_threonine phosphatase	PROTEIN PHOSPHATASE 2C 27-RELATED (PTHR13832:SF684)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	signal transduction(GO:0007165)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb332460	Germin-like protein	GERMIN-LIKE PROTEIN 1-1 (PTHR31238:SF36)		manganese ion binding(GO:0030145);metal ion binding(GO:0046872)	plasmodesmata-mediated intercellular transport(GO:0010497);regulation of root development(GO:2000280)	plasmodesma(GO:0009506);apoplast(GO:0048046)
Zm00001eb138700	Peroxidase	PEROXIDASE (PTHR31235:SF21)	peroxidase(PC00180)			
Zm00001eb384970	L-ascorbate oxidase	FI03373P-RELATED (PTHR11709:SF394)	oxidase(PC00175)	copper ion binding(GO:0005507);L-ascorbate oxidase activity(GO:0008447);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872)	response to virus(GO:0009615);response to hydrogen peroxide(GO:0042542);negative regulation of defense response to virus(GO:0050687)	extracellular region(GO:0005576)
Zm00001eb003660	Leucine-rich repeat receptor-like protein kinase PXL1	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR48052:SF36)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	phloem or xylem histogenesis(GO:0010087)	plasma membrane(GO:0005886)
Zm00001eb046220	MDIS1-interacting receptor like kinase 2	"LEUCINE RICH REPEAT FAMILY PROTEIN, EXPRESSED (PTHR48053:SF32)"		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);signaling receptor activity(GO:0038023)	hormone-mediated signaling pathway(GO:0009755)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb280790	Peroxidase	PEROXIDASE 11 (PTHR31388:SF9)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb205090	protein-serine_threonine phosphatase	PROTEIN PHOSPHATASE 2C 72-RELATED (PTHR47992:SF57)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	regulation of intracellular signal transduction(GO:1902531)	
Zm00001eb167820	Leucine-rich receptor-like protein kinase family protein	"LEUCINE RICH REPEAT FAMILY PROTEIN, EXPRESSED (PTHR27000:SF789)"	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	post-embryonic development(GO:0009791);shoot system development(GO:0048367);reproductive structure development(GO:0048608);plant organ formation(GO:1905393)	plasma membrane(GO:0005886)
Zm00001eb056390	Endoglucanase	ENDOGLUCANASE 10 (PTHR22298:SF171)		"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245)	
Zm00001eb194210	Trehalose 6-phosphate phosphatase	TREHALOSE-PHOSPHATE PHOSPHATASE C-RELATED (PTHR43768:SF32)	phosphatase(PC00181)			
Zm00001eb405800	BTB_POZ domain-containing protein	OS12G0117600 PROTEIN (PTHR32370:SF115)			protein ubiquitination(GO:0016567)	
Zm00001eb045780	MYB transcription factor	"PROTEIN MYB4, PUTATIVE, EXPRESSED-RELATED (PTHR10641:SF1412)"	homeodomain transcription factor(PC00119)	transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);regulation of lignin biosynthetic process(GO:1901141)	nucleus(GO:0005634)
Zm00001eb402940	Putative leucine-rich repeat receptor-like protein kinase family protein	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR48052:SF36)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	phloem or xylem histogenesis(GO:0010087)	plasma membrane(GO:0005886)
Zm00001eb292770	Tubby-like F-box protein	TUBBY-LIKE F-BOX PROTEIN 7 (PTHR16517:SF50)	scaffold/adaptor protein(PC00226)			
Zm00001eb428910	Argonaute1b	"ARGONAUTE-1, ISOFORM A (PTHR22891:SF174)"	translation initiation factor(PC00224)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521)	regulatory ncRNA-mediated gene silencing(GO:0031047)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb112170	Leucine-rich repeat receptor-like serine_threonine-protein kinase BAM3	"LEUCINE RICH REPEAT FAMILY PROTEIN, EXPRESSED (PTHR48053:SF71)"		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);signaling receptor activity(GO:0038023)	hormone-mediated signaling pathway(GO:0009755)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb038610	GDSL esterase_lipase LTL1	OS08G0565900 PROTEIN (PTHR45648:SF163)	lipase(PC00143)	"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)"	lipid catabolic process(GO:0016042);cutin-based cuticle development(GO:0160062)	
Zm00001eb166100	laccase	LACCASE (PTHR11709:SF512)	oxidase(PC00175)	copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716)	lignin catabolic process(GO:0046274)	apoplast(GO:0048046)
Zm00001eb321890	Protein trichome birefringence-like 13	PROTEIN TRICHOME BIREFRINGENCE-LIKE 13 (PTHR32285:SF12)		O-acetyltransferase activity(GO:0016413);transferase activity(GO:0016740);xylan O-acetyltransferase activity(GO:1990538)		Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb043750	Protein kinase domain-containing protein	OS10G0510700 PROTEIN (PTHR24349:SF279)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);catalytic activity(GO:0003824);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb145670	Amino acid permease 2	AMINO ACID CARRIER (PTHR48017:SF94)		amino acid transmembrane transporter activity(GO:0015171);symporter activity(GO:0015293)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb281920	Thioredoxin H9	THIOREDOXIN H4-2 (PTHR10438:SF461)	oxidoreductase(PC00176)			
Zm00001eb153630	Protein kinase family protein with leucine-rich repeat domain	OS01G0742400 PROTEIN (PTHR27000:SF709)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb065120	GDSL esterase_lipase EXL3	"GDSL-LIKE LIPASE_ACYLHYDROLASE FAMILY PROTEIN, EXPRESSED (PTHR45642:SF95)"	hydrolase(PC00121)			
Zm00001eb257310	CAP (Cysteine-rich secretory proteins Antigen 5 and Pathogenesis-related 1 protein) superfamily protein	"CAP (CYSTEINE-RICH SECRETORY PROTEINS, ANTIGEN 5, AND PATHOGENESIS-RELATED 1 PROTEIN) SUPERFAMILY PROTEIN (PTHR10334:SF417)"	defense/immunity protein(PC00090)			extracellular region(GO:0005576);extracellular space(GO:0005615)
Zm00001eb396970	protein-serine_threonine phosphatase	PROTEIN PHOSPHATASE 2C 2-RELATED (PTHR13832:SF853)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);cation binding(GO:0043169);metal ion binding(GO:0046872)	abscisic acid-activated signaling pathway(GO:0009738)	
