chr,rs,ps,p_wald,n_genes_25kb,genes_in_25kb,closest_gene,closest_gene_id,closest_gene_distance_bp
5,Chr5_25556177.0,25556177,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556190.0,25556190,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556208.0,25556208,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556225.0,25556225,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556270.0,25556270,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556272.0,25556272,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556332.0,25556332,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556465.0,25556465,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556477.0,25556477,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556541.0,25556541,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556594.0,25556594,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556666.0,25556666,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556668.0,25556668,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556669.0,25556669,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556728.0,25556728,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556767.0,25556767,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556786.0,25556786,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556805.0,25556805,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556828.0,25556828,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556847.0,25556847,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556905.0,25556905,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556908.0,25556908,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556928.0,25556928,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25557004.0,25557004,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25557115.0,25557115,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25557118.0,25557118,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_4797923.0,4797923,9.252213e-07,0,,,,
5,Chr5_4797976.0,4797976,9.252213e-07,0,,,,
4,Chr4_16428237.0,16428237,9.524001e-07,0,,,,
1,Chr1_11703243.0,11703243,1.00804e-06,0,,,,
5,Chr5_25558023.0,25558023,1.008222e-06,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_2746838.0,2746838,1.033265e-06,1,AT5G08490,AT5G08490,AT5G08490,0.0
2,Chr2_7477822.0,7477822,1.114048e-06,0,,,,
1,Chr1_6731977.0,6731977,1.120001e-06,1,AT1G19450,AT1G19450,AT1G19450,0.0
5,Chr5_26298570.0,26298570,1.151769e-06,0,,,,
2,Chr2_7623212.0,7623212,1.160276e-06,0,,,,
2,Chr2_7628344.0,7628344,1.160276e-06,1,AT2G17530,AT2G17530,AT2G17530,0.0
2,Chr2_6767446.0,6767446,1.18134e-06,0,,,,
2,Chr2_6775564.0,6775564,1.18134e-06,1,AT2G15530,AT2G15530,AT2G15530,0.0
5,Chr5_5316328.0,5316328,1.205554e-06,1,AT5G16270,AT5G16270,AT5G16270,0.0
5,Chr5_2771863.0,2771863,1.388667e-06,1,AT5G08560,AT5G08560,AT5G08560,0.0
2,Chr2_7696161.0,7696161,1.507401e-06,0,,,,
2,Chr2_7696195.0,7696195,1.507401e-06,0,,,,
5,Chr5_26397819.0,26397819,1.517907e-06,1,AT5G66005,AT5G66005,AT5G66005,0.0
4,Chr4_1459582.0,1459582,1.522065e-06,0,,,,
2,Chr2_7633510.0,7633510,1.535378e-06,0,,,,
2,Chr2_7633642.0,7633642,1.535378e-06,0,,,,
5,Chr5_26398230.0,26398230,1.567716e-06,1,AT5G66005,AT5G66005,AT5G66005,0.0
2,Chr2_7621182.0,7621182,1.583819e-06,0,,,,
2,Chr2_7623364.0,7623364,1.66725e-06,0,,,,
2,Chr2_5916428.0,5916428,1.744773e-06,0,,,,
2,Chr2_7696026.0,7696026,1.756648e-06,0,,,,
2,Chr2_7633488.0,7633488,1.860408e-06,0,,,,
2,Chr2_7632027.0,7632027,1.929189e-06,0,,,,
2,Chr2_7630304.0,7630304,1.937907e-06,0,,,,
2,Chr2_7630307.0,7630307,1.937907e-06,0,,,,
5,Chr5_24085069.0,24085069,2.030564e-06,0,,,,
5,Chr5_25556911.0,25556911,2.100952e-06,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_2504184.0,2504184,2.27538e-06,1,AT5G07830,AT5G07830,AT5G07830,0.0
5,Chr5_25557341.0,25557341,2.299973e-06,1,AT5G63860,AT5G63860,AT5G63860,0.0
2,Chr2_6767803.0,6767803,2.315152e-06,0,,,,
5,Chr5_2505190.0,2505190,2.326724e-06,1,AT5G07830,AT5G07830,AT5G07830,0.0
5,Chr5_25554306.0,25554306,2.429886e-06,0,,,,
2,Chr2_6766190.0,6766190,2.517485e-06,0,,,,
2,Chr2_6772151.0,6772151,2.517485e-06,0,,,,
2,Chr2_6776473.0,6776473,2.517485e-06,1,AT2G15530,AT2G15530,AT2G15530,0.0
2,Chr2_5897779.0,5897779,2.56793e-06,0,,,,
2,Chr2_6768389.0,6768389,2.707875e-06,0,,,,
2,Chr2_7477419.0,7477419,2.776153e-06,1,AT2G17180,AT2G17180,AT2G17180,0.0
2,Chr2_7477462.0,7477462,2.776153e-06,1,AT2G17180,AT2G17180,AT2G17180,0.0
5,Chr5_26416921.0,26416921,2.924644e-06,1,AT5G66052,AT5G66052,AT5G66052,0.0
2,Chr2_7431032.0,7431032,2.960182e-06,1,AT2G17070,AT2G17070,AT2G17070,0.0
5,Chr5_26150738.0,26150738,3.019409e-06,0,,,,
2,Chr2_781390.0,781390,3.159949e-06,0,,,,
2,Chr2_7421717.0,7421717,3.219574e-06,0,,,,
2,Chr2_5878564.0,5878564,3.239291e-06,0,,,,
2,Chr2_8733859.0,8733859,3.305054e-06,1,AT2G20250,AT2G20250,AT2G20250,0.0
2,Chr2_8736188.0,8736188,3.305054e-06,1,AT2G20250,AT2G20250,AT2G20250,0.0
2,Chr2_8740529.0,8740529,3.305054e-06,1,AT2G20280,AT2G20280,AT2G20280,0.0
2,Chr2_8759576.0,8759576,3.305054e-06,1,AT2G20300,AT2G20300,AT2G20300,0.0
5,Chr5_26395662.0,26395662,3.342631e-06,1,AT5G65990,AT5G65990,AT5G65990,0.0
2,Chr2_5880444.0,5880444,3.426382e-06,0,,,,
2,Chr2_7696968.0,7696968,3.465563e-06,0,,,,
5,Chr5_1466197.0,1466197,3.486818e-06,1,AT5G04970,AT5G04970,AT5G04970,0.0
5,Chr5_18822319.0,18822319,3.486818e-06,1,AT5G46400,AT5G46400,AT5G46400,0.0
5,Chr5_19608015.0,19608015,3.486818e-06,0,,,,
4,Chr4_5937414.0,5937414,3.608219e-06,0,,,,
2,Chr2_5902574.0,5902574,3.876113e-06,0,,,,
1,Chr1_5144950.0,5144950,3.964836e-06,0,,,,
2,Chr2_7668331.0,7668331,4.235094e-06,1,AT2G17640,AT2G17640,AT2G17640,0.0
1,Chr1_4901609.0,4901609,4.249035e-06,0,,,,
1,Chr1_19565419.0,19565419,4.365235e-06,0,,,,
1,Chr1_19569946.0,19569946,4.365235e-06,1,AT1G52530,AT1G52530,AT1G52530,0.0
1,Chr1_19570396.0,19570396,4.365235e-06,1,AT1G52540,AT1G52540,AT1G52540,0.0
2,Chr2_7471975.0,7471975,4.529627e-06,0,,,,
2,Chr2_7446913.0,7446913,4.696989e-06,0,,,,
2,Chr2_7448438.0,7448438,4.696989e-06,0,,,,
5,Chr5_26397300.0,26397300,4.71362e-06,1,AT5G66000,AT5G66000,AT5G66000,0.0
1,Chr1_6512240.0,6512240,4.936312e-06,0,,,,
2,Chr2_7454538.0,7454538,4.954247e-06,0,,,,
5,Chr5_2491417.0,2491417,4.994164e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
2,Chr2_7447181.0,7447181,5.055537e-06,0,,,,
2,Chr2_7447455.0,7447455,5.055537e-06,0,,,,
1,Chr1_5052189.0,5052189,5.085425e-06,1,AT1G14690,AT1G14690,AT1G14690,0.0
2,Chr2_5879815.0,5879815,5.120922e-06,0,,,,
1,Chr1_6512290.0,6512290,5.46194e-06,0,,,,
5,Chr5_2491220.0,2491220,5.578582e-06,0,,,,
5,Chr5_2494913.0,2494913,5.578582e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2499407.0,2499407,5.578582e-06,1,AT5G07820,AT5G07820,AT5G07820,0.0
4,Chr4_9061310.0,9061310,6.462453e-06,1,AT4G15990,AT4G15990,AT4G15990,0.0
5,Chr5_2491443.0,2491443,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491463.0,2491463,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491495.0,2491495,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491534.0,2491534,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491535.0,2491535,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491559.0,2491559,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491590.0,2491590,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491603.0,2491603,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491666.0,2491666,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491677.0,2491677,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_2491681.0,2491681,6.546428e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
2,Chr2_7696710.0,7696710,6.870652e-06,0,,,,
2,Chr2_7422136.0,7422136,6.880086e-06,0,,,,
5,Chr5_23252042.0,23252042,7.097913e-06,0,,,,
2,Chr2_6770624.0,6770624,7.181704e-06,0,,,,
2,Chr2_5833911.0,5833911,7.559973e-06,1,AT2G13900,AT2G13900,AT2G13900,0.0
3,Chr3_18632396.0,18632396,8.242132e-06,0,,,,
3,Chr3_18636264.0,18636264,8.242132e-06,1,AT3G50270,AT3G50270,AT3G50270,0.0
4,Chr4_13133145.0,13133145,8.26817e-06,0,,,,
4,Chr4_13133146.0,13133146,8.26817e-06,0,,,,
4,Chr4_13133149.0,13133149,8.26817e-06,0,,,,
5,Chr5_10841166.0,10841166,8.338764e-06,0,,,,
5,Chr5_25676352.0,25676352,8.413332e-06,1,AT5G64170,AT5G64170,AT5G64170,0.0
5,Chr5_26281073.0,26281073,8.484724e-06,0,,,,
5,Chr5_15761610.0,15761610,8.735624e-06,0,,,,
2,Chr2_7424694.0,7424694,8.952638e-06,1,AT2G17060,AT2G17060,AT2G17060,0.0
1,Chr1_4874656.0,4874656,9.134487e-06,1,AT1G14260,AT1G14260,AT1G14260,0.0
5,Chr5_2494588.0,2494588,9.152736e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
5,Chr5_24215381.0,24215381,9.163705e-06,1,AT5G60140,AT5G60140,AT5G60140,0.0
5,Chr5_2495894.0,2495894,9.168331e-06,1,AT5G07810,AT5G07810,AT5G07810,0.0
2,Chr2_7630302.0,7630302,9.318588e-06,0,,,,
5,Chr5_2512090.0,2512090,9.468583e-06,1,AT5G07860,AT5G07860,AT5G07860,0.0
5,Chr5_20543331.0,20543331,9.582701e-06,1,AT5G50450,AT5G50450,AT5G50450,0.0
2,Chr2_7423319.0,7423319,9.596972e-06,1,AT2G17060,AT2G17060,AT2G17060,0.0
2,Chr2_7423362.0,7423362,9.596972e-06,1,AT2G17060,AT2G17060,AT2G17060,0.0
2,Chr2_7423236.0,7423236,9.642043e-06,1,AT2G17060,AT2G17060,AT2G17060,0.0
2,Chr2_7474090.0,7474090,9.687244e-06,0,,,,
2,Chr2_7450913.0,7450913,9.774497e-06,0,,,,
2,Chr2_7451274.0,7451274,9.774497e-06,0,,,,
2,Chr2_7451517.0,7451517,9.774497e-06,0,,,,
2,Chr2_7454558.0,7454558,9.774497e-06,0,,,,
2,Chr2_7455159.0,7455159,9.774497e-06,0,,,,
2,Chr2_7456378.0,7456378,9.774497e-06,0,,,,
2,Chr2_7457116.0,7457116,9.774497e-06,0,,,,
2,Chr2_7458010.0,7458010,9.774497e-06,0,,,,
2,Chr2_7459039.0,7459039,9.774497e-06,0,,,,
2,Chr2_6771506.0,6771506,1.010789e-05,0,,,,
5,Chr5_2754374.0,2754374,1.018423e-05,1,AT5G08510,AT5G08510,AT5G08510,0.0
3,Chr3_3189222.0,3189222,1.032209e-05,0,,,,
5,Chr5_12286900.0,12286900,1.038749e-05,0,,,,
2,Chr2_12442229.0,12442229,1.056696e-05,1,AT2G28960,AT2G28960,AT2G28960,0.0
3,Chr3_18597068.0,18597068,1.063307e-05,1,AT3G50150,AT3G50150,AT3G50150,0.0
3,Chr3_18600730.0,18600730,1.063307e-05,1,AT3G50160,AT3G50160,AT3G50160,0.0
3,Chr3_18604263.0,18604263,1.063307e-05,0,,,,
2,Chr2_7477549.0,7477549,1.06959e-05,1,AT2G17180,AT2G17180,AT2G17180,0.0
3,Chr3_16357613.0,16357613,1.078017e-05,0,,,,
5,Chr5_24208641.0,24208641,1.084962e-05,1,AT5G60120,AT5G60120,AT5G60120,0.0
2,Chr2_7477597.0,7477597,1.108874e-05,1,AT2G17180,AT2G17180,AT2G17180,0.0
2,Chr2_7477621.0,7477621,1.108874e-05,1,AT2G17180,AT2G17180,AT2G17180,0.0
5,Chr5_24153268.0,24153268,1.12785e-05,0,,,,
5,Chr5_24156403.0,24156403,1.12785e-05,0,,,,
1,Chr1_4911369.0,4911369,1.131328e-05,1,AT1G14360,AT1G14360,AT1G14360,0.0
1,Chr1_4912214.0,4912214,1.131328e-05,1,AT1G14360,AT1G14360,AT1G14360,0.0
5,Chr5_25553601.0,25553601,1.131894e-05,0,,,,
4,Chr4_5941886.0,5941886,1.190645e-05,1,AT4G09360,AT4G09360,AT4G09360,0.0
3,Chr3_13267173.0,13267173,1.215496e-05,0,,,,
4,Chr4_5850144.0,5850144,1.250206e-05,0,,,,
4,Chr4_5850349.0,5850349,1.250206e-05,0,,,,
4,Chr4_5850462.0,5850462,1.250206e-05,0,,,,
4,Chr4_5850632.0,5850632,1.250206e-05,0,,,,
5,Chr5_26416245.0,26416245,1.266731e-05,1,AT5G66052,AT5G66052,AT5G66052,0.0
5,Chr5_24568633.0,24568633,1.283421e-05,1,AT5G61060,AT5G61060,AT5G61060,0.0
5,Chr5_24570361.0,24570361,1.283421e-05,1,AT5G61060,AT5G61060,AT5G61060,0.0
5,Chr5_24571217.0,24571217,1.283421e-05,1,AT5G61070,AT5G61070,AT5G61070,0.0
5,Chr5_24575228.0,24575228,1.283421e-05,1,AT5G61090,AT5G61090,AT5G61090,0.0
5,Chr5_2512663.0,2512663,1.291459e-05,1,AT5G07860,AT5G07860,AT5G07860,0.0
5,Chr5_25557856.0,25557856,1.320802e-05,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25557877.0,25557877,1.320802e-05,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25557892.0,25557892,1.320802e-05,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25558201.0,25558201,1.320802e-05,1,AT5G63860,AT5G63860,AT5G63860,0.0
1,Chr1_4567034.0,4567034,1.32148e-05,1,AT1G13320,AT1G13320,AT1G13320,0.0
1,Chr1_4571546.0,4571546,1.32148e-05,0,,,,
1,Chr1_19571731.0,19571731,1.336949e-05,1,AT1G52540,AT1G52540,AT1G52540,0.0
2,Chr2_7613706.0,7613706,1.344935e-05,1,AT2G17510,AT2G17510,AT2G17510,0.0
2,Chr2_5879048.0,5879048,1.350351e-05,0,,,,
1,Chr1_19568359.0,19568359,1.370661e-05,1,AT1G52520,AT1G52520,AT1G52520,0.0
1,Chr1_19571801.0,19571801,1.370661e-05,1,AT1G52540,AT1G52540,AT1G52540,0.0
5,Chr5_26366085.0,26366085,1.41409e-05,0,,,,
5,Chr5_26366086.0,26366086,1.41409e-05,0,,,,
3,Chr3_21847811.0,21847811,1.451071e-05,1,AT3G59100,AT3G59100,AT3G59100,0.0
2,Chr2_7477206.0,7477206,1.458942e-05,1,AT2G17180,AT2G17180,AT2G17180,0.0
2,Chr2_7477485.0,7477485,1.458942e-05,1,AT2G17180,AT2G17180,AT2G17180,0.0
5,Chr5_26393660.0,26393660,1.483113e-05,1,AT5G65980,AT5G65980,AT5G65980,0.0
1,Chr1_5145443.0,5145443,1.493142e-05,0,,,,
2,Chr2_7477917.0,7477917,1.508395e-05,1,AT2G17190,AT2G17190,AT2G17190,0.0
5,Chr5_26280974.0,26280974,1.51526e-05,0,,,,
3,Chr3_21869835.0,21869835,1.515392e-05,0,,,,
2,Chr2_5905498.0,5905498,1.516225e-05,0,,,,
2,Chr2_5905572.0,5905572,1.516225e-05,0,,,,
5,Chr5_5697464.0,5697464,1.521932e-05,1,AT5G17310,AT5G17310,AT5G17310,0.0
2,Chr2_7633200.0,7633200,1.531491e-05,0,,,,
5,Chr5_26353264.0,26353264,1.531936e-05,1,AT5G65880,AT5G65880,AT5G65880,0.0
5,Chr5_26354271.0,26354271,1.531936e-05,0,,,,
3,Chr3_22979676.0,22979676,1.542904e-05,0,,,,
3,Chr3_22981960.0,22981960,1.542904e-05,1,AT3G62060,AT3G62060,AT3G62060,0.0
5,Chr5_5343499.0,5343499,1.546386e-05,1,AT5G16310,AT5G16310,AT5G16310,0.0
1,Chr1_19553035.0,19553035,1.55045e-05,0,,,,
3,Chr3_23000317.0,23000317,1.560924e-05,0,,,,
3,Chr3_23005009.0,23005009,1.560924e-05,1,AT3G62130,AT3G62130,AT3G62130,0.0
3,Chr3_23013742.0,23013742,1.560924e-05,1,AT3G62150,AT3G62150,AT3G62150,0.0
3,Chr3_23031576.0,23031576,1.560924e-05,1,AT3G62230,AT3G62230,AT3G62230,0.0
2,Chr2_7425297.0,7425297,1.593451e-05,1,AT2G17060,AT2G17060,AT2G17060,0.0
1,Chr1_6511016.0,6511016,1.610609e-05,1,AT1G18860,AT1G18860,AT1G18860,0.0
2,Chr2_19383306.0,19383306,1.626644e-05,0,,,,
2,Chr2_7527661.0,7527661,1.63627e-05,0,,,,
1,Chr1_16815235.0,16815235,1.65911e-05,0,,,,
1,Chr1_4550313.0,4550313,1.67776e-05,1,AT1G13290,AT1G13290,AT1G13290,0.0
4,Chr4_4207563.0,4207563,1.678869e-05,0,,,,
5,Chr5_2516841.0,2516841,1.689355e-05,0,,,,
3,Chr3_15052225.0,15052225,1.695373e-05,0,,,,
1,Chr1_16822224.0,16822224,1.701529e-05,0,,,,
5,Chr5_5430115.0,5430115,1.708438e-05,0,,,,
2,Chr2_9336214.0,9336214,1.717785e-05,1,AT2G21900,AT2G21900,AT2G21900,0.0
5,Chr5_26438770.0,26438770,1.718572e-05,0,,,,
5,Chr5_147372.0,147372,1.805676e-05,0,,,,
2,Chr2_5881927.0,5881927,1.830142e-05,0,,,,
2,Chr2_5882243.0,5882243,1.830142e-05,0,,,,
2,Chr2_5904854.0,5904854,1.843223e-05,0,,,,
3,Chr3_8873116.0,8873116,1.853749e-05,0,,,,
