"species","domain","term_full","p_raw","go_id","term"
"maize","BP","pollen development (GO:0009555)",0.000995,"GO:0009555","pollen development"
"maize","BP","regulation of cellular process (GO:0050794)",0.001,"GO:0050794","regulation of cellular process"
"maize","BP","post-embryonic development (GO:0009791)",0.00107,"GO:0009791","post-embryonic development"
"maize","BP","sexual sporulation (GO:0034293)",0.00112,"GO:0034293","sexual sporulation"
"maize","BP","plant-type sporogenesis (GO:0048236)",0.00112,"GO:0048236","plant-type sporogenesis"
"maize","BP","sporulation (GO:0043934)",0.00112,"GO:0043934","sporulation"
"maize","BP","regulation of biological process (GO:0050789)",0.00124,"GO:0050789","regulation of biological process"
"maize","BP","flower development (GO:0009908)",0.00181,"GO:0009908","flower development"
"maize","BP","regulation of RNA metabolic process (GO:0051252)",0.00183,"GO:0051252","regulation of RNA metabolic process"
"maize","MF","molecular_function (GO:0003674)",4.84e-05,"GO:0003674","molecular_function"
"maize","MF","binding (GO:0005488)",0.000426,"GO:0005488","binding"
"maize","MF","signaling receptor activity (GO:0038023)",0.00134,"GO:0038023","signaling receptor activity"
"maize","MF","electron transfer activity (GO:0009055)",0.0022,"GO:0009055","electron transfer activity"
"maize","MF","molecular transducer activity (GO:0060089)",0.00264,"GO:0060089","molecular transducer activity"
"maize","MF","magnesium ion binding (GO:0000287)",0.00297,"GO:0000287","magnesium ion binding"
"maize","MF","catalytic activity (GO:0003824)",0.00368,"GO:0003824","catalytic activity"
"maize","MF","""catalytic activity, acting on a protein (GO:0140096)""",0.00428,"GO:0140096","""catalytic activity, acting on a protein (GO:0140096)"""
"maize","MF","DNA-binding transcription factor activity (GO:0003700)",0.00477,"GO:0003700","DNA-binding transcription factor activity"
"maize","MF","DNA binding (GO:0003677)",0.00514,"GO:0003677","DNA binding"
"maize","MF","poly-pyrimidine tract binding (GO:0008187)",0.00577,"GO:0008187","poly-pyrimidine tract binding"
"maize","MF","""phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)""",0.0059,"GO:0016775","""phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)"""
"maize","MF","protein histidine kinase activity (GO:0004673)",0.0059,"GO:0004673","protein histidine kinase activity"
"maize","MF","glucose-6-phosphate 1-epimerase activity (GO:0047938)",0.00621,"GO:0047938","glucose-6-phosphate 1-epimerase activity"
"maize","MF","ATP binding (GO:0005524)",0.00626,"GO:0005524","ATP binding"
"maize","MF","transcription regulator activity (GO:0140110)",0.00705,"GO:0140110","transcription regulator activity"
"maize","MF","carbohydrate binding (GO:0030246)",0.00711,"GO:0030246","carbohydrate binding"
"maize","MF","adenyl nucleotide binding (GO:0030554)",0.00838,"GO:0030554","adenyl nucleotide binding"
"maize","MF","""2,4-dienoyl-CoA reductase (NADPH) activity (GO:0008670)""",0.0085,"GO:0008670","""2,4-dienoyl-CoA reductase (NADPH) activity (GO:0008670)"""
"maize","MF","ent-kaurenoic acid monooxygenase activity (GO:0051777)",0.0085,"GO:0051777","ent-kaurenoic acid monooxygenase activity"
"maize","MF","phosphoribosylformylglycinamidine synthase activity (GO:0004642)",0.0085,"GO:0004642","phosphoribosylformylglycinamidine synthase activity"
"maize","MF","N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)",0.0085,"GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity"
"maize","MF","mRNA cap binding (GO:0098808)",0.0085,"GO:0098808","mRNA cap binding"
"maize","MF","adenyl ribonucleotide binding (GO:0032559)",0.00854,"GO:0032559","adenyl ribonucleotide binding"
"maize","MF","poly(U) RNA binding (GO:0008266)",0.00906,"GO:0008266","poly(U) RNA binding"
"rice","BP","biological_process (GO:0008150)",1.88e-13,"GO:0008150","biological_process"
"rice","BP","cellular process (GO:0009987)",4.85e-11,"GO:0009987","cellular process"
"rice","BP","biological regulation (GO:0065007)",1.67e-08,"GO:0065007","biological regulation"
"rice","BP","macromolecule metabolic process (GO:0043170)",3.58e-07,"GO:0043170","macromolecule metabolic process"
"rice","BP","regulation of biological process (GO:0050789)",8.22e-07,"GO:0050789","regulation of biological process"
"rice","BP","regulation of cellular process (GO:0050794)",1.24e-06,"GO:0050794","regulation of cellular process"
"rice","BP","RNA metabolic process (GO:0016070)",2.21e-06,"GO:0016070","RNA metabolic process"
"rice","BP","nucleic acid metabolic process (GO:0090304)",2.64e-06,"GO:0090304","nucleic acid metabolic process"
"rice","BP","gene expression (GO:0010467)",8.09e-06,"GO:0010467","gene expression"
"rice","BP","macromolecule biosynthetic process (GO:0009059)",1.04e-05,"GO:0009059","macromolecule biosynthetic process"
"rice","BP","nucleobase-containing compound metabolic process (GO:0006139)",1.41e-05,"GO:0006139","nucleobase-containing compound metabolic process"
"rice","BP","primary metabolic process (GO:0044238)",3.08e-05,"GO:0044238","primary metabolic process"
"rice","BP","RNA processing (GO:0006396)",6e-05,"GO:0006396","RNA processing"
"rice","BP","metabolic process (GO:0008152)",0.000106,"GO:0008152","metabolic process"
"rice","BP","RNA biosynthetic process (GO:0032774)",0.000117,"GO:0032774","RNA biosynthetic process"
"rice","BP","U5 snRNA 3'-end processing (GO:0034476)",0.000184,"GO:0034476","U5 snRNA 3'-end processing"
"rice","BP","U1 snRNA 3'-end processing (GO:0034473)",0.000184,"GO:0034473","U1 snRNA 3'-end processing"
"rice","BP","nucleic acid biosynthetic process (GO:0141187)",0.000186,"GO:0141187","nucleic acid biosynthetic process"
"rice","BP","tRNA metabolic process (GO:0006399)",0.000214,"GO:0006399","tRNA metabolic process"
"rice","BP","positive regulation of biological process (GO:0048518)",0.000225,"GO:0048518","positive regulation of biological process"
"rice","BP","nucleobase-containing compound biosynthetic process (GO:0034654)",0.000329,"GO:0034654","nucleobase-containing compound biosynthetic process"
"rice","BP","positive regulation of circadian rhythm (GO:0042753)",0.000365,"GO:0042753","positive regulation of circadian rhythm"
"rice","BP","protein refolding (GO:0042026)",0.000397,"GO:0042026","protein refolding"
"rice","BP","regulation of biological quality (GO:0065008)",0.000428,"GO:0065008","regulation of biological quality"
"rice","BP","mRNA metabolic process (GO:0016071)",0.000557,"GO:0016071","mRNA metabolic process"
"rice","MF","molecular_function (GO:0003674)",9.67e-16,"GO:0003674","molecular_function"
"rice","MF","binding (GO:0005488)",2.13e-14,"GO:0005488","binding"
"rice","MF","ion binding (GO:0043167)",2.54e-11,"GO:0043167","ion binding"
"rice","MF","small molecule binding (GO:0036094)",4.6e-11,"GO:0036094","small molecule binding"
"rice","MF","heterocyclic compound binding (GO:1901363)",7.61e-10,"GO:1901363","heterocyclic compound binding"
"rice","MF","nucleotide binding (GO:0000166)",7.63e-10,"GO:0000166","nucleotide binding"
"rice","MF","nucleoside phosphate binding (GO:1901265)",8.17e-10,"GO:1901265","nucleoside phosphate binding"
"rice","MF","anion binding (GO:0043168)",1.2e-09,"GO:0043168","anion binding"
"rice","MF","ATP hydrolysis activity (GO:0016887)",4.05e-09,"GO:0016887","ATP hydrolysis activity"
"rice","MF","purine nucleotide binding (GO:0017076)",4.17e-09,"GO:0017076","purine nucleotide binding"
"rice","MF","adenyl nucleotide binding (GO:0030554)",5.15e-09,"GO:0030554","adenyl nucleotide binding"
"rice","MF","purine ribonucleotide binding (GO:0032555)",7.33e-09,"GO:0032555","purine ribonucleotide binding"
"rice","MF","adenyl ribonucleotide binding (GO:0032559)",8.42e-09,"GO:0032559","adenyl ribonucleotide binding"
"rice","MF","ribonucleotide binding (GO:0032553)",9.75e-09,"GO:0032553","ribonucleotide binding"
"rice","MF","carbohydrate derivative binding (GO:0097367)",1.37e-08,"GO:0097367","carbohydrate derivative binding"
"rice","MF","ATP-dependent activity (GO:0140657)",2.31e-08,"GO:0140657","ATP-dependent activity"
"rice","MF","ribonucleoside triphosphate phosphatase activity (GO:0017111)",4.44e-08,"GO:0017111","ribonucleoside triphosphate phosphatase activity"
"rice","MF","catalytic activity (GO:0003824)",5.42e-08,"GO:0003824","catalytic activity"
"rice","MF","purine ribonucleoside triphosphate binding (GO:0035639)",9.85e-08,"GO:0035639","purine ribonucleoside triphosphate binding"
"rice","MF","ATP binding (GO:0005524)",1.22e-07,"GO:0005524","ATP binding"
"rice","MF","pyrophosphatase activity (GO:0016462)",2.57e-07,"GO:0016462","pyrophosphatase activity"
"rice","MF","""hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)""",3.02e-07,"GO:0016818","""hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)"""
"rice","MF","""hydrolase activity, acting on acid anhydrides (GO:0016817)""",3.46e-07,"GO:0016817","""hydrolase activity, acting on acid anhydrides (GO:0016817)"""
"rice","MF","hydrolase activity (GO:0016787)",7.76e-07,"GO:0016787","hydrolase activity"
"rice","MF","RNA binding (GO:0003723)",4.07e-06,"GO:0003723","RNA binding"
"sorghum","BP","polyamine transmembrane transport (GO:1902047)",1.05e-05,"GO:1902047","polyamine transmembrane transport"
"sorghum","BP","polyamine transport (GO:0015846)",2.06e-05,"GO:0015846","polyamine transport"
"sorghum","BP","xyloglucan biosynthetic process (GO:0009969)",0.00047,"GO:0009969","xyloglucan biosynthetic process"
"sorghum","BP","polyamine biosynthetic process (GO:0006596)",0.000591,"GO:0006596","polyamine biosynthetic process"
"sorghum","BP","xyloglucan metabolic process (GO:0010411)",0.000884,"GO:0010411","xyloglucan metabolic process"
"sorghum","BP","nucleoside transport (GO:0015858)",0.00114,"GO:0015858","nucleoside transport"
"sorghum","BP","nucleoside transmembrane transport (GO:1901642)",0.00114,"GO:1901642","nucleoside transmembrane transport"
"sorghum","BP","alcohol biosynthetic process (GO:0046165)",0.00129,"GO:0046165","alcohol biosynthetic process"
"sorghum","BP","alditol biosynthetic process (GO:0019401)",0.00167,"GO:0019401","alditol biosynthetic process"
"sorghum","BP","glycerol biosynthetic process (GO:0006114)",0.00167,"GO:0006114","glycerol biosynthetic process"
"sorghum","BP","polyamine metabolic process (GO:0006595)",0.00231,"GO:0006595","polyamine metabolic process"
"sorghum","BP","cell wall organization (GO:0071555)",0.00322,"GO:0071555","cell wall organization"
"sorghum","BP","external encapsulating structure organization (GO:0045229)",0.00511,"GO:0045229","external encapsulating structure organization"
"sorghum","BP","GMP biosynthetic process (GO:0006177)",0.00539,"GO:0006177","GMP biosynthetic process"
"sorghum","BP","vacuolar protein processing (GO:0006624)",0.00539,"GO:0006624","vacuolar protein processing"
"sorghum","BP","protein processing (GO:0016485)",0.00554,"GO:0016485","protein processing"
"sorghum","BP","monoatomic anion transmembrane transport (GO:0098656)",0.00674,"GO:0098656","monoatomic anion transmembrane transport"
"sorghum","BP","coenzyme A biosynthetic process (GO:0015937)",0.00712,"GO:0015937","coenzyme A biosynthetic process"
"sorghum","BP","alcohol metabolic process (GO:0006066)",0.00721,"GO:0006066","alcohol metabolic process"
"sorghum","BP","protein insertion into mitochondrial outer membrane (GO:0045040)",0.00796,"GO:0045040","protein insertion into mitochondrial outer membrane"
"sorghum","BP","outer mitochondrial membrane organization (GO:0007008)",0.00796,"GO:0007008","outer mitochondrial membrane organization"
"sorghum","BP","signal transduction in response to DNA damage (GO:0042770)",0.00839,"GO:0042770","signal transduction in response to DNA damage"
"sorghum","BP","DNA damage checkpoint signaling (GO:0000077)",0.00839,"GO:0000077","DNA damage checkpoint signaling"
"sorghum","BP","biogenic amine biosynthetic process (GO:0042401)",0.0102,"GO:0042401","biogenic amine biosynthetic process"
"sorghum","BP","amine biosynthetic process (GO:0009309)",0.0102,"GO:0009309","amine biosynthetic process"
"sorghum","MF","polyamine transmembrane transporter activity (GO:0015203)",1.05e-05,"GO:0015203","polyamine transmembrane transporter activity"
"sorghum","MF","""alpha-(1,2)-fucosyltransferase activity (GO:0031127)""",6.64e-05,"GO:0031127","""alpha-(1,2)-fucosyltransferase activity (GO:0031127)"""
"sorghum","MF","galactoside 2-alpha-L-fucosyltransferase activity (GO:0008107)",6.64e-05,"GO:0008107","galactoside 2-alpha-L-fucosyltransferase activity"
"sorghum","MF","phosphopantothenoylcysteine decarboxylase activity (GO:0004633)",0.00013,"GO:0004633","phosphopantothenoylcysteine decarboxylase activity"
"sorghum","MF","fucosyltransferase activity (GO:0008417)",0.000178,"GO:0008417","fucosyltransferase activity"
"sorghum","MF","chlorophyllide a oxygenase activity (GO:0010277)",0.000254,"GO:0010277","chlorophyllide a oxygenase activity"
"sorghum","MF","NAD(P)H dehydrogenase (quinone) activity (GO:0003955)",0.000461,"GO:0003955","NAD(P)H dehydrogenase (quinone) activity"
"sorghum","MF","GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)",0.000566,"GO:0003922","GMP synthase (glutamine-hydrolyzing) activity"
"sorghum","MF","GMP synthase activity (GO:0003921)",0.000566,"GO:0003921","GMP synthase activity"
"sorghum","MF","FMN binding (GO:0010181)",0.000658,"GO:0010181","FMN binding"
"sorghum","MF","""oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases) (GO:0016703)""",0.000687,"GO:0016703","""oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases) (GO:0016703)"""
"sorghum","MF","glycosyltransferase activity (GO:0016757)",0.000794,"GO:0016757","glycosyltransferase activity"
"sorghum","MF","nucleoside transmembrane transporter activity (GO:0005337)",0.00114,"GO:0005337","nucleoside transmembrane transporter activity"
"sorghum","MF","tRNA (guanine(26)-N2)-dimethyltransferase activity (GO:0160104)",0.00167,"GO:0160104","tRNA (guanine(26)-N2)-dimethyltransferase activity"
"sorghum","MF","sn-glycerol 3-phosphatase activity (GO:0043136)",0.00167,"GO:0043136","sn-glycerol 3-phosphatase activity"
"sorghum","MF","voltage-gated monoatomic anion channel activity (GO:0008308)",0.00314,"GO:0008308","voltage-gated monoatomic anion channel activity"
"sorghum","MF","monoatomic anion channel activity (GO:0005253)",0.00471,"GO:0005253","monoatomic anion channel activity"
"sorghum","MF","""fructose 1,6-bisphosphate 1-phosphatase activity (GO:0042132)""",0.00539,"GO:0042132","""fructose 1,6-bisphosphate 1-phosphatase activity (GO:0042132)"""
"sorghum","MF","RNA methyltransferase activity (GO:0008173)",0.00643,"GO:0008173","RNA methyltransferase activity"
"sorghum","MF","""glucan endo-1,3-beta-D-glucosidase activity (GO:0042973)""",0.0066,"GO:0042973","""glucan endo-1,3-beta-D-glucosidase activity (GO:0042973)"""
"sorghum","MF","monoatomic anion transmembrane transporter activity (GO:0008509)",0.00674,"GO:0008509","monoatomic anion transmembrane transporter activity"
"sorghum","MF","hexosyltransferase activity (GO:0016758)",0.00704,"GO:0016758","hexosyltransferase activity"
"sorghum","MF","""oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)""",0.00928,"GO:0016655","""oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)"""
"sorghum","MF","""oxidoreductase activity, acting on NAD(P)H (GO:0016651)""",0.0101,"GO:0016651","""oxidoreductase activity, acting on NAD(P)H (GO:0016651)"""
