Phenotype,Species,Locus_rank,Chr,Lead_SNP_Position,Lead_SNP_ID,NegLog10P,Lead_gene,Candidate_genes_in_window
PC1,Sorghum,3,1,64947137,S1_64947137,5.51952177258092,SORBI_3001G359800,SORBI_3001G359800;SORBI_3001G359700;SORBI_3001G359900;SORBI_3001G359601;SORBI_3001G360000;SORBI_3001G359500;SORBI_3001G359400;SORBI_3001G360200
PC2,Arabidopsis,1,1,6870784,Chr1_6870784.0,9.77598129944023,AT1G19840,AT1G19840
PC2,Arabidopsis,2,5,17128702,Chr5_17128702.0,9.31664564048646,AT5G42710,AT5G42710;AT5G42720;AT5G42700;AT5G42740;AT5G42690
PC2,Arabidopsis,3,3,18844691,Chr3_18844691.0,8.67616998169997,AT3G50710,AT3G50710;AT3G50700;AT3G50720;AT3G50695;AT3G50730;AT3G50690;AT3G50685
PC2,Barley,1,6H,36381728,"chr6H:36381728\C,\T",7.30916624136159,HORVU.MOREX.r3.6HG0553450,HORVU.MOREX.r3.6HG0553450;HORVU.MOREX.r3.6HG0553440
PC2,Barley,2,3H,400411664,"chr3H:400411664\T,\C",6.76267371485661,HORVU.MOREX.r3.3HG0276050,HORVU.MOREX.r3.3HG0276050
PC2,Barley,3,4H,3056198,"chr4H:3056198\C,\T",6.19488793802026,HORVU.MOREX.r3.4HG0332260,HORVU.MOREX.r3.4HG0332260;HORVU.MOREX.r3.4HG0332270;HORVU.MOREX.r3.4HG0332290
PC2,Rice,1,7,23283904,"9311_chr07:23283904\T,\C",7.90237347133609,LOC_Os07g38810,LOC_Os07g38810;LOC_Os07g38800;LOC_Os07g38820;LOC_Os07g38790;LOC_Os07g38830
PC2,Rice,2,6,11849169,"9311_chr06:11849169\G,\A",7.65450139096999,LOC_Os06g20580,LOC_Os06g20580;LOC_Os06g20590;LOC_Os06g20570;LOC_Os06g20600
PC2,Rice,3,6,31211326,"9311_chr06:31211326\C,\T",7.6438075357844,LOC_Os06g51510,LOC_Os06g51510;LOC_Os06g51520;LOC_Os06g51500;LOC_Os06g51524
PC2,Maize,1,2,235184600,S2_235184600,7.2308907931802,Zm00001eb114990,Zm00001eb114990
PC2,Maize,2,5,141865263,S5_141865263,6.59006535579575,Zm00001eb237920,Orphan346
PC2,Maize,3,1,67657384,S1_67657384,6.46582966101647,Zm00001eb018860,SC26
PC2,Sorghum,1,1,8974111,S1_8974111,5.40130916267622,SORBI_3001G114550,SORBI_3001G114550;SORBI_3001G114600;SORBI_3001G114500;SORBI_3001G114650;SORBI_3001G114700;SORBI_3001G114400;SORBI_3001G114800;SORBI_3001G114900;SORBI_3001G115001;SORBI_3001G114300;SORBI_3001G115100;SORBI_3001G114200;SORBI_3001G115200;SORBI_3001G115300;SORBI_3001G114100
PC2,Sorghum,2,2,3889430,S2_3889430,5.1916015036825,SORBI_3002G040100,SORBI_3002G040100;SORBI_3002G040201;SORBI_3002G039900;SORBI_3002G040300;SORBI_3002G040400;SORBI_3002G039800;SORBI_3002G040500;SORBI_3002G040550
PC2,Sorghum,3,3,63803100,S3_63803100,5.13167031875846,SORBI_3003G309500,SORBI_3003G309500;SORBI_3003G309600;SORBI_3003G309700;SORBI_3003G309400;SORBI_3003G309900;SORBI_3003G310000
PC3,Arabidopsis,1,4,13239858,Chr4_13239858.0,12.096576114653,AT4G26130,AT4G26130;AT4G26120;AT4G26140;AT4G26110;AT4G26100
PC3,Arabidopsis,2,1,26896820,Chr1_26896820.0,11.3948270943157,AT1G71370,AT1G71370;AT1G71360;AT1G71380;AT1G71350;AT1G71340;AT1G71390
PC3,Arabidopsis,3,2,6766181,Chr2_6766181.0,9.6948357184684,AT2G15500,AT2G15500;AT2G15480;AT2G15490;AT2G15530
PC3,Barley,1,1H,4379216,"chr1H:4379216\G,\A",9.60732432241625,HORVU.MOREX.r3.1HG0001980,HORVU.MOREX.r3.1HG0001980;HORVU.MOREX.r3.1HG0001990
PC3,Barley,2,2H,32065428,"chr2H:32065428\T,\G",9.38447930234404,HORVU.MOREX.r3.2HG0110190,HORVU.MOREX.r3.2HG0110190
PC3,Barley,3,5H,374080462,"chr5H:374080462\A,\G",9.283410337182,HORVU.MOREX.r3.5HG0471120,HORVU.MOREX.r3.5HG0471120;HORVU.MOREX.r3.5HG0471110;HORVU.MOREX.r3.5HG0471130
PC3,Rice,1,1,1885416,"9311_chr01:1885416\A,\T",11.3265793755645,LOC_Os01g04260,LOC_Os01g04260;LOC_Os01g04250
PC3,Rice,2,3,28306917,"9311_chr03:28306917\A,\G",10.5766251679444,LOC_Os03g49720,LOC_Os03g49720;LOC_Os03g49730;LOC_Os03g49710;LOC_Os03g49740;LOC_Os03g49700;LOC_Os03g49750
PC3,Rice,3,7,24804645,"9311_chr07:24804645\C,\T",8.53949079171428,LOC_Os07g41390,LOC_Os07g41390;LOC_Os07g41400;LOC_Os07g41410;LOC_Os07g41380;LOC_Os07g41420
PC3,Maize,1,7,19798210,S7_19798210,6.43540458830814,Zm00001eb303220,Zm00001eb303220
PC3,Maize,2,2,203403046,S2_203403046,6.14552543604816,Zm00001eb104050,Zm00001eb104050;Zm00001eb104040;Zm00001eb104060
PC3,Maize,3,8,172350534,S8_172350534,6.12766217764536,Zm00001eb366530,Zm00001eb366530;Zm00001eb366540
PC3,Sorghum,1,1,6520135,S1_6520135,10.9816082763095,SORBI_3001G084133,SORBI_3001G084133;SORBI_3001G084100;SORBI_3001G084166;SORBI_3001G084200;SORBI_3001G084300;SORBI_3001G084400;SORBI_3001G084000;SORBI_3001G084500;SORBI_3001G084600;SORBI_3001G083900;SORBI_3001G084700
PC3,Sorghum,2,3,67717435,S3_67717435,10.8527479769313,SORBI_3003G359900,SORBI_3003G359900;SORBI_3003G359800;SORBI_3003G359600
PC3,Sorghum,3,3,66554279,S3_66554279,9.46802550370999,SORBI_3003G344050,SORBI_3003G344050;SORBI_3003G343900;SORBI_3003G343700;SORBI_3003G344200;SORBI_3003G344300;SORBI_3003G343600;SORBI_3003G343500;SORBI_3003G343400;SORBI_3003G344400
