
MAIZE|EnsemblGenome=Zm00001eb110070|UniProtKB=B4FSU1	Zm00001eb110070	Transmembrane emp24 domain-containing protein 10;100217126;PTN002737049;orthologs	OS07G0632700 PROTEIN (PTHR22811:SF129)	vesicle coat protein(PC00235)		intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);Golgi organization(GO:0007030)	endoplasmic reticulum(GO:0005783);endoplasmic reticulum-Golgi intermediate compartment(GO:0005793);Golgi apparatus(GO:0005794);membrane(GO:0016020);COPII-coated ER to Golgi transport vesicle(GO:0030134)
MAIZE|EnsemblGenome=Zm00001eb162570|UniProtKB=A0A1D6NMX1	Zm00001eb162570	Protein NRT1_ PTR FAMILY 6.2;103651628;PTN002616581;orthologs	PROTEIN NRT1_ PTR FAMILY 6.2 (PTHR11654:SF85)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085)	membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb121500|UniProtKB=A0A1D6MHW3	Zm00001eb121500	cytokinin dehydrogenase;ZEAMMB73_Zm00001d039520;PTN002676987;orthologs	CYTOKININ DEHYDROGENASE 1 (PTHR13878:SF42)	oxidase(PC00175)	catalytic activity(GO:0003824);oxidoreductase activity(GO:0016491);cytokinin dehydrogenase activity(GO:0019139);flavin adenine dinucleotide binding(GO:0050660);FAD binding(GO:0071949)	cytokinin metabolic process(GO:0009690)	
MAIZE|EnsemblGenome=Zm00001eb066630|UniProtKB=A0A1D6DTT0	Zm00001eb066630	Phytosulfokine receptor 1;ZEAMMB73_Zm00001d001877;PTN002818954;orthologs	PHYTOSULFOKINE RECEPTOR 1 (PTHR27000:SF802)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
MAIZE|EnsemblGenome=Zm00001eb068210|UniProtKB=A0A804M990	Zm00001eb068210	Peroxidase;unassigned;PTN002832925;orthologs	PEROXIDASE (PTHR31388:SF27)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
MAIZE|EnsemblGenome=Zm00001eb041140|UniProtKB=B6TX22	Zm00001eb041140	non-specific serine_threonine protein kinase;100284744;PTN002889078;orthologs	CBL-INTERACTING PROTEIN KINASE 6 (PTHR43895:SF149)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	signal transduction(GO:0007165)	
MAIZE|EnsemblGenome=Zm00001eb107190|UniProtKB=B6SKK9	Zm00001eb107190	Calcium-dependent protein kinase 7;100280693;PTN002806056;orthologs	CALCIUM-DEPENDENT PROTEIN KINASE 32 (PTHR24349:SF456)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737);plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb296060|UniProtKB=A0A804Q3P3	Zm00001eb296060	mitogen-activated protein kinase;unassigned;PTN002779550;orthologs	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR24055:SF580)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);MAP kinase activity(GO:0004707);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	MAPK cascade(GO:0000165);intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
MAIZE|EnsemblGenome=Zm00001eb126980|UniProtKB=C0PLZ2	Zm00001eb126980	Protein NRT1_ PTR FAMILY 6.1;100384152;PTN002616622;orthologs	PROTEIN NRT1_ PTR FAMILY 6.1 (PTHR11654:SF112)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085)	membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb251980|UniProtKB=A0A1D6HHH5	Zm00001eb251980	WAT1-related protein;103627609;PTN002829908;orthologs	WAT1-RELATED PROTEIN (PTHR31218:SF212)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb313490|UniProtKB=C0PMB1	Zm00001eb313490	WAT1-related protein;100384186;PTN002829847;orthologs	WAT1-RELATED PROTEIN (PTHR31218:SF31)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb093410|UniProtKB=A0A1D6EIK3	Zm00001eb093410	Calcium dependent protein kinase2;103648992;PTN002806106;orthologs	CALCIUM-DEPENDENT PROTEIN KINASE 26 (PTHR24349:SF533)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
MAIZE|EnsemblGenome=Zm00001eb233720|UniProtKB=B4FQP4	Zm00001eb233720	4-coumarate--CoA ligase;542166;PTN002787895;orthologs	4-COUMARATE--COA LIGASE 3 (PTHR24096:SF300)	ligase(PC00142)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);4-coumarate-CoA ligase activity(GO:0016207);CoA-ligase activity(GO:0016405);ligase activity(GO:0016874);trans-cinnamate-CoA ligase activity(GO:0106290)	phenylpropanoid metabolic process(GO:0009698)	
MAIZE|EnsemblGenome=Zm00001eb257300|UniProtKB=B6UG61	Zm00001eb257300	Pathogenesis-related protein PR-1;100286221;PTN002569781;orthologs	CAP (CYSTEINE-RICH SECRETORY PROTEINS, ANTIGEN 5, AND PATHOGENESIS-RELATED 1 PROTEIN) SUPERFAMILY PROTEIN (PTHR10334:SF430)	defense/immunity protein(PC00090)		defense response to other organism(GO:0098542)	extracellular region(GO:0005576);extracellular space(GO:0005615)
MAIZE|EnsemblGenome=Zm00001eb039590|UniProtKB=Q9ST01	Zm00001eb039590	Histidine-containing phosphotransfer protein;ZmHP1;PTN002821925;orthologs	HISTIDINE-CONTAINING PHOSPHOTRANSFER PROTEIN 1 (PTHR28242:SF47)		protein binding(GO:0005515);histidine phosphotransfer kinase activity(GO:0009927);protein histidine kinase binding(GO:0043424)	phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736);positive regulation of cytokinin-activated signaling pathway(GO:0080038)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
MAIZE|EnsemblGenome=Zm00001eb192230|UniProtKB=A0A1D6QC07	Zm00001eb192230	protein-serine_threonine phosphatase;100384116;PTN002676125;orthologs	PROTEIN PHOSPHATASE 2C 27-RELATED (PTHR13832:SF684)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	signal transduction(GO:0007165)	nucleus(GO:0005634);cytoplasm(GO:0005737)
MAIZE|EnsemblGenome=Zm00001eb003660|UniProtKB=A0A1D6JNI1	Zm00001eb003660	Leucine-rich repeat receptor-like protein kinase PXL1;103631713;PTN002818807;orthologs	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR48052:SF36)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	phloem or xylem histogenesis(GO:0010087)	plasma membrane(GO:0005886)
MAIZE|EnsemblGenome=Zm00001eb167820|UniProtKB=C0P3M9	Zm00001eb167820	Leucine-rich receptor-like protein kinase family protein;103652818;PTN002818779;orthologs	LEUCINE RICH REPEAT FAMILY PROTEIN, EXPRESSED (PTHR27000:SF789)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	post-embryonic development(GO:0009791);shoot system development(GO:0048367);reproductive structure development(GO:0048608);plant organ formation(GO:1905393)	plasma membrane(GO:0005886)
MAIZE|EnsemblGenome=Zm00001eb402940|UniProtKB=K7VHI1	Zm00001eb402940	Putative leucine-rich repeat receptor-like protein kinase family protein;103639559;PTN002818806;orthologs	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR48052:SF36)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	phloem or xylem histogenesis(GO:0010087)	plasma membrane(GO:0005886)
MAIZE|EnsemblGenome=Zm00001eb112170|UniProtKB=A0A1D6F540	Zm00001eb112170	Leucine-rich repeat receptor-like serine_threonine-protein kinase BAM3;ZEAMMB73_Zm00001d007254;PTN002818818;orthologs	LEUCINE RICH REPEAT FAMILY PROTEIN, EXPRESSED (PTHR48053:SF71)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);signaling receptor activity(GO:0038023)	hormone-mediated signaling pathway(GO:0009755)	plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb038610|UniProtKB=B8A072	Zm00001eb038610	GDSL esterase_lipase LTL1;100279824;PTN002901728;orthologs	OS08G0565900 PROTEIN (PTHR45648:SF163)	lipase(PC00143)	hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)	lipid catabolic process(GO:0016042);cutin-based cuticle development(GO:0160062)	
MAIZE|EnsemblGenome=Zm00001eb257310|UniProtKB=B4FQY0	Zm00001eb257310	CAP (Cysteine-rich secretory proteins Antigen 5 and Pathogenesis-related 1 protein) superfamily protein;100280661;PTN002569751;orthologs	CAP (CYSTEINE-RICH SECRETORY PROTEINS, ANTIGEN 5, AND PATHOGENESIS-RELATED 1 PROTEIN) SUPERFAMILY PROTEIN (PTHR10334:SF417)	defense/immunity protein(PC00090)			extracellular region(GO:0005576);extracellular space(GO:0005615)
MAIZE|EnsemblGenome=Zm00001eb202100|UniProtKB=A0A804P1K3	Zm00001eb202100	Purple acid phosphatase;unassigned;PTN002742418;orthologs	PURPLE ACID PHOSPHATASE (PTHR22953:SF108)	phosphatase(PC00181)	acid phosphatase activity(GO:0003993);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)		
MAIZE|EnsemblGenome=Zm00001eb130000|UniProtKB=A0A804N2L7	Zm00001eb130000	EamA domain-containing protein;100279365;PTN002829821;orthologs	WAT1-RELATED PROTEIN (PTHR31218:SF259)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb428530|UniProtKB=K7TMR4	Zm00001eb428530	Putative leucine-rich repeat receptor-like protein kinase family protein;100501765;PTN002819069;orthologs	INACTIVE LEUCINE-RICH REPEAT RECEPTOR KINASE XIAO-RELATED (PTHR27000:SF642)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)	brassinosteroid mediated signaling pathway(GO:0009742)	plasma membrane(GO:0005886)
MAIZE|EnsemblGenome=Zm00001eb110250|UniProtKB=A0A096TQ95	Zm00001eb110250	CDPK-related kinase 1;100381527;PTN009092514;orthologs	CDPK-RELATED KINASE 7 (PTHR24349:SF92)	non-receptor serine/threonine protein kinase(PC00167)			
MAIZE|EnsemblGenome=Zm00001eb251130|UniProtKB=A0A1D6HGH7	Zm00001eb251130	Protein NRT1_ PTR FAMILY 7.2;103627571;PTN002616571;orthologs	PROTEIN NRT1_ PTR FAMILY 7.2 (PTHR11654:SF333)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb351770|UniProtKB=K7UWP9	Zm00001eb351770	Anther-specific proline-rich protein APG;ZEAMMB73_Zm00001d010584;PTN002901041;orthologs	OS05G0468500 PROTEIN (PTHR45642:SF145)	hydrolase(PC00121)	hydrolase activity, acting on ester bonds(GO:0016788)		
MAIZE|EnsemblGenome=Zm00001eb043110|UniProtKB=A0A1D6KQI0	Zm00001eb043110	Peroxidase;ZEAMMB73_Zm00001d032406;PTN002830370;orthologs	PEROXIDASE (PTHR31235:SF254)	peroxidase(PC00180)	catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
MAIZE|EnsemblGenome=Zm00001eb369270|UniProtKB=A0A1D6G9R1	Zm00001eb369270	Putative calcium-dependent protein kinase family protein;103636568;PTN002806110;orthologs	CALCIUM-DEPENDENT PROTEIN KINASE 2 (PTHR24349:SF353)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
MAIZE|EnsemblGenome=Zm00001eb264870|UniProtKB=A0A1D6LFH4	Zm00001eb264870	Peroxidase;103629160;PTN002830378;orthologs	PEROXIDASE (PTHR31235:SF21)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
MAIZE|EnsemblGenome=Zm00001eb403120|UniProtKB=B6TCI5	Zm00001eb403120	Ras-related protein RABF1;100282900;PTN009219377;orthologs	RAS-RELATED PROTEIN RABF1 (PTHR47979:SF125)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	vesicle-mediated transport(GO:0016192);early endosome to late endosome transport(GO:0045022)	endosome(GO:0005768);early endosome(GO:0005769);cytoplasmic side of endosome membrane(GO:0010009)
MAIZE|EnsemblGenome=Zm00001eb082170|UniProtKB=A0A1D6E9Z7	Zm00001eb082170	Protein NRT1_ PTR FAMILY 4.4;ZEAMMB73_Zm00001d003603;PTN002616638;orthologs	OSJNBA0064D20.8 PROTEIN (PTHR11654:SF114)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb047520|UniProtKB=A0A804LZF6	Zm00001eb047520	Beta-glucuronosyltransferase GlcAT14A;107522033;PTN002905990;orthologs	CORE-2_I-BRANCHING BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE FAMILY PROTEIN (PTHR45719:SF4)	glycosyltransferase(PC00111)	glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757)	double fertilization forming a zygote and endosperm(GO:0009567);pollen tube development(GO:0048868)	membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb371630|UniProtKB=M1RSS3	Zm00001eb371630	Endoglucanase;Cel3;PTN002730790;orthologs	ENDOGLUCANASE 16 (PTHR22298:SF52)		hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245)	
MAIZE|EnsemblGenome=Zm00001eb032940|UniProtKB=A0A1D6KGV3	Zm00001eb032940	Leucine-rich repeat transmembrane protein kinase family protein;103640923;PTN002818936;orthologs	RECEPTOR PROTEIN-TYROSINE KINASE CEPR1 (PTHR27000:SF224)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);peptide receptor activity(GO:0001653);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
MAIZE|EnsemblGenome=Zm00001eb134240|UniProtKB=A0A1D6MV62	Zm00001eb134240	Leucine-rich repeat transmembrane protein kinase family protein;103650299;PTN002818935;orthologs	RECEPTOR PROTEIN-TYROSINE KINASE CEPR1 (PTHR27000:SF224)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);peptide receptor activity(GO:0001653);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
MAIZE|EnsemblGenome=Zm00001eb395470|UniProtKB=B4FR58	Zm00001eb395470	Exostosin family protein;100192459;PTN002593946;orthologs	OS03G0324700 PROTEIN (PTHR11062:SF198)	glycosyltransferase(PC00111)	glycosyltransferase activity(GO:0016757)		Golgi membrane(GO:0000139)
MAIZE|EnsemblGenome=Zm00001eb225230|UniProtKB=C0PKS1	Zm00001eb225230	Peroxidase;100283382;PTN002830382;orthologs	PEROXIDASE 39 (PTHR31235:SF39)	peroxidase(PC00180)			
MAIZE|EnsemblGenome=Zm00001eb151190|UniProtKB=A0A804NCB8	Zm00001eb151190	Plant heme peroxidase family profile domain-containing protein;unassigned;PTN009121784;orthologs	PEROXIDASE (PTHR31517:SF84)		peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
MAIZE|EnsemblGenome=Zm00001eb289290|UniProtKB=B7ZYK0	Zm00001eb289290	Protein NRT1_ PTR FAMILY 5.10;100281589;PTN008976529;orthologs	PROTEIN NRT1_ PTR FAMILY 5.10 (PTHR11654:SF94)	transporter(PC00227)	transmembrane transporter activity(GO:0022857);tripeptide transmembrane transporter activity(GO:0042937);dipeptide transmembrane transporter activity(GO:0071916);low-affinity nitrate transmembrane transporter activity(GO:0080054)	oligopeptide transport(GO:0006857);nitrate transmembrane transport(GO:0015706);dipeptide transmembrane transport(GO:0035442);dipeptide transport(GO:0042938);tripeptide transport(GO:0042939);transmembrane transport(GO:0055085)	plant-type vacuole membrane(GO:0009705);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb270630|UniProtKB=B4FQB9	Zm00001eb270630	GDSL esterase_lipase APG;100272736;PTN002901063;orthologs	GDSL ESTERASE_LIPASE APG (PTHR45642:SF16)	hydrolase(PC00121)	hydrolase activity, acting on ester bonds(GO:0016788)		
MAIZE|EnsemblGenome=Zm00001eb362000|UniProtKB=B4FCS8	Zm00001eb362000	Flavin-containing monooxygenase;100192827;PTN002882574;orthologs	INDOLE-3-PYRUVATE MONOOXYGENASE YUCCA6 (PTHR43539:SF38)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);N,N-dimethylaniline monooxygenase activity(GO:0004499);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661);indole-3-pyruvate monooxygenase activity(GO:0103075)	auxin biosynthetic process(GO:0009851)	
MAIZE|EnsemblGenome=Zm00001eb388080|UniProtKB=C0PJW8	Zm00001eb388080	Expansin;ZEAMMB73_Zm00001d046723;PTN002840183;orthologs	EXPANSIN-A20 (PTHR31867:SF99)			syncytium formation(GO:0006949);plant-type cell wall organization(GO:0009664);cell wall organization(GO:0071555)	extracellular region(GO:0005576);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb313500|UniProtKB=B6T7V1	Zm00001eb313500	WAT1-related protein;100192101;PTN002829848;orthologs	WAT1-RELATED PROTEIN (PTHR31218:SF60)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb362650|UniProtKB=K7V1J2	Zm00001eb362650	Putative leucine-rich repeat receptor-like protein kinase family protein;100384143;PTN002818790;orthologs	OS01G0957100 PROTEIN (PTHR27000:SF221)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)		plasma membrane(GO:0005886);membrane(GO:0016020)
