Orthogroup,Gene_count,Species_present,Maize_example_gene,Putative_function_from_maize_annotation,GO_MF,GO_BP,GO_CC,Maize_gene,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
801705at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb189920,Aldehyde dehydrogenase domain-containing protein,,,,Zm00001eb189920,SORBI_3004G250900,,HORVU.MOREX.r3.3HG0308840;HORVU.MOREX.r3.5HG0480430,AT3G24503
168202at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb217290,Argonaute108,nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521),regulatory ncRNA-mediated gene silencing(GO:0031047),nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb217290;Zm00001eb332830;Zm00001eb428910;Zm00001eb430920,SORBI_3009G003700,,HORVU.MOREX.r3.2HG0190470;HORVU.MOREX.r3.7HG0750280,AT5G21150
3402248at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb217290,Argonaute108,nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521),regulatory ncRNA-mediated gene silencing(GO:0031047),nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb217290;Zm00001eb332830;Zm00001eb428910;Zm00001eb430920,SORBI_3009G003700,,HORVU.MOREX.r3.2HG0190470;HORVU.MOREX.r3.7HG0750280,AT5G21150
159147at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb430440,Calcium-transporting ATPase,nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588),plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020),Zm00001eb430440,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640;HORVU.MOREX.r3.7HG0682170,AT1G27770;AT5G57110
4755763at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb430440,Calcium-transporting ATPase,nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588),plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020),Zm00001eb430440,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640;HORVU.MOREX.r3.7HG0682170,AT1G27770;AT5G57110
787791at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb430440,Calcium-transporting ATPase,nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588),plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020),Zm00001eb430440,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640;HORVU.MOREX.r3.7HG0682170,AT1G27770;AT5G57110
4805980at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb076810,Carboxypeptidase,carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),,Zm00001eb076810;Zm00001eb084910;Zm00001eb336090,SORBI_3004G224700,,HORVU.MOREX.r3.4HG0332980;HORVU.MOREX.r3.6HG0623790,AT4G30610
630100at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb076810,Carboxypeptidase,carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),,Zm00001eb076810;Zm00001eb336090,SORBI_3004G224700,,HORVU.MOREX.r3.6HG0623790,AT4G30610
630100at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb076810,Carboxypeptidase,carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),,Zm00001eb076810;Zm00001eb084910;Zm00001eb336090,SORBI_3004G224700,,HORVU.MOREX.r3.4HG0332980;HORVU.MOREX.r3.6HG0623790,AT4G30610
381908at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb038610,GDSL esterase_lipase LTL1,"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",lipid catabolic process(GO:0016042);cutin-based cuticle development(GO:0160062),,Zm00001eb038610;Zm00001eb065120;Zm00001eb275510;Zm00001eb368570,SORBI_3003G341900,,HORVU.MOREX.r3.2HG0198640;HORVU.MOREX.r3.6HG0539180;HORVU.MOREX.r3.7HG0650710;HORVU.MOREX.r3.7HG0650790,AT5G33370
643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb040920,Leucine-rich repeat receptor-like protein kinase PEPR1,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),response to stress(GO:0006950),plasma membrane(GO:0005886),Zm00001eb040920;Zm00001eb070510;Zm00001eb073370;Zm00001eb101560;Zm00001eb149530;Zm00001eb153630;Zm00001eb167830;Zm00001eb222050;Zm00001eb228140;Zm00001eb256740;Zm00001eb290670;Zm00001eb336650;Zm00001eb362650;Zm00001eb402940;Zm00001eb403550;Zm00001eb428530,SORBI_3001G265700;SORBI_3003G052100;SORBI_3003G375800;SORBI_3006G217900;SORBI_3007G144600,,HORVU.MOREX.r3.5HG0511490;HORVU.MOREX.r3.6HG0543250;HORVU.MOREX.r3.7HG0669620,AT1G72300;AT2G02220;AT2G26330;AT5G61480
643341at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb040920,Leucine-rich repeat receptor-like protein kinase PEPR1,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),response to stress(GO:0006950),plasma membrane(GO:0005886),Zm00001eb040920;Zm00001eb070510;Zm00001eb073370;Zm00001eb101560;Zm00001eb149530;Zm00001eb153630;Zm00001eb167830;Zm00001eb222050;Zm00001eb228140;Zm00001eb256740;Zm00001eb290670;Zm00001eb336650;Zm00001eb402940;Zm00001eb403550;Zm00001eb428530,SORBI_3001G265700;SORBI_3003G052100;SORBI_3003G375800;SORBI_3006G217900;SORBI_3007G144600,,HORVU.MOREX.r3.6HG0543250;HORVU.MOREX.r3.7HG0669620,AT1G72300;AT2G02220;AT2G26330;AT5G61480
599299at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb403580,NAC domain-containing protein,DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),,Zm00001eb403580,SORBI_3006G160900,,HORVU.MOREX.r3.2HG0184480,AT1G71930;AT5G66300
599299at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb403580,NAC domain-containing protein,DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),,Zm00001eb403580,SORBI_3006G160900,,HORVU.MOREX.r3.2HG0184480,AT1G71930;AT5G66300
599299at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb403580,NAC domain-containing protein,DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),,Zm00001eb403580,SORBI_3006G160900,,HORVU.MOREX.r3.2HG0184480,AT1G71930;AT5G66300
588513at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb244600,NPH3 domain-containing protein,,protein ubiquitination(GO:0016567),,Zm00001eb244600;Zm00001eb374600;Zm00001eb405800;Zm00001eb405820,SORBI_3002G204300;SORBI_3006G120000,,HORVU.MOREX.r3.5HG0483030,AT1G03010
588513at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb244600,NPH3 domain-containing protein,,protein ubiquitination(GO:0016567),,Zm00001eb244600;Zm00001eb374600;Zm00001eb405800;Zm00001eb405820,SORBI_3002G204300;SORBI_3006G120000,,HORVU.MOREX.r3.5HG0483030,AT1G03010
638084at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb344980,Pectin lyase-like superfamily protein,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);polygalacturonase activity(GO:0004650);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);lyase activity(GO:0016829)",carbohydrate metabolic process(GO:0005975),,Zm00001eb344980,SORBI_3001G026800;SORBI_3004G319600,,HORVU.MOREX.r3.4HG0412200;HORVU.MOREX.r3.5HG0480580,AT3G62110
809874at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb344980,Pectin lyase-like superfamily protein,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);polygalacturonase activity(GO:0004650);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);lyase activity(GO:0016829)",carbohydrate metabolic process(GO:0005975),,Zm00001eb344980,SORBI_3001G026800;SORBI_3004G319600,,HORVU.MOREX.r3.4HG0412200;HORVU.MOREX.r3.5HG0480580,AT3G62110
194710at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb036270,RNA helicase,nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787),"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380)",catalytic step 2 spliceosome(GO:0071013),Zm00001eb036270,SORBI_3004G174200,,HORVU.MOREX.r3.3HG0280890,AT2G47250
2225058at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb205090,protein-serine_threonine phosphatase,phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,Zm00001eb205090,SORBI_3003G198900;SORBI_3005G007900,,HORVU.MOREX.r3.1HG0061140;HORVU.MOREX.r3.2HG0159620,AT5G36250
51486at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb205090,protein-serine_threonine phosphatase,phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,Zm00001eb205090,SORBI_3003G198900,,HORVU.MOREX.r3.2HG0159620,AT5G36250
792599at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb205090,protein-serine_threonine phosphatase,phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,Zm00001eb205090,SORBI_3003G198900;SORBI_3005G007900,,HORVU.MOREX.r3.1HG0061140;HORVU.MOREX.r3.2HG0159620,AT5G36250
1873865at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb038960,Expansin,,plant-type cell wall organization(GO:0009664);cell wall organization(GO:0071555),extracellular region(GO:0005576);membrane(GO:0016020),Zm00001eb038960,SORBI_3003G128800,LOC_Os03g08220,,AT2G28950;AT2G40610;AT4G01630;AT5G02260
433140at33090,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb038960,Expansin,,plant-type cell wall organization(GO:0009664);cell wall organization(GO:0071555),extracellular region(GO:0005576);membrane(GO:0016020),Zm00001eb038960,SORBI_3003G128800,LOC_Os03g08220,,AT2G28950;AT2G40610;AT4G01630;AT5G02260
4804397at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb213000,PITH domain-containing protein,,,,Zm00001eb213000;Zm00001eb281920;Zm00001eb431490,SORBI_3003G054200,LOC_Os05g01690,,AT1G11530;AT1G45145;AT1G59730;AT2G25950
128682at3193,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb185130,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 3,DNA binding(GO:0003677),mRNA transcription(GO:0009299);response to light stimulus(GO:0009416),nucleus(GO:0005634),Zm00001eb185130,SORBI_3001G219400;SORBI_3009G170100,LOC_Os10g04780,,AT1G07090;AT5G28490
128682at33090,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb185130,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 3,DNA binding(GO:0003677),mRNA transcription(GO:0009299);response to light stimulus(GO:0009416),nucleus(GO:0005634),Zm00001eb185130,SORBI_3001G219400;SORBI_3009G170100,LOC_Os10g04780,,AT1G07090;AT5G28490
326892at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb185130,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 3,DNA binding(GO:0003677),mRNA transcription(GO:0009299);response to light stimulus(GO:0009416),nucleus(GO:0005634),Zm00001eb185130,SORBI_3001G219400;SORBI_3009G170100,LOC_Os10g04780,,AT1G07090;AT5G28490
534218at33090,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb281920,Thioredoxin H9,,,,Zm00001eb281920;Zm00001eb431490,SORBI_3003G054200,LOC_Os05g01690,,AT1G11530;AT1G45145;AT1G59730
131670at33090,4,Maize;Sorghum;Rice;Barley,Zm00001eb146720,Tubby-like F-box protein,,,,Zm00001eb146720;Zm00001eb292770,SORBI_3005G047300,LOC_Os04g06879,HORVU.MOREX.r3.1HG0075890,
38595at4447,4,Maize;Sorghum;Rice;Barley,Zm00001eb146720,Tubby-like F-box protein,,,,Zm00001eb146720,SORBI_3005G047300,LOC_Os04g06879,HORVU.MOREX.r3.1HG0075890,
4382965at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb146720,Tubby-like F-box protein,,,,Zm00001eb146720;Zm00001eb292770,SORBI_3005G047300,LOC_Os04g06879,HORVU.MOREX.r3.1HG0075890,
533082at3193,4,Maize;Sorghum;Rice;Barley,Zm00001eb146720,Tubby-like F-box protein,,,,Zm00001eb146720,SORBI_3005G047300,LOC_Os04g06879,HORVU.MOREX.r3.1HG0075890,
2467431at2759,4,Sorghum;Rice;Barley;Arabidopsis,,,,,,,SORBI_3001G187000,LOC_Os03g01320,HORVU.MOREX.r3.6HG0606110,AT4G05160
674490at33090,4,Sorghum;Rice;Barley;Arabidopsis,,,,,,,SORBI_3001G187000,LOC_Os03g01320,HORVU.MOREX.r3.6HG0606110,AT4G05160
