Maize_gene,Found_in_ge3_common_orthogroups,Phenotypes_present,PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index,Orthogroups,Arabidopsis_ortholog_genes,Barley_ortholog_genes,Rice_ortholog_genes,Sorghum_ortholog_genes
Zm00001eb107190,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
Zm00001eb093410,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
Zm00001eb369270,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
Zm00001eb408020,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,717333at3193; 787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
Zm00001eb072810,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,717333at3193; 787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
Zm00001eb061860,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
Zm00001eb058360,1,PC1; pH,1,0,0,1,0,0,0,0,45140at38820; 45140at4447; 627709at2759; 627709at3193; 627709at33090,AT2G30090,,LOC_Os03g07640,SORBI_3001G079600
Zm00001eb126980,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH,1,1,1,1,0,1,0,1,627237at2759; 629188at33090,AT1G12110;AT1G18880;AT1G32450;AT1G52190;AT1G59740;AT1G68570;AT2G02040;AT2G37900;AT2G40460;AT3G21670;AT3G45660;AT3G45680;AT5G46050;AT5G62680,HORVU.MOREX.r3.1HG0041600;HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.3HG0228230;HORVU.MOREX.r3.3HG0231720;HORVU.MOREX.r3.3HG0299050;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.4HG0411460;HORVU.MOREX.r3.5HG0420230;HORVU.MOREX.r3.5HG0510530;HORVU.MOREX.r3.7HG0715890,,SORBI_3001G032000;SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200;SORBI_3007G044300;SORBI_3010G127800
Zm00001eb162570,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH,1,1,1,1,0,1,0,1,627237at2759; 629188at33090,AT1G12110;AT1G18880;AT1G32450;AT1G52190;AT1G59740;AT1G68570;AT2G02040;AT2G37900;AT2G40460;AT3G21670;AT3G45660;AT3G45680;AT5G46050;AT5G62680,HORVU.MOREX.r3.1HG0041600;HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.3HG0228230;HORVU.MOREX.r3.3HG0231720;HORVU.MOREX.r3.3HG0299050;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.4HG0411460;HORVU.MOREX.r3.5HG0420230;HORVU.MOREX.r3.5HG0510530;HORVU.MOREX.r3.7HG0715890,,SORBI_3001G032000;SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200;SORBI_3007G044300;SORBI_3010G127800
Zm00001eb251130,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH,1,1,1,1,0,1,0,1,627237at2759; 629188at33090,AT1G12110;AT1G18880;AT1G32450;AT1G52190;AT1G59740;AT1G68570;AT2G02040;AT2G37900;AT2G40460;AT3G21670;AT3G45660;AT3G45680;AT5G46050;AT5G62680,HORVU.MOREX.r3.1HG0041600;HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.3HG0228230;HORVU.MOREX.r3.3HG0231720;HORVU.MOREX.r3.3HG0299050;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.4HG0411460;HORVU.MOREX.r3.5HG0420230;HORVU.MOREX.r3.5HG0510530;HORVU.MOREX.r3.7HG0715890,,SORBI_3001G032000;SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200;SORBI_3007G044300;SORBI_3010G127800
Zm00001eb304390,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH,1,1,1,1,0,1,0,1,431403at3193; 627237at2759; 629188at33090,AT1G12110;AT1G18880;AT1G32450;AT1G52190;AT1G59740;AT1G68570;AT2G02040;AT2G37900;AT2G40460;AT3G21670;AT3G45660;AT3G45680;AT5G46050;AT5G62680,HORVU.MOREX.r3.1HG0041600;HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.3HG0228230;HORVU.MOREX.r3.3HG0231720;HORVU.MOREX.r3.3HG0299050;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.4HG0411460;HORVU.MOREX.r3.5HG0420230;HORVU.MOREX.r3.5HG0510530;HORVU.MOREX.r3.7HG0715890,,SORBI_3001G032000;SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200;SORBI_3007G044300;SORBI_3010G127800
Zm00001eb371840,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH,1,1,1,1,0,1,0,1,627237at2759; 629188at33090,AT1G12110;AT1G18880;AT1G32450;AT1G52190;AT1G59740;AT1G68570;AT2G02040;AT2G37900;AT2G40460;AT3G21670;AT3G45660;AT3G45680;AT5G46050;AT5G62680,HORVU.MOREX.r3.1HG0041600;HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.3HG0228230;HORVU.MOREX.r3.3HG0231720;HORVU.MOREX.r3.3HG0299050;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.4HG0411460;HORVU.MOREX.r3.5HG0420230;HORVU.MOREX.r3.5HG0510530;HORVU.MOREX.r3.7HG0715890,,SORBI_3001G032000;SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200;SORBI_3007G044300;SORBI_3010G127800
