GeneID,Species,Orthogroups,Matched_Maize_NRT_genes,Phenotypes_present,PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
SORBI_3001G133900,Sorghum,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
SORBI_3001G223200,Sorghum,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
SORBI_3004G276200,Sorghum,431403at3193; 627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
SORBI_3007G044300,Sorghum,627237at2759; 629188at33090; 678476at3193,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
SORBI_3010G127800,Sorghum,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb000390,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb003170,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb023610,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb046210,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb053220,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb055470,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb082170,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb112180,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb126980,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb152390,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb162570,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb180070,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb222030,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb245250,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb251130,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb289290,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb304390,Maize,431403at3193; 627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
Zm00001eb335710,Maize,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
