Orthogroup,Gene_count,Species_present,Maize_example_gene,Putative_function_from_maize_annotation,GO_MF,GO_BP,GO_CC,Maize_gene,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
804748at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb244120,Chloride channel protein,voltage-gated chloride channel activity(GO:0005247);chloride channel activity(GO:0005254);chloride transmembrane transporter activity(GO:0015108);transmembrane transporter activity(GO:0022857),monoatomic ion transport(GO:0006811);chloride transport(GO:0006821);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085);chloride transmembrane transport(GO:1902476),plant-type vacuole membrane(GO:0009705);membrane(GO:0016020);monoatomic ion channel complex(GO:0034702);chloride channel complex(GO:0034707),Zm00001eb244120,SORBI_3003G374400,,HORVU.MOREX.r3.2HG0205400,AT3G27170
91193at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb056390,Endoglucanase,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245),,Zm00001eb056390;Zm00001eb280690;Zm00001eb433630,SORBI_3003G015700,,HORVU.MOREX.r3.6HG0560140;HORVU.MOREX.r3.7HG0669790,AT5G49720
91193at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb056390,Endoglucanase,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245),,Zm00001eb056390;Zm00001eb280690;Zm00001eb433630,SORBI_3003G015700,,HORVU.MOREX.r3.6HG0560140;HORVU.MOREX.r3.7HG0669790,AT5G49720
646613at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb129440,Germin-like protein,manganese ion binding(GO:0030145);metal ion binding(GO:0046872),plasmodesmata-mediated intercellular transport(GO:0010497);regulation of root development(GO:2000280),plasmodesma(GO:0009506);apoplast(GO:0048046),Zm00001eb129440;Zm00001eb242750;Zm00001eb332460,SORBI_3006G217100,,HORVU.MOREX.r3.2HG0106600,AT3G10080
301827at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb280720,Gnk2-homologous domain-containing protein,,,plasma membrane(GO:0005886);plasmodesma(GO:0009506),Zm00001eb280720,SORBI_3004G247300;SORBI_3006G161200,,HORVU.MOREX.r3.2HG0184560,AT2G01660
301827at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb280720,Gnk2-homologous domain-containing protein,,,plasma membrane(GO:0005886);plasmodesma(GO:0009506),Zm00001eb280720,SORBI_3004G247300;SORBI_3006G161200,,HORVU.MOREX.r3.2HG0184560,AT2G01660
301827at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb280720,Gnk2-homologous domain-containing protein,,,plasma membrane(GO:0005886);plasmodesma(GO:0009506),Zm00001eb280720,SORBI_3004G247300;SORBI_3006G161200,,HORVU.MOREX.r3.2HG0184560,AT2G01660
2496771at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb092720,IQ domain-containing protein IQM3,,,nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb092720;Zm00001eb196930,SORBI_3001G358200,,HORVU.MOREX.r3.6HG0557060,AT4G33050
770138at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb092720,IQ domain-containing protein IQM3,,,nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb092720;Zm00001eb196930,SORBI_3001G358200,,HORVU.MOREX.r3.6HG0557060,AT4G33050
4590808at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb005530,Kelch motif family protein,,,nucleus(GO:0005634),Zm00001eb005530;Zm00001eb070480,SORBI_3006G218600,,HORVU.MOREX.r3.2HG0195300,AT1G14330;AT2G02870
586126at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb005530,Kelch motif family protein,,,nucleus(GO:0005634),Zm00001eb005530;Zm00001eb070480,SORBI_3006G218600,,HORVU.MOREX.r3.2HG0195300,AT1G14330;AT2G02870
586126at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb005530,Kelch motif family protein,,,nucleus(GO:0005634),Zm00001eb005530;Zm00001eb070480,SORBI_3006G218600,,HORVU.MOREX.r3.2HG0195300,AT1G14330;AT2G02870
179088at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb148270,Laccase,copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716),lignin catabolic process(GO:0046274),apoplast(GO:0048046),Zm00001eb148270;Zm00001eb384970,SORBI_3005G005800,,HORVU.MOREX.r3.1HG0073500;HORVU.MOREX.r3.3HG0302440,AT3G09220;AT4G39830;AT5G60020
220610at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb148270,Laccase,copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716),lignin catabolic process(GO:0046274),apoplast(GO:0048046),Zm00001eb148270,SORBI_3005G005800,,HORVU.MOREX.r3.1HG0073500;HORVU.MOREX.r3.3HG0302440,AT3G09220;AT5G60020
4495752at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb148270,Laccase,copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716),lignin catabolic process(GO:0046274),apoplast(GO:0048046),Zm00001eb148270;Zm00001eb384970,SORBI_3005G005800,,HORVU.MOREX.r3.1HG0073500;HORVU.MOREX.r3.3HG0302440,AT3G09220;AT4G39830;AT5G60020
524414at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb187150,Methyltransferase,methyltransferase activity(GO:0008168);transferase activity(GO:0016740),methylation(GO:0032259),cytoplasm(GO:0005737);endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020),Zm00001eb187150;Zm00001eb255340;Zm00001eb272480;Zm00001eb428660,SORBI_3003G379600,,HORVU.MOREX.r3.5HG0513910,AT1G04430;AT4G18030
640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb043110,Peroxidase,catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825),response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869),extracellular region(GO:0005576);plant-type cell wall(GO:0009505),Zm00001eb043110;Zm00001eb067730;Zm00001eb068210;Zm00001eb207640;Zm00001eb251340;Zm00001eb281180;Zm00001eb330530,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb043750,Protein kinase domain-containing protein,nucleotide binding(GO:0000166);catalytic activity(GO:0003824);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740),intracellular signal transduction(GO:0035556),nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb043750;Zm00001eb110250;Zm00001eb117300;Zm00001eb150340;Zm00001eb190570;Zm00001eb227950;Zm00001eb322620;Zm00001eb328990,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
650970at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb011650,Protein kinase superfamily protein,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,membrane(GO:0016020),Zm00001eb011650;Zm00001eb070460,SORBI_3002G274600;SORBI_3006G218700;SORBI_3007G071100,,HORVU.MOREX.r3.2HG0195290,AT1G52540
650895at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb331410,protein-serine_threonine phosphatase,phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);kinase activity(GO:0016301);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,Zm00001eb331410;Zm00001eb392700,SORBI_3001G399300,,HORVU.MOREX.r3.2HG0109530,AT1G47380;AT1G68410
794577at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb331410,protein-serine_threonine phosphatase,phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);kinase activity(GO:0016301);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,Zm00001eb331410;Zm00001eb392700,SORBI_3001G399300,,HORVU.MOREX.r3.2HG0109530,AT1G47380;AT1G68410
794577at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb331410,protein-serine_threonine phosphatase,phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);kinase activity(GO:0016301);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,Zm00001eb331410;Zm00001eb392700,SORBI_3001G399300,,HORVU.MOREX.r3.2HG0109530,AT1G47380;AT1G68410
434009at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb163690,Exostosin family protein,glycosyltransferase activity(GO:0016757),,Golgi membrane(GO:0000139),Zm00001eb163690;Zm00001eb405560,SORBI_3003G331000,LOC_Os11g01280,HORVU.MOREX.r3.5HG0425710,
662901at3193,4,Sorghum;Rice;Barley;Arabidopsis,,,,,,,SORBI_3002G214200,LOC_Os09g04380,HORVU.MOREX.r3.4HG0414140,AT1G64060
792806at2759,4,Sorghum;Rice;Barley;Arabidopsis,,,,,,,SORBI_3002G214200,LOC_Os09g04380,HORVU.MOREX.r3.4HG0414140,AT1G64060
792806at33090,4,Sorghum;Rice;Barley;Arabidopsis,,,,,,,SORBI_3002G214200,LOC_Os09g04380,HORVU.MOREX.r3.4HG0414140,AT1G64060
