,AT_PC1,AT_PC2,AT_PC3,AT_ph,AT_cec,AT_maprecip,AT_matemp,AT_am_roots_colonized,AT_am_rel_abundance_colonization,T_soilN
728,-1.830989335,-1.359623793,2.622366373,49,300,1093,11.11250019,NA,NA,854
742,-1.830989335,-1.359623793,2.622366373,49,300,1093,11.11250019,NA,NA,854
763,6.493240387,-4.733204434,-0.229379713,67,314,527,-2.995833397,0.456777394,0.19788456,438
765,5.85667157,-4.784949697,0.274609976,64,297,592,-2.391666651,0.456777394,0.19788456,652
766,4.945306418,-4.777963968,-0.312452176,64,258,543,-4.283333302,0.149683997,0.484620661,508
768,5.422631675,-2.587437756,-1.121537384,71,231,397,0.716666698,0.149683997,0.484620661,474
772,5.613157747,-0.595208103,-2.203648841,75,248,289,1.625,0.155291706,0.378976703,443
801,-1.524302429,-0.520714943,4.771873013,60,233,1169,12.5583334,0.01173896,NA,434
853,1.145667937,-1.330261699,3.310543801,62,230,978,9.583333015,NA,NA,635
854,1.145667937,-1.330261699,3.310543801,62,230,978,9.583333015,NA,NA,635
867,1.219642081,-1.282212241,3.516532959,60,228,985,9.583333015,NA,NA,998
868,1.219642081,-1.282212241,3.516532959,60,228,985,9.583333015,NA,NA,998
870,1.219642081,-1.282212241,3.516532959,60,228,985,9.583333015,NA,NA,998
915,-2.057465244,-2.066318719,3.522213112,49,444,1208,9.708333015,NA,NA,1634
932,-1.581770454,-1.657800724,3.091072103,NA,NA,1143,10.20833302,NA,NA,NA
991,-0.334953931,-0.55630426,-2.056020988,66,301,622,NA,NA,NA,690
992,-0.334953931,-0.55630426,-2.056020988,66,301,622,NA,NA,NA,690
997,-0.334953931,-0.55630426,-2.056020988,66,301,622,NA,NA,NA,690
1002,-0.334953931,-0.55630426,-2.056020988,66,301,622,NA,NA,NA,690
1006,-0.334953931,-0.55630426,-2.056020988,66,301,622,NA,NA,NA,690
1061,-0.69112451,-1.474807475,-1.98960835,61,279,704,7.579166889,0.116110101,0.607760668,579
1062,-0.69112451,-1.474807475,-1.98960835,61,279,704,7.579166889,0.116110101,0.607760668,579
1063,-0.69112451,-1.474807475,-1.98960835,61,279,704,7.579166889,0.116110101,0.607760668,579
1066,-0.69112451,-1.474807475,-1.98960835,61,279,704,7.579166889,0.116110101,0.607760668,579
1070,-0.69112451,-1.474807475,-1.98960835,61,279,704,7.579166889,0.116110101,0.607760668,579
1158,1.113422276,-0.572058695,-2.102478014,60,355,514,7.070833206,NA,NA,876
1166,1.113422276,-0.572058695,-2.102478014,60,355,514,7.070833206,NA,NA,876
1254,1.972801432,-0.789396607,-1.473607591,53,377,526,6.279166698,NA,NA,835
1257,1.972801432,-0.789396607,-1.473607591,53,377,526,6.279166698,NA,NA,835
1313,2.022804581,-0.809882303,-1.245073641,53,366,544,6.208333492,NA,NA,899
1317,2.022804581,-0.809882303,-1.245073641,53,366,544,6.208333492,NA,NA,899
1552,1.257068627,-2.70106315,-1.30820902,45,402,709,3.033333302,NA,NA,939
1612,1.152184718,-1.219579722,2.949899601,NA,NA,968,9.516666412,NA,NA,NA
1622,1.152184718,-1.219579722,2.949899601,NA,NA,968,9.516666412,NA,NA,NA
1651,1.477687668,-1.060441413,1.818472616,NA,NA,823,8.037500381,NA,NA,NA
1652,1.477687668,-1.060441413,1.818472616,NA,NA,823,8.037500381,NA,NA,NA
1676,1.152184718,-1.219579722,2.949899601,NA,NA,968,9.508333206,NA,NA,NA
1684,1.152184718,-1.219579722,2.949899601,NA,NA,968,9.508333206,NA,NA,NA
1739,1.852600715,-0.883356679,3.224328015,60,187,899,8.891666412,NA,NA,791
1741,1.852600715,-0.883356679,3.224328015,60,187,899,8.891666412,NA,NA,791
1756,1.026600744,-1.035525933,2.269295446,55,211,936,9.458333015,NA,NA,795
1757,1.026600744,-1.035525933,2.269295446,55,211,936,9.458333015,NA,NA,795
1793,0.739755766,-1.16205607,2.481657049,57,264,978,9.425000191,NA,NA,791
1797,0.739755766,-1.16205607,2.481657049,57,264,978,9.425000191,NA,NA,791
1819,1.145667937,-1.330261699,3.310543801,62,230,978,9.583333015,NA,NA,635
1820,1.145667937,-1.330261699,3.310543801,62,230,978,9.583333015,NA,NA,635
1829,0.860454431,-1.106424525,2.359853388,NA,NA,945,9.545833588,NA,NA,NA
1834,0.860454431,-1.106424525,2.359853388,NA,NA,945,9.545833588,NA,NA,NA
1835,0.860454431,-1.106424525,2.359853388,NA,NA,945,9.545833588,NA,NA,NA
1851,1.785039171,-1.159920913,2.524069967,51,206,862,7.595833302,0.01008306,NA,705
1852,1.785039171,-1.159920913,2.524069967,51,206,862,7.595833302,0.01008306,NA,705
1853,1.785039171,-1.159920913,2.524069967,51,206,862,7.595833302,0.01008306,NA,705
1872,1.785039171,-1.159920913,2.524069967,51,206,862,7.595833302,0.01008306,NA,705
1890,1.785039171,-1.159920913,2.524069967,48,173,852,7.849999905,0.01008306,NA,550
1925,1.785039171,-1.159920913,2.524069967,48,220,852,7.800000191,0.01008306,NA,637
1942,1.785039171,-1.159920913,2.524069967,48,220,852,7.800000191,0.01008306,NA,637
1943,1.785039171,-1.159920913,2.524069967,48,220,852,7.800000191,0.01008306,NA,637
1954,1.785039171,-1.159920913,2.524069967,46,153,852,7.787499905,0.01008306,NA,478
2016,1.785039171,-1.159920913,2.524069967,49,187,852,7.779166698,0.01008306,NA,631
2017,1.785039171,-1.159920913,2.524069967,49,187,852,7.779166698,0.01008306,NA,631
2031,1.233951782,-1.045988852,3.047292279,59,232,936,9.408333778,NA,NA,700
2053,1.233951782,-1.045988852,3.047292279,59,232,936,9.408333778,NA,NA,700
2057,1.233951782,-1.045988852,3.047292279,59,232,936,9.408333778,NA,NA,700
2081,1.097217602,-0.899065381,1.437631376,49,209,814,8.266666412,NA,NA,659
2091,1.097217602,-0.899065381,1.437631376,49,209,814,8.266666412,NA,NA,659
2106,1.715727399,-0.881345363,2.388470986,52,139,840,8.233333588,0.131016105,0.528501987,494
2108,1.715727399,-0.881345363,2.388470986,52,139,840,8.233333588,0.131016105,0.528501987,494
2141,1.715727399,-0.881345363,2.388470986,52,139,840,8.233333588,0.131016105,0.528501987,494
2159,1.233951782,-1.045988852,3.047292279,NA,NA,925,9.508333206,NA,NA,NA
2166,1.233951782,-1.045988852,3.047292279,NA,NA,925,9.508333206,NA,NA,NA
2171,1.233951782,-1.045988852,3.047292279,NA,NA,925,9.508333206,NA,NA,NA
2191,1.654595871,-1.256508178,2.184016564,54,216,851,7.741666794,0.131016105,0.528501987,606
2202,1.654595871,-1.256508178,2.184016564,54,216,851,7.741666794,0.131016105,0.528501987,606
2212,1.654595871,-1.256508178,2.184016564,54,216,851,7.741666794,0.131016105,0.528501987,606
2239,1.026600744,-1.035525933,2.269295446,56,217,936,9.362500191,NA,NA,773
2240,1.026600744,-1.035525933,2.269295446,56,217,936,9.362500191,NA,NA,773
2276,1.701067507,-1.225556076,2.264519922,NA,NA,841,7.841666698,NA,NA,NA
2278,1.701067507,-1.225556076,2.264519922,NA,NA,841,7.841666698,NA,NA,NA
2285,1.701067507,-1.225556076,2.264519922,NA,NA,841,7.841666698,NA,NA,NA
2286,1.701067507,-1.225556076,2.264519922,NA,NA,841,7.841666698,NA,NA,NA
2317,0.860454431,-1.106424525,2.359853388,NA,NA,960,9.600000381,NA,NA,NA
2370,1.152184718,-1.219579722,2.949899601,60,272,962,9.462499619,NA,NA,807
2412,1.152184718,-1.219579722,2.949899601,60,272,962,9.462499619,NA,NA,807
4779,-5.00826602,-1.023429643,-1.154395913,58,323,1031,10.36666679,NA,NA,704
4807,-5.00826602,-1.023429643,-1.154395913,58,323,1031,10.36666679,NA,NA,704
4826,-5.00826602,-1.023429643,-1.154395913,58,323,1031,10.36666679,NA,NA,704
4840,-5.00826602,-1.023429643,-1.154395913,58,323,1031,10.36666679,NA,NA,704
4857,-4.972733922,-0.71629355,-1.293978464,60,284,1016,10.67916679,NA,NA,680
4884,-4.972733922,-0.71629355,-1.293978464,60,284,1016,10.67916679,NA,NA,680
4900,-4.942847612,-0.762879401,-1.350699294,60,313,990,10.78333378,NA,NA,690
4939,-5.193881118,-1.075838832,-1.021291126,59,298,1041,10.32083321,0.217733696,0.714606822,678
4958,-5.056086441,-0.928293475,-0.929541931,58,298,1165,9.658333778,NA,NA,705
5023,-1.863415306,0.252525786,-2.284311132,62,327,641,10.32916641,NA,NA,658
5104,-1.863415306,0.252525786,-2.284311132,62,327,641,10.32916641,NA,NA,658
5151,-1.682608536,-0.0010395,-2.479286194,63,282,628,9.595832825,NA,NA,573
5165,-1.804935065,0.421718472,-2.307846893,59,299,636,10.07499981,NA,NA,639
5210,-2.312383329,0.391718274,-2.142990428,61,286,717,10.14166641,0.217733696,0.714606822,518
5236,-1.804935065,0.421718472,-2.307846893,63,295,660,10.19583321,NA,NA,566
5249,-2.312383329,0.391718274,-2.142990428,61,286,717,10.14166641,0.217733696,0.714606822,518
5253,-2.318677465,0.466700704,-1.925311571,64,283,720,9.891666412,0.217733696,0.714606822,600
5276,-1.681996361,0.223087231,-2.454054592,58,277,605,10.28333378,NA,NA,645
5279,-1.681996361,0.223087231,-2.454054592,58,277,605,10.28333378,NA,NA,645
5349,-2.684077993,0.240281359,-1.830789666,62,282,786,9.916666985,0.217733696,0.714606822,550
5353,-8.261488174,-4.970688884,2.451600831,43,455,1764,5.237500191,0.217733696,0.714606822,1484
5395,-8.261488174,-4.970688884,2.451600831,47,411,1729,8.133333206,0.217733696,0.714606822,1039
5486,-7.310537729,-4.272788806,1.300779005,54,340,1573,7.920833588,0.323936909,0.809260368,952
5577,-4.514409236,-1.558427562,-1.097458315,57,289,1191,8.625,NA,NA,831
5644,-8.261488174,-4.970688884,2.451600831,52,367,1712,7.950000286,0.217733696,0.714606822,937
5651,-8.261488174,-4.970688884,2.451600831,52,367,1712,7.950000286,0.217733696,0.714606822,937
5717,-7.310537729,-4.272788806,1.300779005,45,357,1657,7.866666794,0.323936909,0.809260368,1171
5718,-5.954279617,-4.236591618,0.260961034,46,362,1239,6.470833302,0.338503987,0.827512503,1292
5720,-3.947172412,-1.787247209,-1.383003602,57,298,1016,7.829166412,0.323936909,0.809260368,766
5726,-1.681996361,0.223087231,-2.454054592,58,277,605,10.28333378,NA,NA,645
5741,-8.186959096,-5.072170736,1.878294209,45,381,1910,6.641666889,NA,NA,1337
5748,-6.231263682,-2.570580068,0.269895115,45,375,1460,7.329166889,0.217283905,0.714606822,1690
5757,-6.685923486,-4.371015101,0.907735313,44,507,1458,6.070833206,0.112246901,0.771799564,1468
5768,-1.649704931,-0.150021308,-3.048752351,61,317,654,9.104166985,NA,NA,769
5772,-6.615424476,-3.95239352,1.005118797,54,346,1464,7.900000095,0.259354115,0.61393708,838
5776,-1.500403119,0.15577132,-2.841211344,NA,NA,615,9.699999809,NA,NA,NA
5779,-4.568581244,-1.231854626,-0.80813451,64,288,1020,10.57499981,0.217733696,0.714606822,551
5784,-9.003545407,-4.614931434,2.406989757,44,372,1699,8.395833015,0.182228103,0.615019619,1609
5798,-4.161803225,-1.750661787,-1.160039511,62,308,901,9.070833206,0.259354115,0.61393708,645
5800,-12.15257596,-6.692889409,5.486031564,44,436,2370,NA,0.217283905,0.714606822,1571
5811,-3.482648051,-1.041781969,-1.5866969,57,302,1016,8.283333778,0.259354115,0.61393708,718
5822,-11.4173236,-6.067279038,4.132987131,46,364,2226,8.916666985,NA,NA,1584
5830,0.199554303,-0.869900305,-2.588531664,64,317,591,7.295833588,NA,NA,758
5831,0.199554303,-0.869900305,-2.588531664,64,317,591,7.295833588,NA,NA,758
5832,0.199554303,-0.869900305,-2.588531664,64,317,591,7.295833588,NA,NA,758
5836,-0.996894777,-1.588967034,-1.627711279,62,239,752,7.579166889,0.116110101,0.607760668,583
5837,1.454573012,-0.310823428,-0.584246282,60,290,562,7.345833302,0.108668901,0.595904589,706
5856,2.74951788,-2.298170952,-0.790573157,47,471,645,2.470833302,0.1445999,0.836719394,864
5860,1.135017873,-2.788357338,-1.236865525,NA,NA,702,NA,0.1445999,0.836719394,NA
5865,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.387499809,0.116110101,0.607760668,554
5867,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.387499809,0.116110101,0.607760668,554
5874,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
5890,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
5893,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
5907,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
5921,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
5950,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
5984,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
5993,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
6008,1.69916006,0.590008092,-0.347196757,68,273,520,8.816666603,NA,NA,469
6009,1.130859361,-2.600495632,-1.111635761,45,394,717,3.420833349,NA,NA,870
6010,1.130859361,-2.600495632,-1.111635761,45,394,717,3.420833349,NA,NA,870
6011,1.130859361,-2.600495632,-1.111635761,45,394,717,3.420833349,NA,NA,870
6012,1.130859361,-2.600495632,-1.111635761,45,394,717,3.420833349,NA,NA,870
6013,1.130859361,-2.600495632,-1.111635761,45,394,717,3.420833349,NA,NA,870
6016,1.046234165,-2.535165999,-1.322789605,NA,NA,704,NA,NA,NA,NA
6017,1.046234165,-2.535165999,-1.322789605,NA,NA,704,NA,NA,NA,NA
6019,0.576258241,-0.512539011,-1.935494089,64,306,572,7.408333302,NA,NA,850
6020,0.576258241,-0.512539011,-1.935494089,64,306,572,7.408333302,NA,NA,850
6021,0.576258241,-0.512539011,-1.935494089,66,288,572,7.4375,NA,NA,697
6022,0.576258241,-0.512539011,-1.935494089,66,288,572,7.4375,NA,NA,697
6023,-0.377099302,-1.180117198,-1.786390083,NA,NA,694,7.941666603,NA,NA,NA
6024,-0.377099302,-1.180117198,-1.786390083,NA,NA,694,7.941666603,NA,NA,NA
6025,1.584173612,-2.678532387,-1.379755514,45,410,704,3.479166508,0.1445999,0.836719394,924
6030,0.910523761,-2.507867832,-1.33456046,NA,NA,707,3.9375,NA,NA,NA
6034,-0.877108776,-1.517470543,-1.582368622,45,265,777,6.991666794,0.116110101,0.607760668,688
6035,-0.877108776,-1.517470543,-1.582368622,45,265,777,6.991666794,0.116110101,0.607760668,688
6036,-0.877108776,-1.517470543,-1.582368622,53,283,777,7.104166508,0.116110101,0.607760668,653
6038,-0.877108776,-1.517470543,-1.582368622,53,283,777,7.104166508,0.116110101,0.607760668,653
6039,-0.877108776,-1.517470543,-1.582368622,NA,NA,777,7.154166698,0.116110101,0.607760668,NA
6040,-0.390893647,-1.288689392,-1.868596184,58,261,688,7.637499809,0.116110101,0.607760668,725
6041,0.418724085,-0.523973322,-2.358274489,62,360,560,7.595833302,NA,NA,981
6042,-0.351322916,-1.333786823,-1.734581369,43,248,744,7.050000191,0.116110101,0.607760668,556
6043,1.135017873,-2.788357338,-1.236865525,45,448,690,3.716666698,0.1445999,0.836719394,798
6046,1.135017873,-2.788357338,-1.236865525,45,448,690,3.716666698,0.1445999,0.836719394,798
6064,1.130859361,-2.600495632,-1.111635761,47,392,711,3.404166698,NA,NA,991
6069,1.130859361,-2.600495632,-1.111635761,47,392,711,3.404166698,NA,NA,991
6070,1.046234165,-2.535165999,-1.322789605,45,400,711,3.525000095,NA,NA,1005
6071,1.046234165,-2.535165999,-1.322789605,45,400,711,3.525000095,NA,NA,1005
6073,0.609239579,-0.375026297,-2.939061748,63,348,562,7.570833206,NA,NA,913
6074,0.560395415,-0.806035398,-2.527516872,56,335,547,7.324999809,NA,NA,929
6076,-0.377099302,-1.180117198,-1.786390083,63,283,694,7.858333111,NA,NA,871
6077,-0.377099302,-1.180117198,-1.786390083,63,283,694,7.858333111,NA,NA,871
6085,-0.079319424,-0.862683961,-2.030104443,NA,NA,642,8.162500381,NA,NA,NA
6086,-0.520703611,-2.081521332,-1.331524209,NA,NA,759,7.408333302,NA,NA,NA
6087,0.560395415,-0.806035398,-2.527516872,56,335,547,7.291666508,NA,NA,929
6088,0.560395415,-0.806035398,-2.527516872,56,335,547,7.291666508,NA,NA,929
6090,-0.008697024,-0.85162627,-2.195399019,65,308,606,8.333333015,NA,NA,872
6091,-0.008697024,-0.85162627,-2.195399019,65,317,606,8.345833778,NA,NA,564
6092,-0.008697024,-0.85162627,-2.195399019,65,308,606,8.333333015,NA,NA,872
6094,-0.008697024,-0.85162627,-2.195399019,NA,NA,606,8.316666603,NA,NA,NA
6095,-0.008697024,-0.85162627,-2.195399019,NA,NA,606,8.316666603,NA,NA,NA
6096,-0.008697024,-0.85162627,-2.195399019,NA,NA,606,8.316666603,NA,NA,NA
6097,-0.008697024,-0.85162627,-2.195399019,NA,NA,606,8.304166794,NA,NA,NA
6098,-0.008697024,-0.85162627,-2.195399019,65,317,606,8.333333015,NA,NA,564
6099,-0.008697024,-0.85162627,-2.195399019,65,308,606,8.333333015,NA,NA,872
6100,-0.008697024,-0.85162627,-2.195399019,NA,NA,606,8.316666603,NA,NA,NA
6101,-0.008697024,-0.85162627,-2.195399019,NA,NA,606,8.316666603,NA,NA,NA
6102,-0.008697024,-0.85162627,-2.195399019,NA,NA,606,8.316666603,NA,NA,NA
6104,-0.079319424,-0.862683961,-2.030104443,59,289,642,8.316666603,NA,NA,694
6105,0.199607796,-0.597874483,-2.267770384,NA,NA,652,8.141666412,NA,NA,NA
6106,0.199607796,-0.597874483,-2.267770384,NA,NA,652,8.141666412,NA,NA,NA
6107,0.199607796,-0.597874483,-2.267770384,NA,NA,652,8.137499809,NA,NA,NA
6108,0.199607796,-0.597874483,-2.267770384,59,264,652,8.125,NA,NA,613
6109,0.199607796,-0.597874483,-2.267770384,NA,NA,652,8.141666412,NA,NA,NA
6111,0.199607796,-0.597874483,-2.267770384,59,264,652,8.125,NA,NA,613
6112,0.199607796,-0.597874483,-2.267770384,64,286,652,8.154166222,NA,NA,531
6113,0.199607796,-0.597874483,-2.267770384,66,272,652,8.116666794,NA,NA,531
6114,0.199607796,-0.597874483,-2.267770384,67,279,652,8.129166603,NA,NA,640
6115,0.199607796,-0.597874483,-2.267770384,67,279,652,8.129166603,NA,NA,640
6118,-0.079319424,-0.862683961,-2.030104443,62,279,642,8.295833588,NA,NA,739
6119,-0.079319424,-0.862683961,-2.030104443,64,302,642,8.304166794,NA,NA,764
6122,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.829166889,0.116110101,0.607760668,NA
6123,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.829166889,0.116110101,0.607760668,NA
6124,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.829166889,0.116110101,0.607760668,NA
6125,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.829166889,0.116110101,0.607760668,NA
6126,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.841666698,0.116110101,0.607760668,NA
6128,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.820833206,0.116110101,0.607760668,NA
6131,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.783333302,0.116110101,0.607760668,NA
6132,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.783333302,0.116110101,0.607760668,NA
6133,-0.920783629,-1.597318429,-1.628507847,59,257,713,7.845833302,0.116110101,0.607760668,637
6134,-0.920783629,-1.597318429,-1.628507847,NA,NA,713,7.820833206,0.116110101,0.607760668,NA
6136,-0.996894777,-1.588967034,-1.627711279,NA,NA,775,7.345833302,0.116110101,0.607760668,NA
6137,-0.996894777,-1.588967034,-1.627711279,NA,NA,775,7.254166603,0.116110101,0.607760668,NA
6138,-0.996894777,-1.588967034,-1.627711279,NA,NA,775,7.345833302,0.116110101,0.607760668,NA
6140,-0.996894777,-1.588967034,-1.627711279,NA,NA,775,7.345833302,0.116110101,0.607760668,NA
6141,-0.996894777,-1.588967034,-1.627711279,NA,NA,775,7.345833302,0.116110101,0.607760668,NA
6142,-0.996894777,-1.588967034,-1.627711279,52,262,775,7.300000191,0.116110101,0.607760668,875
6145,-0.996894777,-1.588967034,-1.627711279,51,268,775,7.300000191,0.116110101,0.607760668,772
6148,-0.996894777,-1.588967034,-1.627711279,NA,NA,775,7.391666889,0.116110101,0.607760668,NA
6149,-0.996894777,-1.588967034,-1.627711279,NA,NA,775,7.412499905,0.116110101,0.607760668,NA
6150,-0.996894777,-1.588967034,-1.627711279,52,274,775,7.387499809,0.116110101,0.607760668,745
6151,-0.008697024,-0.85162627,-2.195399019,65,308,606,8.333333015,NA,NA,872
6153,1.584173612,-2.678532387,-1.379755514,45,410,704,3.479166508,0.1445999,0.836719394,924
6154,1.584173612,-2.678532387,-1.379755514,45,410,704,3.479166508,0.1445999,0.836719394,924
6163,1.584173612,-2.678532387,-1.379755514,45,410,704,3.479166508,0.1445999,0.836719394,924
6166,1.584173612,-2.678532387,-1.379755514,45,410,704,3.479166508,0.1445999,0.836719394,924
6169,1.046234165,-2.535165999,-1.322789605,46,389,703,3.629166603,NA,NA,833
6172,1.046234165,-2.535165999,-1.322789605,46,389,703,3.629166603,NA,NA,833
6173,1.046234165,-2.535165999,-1.322789605,46,389,703,3.629166603,NA,NA,833
6174,1.584173612,-2.678532387,-1.379755514,46,402,704,3.212500095,0.1445999,0.836719394,847
6177,1.584173612,-2.678532387,-1.379755514,46,402,704,3.212500095,0.1445999,0.836719394,847
6180,1.584173612,-2.678532387,-1.379755514,46,402,704,3.212500095,0.1445999,0.836719394,847
6184,1.046234165,-2.535165999,-1.322789605,NA,NA,704,4.016666889,NA,NA,NA
6188,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.516666889,0.116110101,0.607760668,554
6189,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.516666889,0.116110101,0.607760668,554
6191,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.516666889,0.116110101,0.607760668,554
6192,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.516666889,0.116110101,0.607760668,554
6193,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.516666889,0.116110101,0.607760668,554
6194,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.516666889,0.116110101,0.607760668,554
6195,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.516666889,0.116110101,0.607760668,554
6198,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.387499809,0.116110101,0.607760668,554
6201,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.387499809,0.116110101,0.607760668,554
6202,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.387499809,0.116110101,0.607760668,554
6203,-0.69112451,-1.474807475,-1.98960835,62,267,704,7.387499809,0.116110101,0.607760668,554
6209,1.130859361,-2.600495632,-1.111635761,45,394,717,3.420833349,NA,NA,870
6210,1.130859361,-2.600495632,-1.111635761,45,394,717,3.420833349,NA,NA,870
6214,1.258944859,-2.798120333,-1.110962496,45,400,706,NA,0.1445999,0.836719394,797
6216,1.258944859,-2.798120333,-1.110962496,45,400,706,NA,0.1445999,0.836719394,797
6217,1.258944859,-2.798120333,-1.110962496,45,400,706,NA,0.1445999,0.836719394,797
6218,1.258944859,-2.798120333,-1.110962496,45,400,706,NA,0.1445999,0.836719394,797
6220,0.910523761,-2.507867832,-1.33456046,NA,NA,707,3.9375,NA,NA,NA
6221,0.910523761,-2.507867832,-1.33456046,NA,NA,707,3.9375,NA,NA,NA
6231,1.130859361,-2.600495632,-1.111635761,47,392,711,3.404166698,NA,NA,991
6235,1.046234165,-2.535165999,-1.322789605,45,400,711,3.525000095,NA,NA,1005
6237,1.046234165,-2.535165999,-1.322789605,45,400,711,3.525000095,NA,NA,1005
6238,1.046234165,-2.535165999,-1.322789605,45,400,711,3.525000095,NA,NA,1005
6240,1.046234165,-2.535165999,-1.322789605,45,400,711,3.525000095,NA,NA,1005
6241,1.046234165,-2.535165999,-1.322789605,45,400,711,3.525000095,NA,NA,1005
6242,-0.079319424,-0.862683961,-2.030104443,NA,NA,642,8.279166222,NA,NA,NA
6243,-0.877260532,-1.561344526,-1.81426561,48,248,793,6.929166794,0.116110101,0.607760668,529
6244,1.046234165,-2.535165999,-1.322789605,45,383,680,3.641666651,NA,NA,896
6252,-0.018507754,-0.784371273,-2.529092826,59,326,630,NA,NA,NA,757
6255,-0.018507754,-0.784371273,-2.529092826,59,326,630,NA,NA,NA,757
6258,-0.018507754,-0.784371273,-2.529092826,59,326,630,NA,NA,NA,757
6268,-0.018507754,-0.784371273,-2.529092826,59,326,630,NA,NA,NA,757
6276,-0.018507754,-0.784371273,-2.529092826,59,326,630,NA,NA,NA,757
6284,-0.018507754,-0.784371273,-2.529092826,59,326,630,NA,NA,NA,757
6296,1.61327577,0.377176931,-0.509547259,52,250,537,7.833333492,NA,NA,600
6390,1.61327577,0.377176931,-0.509547259,52,250,537,7.833333492,NA,NA,600
6396,1.61327577,0.377176931,-0.509547259,52,250,537,7.833333492,NA,NA,600
6413,-0.351322916,-1.333786823,-1.734581369,56,272,705,7.204166889,0.116110101,0.607760668,609
