Phenotype,Orthogroup,Gene_count,Maize_gene,Maize_pvalue_max,Sorghum_gene,Sorghum_pvalue_max,Rice_gene,Rice_pvalue_max,Barley_gene,Barley_pvalue_max,Arabidopsis_gene,Arabidopsis_pvalue_max
pH,4590808at2759,3,Zm00001eb070480,Zm00001eb070480:0.000299293,,,,,HORVU.MOREX.r3.2HG0195300,HORVU.MOREX.r3.2HG0195300:0.000267429,AT1G14330,AT1G14330:0.00262386
pH,4725244at2759,3,,,SORBI_3006G217300,SORBI_3006G217300:7.79354e-05,,,HORVU.MOREX.r3.2HG0195580,HORVU.MOREX.r3.2HG0195580:0.000340072,AT1G12780,AT1G12780:0.00180535
pH,4747719at2759,3,Zm00001eb142190,Zm00001eb142190:3.47944e-05,SORBI_3009G249500,SORBI_3009G249500:0.000262436,,,,,AT3G53940,AT3G53940:0.00380737
pH,4750521at2759,3,Zm00001eb170150;Zm00001eb357800,Zm00001eb170150:0.000415526;Zm00001eb357800:0.000147368,SORBI_3001G377600,SORBI_3001G377600:0.000802155,,,,,AT5G50800,AT5G50800:0.00262195
pH,4760724at2759,3,Zm00001eb003000;Zm00001eb003010;Zm00001eb003020;Zm00001eb214320;Zm00001eb250950,Zm00001eb003000:0.000116694;Zm00001eb003010:0.000116694;Zm00001eb003020:0.000116694;Zm00001eb214320:0.00280569;Zm00001eb250950:0.00254351,SORBI_3001G025700,SORBI_3001G025700:0.00192762,,,,,AT3G17090;AT5G66080,AT3G17090:0.000186862;AT5G66080:7.46716e-05
pH,4809112at2759,3,Zm00001eb151650;Zm00001eb421880,Zm00001eb151650:0.00439864;Zm00001eb421880:0.00182478,SORBI_3001G186800;SORBI_3010G205200,SORBI_3001G186800:0.00184063;SORBI_3010G205200:6.63691e-06,,,,,AT4G36350,AT4G36350:0.00250732
pH,4828752at2759,3,Zm00001eb007020,Zm00001eb007020:0.00312296,SORBI_3007G167200;SORBI_3009G247100,SORBI_3007G167200:0.00148466;SORBI_3009G247100:0.000221186,,,HORVU.MOREX.r3.6HG0544350,HORVU.MOREX.r3.6HG0544350:0.00174245,,
pH,4840574at2759,3,Zm00001eb055950,Zm00001eb055950:0.00166967,,,LOC_Os04g05780,LOC_Os04g05780:0.000942088,,,AT5G65800,AT5G65800:0.00251205
pH,4840860at2759,3,Zm00001eb370100,Zm00001eb370100:0.00459815,,,,,HORVU.MOREX.r3.1HG0078730,HORVU.MOREX.r3.1HG0078730:0.0014226,AT1G15310;AT1G48900,AT1G15310:0.0023545;AT1G48900:0.00393407
pH,4848938at2759,3,Zm00001eb250590,Zm00001eb250590:0.00176068,,,LOC_Os04g05730,LOC_Os04g05730:0.000103194,,,AT4G22990,AT4G22990:0.00251942
pH,4854762at2759,3,Zm00001eb209660;Zm00001eb256120;Zm00001eb291450,Zm00001eb209660:0.00367577;Zm00001eb256120:0.00430156;Zm00001eb291450:0.00110476,,,,,HORVU.MOREX.r3.3HG0258130;HORVU.MOREX.r3.7HG0746550,HORVU.MOREX.r3.3HG0258130:0.00256598;HORVU.MOREX.r3.7HG0746550:0.000459769,AT4G01440,AT4G01440:0.00265706
pH,4858592at2759,3,Zm00001eb030870,Zm00001eb030870:0.00353013,SORBI_3001G425100;SORBI_3010G064600,SORBI_3001G425100:0.00200891;SORBI_3010G064600:0.000843092,,,HORVU.MOREX.r3.2HG0097600;HORVU.MOREX.r3.5HG0436650,HORVU.MOREX.r3.2HG0097600:0.00063178;HORVU.MOREX.r3.5HG0436650:0.00174409,,
pH,4925430at2759,3,Zm00001eb129820;Zm00001eb292760;Zm00001eb406290,Zm00001eb129820:0.000831559;Zm00001eb292760:0.00296989;Zm00001eb406290:0.000258973,,,,,HORVU.MOREX.r3.2HG0112410,HORVU.MOREX.r3.2HG0112410:0.0017161,AT3G17510;AT5G35410;AT5G57630,AT3G17510:0.00173511;AT5G35410:0.00274374;AT5G57630:0.00344887
pH,4932650at2759,3,Zm00001eb315040,Zm00001eb315040:0.00226064,SORBI_3004G305900,SORBI_3004G305900:0.00154609,,,,,AT1G71000,AT1G71000:0.00311191
pH,4970708at2759,3,Zm00001eb093590,Zm00001eb093590:0.00332562,,,LOC_Os11g01470,LOC_Os11g01470:0.000509558,,,AT3G05970,AT3G05970:0.003145
pH,4972502at2759,3,Zm00001eb272020,Zm00001eb272020:9.83944e-06,SORBI_3009G249200,SORBI_3009G249200:0.000262436,,,,,AT1G77220,AT1G77220:0.00287878
pH,4998877at2759,3,Zm00001eb117070;Zm00001eb120390,Zm00001eb117070:0.00145073;Zm00001eb120390:2.91235e-05,,,,,HORVU.MOREX.r3.3HG0244360,HORVU.MOREX.r3.3HG0244360:0.00222167,AT3G03940,AT3G03940:0.00305711
pH,4999880at2759,3,Zm00001eb327250,Zm00001eb327250:0.00025849,,,LOC_Os03g05770,LOC_Os03g05770:0.000102201,,,AT3G53870;AT5G35530,AT3G53870:0.00290771;AT5G35530:0.000544191
pH,5001818at2759,3,Zm00001eb207090,Zm00001eb207090:0.00137199,SORBI_3010G220600,SORBI_3010G220600:0.00146873,LOC_Os04g05560,LOC_Os04g05560:0.000529585,,,,
pH,5002325at2759,3,Zm00001eb302370,Zm00001eb302370:0.00477845,,,,,HORVU.MOREX.r3.1HG0062480,HORVU.MOREX.r3.1HG0062480:0.00189888,AT4G15560,AT4G15560:0.00276248
pH,5004521at2759,3,Zm00001eb222250,Zm00001eb222250:0.00018402,,,,,HORVU.MOREX.r3.1HG0057350;HORVU.MOREX.r3.2HG0138420,HORVU.MOREX.r3.1HG0057350:0.00102352;HORVU.MOREX.r3.2HG0138420:0.00141518,AT4G00490;AT4G17090,AT4G00490:0.00240475;AT4G17090:0.00369623
pH,5006073at2759,3,Zm00001eb374580,Zm00001eb374580:0.00202154,SORBI_3003G160200,SORBI_3003G160200:0.000512999,,,,,AT3G59140,AT3G59140:0.00054769
pH,5013741at2759,3,,,SORBI_3009G193400,SORBI_3009G193400:0.000700865,LOC_Os10g04760,LOC_Os10g04760:8.96899e-06,,,AT5G09890,AT5G09890:0.00265116
pH,5013833at2759,3,Zm00001eb207060,Zm00001eb207060:0.00137199,SORBI_3010G220100,SORBI_3010G220100:0.00146873,,,,,AT5G46150,AT5G46150:0.00320544
pH,5013888at2759,3,Zm00001eb397940,Zm00001eb397940:0.00287848,,,LOC_Os01g01360,LOC_Os01g01360:0.00103797,HORVU.MOREX.r3.4HG0389370,HORVU.MOREX.r3.4HG0389370:0.00123012,,
pH,5014204at2759,3,Zm00001eb396660,Zm00001eb396660:0.000740447,SORBI_3001G026300,SORBI_3001G026300:0.000807984,,,HORVU.MOREX.r3.2HG0109140;HORVU.MOREX.r3.2HG0109150,HORVU.MOREX.r3.2HG0109140:0.000498679;HORVU.MOREX.r3.2HG0109150:0.000498679,,
pH,5014650at2759,3,Zm00001eb219040;Zm00001eb226150,Zm00001eb219040:0.000555342;Zm00001eb226150:0.00136768,SORBI_3003G045900;SORBI_3005G067300;SORBI_3005G067500,SORBI_3003G045900:0.00124764;SORBI_3005G067300:0.000573415;SORBI_3005G067500:0.000573415,,,,,AT1G15550,AT1G15550:0.00354619
pH,5016646at2759,3,Zm00001eb216160,Zm00001eb216160:0.000756865,,,,,HORVU.MOREX.r3.2HG0197560,HORVU.MOREX.r3.2HG0197560:0.00130441,AT1G14340;AT5G16840;AT5G32450,AT1G14340:0.00343124;AT5G16840:0.00174706;AT5G32450:0.000329358
pH,5017799at2759,3,Zm00001eb192230;Zm00001eb430620,Zm00001eb192230:0.000564852;Zm00001eb430620:0.00380968,SORBI_3006G209400,SORBI_3006G209400:5.35083e-05,,,,,AT1G34750;AT3G62260,AT1G34750:0.00011172;AT3G62260:0.00010044
pH,516174at2759,3,Zm00001eb253540,Zm00001eb253540:0.00336579,,,,,HORVU.MOREX.r3.6HG0612110,HORVU.MOREX.r3.6HG0612110:0.00252156,AT1G25480,AT1G25480:0.00252979
pH,516269at2759,3,Zm00001eb093490;Zm00001eb281960,Zm00001eb093490:0.00392635;Zm00001eb281960:0.00332238,,,LOC_Os07g05810,LOC_Os07g05810:0.000562162,,,AT1G06890;AT5G57100,AT1G06890:0.00215152;AT5G57100:0.00242944
pH,524414at2759,3,,,SORBI_3003G379600,SORBI_3003G379600:0.00165277,,,HORVU.MOREX.r3.1HG0043000;HORVU.MOREX.r3.1HG0059350,HORVU.MOREX.r3.1HG0043000:0.00229112;HORVU.MOREX.r3.1HG0059350:0.000436431,AT3G23300;AT4G00740;AT4G18030,AT3G23300:0.00116983;AT4G00740:0.000927532;AT4G18030:0.000897786
